LONDON	london	LONDON
,	,	,
Reuters	reuter	Reuters
-	-	-
The	the	The
chairman	chairman	chairman
of	of	of
a	a	a
congressional	congression	congressional
committee	committe	committee
has	has	ha
asked	ask	asked
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
National	nation	National
Institutes	institut	Institutes
of	of	of
Health	health	Health
NIH	nih	NIH
to	to	to
explain	explain	explain
why	whi	why
its	it	it
National	nation	National
Cancer	cancer	Cancer
Institute	institut	Institute
NCI	nci	NCI
failed	fail	failed
to	to	to
publish	publish	publish
data	data	data
that	that	that
showed	show	showed
no	no	no
links	link	link
between	between	between
glyphosate	glyphos	glyphosate
and	and	and
cancer	cancer	cancer
.	.	.

In	in	In
a	a	a
Tuesday	tuesday	Tuesday
letter	letter	letter
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Representative	repres	Representative
Trey	trey	Trey
Gowdy	gowdi	Gowdy
,	,	,
who	who	who
chairs	chair	chair
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Government	govern	Government
and	and	and
Oversight	oversight	Oversight
Reform	reform	Reform
OGR	ogr	OGR
,	,	,
said	said	said
he	he	he
is	is	is
concerned	concern	concerned
about	about	about
the	the	the
new	new	new
revelations	revel	revelation
and	and	and
is	is	is
seeking	seek	seeking
more	more	more
information	inform	information
about	about	about
why	whi	why
the	the	the
exculpatory	exculpatori	exculpatory
results	result	result
were	were	were
not	not	not
published	publish	published
by	by	by
the	the	the
NCI	nci	NCI
.	.	.

Glyphosate	glyphos	Glyphosate
is	is	is
a	a	a
key	key	key
ingredient	ingredi	ingredient
in	in	in
Monsanto	monsanto	Monsanto
s	s	s
top	top	top
-selling	-sell	-selling
weedkiller	weedkil	weedkiller
Roundup	roundup	Roundup
.	.	.

Gowdy	gowdi	Gowdy
s	s	s
letter	letter	letter
to	to	to
NIH	nih	NIH
Director	director	Director
Francis	franci	Francis
Collins	collin	Collins
follows	follow	follows
a	a	a
June	june	June
report	report	report
by	by	by
Reuters	reuter	Reuters
which	which	which
found	found	found
that	that	that
a	a	a
senior	senior	senior
scientist	scientist	scientist
from	from	from
the	the	the
NCI	nci	NCI
knew	knew	knew
that	that	that
fresh	fresh	fresh
data	data	data
from	from	from
a	a	a
large	larg	large
research	research	research
project	project	project
known	known	known
as	as	a
the	the	the
Agricultural	agricultur	Agricultural
Health	health	Health
Study	studi	Study
AHS	ah	AHS
showed	show	showed
no	no	no
links	link	link
between	between	between
glyphosate	glyphos	glyphosate
and	and	and
cancer	cancer	cancer
.	.	.

Draft	draft	Draft
scientific	scientif	scientific
papers	paper	paper
dating	date	dating
from	from	from
2013	2013	2013
containing	contain	containing
the	the	the
data	data	data
were	were	were
never	never	never
published	publish	published
.	.	.

Consequently	consequ	Consequently
,	,	,
the	the	the
information	inform	information
was	was	wa
not	not	not
able	abl	able
to	to	to
be	be	be
taken	taken	taken
into	into	into
account	account	account
during	dure	during
the	the	the
March	march	March
2015	2015	2015
review	review	review
of	of	of
the	the	the
pesticide	pesticid	pesticide
by	by	by
the	the	the
World	world	World
Health	health	Health
Organization	organ	Organization
s	s	s
International	intern	International
Agency	agenc	Agency
for	for	for
Research	research	Research
on	on	on
Cancer	cancer	Cancer
IARC	iarc	IARC
.	.	.

An	an	An
NIH	nih	NIH
spokeswoman	spokeswoman	spokeswoman
told	told	told
Reuters	reuter	Reuters
the	the	the
NIH	nih	NIH
had	had	had
received	receiv	received
Gowdy	gowdi	Gowdy
s	s	s
letter	letter	letter
and	and	and
will	will	will
be	be	be
responding	respond	responding
directly	direct	directly
to	to	to
the	the	the
committee	committe	committee
.	.	.
Aaron	aaron	Aaron
Blair	blair	Blair
,	,	,
the	the	the
senior	senior	senior
scientist	scientist	scientist
at	at	at
the	the	the
NCI	nci	NCI
who	who	who
knew	knew	knew
about	about	about
the	the	the
data	data	data
and	and	and
also	also	also
chaired	chair	chaired
the	the	the
IARC	iarc	IARC
review	review	review
,	,	,
previously	previous	previously
told	told	told
Reuters	reuter	Reuters
the	the	the
data	data	data
was	was	wa
not	not	not
published	publish	published
in	in	in
time	time	time
because	becaus	because
there	there	there
was	was	wa
too	too	too
much	much	much
to	to	to
fit	fit	fit
into	into	into
one	one	one
scientific	scientif	scientific
paper	paper	paper
.	.	.

Blair	blair	Blair
is	is	is
now	now	now
retired	retir	retired
from	from	from
the	the	the
NCI	nci	NCI
.	.	.

An	an	An
NCI	nci	NCI
spokeswoman	spokeswoman	spokeswoman
told	told	told
Reuters	reuter	Reuters
in	in	in
June	june	June
the	the	the
institute	institut	institute
was	was	wa
drafting	draft	drafting
a	a	a
manuscript	manuscript	manuscript
on	on	on
this	this	this
topic	topic	topic
.	.	.

It	it	It
would	would	would
explore	explor	explore
the	the	the
effects	effect	effect
of	of	of
glyphosate	glyphos	glyphosate
exposure	exposur	exposure
in	in	in
greater	greater	greater
depth	depth	depth
,	,	,
she	she	she
said	said	said
,	,	,
and	and	and
would	would	would
be	be	be
submitted	submit	submitted
to	to	to
a	a	a
peer	peer	peer
-reviewed	-review	-reviewed
journal	journal	journal
in	in	in
the	the	the
coming	come	coming
months	month	month
.	.	.
Gowdy	gowdi	Gowdy
s	s	s
letter	letter	letter
asked	ask	asked
for	for	for
a	a	a
briefing	brief	briefing
on	on	on
these	these	these
issues	issu	issue
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
.	.	.

It	it	It
also	also	also
asked	ask	asked
for	for	for
information	inform	information
and	and	and
any	ani	any
documents	document	document
relating	relat	relating
to	to	to
the	the	the
unpublished	unpublish	unpublished
AHS	ah	AHS
data	data	data
on	on	on
glyphosate	glyphos	glyphosate
.	.	.

No	no	No
one	one	one
at	at	at
IARC	iarc	IARC
,	,	,
which	which	which
is	is	is
based	base	based
in	in	in
Lyon	lyon	Lyon
,	,	,
France	franc	France
,	,	,
was	was	wa
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
late	late	late
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

IARC	iarc	IARC
concluded	conclud	concluded
in	in	in
2015	2015	2015
that	that	that
glyphosate	glyphos	glyphosate
,	,	,
is	is	is
a	a	a
probable	probabl	probable
human	human	human
carcinogen	carcinogen	carcinogen
.	.	.
It	it	It
based	base	based
its	it	it
finding	find	finding
on	on	on
limited	limit	limited
evidence	evid	evidence
of	of	of
carcinogenicity	carcinogen	carcinogenicity
in	in	in
humans	human	human
and	and	and
sufficient	suffici	sufficient
evidence	evid	evidence
in	in	in
experimental	experiment	experimental
animals	anim	animal
.	.	.

The	the	The
agency	agenc	agency
s	s	s
assessment	assess	assessment
is	is	is
at	at	at
odds	odd	odds
with	with	with
other	other	other
international	intern	international
regulators	regul	regulator
who	who	who
have	have	have
said	said	said
the	the	the
weedkiller	weedkil	weedkiller
is	is	is
not	not	not
a	a	a
carcinogenic	carcinogen	carcinogenic
risk	risk	risk
to	to	to
humans	human	human
.	.	.

The	the	The
OGR	ogr	OGR
has	has	ha
been	been	been
looking	look	looking
into	into	into
U	u	U
.	.	.
S	s	S
.	.	.
taxpayer	taxpay	taxpayer
funding	fund	funding
of	of	of
IARC	iarc	IARC
.	.	.

It	it	It
began	began	began
investigating	investig	investigating
IARC	iarc	IARC
s	s	s
operations	oper	operation
in	in	in
2016	2016	2016
after	after	after
several	sever	several
lawmakers	lawmak	lawmaker
raised	rais	raised
questions	question	question
about	about	about
why	whi	why
U	u	U
.	.	.
S	s	S
.	.	.
taxpayers	taxpay	taxpayer
were	were	were
funding	fund	funding
an	an	an
agency	agenc	agency
that	that	that
often	often	often
faces	face	face
criticism	critic	criticism
for	for	for
its	it	it
work	work	work
.	.	.

A	a	A
letter	letter	letter
by	by	by
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
,	,	,
then	then	then
chairman	chairman	chairman
of	of	of
the	the	the
OGR	ogr	OGR
,	,	,
in	in	in
September	septemb	September
2016	2016	2016
,	,	,
also	also	also
addressed	address	addressed
to	to	to
the	the	the
NIH	nih	NIH
director	director	director
,	,	,
described	describ	described
IARC	iarc	IARC
as	as	a
having	have	having
a	a	a
record	record	record
of	of	of
controversy	controversi	controversy
,	,	,
retractions	retract	retraction
,	,	,
and	and	and
inconsistencies	inconsist	inconsistency
and	and	and
asked	ask	asked
why	whi	why
the	the	the
NIH	nih	NIH
continued	continu	continued
to	to	to
fund	fund	fund
it	it	it
.	.	.

In	in	In
previous	previous	previous
responses	respons	response
to	to	to
questions	question	question
about	about	about
its	it	it
assessments	assess	assessment
of	of	of
glyphosate	glyphos	glyphosate
and	and	and
many	mani	many
other	other	other
substances	substanc	substance
,	,	,
IARC	iarc	IARC
has	has	ha
defended	defend	defended
them	them	them
as	as	a
scientifically	scientif	scientifically
sound	sound	sound
.	.	.

The	the	The
agency	agenc	agency
says	say	say
its	it	it
monographs	monograph	monograph
-	-	-
the	the	the
name	name	name
it	it	it
gives	give	give
its	it	it
classifications	classif	classification
of	of	of
carcinogens	carcinogen	carcinogen
-	-	-
are	are	are
widely	wide	widely
respected	respect	respected
for	for	for
their	their	their
scientific	scientif	scientific
rigor	rigor	rigor
,	,	,
standardized	standard	standardized
and	and	and
transparent	transpar	transparent
process	process	process
and	and	and
.	.	.
.	.	.
.	.	.

freedom	freedom	freedom
from	from	from
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

