BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
denied	deni	denied
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
accusing	accus	accusing
it	it	it
of	of	of
a	a	a
sarin	sarin	sarin
attack	attack	attack
in	in	in
April	april	April
that	that	that
killed	kill	killed
scores	score	score
of	of	of
people	peopl	people
,	,	,
state	state	state
media	media	medium
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
Damascus	damascus	Damascus
sent	sent	sent
the	the	the
United	unit	United
Nations	nation	Nations
a	a	a
letter	letter	letter
asserting	assert	asserting
that	that	that
Syria	syria	Syria
has	has	ha
not	not	not
and	and	and
will	will	will
not	not	not
use	use	use
toxic	toxic	toxic
gases	gase	gas
against	against	against
its	it	it
people	peopl	people
because	becaus	because
it	it	it
does	doe	doe
not	not	not
have	have	have
them	them	them
in	in	in
the	the	the
first	first	first
place	place	place
,	,	,
state	state	state
news	news	news
agency	agenc	agency
SANA	sana	SANA
said	said	said
.	.	.
U	u	U
.	.	.
N	n	N
.	.	.
war	war	war
crimes	crime	crime
investigators	investig	investigator
said	said	said
this	this	this
week	week	week
that	that	that
Syrian	syrian	Syrian
forces	forc	force
have	have	have
used	use	used
chemical	chemic	chemical
weapons	weapon	weapon
more	more	more
than	than	than
two	two	two
dozen	dozen	dozen
times	time	time
during	dure	during
the	the	the
six	six	six
-year	-year	-year
conflict	conflict	conflict
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
on	on	on
Syria	syria	Syria
said	said	said
a	a	a
government	govern	government
warplane	warplan	warplane
dropped	drop	dropped
sarin	sarin	sarin
on	on	on
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
in	in	in
insurgent	insurg	insurgent
-held	-held	-held
Idlib	idlib	Idlib
province	provinc	province
in	in	in
April	april	April
,	,	,
killing	kill	killing
more	more	more
than	than	than
80	80	80
civilians	civilian	civilian
.	.	.
The	the	The
attack	attack	attack
prompted	prompt	prompted
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
missile	missil	missile
strike	strike	strike
on	on	on
a	a	a
Syrian	syrian	Syrian
government	govern	government
air	air	air
base	base	base
.	.	.
A	a	A
fact	fact	fact
-finding	-find	-finding
mission	mission	mission
of	of	of
the	the	the
Organisation	organis	Organisation
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
OPCW	opcw	OPCW
previously	previous	previously
identified	identifi	identified
the	the	the
attack	attack	attack
as	as	a
containing	contain	containing
sarin	sarin	sarin
,	,	,
an	an	an
odorless	odorless	odorless
nerve	nerv	nerve
agent	agent	agent
.	.	.
But	but	But
that	that	that
conclusion	conclus	conclusion
did	did	did
not	not	not
assign	assign	assign
blame	blame	blame
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
said	said	said
before	befor	before
that	that	that
air	air	air
strikes	strike	strike
in	in	in
the	the	the
town	town	town
of	of	of
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
hit	hit	hit
a	a	a
weapons	weapon	weapon
depot	depot	depot
belonging	belong	belonging
to	to	to
rebel	rebel	rebel
factions	faction	faction
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
investigators	investig	investigator
dismissed	dismiss	dismissed
this	this	this
.	.	.
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
s	s	s
government	govern	government
has	has	ha
repeatedly	repeat	repeatedly
denied	deni	denied
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
in	in	in
the	the	the
war	war	war
and	and	and
says	say	say
it	it	it
only	onli	only
targets	target	target
militants	milit	militant
.	.	.
In	in	In
2013	2013	2013
,	,	,
hundreds	hundr	hundred
of	of	of
civilians	civilian	civilian
died	die	died
in	in	in
a	a	a
sarin	sarin	sarin
gas	gas	gas
attack	attack	attack
in	in	in
the	the	the
suburbs	suburb	suburb
of	of	of
the	the	the
capital	capit	capital
Damascus	damascus	Damascus
,	,	,
in	in	in
an	an	an
attack	attack	attack
that	that	that
Western	western	Western
states	state	state
blamed	blame	blamed
on	on	on
Assad	assad	Assad
s	s	s
government	govern	government
.	.	.
Damascus	damascus	Damascus
blamed	blame	blamed
rebels	rebel	rebel
.	.	.
In	in	In
the	the	the
wake	wake	wake
of	of	of
the	the	the
atrocity	atroc	atrocity
,	,	,
the	the	the
United	unit	United
States	state	States
and	and	and
Russia	russia	Russia
brokered	broker	brokered
a	a	a
deal	deal	deal
under	under	under
which	which	which
Syria	syria	Syria
joined	join	joined
the	the	the
international	intern	international
Chemical	chemic	Chemical
Weapons	weapon	Weapons
Convention	convent	Convention
.	.	.
Syria	syria	Syria
declared	declar	declared
it	it	it
had	had	had
1	1	1
,	,	,
300	300	300
tonnes	tonn	tonne
of	of	of
chemical	chemic	chemical
weapons	weapon	weapon
or	or	or
industrial	industri	industrial
chemical	chemic	chemical
stocks	stock	stock
,	,	,
surrendering	surrend	surrendering
it	it	it
to	to	to
the	the	the
international	intern	international
community	communiti	community
for	for	for
destruction	destruct	destruction
.	.	.
U	u	U
.	.	.
N	n	N
.	.	.
-OPCW	-opcw	-OPCW
investigators	investig	investigator
have	have	have
said	said	said
that	that	that
the	the	the
government	govern	government
continued	continu	continued
to	to	to
use	use	use
chlorine	chlorin	chlorine
,	,	,
which	which	which
is	is	is
widely	wide	widely
available	avail	available
and	and	and
hard	hard	hard
to	to	to
trace	trace	trace
.	.	.
Chlorine	chlorin	Chlorine
is	is	is
not	not	not
a	a	a
banned	ban	banned
substance	substanc	substance
,	,	,
but	but	but
the	the	the
use	use	use
of	of	of
any	ani	any
chemical	chemic	chemical
is	is	is
banned	ban	banned
under	under	under
the	the	the
1997	1997	1997
Chemical	chemic	Chemical
Weapons	weapon	Weapons
Convention	convent	Convention
.	.	.
A	a	A
series	seri	series
of	of	of
U	u	U
.	.	.
N	n	N
.	.	.
-OPCW	-opcw	-OPCW
investigations	investig	investigation
found	found	found
that	that	that
various	various	various
parties	parti	party
in	in	in
the	the	the
war	war	war
have	have	have
used	use	used
chlorine	chlorin	chlorine
,	,	,
sulfur	sulfur	sulfur
mustard	mustard	mustard
gas	gas	gas
and	and	and
sarin	sarin	sarin
.	.	.
