SUKAJAYA	sukajaya	SUKAJAYA
,	,	,
Indonesia	indonesia	Indonesia
Reuters	reuter	Reuters
-	-	-
Hatf	hatf	Hatf
Saiful	saiful	Saiful
Rasul	rasul	Rasul
was	was	wa
11	11	11
years	year	year
old	old	old
when	when	when
he	he	he
told	told	told
his	his	his
father	father	father
,	,	,
a	a	a
convicted	convict	convicted
Islamic	islam	Islamic
militant	milit	militant
,	,	,
that	that	that
he	he	he
wanted	want	wanted
to	to	to
leave	leav	leave
school	school	school
and	and	and
go	go	go
to	to	to
Syria	syria	Syria
to	to	to
fight	fight	fight
for	for	for
Islamic	islam	Islamic
State	state	State
.	.	.
The	the	The
boy	boy	boy
was	was	wa
visiting	visit	visiting
his	his	his
father	father	father
in	in	in
a	a	a
maximum	maximum	maximum
security	secur	security
prison	prison	prison
during	dure	during
a	a	a
break	break	break
from	from	from
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
,	,	,
his	his	his
Islamic	islam	Islamic
boarding	board	boarding
school	school	school
,	,	,
Syaiful	syaiful	Syaiful
Anam	anam	Anam
said	said	said
in	in	in
a	a	a
12	12	12
,	,	,
000	000	000
word	word	word
essay	essay	essay
on	on	on
his	his	his
son	son	son
and	and	and
religion	religion	religion
that	that	that
was	was	wa
published	publish	published
online	onlin	online
.	.	.
At	at	At
first	first	first
,	,	,
I	i	I
did	did	did
not	not	not
respond	respond	respond
and	and	and
considered	consid	considered
it	it	it
just	just	just
a	a	a
child	child	child
s	s	s
joke	joke	joke
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.
But	but	But
it	it	it
became	becam	became
different	differ	different
when	when	when
Hatf	hatf	Hatf
stated	state	stated
his	his	his
willingness	willing	willingness
over	over	over
and	and	and
over	over	over
.	.	.
Hatf	hatf	Hatf
told	told	told
his	his	his
father	father	father
some	some	some
of	of	of
his	his	his
friends	friend	friend
and	and	and
teachers	teacher	teacher
from	from	from
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
had	had	had
gone	gone	gone
to	to	to
fight	fight	fight
for	for	for
Islamic	islam	Islamic
State	state	State
and	and	and
become	becom	become
martyrs	martyr	martyr
there	there	there
,	,	,
Anam	anam	Anam
wrote	wrote	wrote
.	.	.
Anam	anam	Anam
agreed	agre	agreed
to	to	to
let	let	let
him	him	him
go	go	go
,	,	,
noting	note	noting
in	in	in
his	his	his
essay	essay	essay
that	that	that
the	the	the
school	school	school
was	was	wa
managed	manag	managed
by	by	by
comrades	comrad	comrade
who	who	who
share	share	share
our	our	our
ideology	ideolog	ideology
.	.	.
Hatf	hatf	Hatf
traveled	travel	traveled
to	to	to
Syria	syria	Syria
with	with	with
a	a	a
group	group	group
of	of	of
relatives	relat	relative
in	in	in
2015	2015	2015
,	,	,
joining	join	joining
a	a	a
group	group	group
of	of	of
French	french	French
fighters	fighter	fighter
.	.	.
Reuters	reuter	Reuters
spoke	spoke	spoke
to	to	to
three	three	three
Indonesian	indonesian	Indonesian
counter	counter	counter
-terrorism	-terror	-terrorism
officials	offici	official
who	who	who
confirmed	confirm	confirmed
the	the	the
boy	boy	boy
went	went	went
to	to	to
Syria	syria	Syria
.	.	.
Indonesia	indonesia	Indonesia
is	is	is
the	the	the
world	world	world
s	s	s
most	most	most
populous	popul	populous
Muslim	muslim	Muslim
-majority	-major	-majority
country	countri	country
and	and	and
most	most	most
of	of	of
its	it	it
people	peopl	people
practice	practic	practice
a	a	a
moderate	moder	moderate
form	form	form
of	of	of
Islam	islam	Islam
.	.	.
But	but	But
there	there	there
has	has	ha
been	been	been
a	a	a
recent	recent	recent
resurgence	resurg	resurgence
in	in	in
militancy	milit	militancy
and	and	and
authorities	author	authority
believe	believ	believe
Islamic	islam	Islamic
State	state	State
has	has	ha
more	more	more
than	than	than
1	1	1
,	,	,
200	200	200
followers	follow	follower
in	in	in
Indonesia	indonesia	Indonesia
while	while	while
about	about	about
500	500	500
Indonesians	indonesian	Indonesians
have	have	have
left	left	left
to	to	to
join	join	join
the	the	the
group	group	group
in	in	in
Syria	syria	Syria
.	.	.
Drawing	draw	Drawing
on	on	on
court	court	court
documents	document	document
,	,	,
registration	registr	registration
filings	file	filing
and	and	and
interviews	interview	interview
with	with	with
counter	counter	counter
-terrorism	-terror	-terrorism
police	polic	police
and	and	and
former	former	former
militants	milit	militant
,	,	,
Reuters	reuter	Reuters
has	has	ha
found	found	found
that	that	that
Hatf	hatf	Hatf
was	was	wa
one	one	one
of	of	of
at	at	at
least	least	least
12	12	12
people	peopl	people
from	from	from
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
who	who	who
went	went	went
to	to	to
the	the	the
Middle	middl	Middle
East	east	East
to	to	to
fight	fight	fight
for	for	for
IS	is	IS
or	or	or
attempted	attempt	attempted
to	to	to
go	go	go
there	there	there
between	between	between
2013	2013	2013
and	and	and
2016	2016	2016
.	.	.
Eight	eight	Eight
were	were	were
teachers	teacher	teacher
,	,	,
four	four	four
were	were	were
students	student	student
.	.	.
At	at	At
least	least	least
another	anoth	another
18	18	18
people	peopl	people
linked	link	linked
to	to	to
the	the	the
school	school	school
have	have	have
been	been	been
convicted	convict	convicted
,	,	,
or	or	or
are	are	are
now	now	now
under	under	under
arrest	arrest	arrest
,	,	,
for	for	for
militant	milit	militant
plots	plot	plot
and	and	and
attacks	attack	attack
in	in	in
Indonesia	indonesia	Indonesia
,	,	,
including	includ	including
the	the	the
three	three	three
deadliest	deadliest	deadliest
attacks	attack	attack
in	in	in
the	the	the
country	countri	country
in	in	in
the	the	the
past	past	past
20	20	20
months	month	month
,	,	,
according	accord	according
to	to	to
counter	counter	counter
-terrorism	-terror	-terrorism
police	polic	police
and	and	and
trial	trial	trial
documents	document	document
of	of	of
convicted	convict	convicted
militants	milit	militant
.	.	.
For	for	For
details	detail	detail
,	,	,
click	click	click
here	here	here
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2wDwgPD	2wdwgpd	2wDwgPD
Jumadi	jumadi	Jumadi
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
,	,	,
denied	deni	denied
the	the	the
school	school	school
supported	support	supported
IS	is	IS
or	or	or
any	ani	any
other	other	other
militant	milit	militant
Islamist	islamist	Islamist
group	group	group
,	,	,
or	or	or
taught	taught	taught
any	ani	any
extreme	extrem	extreme
or	or	or
ultra	ultra	ultra
-violent	-violent	-violent
interpretation	interpret	interpretation
of	of	of
Islam	islam	Islam
.	.	.
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
is	is	is
one	one	one
of	of	of
about	about	about
30	30	30
,	,	,
000	000	000
Islamic	islam	Islamic
boarding	board	boarding
schools	school	school
,	,	,
or	or	or
pesantren	pesantren	pesantren
,	,	,
across	across	across
Indonesia	indonesia	Indonesia
.	.	.
Most	most	Most
educate	educ	educate
students	student	student
in	in	in
Islam	islam	Islam
and	and	and
other	other	other
subjects	subject	subject
,	,	,
but	but	but
a	a	a
handful	hand	handful
are	are	are
linked	link	linked
to	to	to
extremism	extrem	extremism
and	and	and
act	act	act
as	as	a
centers	center	center
for	for	for
recruitment	recruit	recruitment
,	,	,
Indonesian	indonesian	Indonesian
police	polic	police
and	and	and
government	govern	government
officials	offici	official
say	say	say
.	.	.
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
has	has	ha
been	been	been
in	in	in
existence	exist	existence
for	for	for
a	a	a
decade	decad	decade
,	,	,
despite	despit	despite
its	it	it
links	link	link
to	to	to
militants	milit	militant
.	.	.
Irfan	irfan	Irfan
Idris	idri	Idris
,	,	,
the	the	the
head	head	head
of	of	of
deradicalization	deradic	deradicalization
at	at	at
Indonesia	indonesia	Indonesia
s	s	s
national	nation	national
counter	counter	counter
-terrorism	-terror	-terrorism
agency	agenc	agency
,	,	,
blamed	blame	blamed
weak	weak	weak
laws	law	law
and	and	and
bureaucracy	bureaucraci	bureaucracy
for	for	for
the	the	the
lack	lack	lack
of	of	of
action	action	action
against	against	against
such	such	such
schools	school	school
.	.	.
Basically	basic	Basically
,	,	,
it	it	it
s	s	s
not	not	not
our	our	our
domain	domain	domain
,	,	,
it	it	it
s	s	s
the	the	the
religious	religi	religious
ministry	ministri	ministry
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
.	.	.
We	we	We
have	have	have
informed	inform	informed
the	the	the
ministry	ministri	ministry
that	that	that
you	you	you
have	have	have
a	a	a
problem	problem	problem
with	with	with
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
.	.	.
Asked	ask	Asked
about	about	about
the	the	the
school	school	school
s	s	s
links	link	link
to	to	to
militants	milit	militant
and	and	and
why	whi	why
it	it	it
had	had	had
not	not	not
been	been	been
shut	shut	shut
down	down	down
,	,	,
Kamaruddin	kamaruddin	Kamaruddin
Amin	amin	Amin
,	,	,
the	the	the
director	director	director
general	general	general
of	of	of
Islamic	islam	Islamic
education	educ	education
at	at	at
Indonesia	indonesia	Indonesia
s	s	s
Ministry	ministri	Ministry
of	of	of
Religious	religi	Religious
Affairs	affair	Affairs
,	,	,
said	said	said
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
never	never	never
registered	regist	registered
as	as	a
a	a	a
pesantren	pesantren	pesantren
.	.	.
Jumadi	jumadi	Jumadi
