Token	Stem	Lemma
NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
The	the	The
Koch	koch	Koch
brothers	brother	brother
the	the	the
most	most	most
powerful	power	powerful
conservative	conserv	conservative
mega	mega	mega
donors	donor	donor
in	in	in
the	the	the
United	unit	United
States	state	States
will	will	will
not	not	not
use	use	use
their	their	their
400	400	400
million	million	million
political	polit	political
arsenal	arsenal	arsenal
to	to	to
try	tri	try
to	to	to
block	block	block
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
s	s	s
path	path	path
to	to	to
the	the	the
presidential	presidenti	presidential
nomination	nomin	nomination
a	a	a
spokesman	spokesman	spokesman
told	told	told
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
The	the	The
decision	decis	decision
by	by	by
the	the	the
billionaire	billionair	billionaire
industrialists	industrialist	industrialist
is	is	is
another	anoth	another
setback	setback	setback
to	to	to
Republican	republican	Republican
establishment	establish	establishment
efforts	effort	effort
to	to	to
derail	derail	derail
the	the	the
New	new	New
York	york	York
real	real	real
estate	estat	estate
mogul	mogul	mogul
s	s	s
bid	bid	bid
for	for	for
the	the	the
White	white	White
House	hous	House
and	and	and
follows	follow	follows
speculation	specul	speculation
the	the	the
Kochs	koch	Kochs
would	would	would
soon	soon	soon
launch	launch	launch
a	a	a
Trump	trump	Trump
Intervention	intervent	Intervention
We	we	We
have	have	have
no	no	no
plans	plan	plan
to	to	to
get	get	get
involved	involv	involved
in	in	in
the	the	the
primary	primari	primary
said	said	said
James	jame	James
Davis	davi	Davis
spokesman	spokesman	spokesman
for	for	for
Freedom	freedom	Freedom
Partners	partner	Partners
the	the	the
Koch	koch	Koch
brothers	brother	brother
political	polit	political
umbrella	umbrella	umbrella
group	group	group
He	he	He
would	would	would
not	not	not
elaborate	elabor	elaborate
on	on	on
what	what	what
the	the	the
brothers	brother	brother
strategy	strategi	strategy
would	would	would
be	be	be
for	for	for
the	the	the
Nov	nov	Nov
8	8	8
election	elect	election
to	to	to
succeed	succeed	succeed
Democratic	democrat	Democratic
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
Three	three	Three
sources	sourc	source
close	close	close
to	to	to
the	the	the
Kochs	koch	Kochs
said	said	said
the	the	the
brothers	brother	brother
made	made	made
the	the	the
decision	decis	decision
because	becaus	because
they	they	they
were	were	were
concerned	concern	concerned
that	that	that
spending	spend	spending
millions	million	million
of	of	of
dollars	dollar	dollar
attacking	attack	attacking
Trump	trump	Trump
would	would	would
be	be	be
money	money	money
wasted	wast	wasted
since	sinc	since
they	they	they
had	had	had
not	not	not
yet	yet	yet
seen	seen	seen
any	ani	any
attack	attack	attack
on	on	on
Trump	trump	Trump
stick	stick	stick
The	the	The
Koch	koch	Koch
brothers	brother	brother
are	are	are
also	also	also
smarting	smart	smarting
from	from	from
the	the	the
millions	million	million
of	of	of
dollars	dollar	dollar
they	they	they
pumped	pump	pumped
into	into	into
the	the	the
failed	fail	failed
2012	2012	2012
Republican	republican	Republican
presidential	presidenti	presidential
bids	bid	bid
of	of	of
Newt	newt	Newt
Gingrich	gingrich	Gingrich
and	and	and
Mitt	mitt	Mitt
Romney	romney	Romney
the	the	the
sources	sourc	source
said	said	said
Donors	donor	Donors
and	and	and
media	media	medium
reports	report	report
have	have	have
speculated	specul	speculated
since	sinc	since
January	januari	January
when	when	when
the	the	the
Kochs	koch	Kochs
gathered	gather	gathered
500	500	500
of	of	of
America	america	America
s	s	s
wealthiest	wealthiest	wealthiest
political	polit	political
donors	donor	donor
at	at	at
a	a	a
California	california	California
resort	resort	resort
that	that	that
they	they	they
would	would	would
deploy	deploy	deploy
their	their	their
vast	vast	vast
political	polit	political
network	network	network
to	to	to
target	target	target
Trump	trump	Trump
The	the	The
Kochs	koch	Kochs
oppose	oppos	oppose
his	his	his
protectionist	protectionist	protectionist
trade	trade	trade
rhetoric	rhetor	rhetoric
and	and	and
hardline	hardlin	hardline
views	view	view
on	on	on
immigration	immigr	immigration
which	which	which
include	includ	include
building	build	building
a	a	a
wall	wall	wall
along	along	along
the	the	the
U	u	U
S	s	S
border	border	border
with	with	with
Mexico	mexico	Mexico
and	and	and
deporting	deport	deporting
millions	million	million
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
Many	mani	Many
Republican	republican	Republican
figures	figur	figure
and	and	and
business	busi	business
backers	backer	backer
are	are	are
eager	eager	eager
to	to	to
see	see	see
Trump	trump	Trump
a	a	a
political	polit	political
outsider	outsid	outsider
who	who	who
has	has	ha
tapped	tap	tapped
into	into	into
rising	rise	rising
anti	anti	anti
-establishment	-establish	-establishment
sentiment	sentiment	sentiment
fail	fail	fail
in	in	in
his	his	his
bid	bid	bid
for	for	for
the	the	the
nomination	nomin	nomination
They	they	They
prefer	prefer	prefer
instead	instead	instead
a	a	a
more	more	more
traditional	tradit	traditional
candidate	candid	candidate
like	like	like
U	u	U
S	s	S
Senator	senat	Senator
Marco	marco	Marco
Rubio	rubio	Rubio
of	of	of
Florida	florida	Florida
But	but	But
with	with	with
Trump	trump	Trump
racking	rack	racking
up	up	up
a	a	a
series	seri	series
of	of	of
wins	win	win
in	in	in
the	the	the
early	earli	early
nominating	nomin	nominating
contests	contest	contest
against	against	against
opponents	oppon	opponent
including	includ	including
Rubio	rubio	Rubio
and	and	and
U	u	U
S	s	S
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
of	of	of
Texas	texa	Texas
there	there	there
is	is	is
a	a	a
growing	grow	growing
sense	sens	sense
of	of	of
inevitability	inevit	inevitability
that	that	that
he	he	he
will	will	will
win	win	win
the	the	the
party	parti	party
s	s	s
mantle	mantl	mantle
Editing	edit	Editing
by	by	by
Richard	richard	Richard
Valdmanis	valdmani	Valdmanis
Chris	chris	Chris
Reese	rees	Reese
and	and	and
Peter	peter	Peter
Cooney	cooney	Cooney
This	this	This
article	articl	article
was	was	wa
funded	fund	funded
in	in	in
part	part	part
by	by	by
SAP	sap	SAP
It	it	It
was	was	wa
independently	independ	independently
created	creat	created
by	by	by
the	the	the
Reuters	reuter	Reuters
editorial	editori	editorial
staff	staff	staff
SAP	sap	SAP
had	had	had
no	no	no
editorial	editori	editorial
involvement	involv	involvement
in	in	in
its	it	it
creation	creation	creation
or	or	or
production	product	production
