CHICAGO	chicago	CHICAGO
Reuters	reuter	Reuters
-	-	-
Underperforming	underperform	Underperforming
schools	school	school
in	in	in
the	the	the
cash	cash	cash
-strapped	-strap	-strapped
city	citi	city
of	of	of
Detroit	detroit	Detroit
can	can	can
be	be	be
closed	close	closed
this	this	this
school	school	school
year	year	year
,	,	,
Michigan	michigan	Michigan
s	s	s
Attorney	attorney	Attorney
General	general	General
said	said	said
in	in	in
a	a	a
legal	legal	legal
opinion	opinion	opinion
issued	issu	issued
Wednesday	wednesday	Wednesday
to	to	to
clarify	clarifi	clarify
an	an	an
existing	exist	existing
state	state	state
law	law	law
.	.	.

The	the	The
position	posit	position
is	is	is
the	the	the
latest	latest	latest
development	develop	development
in	in	in
a	a	a
battle	battl	battle
between	between	between
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
and	and	and
Democratic	democrat	Democratic
lawmakers	lawmak	lawmaker
over	over	over
how	how	how
best	best	best
to	to	to
address	address	address
Detroit	detroit	Detroit
s	s	s
struggling	struggl	struggling
school	school	school
system	system	system
.	.	.

Attorney	attorney	Attorney
General	general	General
Bill	bill	Bill
Schuette	schuett	Schuette
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
said	said	said
schools	school	school
operated	oper	operated
by	by	by
the	the	the
Detroit	detroit	Detroit
Public	public	Public
School	school	School
Community	communiti	Community
District	district	District
that	that	that
are	are	are
among	among	among
the	the	the
lowest	lowest	lowest
achieving	achiev	achieving
5	5	5
percent	percent	percent
of	of	of
all	all	all
public	public	public
schools	school	school
during	dure	during
the	the	the
three	three	three
preceding	preced	preceding
school	school	school
years	year	year
can	can	can
be	be	be
shuttered	shutter	shuttered
by	by	by
the	the	the
state	state	state
s	s	s
School	school	School
Reform	reform	Reform
Officer	offic	Officer
SRO	sro	SRO
.	.	.

Republican	republican	Republican
Governor	governor	Governor
Rick	rick	Rick
Snyder	snyder	Snyder
,	,	,
who	who	who
in	in	in
June	june	June
approved	approv	approved
a	a	a
dramatic	dramat	dramatic
restructuring	restructur	restructuring
of	of	of
Detroit	detroit	Detroit
s	s	s
school	school	school
system	system	system
,	,	,
previously	previous	previously
accepted	accept	accepted
the	the	the
opinion	opinion	opinion
of	of	of
an	an	an
outside	outsid	outside
law	law	law
firm	firm	firm
that	that	that
the	the	the
SRO	sro	SRO
could	could	could
not	not	not
close	close	close
schools	school	school
until	until	until
2019	2019	2019
,	,	,
according	accord	according
to	to	to
the	the	the
Detroit	detroit	Detroit
Free	free	Free
Press	press	Press
.	.	.

The	the	The
law	law	law
is	is	is
clear	clear	clear
Michigan	michigan	Michigan
parents	parent	parent
and	and	and
their	their	their
children	children	child
do	do	do
not	not	not
have	have	have
to	to	to
be	be	be
stuck	stuck	stuck
indefinitely	indefinit	indefinitely
in	in	in
a	a	a
failing	fail	failing
school	school	school
,	,	,
Schuette	schuett	Schuette
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Detroit	detroit	Detroit
students	student	student
and	and	and
parents	parent	parent
deserve	deserv	deserve
accountability	account	accountability
and	and	and
high	high	high
performing	perform	performing
schools	school	school
.	.	.

If	if	If
a	a	a
child	child	child
can	can	can
t	t	t
spell	spell	spell
opportunity	opportun	opportunity
,	,	,
they	they	they
won	won	won
t	t	t
have	have	have
opportunity	opportun	opportunity
.	.	.
Some	some	Some
Democrats	democrat	Democrats
argue	argu	argue
that	that	that
the	the	the
newly	newli	newly
restructured	restructur	restructured
school	school	school
district	district	district
needs	need	need
additional	addit	additional
time	time	time
to	to	to
re	re	re
-evaluate	-evalu	-evaluate
the	the	the
performance	perform	performance
of	of	of
schools	school	school
and	and	and
integrate	integr	integrate
best	best	best
learning	learn	learning
practices	practic	practice
.	.	.

Schuette	schuett	Schuette
s	s	s
opinion	opinion	opinion
said	said	said
the	the	the
SRO	sro	SRO
could	could	could
issue	issu	issue
a	a	a
mandatory	mandatori	mandatory
notice	notic	notice
of	of	of
closure	closur	closure
to	to	to
a	a	a
school	school	school
,	,	,
which	which	which
would	would	would
then	then	then
determine	determin	determine
the	the	the
best	best	best
time	time	time
to	to	to
close	close	close
before	befor	before
the	the	the
end	end	end
of	of	of
the	the	the
current	current	current
school	school	school
term	term	term
.	.	.

If	if	If
a	a	a
school	school	school
is	is	is
closed	close	closed
,	,	,
students	student	student
will	will	will
be	be	be
re	re	re
-assigned	-assign	-assigned
to	to	to
another	anoth	another
school	school	school
.	.	.

The	the	The
Detroit	detroit	Detroit
public	public	public
school	school	school
system	system	system
,	,	,
which	which	which
has	has	ha
nearly	near	nearly
46	46	46
,	,	,
000	000	000
students	student	student
,	,	,
has	has	ha
been	been	been
under	under	under
state	state	state
control	control	control
since	sinc	since
2009	2009	2009
because	becaus	because
of	of	of
a	a	a
financial	financi	financial
emergency	emerg	emergency
.	.	.

Of	of	Of
the	the	the
124	124	124
worst	worst	worst
-performing	-perform	-performing
schools	school	school
in	in	in
the	the	the
state	state	state
,	,	,
47	47	47
are	are	are
Detroit	detroit	Detroit
public	public	public
schools	school	school
,	,	,
according	accord	according
to	to	to
a	a	a
list	list	list
released	releas	released
by	by	by
the	the	the
SRO	sro	SRO
earlier	earlier	earlier
this	this	this
month	month	month
.	.	.

The	the	The
recent	recent	recent
restructuring	restructur	restructuring
of	of	of
the	the	the
school	school	school
system	system	system
splits	split	split
it	it	it
into	into	into
two	two	two
distinct	distinct	distinct
parts	part	part
in	in	in
an	an	an
effort	effort	effort
to	to	to
improve	improv	improve
the	the	the
academically	academ	academically
and	and	and
financially	financi	financially
struggling	struggl	struggling
system	system	system
.	.	.

Ari	ari	Ari
Adler	adler	Adler
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Snyder	snyder	Snyder
s	s	s
office	offic	office
,	,	,
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
the	the	the
governor	governor	governor
s	s	s
office	offic	office
was	was	wa
reviewing	review	reviewing
Schuette	schuett	Schuette
s	s	s
legal	legal	legal
opinion	opinion	opinion
.	.	.

Republican	republican	Republican
House	hous	House
Speaker	speaker	Speaker
Kevin	kevin	Kevin
Cotter	cotter	Cotter
,	,	,
who	who	who
asked	ask	asked
for	for	for
a	a	a
clarification	clarif	clarification
of	of	of
the	the	the
law	law	law
from	from	from
Schuette	schuett	Schuette
welcomed	welcom	welcomed
the	the	the
decision	decis	decision
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Detroit	detroit	Detroit
students	student	student
need	need	need
a	a	a
final	final	final
decision	decis	decision
,	,	,
and	and	and
this	this	this
opinion	opinion	opinion
provides	provid	provides
one	one	one
,	,	,
Cotter	cotter	Cotter
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

State	state	State
Representative	repres	Representative
Sherry	sherri	Sherry
Gay	gay	Gay
-Dagnogo	-dagnogo	-Dagnogo
,	,	,
a	a	a
Democrat	democrat	Democrat
representing	repres	representing
northwest	northwest	northwest
Detroit	detroit	Detroit
,	,	,
slammed	slam	slammed
Schuette	schuett	Schuette
s	s	s
opinion	opinion	opinion
,	,	,
describing	describ	describing
the	the	the
attorney	attorney	attorney
general	general	general
as	as	a
totally	total	totally
out	out	out
of	of	of
touch	touch	touch
with	with	with
the	the	the
needs	need	need
of	of	of
our	our	our
community	communiti	community
.	.	.

