ALBANY	albani	ALBANY
,	,	,
N	n	N
.	.	.
Y	y	Y
.	.	.
Reuters	reuter	Reuters
-	-	-
New	new	New
York	york	York
is	is	is
poised	pois	poised
to	to	to
join	join	join
the	the	the
rest	rest	rest
of	of	of
the	the	the
country	countri	country
in	in	in
legalizing	legal	legalizing
mixed	mix	mixed
martial	martial	martial
arts	art	art
MMA	mma	MMA
fights	fight	fight
,	,	,
as	as	a
the	the	the
state	state	state
Assembly	assembl	Assembly
prepares	prepar	prepares
to	to	to
pass	pass	pas
a	a	a
bill	bill	bill
to	to	to
end	end	end
a	a	a
ban	ban	ban
on	on	on
the	the	the
full	full	full
-contact	-contact	-contact
sport	sport	sport
,	,	,
a	a	a
measure	measur	measure
the	the	the
Senate	senat	Senate
has	has	ha
approved	approv	approved
on	on	on
multiple	multipl	multiple
occasions	occas	occasion
over	over	over
the	the	the
years	year	year
.	.	.
The	the	The
lower	lower	lower
house	hous	house
of	of	of
the	the	the
New	new	New
York	york	York
State	state	State
Assembly	assembl	Assembly
is	is	is
expected	expect	expected
to	to	to
vote	vote	vote
on	on	on
Tuesday	tuesday	Tuesday
afternoon	afternoon	afternoon
on	on	on
the	the	the
legislation	legisl	legislation
,	,	,
long	long	long
stymied	stymi	stymied
by	by	by
the	the	the
refusal	refus	refusal
of	of	of
Assembly	assembl	Assembly
leaders	leader	leader
to	to	to
allow	allow	allow
the	the	the
measure	measur	measure
to	to	to
come	come	come
to	to	to
the	the	the
floor	floor	floor
despite	despit	despite
broad	broad	broad
support	support	support
from	from	from
lawmakers	lawmak	lawmaker
.	.	.
Its	it	Its
passage	passag	passage
will	will	will
clear	clear	clear
the	the	the
way	way	way
for	for	for
Governor	governor	Governor
Andrew	andrew	Andrew
Cuomo	cuomo	Cuomo
to	to	to
enact	enact	enact
the	the	the
bill	bill	bill
into	into	into
law	law	law
.	.	.
Cuomo	cuomo	Cuomo
,	,	,
a	a	a
Democrat	democrat	Democrat
who	who	who
needs	need	need
revenue	revenu	revenue
generated	generat	generated
by	by	by
the	the	the
sport	sport	sport
for	for	for
his	his	his
proposed	propos	proposed
budget	budget	budget
,	,	,
has	has	ha
already	alreadi	already
said	said	said
he	he	he
would	would	would
sign	sign	sign
the	the	the
measure	measur	measure
.	.	.
New	new	New
York	york	York
is	is	is
the	the	the
only	onli	only
state	state	state
prohibiting	prohibit	prohibiting
MMA	mma	MMA
,	,	,
a	a	a
controversial	controversi	controversial
sport	sport	sport
that	that	that
features	featur	feature
kicking	kick	kicking
,	,	,
punching	punch	punching
,	,	,
wrestling	wrestl	wrestling
and	and	and
other	other	other
maneuvers	maneuv	maneuver
that	that	that
can	can	can
leave	leav	leave
the	the	the
combatants	combat	combatant
with	with	with
bloodied	bloodi	bloodied
and	and	and
sometimes	sometim	sometimes
unconscious	unconsci	unconscious
.	.	.
The	the	The
move	move	move
to	to	to
bring	bring	bring
the	the	the
bill	bill	bill
up	up	up
for	for	for
a	a	a
vote	vote	vote
in	in	in
the	the	the
Assembly	assembl	Assembly
comes	come	come
a	a	a
year	year	year
after	after	after
Assembly	assembl	Assembly
Speaker	speaker	Speaker
Sheldon	sheldon	Sheldon
Silver	silver	Silver
resigned	resign	resigned
in	in	in
a	a	a
corruption	corrupt	corruption
scandal	scandal	scandal
.	.	.
He	he	He
was	was	wa
replaced	replac	replaced
by	by	by
a	a	a
former	former	former
co	co	co
-sponsor	-sponsor	-sponsor
of	of	of
the	the	the
bill	bill	bill
,	,	,
Assemblyman	assemblyman	Assemblyman
Carl	carl	Carl
E	e	E
.	.	.
Heastie	heasti	Heastie
,	,	,
a	a	a
Bronx	bronx	Bronx
Democrat	democrat	Democrat
.	.	.
Michael	michael	Michael
Whyland	whyland	Whyland
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Heastie	heasti	Heastie
,	,	,
said	said	said
in	in	in
an	an	an
email	email	email
that	that	that
the	the	the
floor	floor	floor
vote	vote	vote
is	is	is
expected	expect	expected
to	to	to
take	take	take
place	place	place
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
MMA	mma	MMA
fights	fight	fight
are	are	are
expected	expect	expected
to	to	to
generate	generat	generate
135	135	135
million	million	million
a	a	a
year	year	year
for	for	for
the	the	the
state	state	state
s	s	s
coffers	coffer	coffer
,	,	,
according	accord	according
to	to	to
a	a	a
2013	2013	2013
study	studi	study
by	by	by
the	the	the
sport	sport	sport
s	s	s
promoters	promot	promoter
,	,	,
Ultimate	ultim	Ultimate
Fighting	fight	Fighting
Championship	championship	Championship
.	.	.
Arenas	arena	Arenas
throughout	throughout	throughout
New	new	New
York	york	York
would	would	would
benefit	benefit	benefit
and	and	and
Madison	madison	Madison
Square	squar	Square
Garden	garden	Garden
in	in	in
New	new	New
York	york	York
City	citi	City
is	is	is
particularly	particular	particularly
well	well	well
-suited	-suit	-suited
to	to	to
stage	stage	stage
the	the	the
competitions	competit	competition
,	,	,
the	the	the
bill	bill	bill
s	s	s
sponsors	sponsor	sponsor
say	say	say
.	.	.
Cuomo	cuomo	Cuomo
has	has	ha
already	alreadi	already
penciled	pencil	penciled
in	in	in
3	3	3
million	million	million
in	in	in
revenue	revenu	revenue
from	from	from
ticket	ticket	ticket
sales	sale	sale
and	and	and
cable	cabl	cable
fees	fee	fee
in	in	in
his	his	his
proposed	propos	proposed
budget	budget	budget
for	for	for
the	the	the
next	next	next
fiscal	fiscal	fiscal
year	year	year
.	.	.
The	the	The
New	new	New
York	york	York
State	state	State
Athletic	athlet	Athletic
Commission	commiss	Commission
would	would	would
have	have	have
to	to	to
set	set	set
regulations	regul	regulation
after	after	after
the	the	the
governor	governor	governor
signs	sign	sign
the	the	the
bill	bill	bill
.	.	.
Fans	fan	Fans
would	would	would
have	have	have
to	to	to
wait	wait	wait
until	until	until
at	at	at
least	least	least
the	the	the
fourth	fourth	fourth
quarter	quarter	quarter
of	of	of
2016	2016	2016
before	befor	before
seeing	see	seeing
any	ani	any
bouts	bout	bout
in	in	in
the	the	the
state	state	state
,	,	,
according	accord	according
to	to	to
supporters	support	supporter
.	.	.
The	the	The
legislation	legisl	legislation
would	would	would
effectively	effect	effectively
spell	spell	spell
an	an	an
end	end	end
to	to	to
pending	pend	pending
lawsuits	lawsuit	lawsuit
against	against	against
the	the	the
state	state	state
for	for	for
banning	ban	banning
mixed	mix	mixed
martial	martial	martial
arts	art	art
,	,	,
its	it	it
backers	backer	backer
say	say	say
.	.	.
UFC	ufc	UFC
is	is	is
owned	own	owned
by	by	by
brothers	brother	brother
Lorenzo	lorenzo	Lorenzo
and	and	and
Frank	frank	Frank
Fertita	fertita	Fertita
of	of	of
Station	station	Station
Casinos	casino	Casinos
,	,	,
a	a	a
Las	las	Las
Vegas	vega	Vegas
-based	-base	-based
hotel	hotel	hotel
-casino	-casino	-casino
chain	chain	chain
,	,	,
through	through	through
parent	parent	parent
company	compani	company
Zuffa	zuffa	Zuffa
LLC	llc	LLC
.	.	.
