NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
,	,	,
the	the	the
former	former	former
chairman	chairman	chairman
and	and	and
chief	chief	chief
executive	execut	executive
of	of	of
Exxon	exxon	Exxon
Mobil	mobil	Mobil
Corp	corp	Corp
,	,	,
used	use	used
an	an	an
alias	alia	alias
email	email	email
address	address	address
while	while	while
at	at	at
the	the	the
oil	oil	oil
company	compani	company
to	to	to
send	send	send
and	and	and
receive	receiv	receive
information	inform	information
related	relat	related
to	to	to
climate	climat	climate
change	chang	change
and	and	and
other	other	other
matters	matter	matter
,	,	,
according	accord	according
to	to	to
New	new	New
York	york	York
Attorney	attorney	Attorney
General	general	General
Eric	eric	Eric
Schneiderman	schneiderman	Schneiderman
.	.	.
The	the	The
attorney	attorney	attorney
general	general	general
s	s	s
office	offic	office
said	said	said
in	in	in
a	a	a
letter	letter	letter
on	on	on
Monday	monday	Monday
that	that	that
it	it	it
found	found	found
Tillerson	tillerson	Tillerson
had	had	had
used	use	used
an	an	an
alias	alia	alias
email	email	email
address	address	address
under	under	under
the	the	the
pseudonym	pseudonym	pseudonym
Wayne	wayn	Wayne
Tracker	tracker	Tracker
from	from	from
at	at	at
least	least	least
2008	2008	2008
through	through	through
2015	2015	2015
.	.	.
Wayne	wayn	Wayne
is	is	is
Tillerson	tillerson	Tillerson
s	s	s
middle	middl	middle
name	name	name
.	.	.
The	the	The
letter	letter	letter
was	was	wa
sent	sent	sent
to	to	to
a	a	a
New	new	New
York	york	York
state	state	state
judge	judg	judge
overseeing	overse	overseeing
Schneiderman	schneiderman	Schneiderman
s	s	s
investigation	investig	investigation
into	into	into
whether	whether	whether
Exxon	exxon	Exxon
misled	misl	misled
shareholders	sharehold	shareholder
and	and	and
the	the	the
public	public	public
about	about	about
climate	climat	climate
change	chang	change
.	.	.
In	in	In
a	a	a
statement	statement	statement
on	on	on
Monday	monday	Monday
,	,	,
Exxon	exxon	Exxon
spokesman	spokesman	spokesman
Alan	alan	Alan
Jeffers	jeffer	Jeffers
said	said	said
,	,	,
The	the	The
email	email	email
address	address	address
,	,	,
Wayne	wayn	Wayne
.	.	.
Tracker	tracker	Tracker
@exxonmobil	@exxonmobil	@exxonmobil
.	.	.
com	com	com
,	,	,
is	is	is
part	part	part
of	of	of
the	the	the
company	compani	company
s	s	s
email	email	email
system	system	system
and	and	and
was	was	wa
put	put	put
in	in	in
place	place	place
for	for	for
secure	secur	secure
and	and	and
expedited	expedit	expedited
communications	communic	communication
between	between	between
select	select	select
senior	senior	senior
company	compani	company
officials	offici	official
and	and	and
the	the	the
former	former	former
chairman	chairman	chairman
for	for	for
a	a	a
broad	broad	broad
range	rang	range
of	of	of
business	busi	business
-related	-relat	-related
topics	topic	topic
.	.	.
Jeffers	jeffer	Jeffers
said	said	said
the	the	the
company	compani	company
had	had	had
provided	provid	provided
2	2	2
.	.	.
5	5	5
million	million	million
pages	page	page
of	of	of
documents	document	document
in	in	in
response	respons	response
to	to	to
a	a	a
subpoena	subpoena	subpoena
from	from	from
Schneiderman	schneiderman	Schneiderman
s	s	s
office	offic	office
and	and	and
would	would	would
respond	respond	respond
to	to	to
the	the	the
claims	claim	claim
in	in	in
the	the	the
letter	letter	letter
in	in	in
court	court	court
filings	file	filing
.	.	.
A	a	A
State	state	State
Department	depart	Department
spokeswoman	spokeswoman	spokeswoman
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
matter	matter	matter
.	.	.
The	the	The
letter	letter	letter
,	,	,
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
,	,	,
said	said	said
Exxon	exxon	Exxon
had	had	had
not	not	not
previously	previous	previously
disclosed	disclos	disclosed
the	the	the
alias	alia	alias
account	account	account
.	.	.
It	it	It
asked	ask	asked
the	the	the
judge	judg	judge
to	to	to
order	order	order
Exxon	exxon	Exxon
to	to	to
explain	explain	explain
whether	whether	whether
documents	document	document
from	from	from
the	the	the
Wayne	wayn	Wayne
Tracker	tracker	Tracker
email	email	email
and	and	and
34	34	34
additional	addit	additional
accounts	account	account
assigned	assign	assigned
to	to	to
other	other	other
Exxon	exxon	Exxon
executives	execut	executive
and	and	and
board	board	board
members	member	member
had	had	had
been	been	been
preserved	preserv	preserved
.	.	.
The	the	The
letter	letter	letter
said	said	said
that	that	that
Exxon	exxon	Exxon
had	had	had
produced	produc	produced
some	some	some
60	60	60
documents	document	document
bearing	bear	bearing
the	the	the
Wayne	wayn	Wayne
Tracker	tracker	Tracker
email	email	email
but	but	but
never	never	never
said	said	said
it	it	it
was	was	wa
used	use	used
by	by	by
Tillerson	tillerson	Tillerson
for	for	for
relevant	relev	relevant
communications	communic	communication
at	at	at
Exxon	exxon	Exxon
.	.	.
It	it	It
asked	ask	asked
the	the	the
court	court	court
to	to	to
order	order	order
Exxon	exxon	Exxon
to	to	to
identify	identifi	identify
whether	whether	whether
any	ani	any
other	other	other
email	email	email
accounts	account	account
were	were	were
used	use	used
by	by	by
Tillerson	tillerson	Tillerson
.	.	.
Exxon	exxon	Exxon
s	s	s
top	top	top
executives	execut	executive
,	,	,
and	and	and
in	in	in
particular	particular	particular
,	,	,
Mr	mr	Mr
.	.	.
Tillerson	tillerson	Tillerson
,	,	,
have	have	have
made	made	made
multiple	multipl	multiple
representations	represent	representation
that	that	that
are	are	are
at	at	at
the	the	the
center	center	center
of	of	of
OAG	oag	OAG
s	s	s
attorney	attorney	attorney
general	general	general
s	s	s
office	offic	office
investigation	investig	investigation
of	of	of
potentially	potenti	potentially
false	fals	false
or	or	or
misleading	mislead	misleading
statements	statement	statement
to	to	to
investors	investor	investor
and	and	and
the	the	the
public	public	public
,	,	,
the	the	the
letter	letter	letter
said	said	said
.	.	.
The	the	The
case	case	case
is	is	is
People	peopl	People
of	of	of
the	the	the
State	state	State
of	of	of
New	new	New
York	york	York
v	v	v
PricewaterhouseCoopers	pricewaterhousecoop	PricewaterhouseCoopers
and	and	and
Exxon	exxon	Exxon
Mobil	mobil	Mobil
Corporation	corpor	Corporation
,	,	,
New	new	New
York	york	York
State	state	State
Supreme	suprem	Supreme
Court	court	Court
,	,	,
New	new	New
York	york	York
County	counti	County
,	,	,
No	no	No
.	.	.
451962	451962	451962
2016	2016	2016
.	.	.
