TUNIS	tuni	TUNIS
Reuters	reuter	Reuters
-	-	-
Tunisia	tunisia	Tunisia
s	s	s
two	two	two
main	main	main
parties	parti	party
on	on	on
Thursday	thursday	Thursday
gave	gave	gave
parliamentary	parliamentari	parliamentary
backing	back	backing
to	to	to
Prime	prime	Prime
Minister	minist	Minister
Youssef	youssef	Youssef
Chahed	chahe	Chahed
s	s	s
new	new	new
cabinet	cabinet	cabinet
,	,	,
handing	hand	handing
him	him	him
the	the	the
initiative	initi	initiative
to	to	to
push	push	push
sensitive	sensit	sensitive
economic	econom	economic
reforms	reform	reform
demanded	demand	demanded
by	by	by
the	the	the
International	intern	International
Monetary	monetari	Monetary
Fund	fund	Fund
.	.	.
Chahed	chahe	Chahed
s	s	s
cabinet	cabinet	cabinet
needs	need	need
strong	strong	strong
support	support	support
to	to	to
reform	reform	reform
public	public	public
sector	sector	sector
wages	wage	wage
and	and	and
overhaul	overhaul	overhaul
the	the	the
pension	pension	pension
system	system	system
to	to	to
improve	improv	improve
national	nation	national
finances	financ	finance
.	.	.
Infighting	infight	Infighting
and	and	and
social	social	social
protests	protest	protest
have	have	have
kept	kept	kept
past	past	past
governments	govern	government
from	from	from
pushing	push	pushing
through	through	through
tougher	tougher	tougher
austerity	auster	austerity
reforms	reform	reform
.	.	.
Chahed	chahe	Chahed
on	on	on
Wednesday	wednesday	Wednesday
named	name	named
13	13	13
new	new	new
ministers	minist	minister
including	includ	including
heads	head	head
of	of	of
the	the	the
interior	interior	interior
,	,	,
defense	defens	defense
and	and	and
finance	financ	finance
ministries	ministri	ministry
.	.	.
He	he	He
appointed	appoint	appointed
Taoufik	taoufik	Taoufik
Rajhi	rajhi	Rajhi
,	,	,
one	one	one
of	of	of
his	his	his
advisors	advisor	advisor
from	from	from
the	the	the
Islamist	islamist	Islamist
Ennahda	ennahda	Ennahda
party	parti	party
,	,	,
to	to	to
a	a	a
new	new	new
economic	econom	economic
reforms	reform	reform
ministry	ministri	ministry
in	in	in
a	a	a
deal	deal	deal
that	that	that
ends	end	end
weeks	week	week
of	of	of
party	parti	party
infighting	infight	infighting
over	over	over
posts	post	post
.	.	.
Rached	rach	Rached
Ghannouchi	ghannouchi	Ghannouchi
,	,	,
the	the	the
head	head	head
of	of	of
Ennahda	ennahda	Ennahda
party	parti	party
,	,	,
called	call	called
his	his	his
69	69	69
lawmakers	lawmak	lawmaker
in	in	in
parliament	parliament	parliament
to	to	to
give	give	give
a	a	a
vote	vote	vote
of	of	of
confidence	confid	confidence
to	to	to
the	the	the
coalition	coalit	coalition
government	govern	government
which	which	which
includes	includ	includes
ruling	rule	ruling
Nidaa	nidaa	Nidaa
Tounes	toun	Tounes
,	,	,
Machroua	machroua	Machroua
Tounes	toun	Tounes
,	,	,
the	the	the
Republican	republican	Republican
and	and	and
Massar	massar	Massar
parties	parti	party
.	.	.
The	the	The
new	new	new
cabinet	cabinet	cabinet
also	also	also
includes	includ	includes
independents	independ	independent
and	and	and
former	former	former
ministers	minist	minister
who	who	who
worked	work	worked
with	with	with
ex	ex	ex
-President	-presid	-President
Zine	zine	Zine
El	el	El
Abidine	abidin	Abidine
Ben	ben	Ben
Ali	ali	Ali
,	,	,
ousted	oust	ousted
by	by	by
a	a	a
popular	popular	popular
uprising	upris	uprising
in	in	in
2011	2011	2011
.	.	.
Ennahda	ennahda	Ennahda
won	won	won
four	four	four
important	import	important
ministries	ministri	ministry
,	,	,
including	includ	including
the	the	the
new	new	new
ministry	ministri	ministry
of	of	of
economic	econom	economic
reforms	reform	reform
.	.	.
Nidaa	nidaa	Nidaa
Tounes	toun	Tounes
led	led	led
by	by	by
the	the	the
son	son	son
of	of	of
President	presid	President
Beji	beji	Beji
Caid	caid	Caid
Essesbi	essesbi	Essesbi
welcomed	welcom	welcomed
the	the	the
reshuffle	reshuffl	reshuffle
in	in	in
which	which	which
his	his	his
party	parti	party
secured	secur	secured
six	six	six
new	new	new
posts	post	post
and	and	and
other	other	other
junior	junior	junior
portfolios	portfolio	portfolio
.	.	.
This	this	This
reshuffle	reshuffl	reshuffle
maintained	maintain	maintained
political	polit	political
balances	balanc	balance
,	,	,
boosted	boost	boosted
the	the	the
political	polit	political
weight	weight	weight
of	of	of
our	our	our
party	parti	party
,	,	,
we	we	we
will	will	will
give	give	give
our	our	our
confidence	confid	confidence
to	to	to
the	the	the
new	new	new
team	team	team
,	,	,
Sofian	sofian	Sofian
Tobal	tobal	Tobal
an	an	an
official	offici	official
in	in	in
Nidaa	nidaa	Nidaa
Tounes	toun	Tounes
said	said	said
.	.	.
Backing	back	Backing
from	from	from
the	the	the
two	two	two
main	main	main
parties	parti	party
means	mean	mean
Chahed	chahe	Chahed
s	s	s
government	govern	government
can	can	can
expect	expect	expect
support	support	support
from	from	from
at	at	at
least	least	least
150	150	150
lawmakers	lawmak	lawmaker
in	in	in
the	the	the
217	217	217
-seat	-seat	-seat
parliament	parliament	parliament
.	.	.
Ennahda	ennahda	Ennahda
and	and	and
Nidaa	nidaa	Nidaa
Tounes	toun	Tounes
have	have	have
more	more	more
than	than	than
130	130	130
seats	seat	seat
between	between	between
them	them	them
plus	plus	plus
the	the	the
support	support	support
of	of	of
smaller	smaller	smaller
parties	parti	party
.	.	.
Chahed	chahe	Chahed
s	s	s
cabinet	cabinet	cabinet
needs	need	need
109	109	109
votes	vote	vote
to	to	to
win	win	win
a	a	a
confidence	confid	confidence
ballot	ballot	ballot
.	.	.
This	this	This
government	govern	government
would	would	would
be	be	be
like	like	like
a	a	a
war	war	war
cabinet	cabinet	cabinet
,	,	,
in	in	in
a	a	a
war	war	war
against	against	against
the	the	the
corruption	corrupt	corruption
,	,	,
against	against	against
rampant	rampant	rampant
unemployment	unemploy	unemployment
and	and	and
a	a	a
war	war	war
to	to	to
save	save	save
the	the	the
economy	economi	economy
,	,	,
Chahed	chahe	Chahed
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
He	he	He
has	has	ha
said	said	said
he	he	he
will	will	will
present	present	present
parliament	parliament	parliament
with	with	with
a	a	a
comprehensive	comprehens	comprehensive
plan	plan	plan
to	to	to
push	push	push
the	the	the
economy	economi	economy
forward	forward	forward
,	,	,
including	includ	including
accelerating	acceler	accelerating
the	the	the
coordination	coordin	coordination
of	of	of
public	public	public
-private	-privat	-private
partnerships	partnership	partnership
and	and	and
proposing	propos	proposing
more	more	more
incentives	incent	incentive
to	to	to
investors	investor	investor
.	.	.
We	we	We
will	will	will
confront	confront	confront
the	the	the
imbalance	imbal	imbalance
in	in	in
public	public	public
finances	financ	finance
,	,	,
adjust	adjust	adjust
the	the	the
trade	trade	trade
balance	balanc	balance
and	and	and
improve	improv	improve
the	the	the
situation	situat	situation
of	of	of
public	public	public
institutions	institut	institution
that	that	that
are	are	are
facing	face	facing
difficulties	difficulti	difficulty
,	,	,
as	as	a
well	well	well
progress	progress	progress
on	on	on
major	major	major
priority	prioriti	priority
reforms	reform	reform
,	,	,
he	he	he
said	said	said
.	.	.
Tunisia	tunisia	Tunisia
is	is	is
struggling	struggl	struggling
to	to	to
revive	reviv	revive
its	it	it
economy	economi	economy
and	and	and
create	creat	create
jobs	job	job
for	for	for
frustrated	frustrat	frustrated
youth	youth	youth
.	.	.
But	but	But
it	it	it
is	is	is
under	under	under
pressure	pressur	pressure
to	to	to
reduce	reduc	reduce
deficits	deficit	deficit
by	by	by
stopping	stop	stopping
public	public	public
sector	sector	sector
hiring	hire	hiring
,	,	,
laying	lay	laying
off	off	off
thousands	thousand	thousand
of	of	of
state	state	state
employees	employe	employee
and	and	and
selling	sell	selling
shares	share	share
in	in	in
some	some	some
troubled	troubl	troubled
public	public	public
institutions	institut	institution
.	.	.
Reforms	reform	Reforms
are	are	are
also	also	also
expected	expect	expected
to	to	to
include	includ	include
cuts	cut	cut
in	in	in
subsidies	subsidi	subsidy
for	for	for
energy	energi	energy
and	and	and
some	some	some
basic	basic	basic
materials	materi	material
,	,	,
which	which	which
would	would	would
be	be	be
highly	high	highly
sensitive	sensit	sensitive
and	and	and
rejected	reject	rejected
by	by	by
Tunisia	tunisia	Tunisia
strong	strong	strong
unions	union	union
who	who	who
have	have	have
in	in	in
the	the	the
past	past	past
played	play	played
the	the	the
role	role	role
of	of	of
political	polit	political
power	power	power
brokers	broker	broker
.	.	.
