SHANGHAI	shanghai	SHANGHAI
Reuters	reuter	Reuters
-	-	-
The	the	The
chairman	chairman	chairman
of	of	of
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
has	has	ha
called	call	called
for	for	for
an	an	an
investigation	investig	investigation
into	into	into
potentially	potenti	potentially
fraudulent	fraudul	fraudulent
statements	statement	statement
and	and	and
misrepresentations	misrepresent	misrepresentation
made	made	made
by	by	by
companies	compani	company
promoting	promot	promoting
investment	invest	investment
in	in	in
a	a	a
property	properti	property
development	develop	development
involving	involv	involving
the	the	the
family	famili	family
company	compani	company
of	of	of
White	white	White
House	hous	House
advisor	advisor	advisor
Jared	jare	Jared
Kushner	kushner	Kushner
.	.	.

Citing	cite	Citing
a	a	a
May	may	May
12	12	12
report	report	report
by	by	by
Reuters	reuter	Reuters
,	,	,
Chuck	chuck	Chuck
Grassley	grassley	Grassley
,	,	,
a	a	a
Republican	republican	Republican
senator	senat	senator
from	from	from
Iowa	iowa	Iowa
,	,	,
requested	request	requested
a	a	a
review	review	review
of	of	of
claims	claim	claim
made	made	made
by	by	by
Chinese	chines	Chinese
migration	migrat	migration
agency	agenc	agency
Qiaowai	qiaowai	Qiaowai
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Immigration	immigr	Immigration
Fund	fund	Fund
USIF	usif	USIF
in	in	in
the	the	the
marketing	market	marketing
of	of	of
the	the	the
One	one	One
Journal	journal	Journal
Square	squar	Square
project	project	project
in	in	in
Jersey	jersey	Jersey
City	citi	City
,	,	,
New	new	New
Jersey	jersey	Jersey
to	to	to
potential	potenti	potential
investors	investor	investor
in	in	in
China	china	China
.	.	.

Grassley	grassley	Grassley
flagged	flag	flagged
his	his	his
concerns	concern	concern
to	to	to
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
and	and	and
the	the	the
Securities	secur	Securities
and	and	and
Exchange	exchang	Exchange
Commission	commiss	Commission
in	in	in
a	a	a
May	may	May
24	24	24
letter	letter	letter
that	that	that
was	was	wa
later	later	later
posted	post	posted
on	on	on
his	his	his
website	websit	website
.	.	.

Jupiter	jupit	Jupiter
,	,	,
Florida	florida	Florida
-based	-base	-based
USIF	usif	USIF
contracted	contract	contracted
with	with	with
Beijing	beij	Beijing
-based	-base	-based
Qiaowai	qiaowai	Qiaowai
to	to	to
market	market	market
projects	project	project
including	includ	including
One	one	One
Journal	journal	Journal
Square	squar	Square
to	to	to
potential	potenti	potential
investors	investor	investor
through	through	through
the	the	the
controversial	controversi	controversial
EB	eb	EB
-5	-5	-5
scheme	scheme	scheme
.	.	.

The	the	The
program	program	program
offers	offer	offer
qualified	qualifi	qualified
foreign	foreign	foreign
investors	investor	investor
the	the	the
chance	chanc	chance
at	at	at
a	a	a
green	green	green
card	card	card
in	in	in
exchange	exchang	exchange
for	for	for
a	a	a
500	500	500
,	,	,
000	000	000
investment	invest	investment
in	in	in
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
business	busi	business
.	.	.

Kushner	kushner	Kushner
Companies	compani	Companies
is	is	is
also	also	also
working	work	working
with	with	with
KABR	kabr	KABR
Group	group	Group
,	,	,
a	a	a
private	privat	private
equity	equiti	equity
fund	fund	fund
,	,	,
on	on	on
the	the	the
One	one	One
Journal	journal	Journal
Square	squar	Square
project	project	project
,	,	,
according	accord	according
to	to	to
marketing	market	marketing
materials	materi	material
on	on	on
Qiaowai	qiaowai	Qiaowai
s	s	s
website	websit	website
.	.	.

The	the	The
developers	develop	developer
are	are	are
seeking	seek	seeking
to	to	to
raise	rais	raise
150	150	150
million	million	million
,	,	,
or	or	or
15	15	15
.	.	.
4	4	4
percent	percent	percent
of	of	of
the	the	the
funding	fund	funding
,	,	,
from	from	from
EB	eb	EB
-5	-5	-5
investors	investor	investor
.	.	.

Because	becaus	Because
the	the	the
SEC	sec	SEC
considers	consid	considers
some	some	some
EB	eb	EB
-5	-5	-5
investments	invest	investment
securities	secur	security
,	,	,
companies	compani	company
and	and	and
individuals	individu	individual
that	that	that
market	market	market
these	these	these
investments	invest	investment
must	must	must
comply	compli	comply
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
securities	secur	security
laws	law	law
.	.	.

EB	eb	EB
-5	-5	-5
schemes	scheme	scheme
must	must	must
also	also	also
comply	compli	comply
with	with	with
immigration	immigr	immigration
rules	rule	rule
.	.	.

Under	under	Under
United	unit	United
States	state	States
Citizenship	citizenship	Citizenship
and	and	and
Immigration	immigr	Immigration
Services	servic	Services
USCIS	usci	USCIS
guidelines	guidelin	guideline
,	,	,
EB	eb	EB
-5	-5	-5
investors	investor	investor
must	must	must
put	put	put
their	their	their
capital	capit	capital
at	at	at
risk	risk	risk
and	and	and
the	the	the
green	green	green
card	card	card
is	is	is
not	not	not
guaranteed	guarante	guaranteed
.	.	.

USCIS	usci	USCIS
is	is	is
part	part	part
of	of	of
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
.	.	.

In	in	In
an	an	an
emailed	email	emailed
response	respons	response
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
on	on	on
Grassley	grassley	Grassley
s	s	s
letter	letter	letter
,	,	,
Stu	stu	Stu
Loeser	loeser	Loeser
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
USIF	usif	USIF
,	,	,
said	said	said
Qiaowai	qiaowai	Qiaowai
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Immigration	immigr	Immigration
Fund	fund	Fund
are	are	are
fully	fulli	fully
in	in	in
compliance	complianc	compliance
with	with	with
all	all	all
laws	law	law
relating	relat	relating
to	to	to
the	the	the
sale	sale	sale
of	of	of
securities	secur	security
to	to	to
immigrant	immigr	immigrant
investors	investor	investor
.	.	.

These	these	These
allegations	alleg	allegation
are	are	are
gross	gross	gross
distortions	distort	distortion
and	and	and
unsupported	unsupport	unsupported
by	by	by
the	the	the
facts	fact	fact
.	.	.
Reuters	reuter	Reuters
previously	previous	previously
revealed	reveal	revealed
that	that	that
Qiaowai	qiaowai	Qiaowai
s	s	s
promotional	promot	promotional
materials	materi	material
online	onlin	online
and	and	and
on	on	on
social	social	social
media	media	medium
,	,	,
including	includ	including
for	for	for
the	the	the
One	one	One
Journal	journal	Journal
Square	squar	Square
project	project	project
,	,	,
sometimes	sometim	sometimes
referred	refer	referred
to	to	to
a	a	a
green	green	green
card	card	card
guarantee	guarante	guarantee
or	or	or
safeguard	safeguard	safeguard
and	and	and
the	the	the
safety	safeti	safety
of	of	of
capital	capit	capital
invested	invest	invested
in	in	in
EB	eb	EB
-5	-5	-5
projects	project	project
.	.	.

After	after	After
Reuters	reuter	Reuters
contacted	contact	contacted
Qiaowai	qiaowai	Qiaowai
for	for	for
comment	comment	comment
,	,	,
these	these	these
phrases	phrase	phrase
were	were	were
deleted	delet	deleted
.	.	.

Qiaowai	qiaowai	Qiaowai
has	has	ha
also	also	also
dropped	drop	dropped
the	the	the
phrase	phrase	phrase
government	govern	government
-supported	-support	-supported
from	from	from
its	it	it
online	onlin	online
promotion	promot	promotion
of	of	of
the	the	the
One	one	One
Journal	journal	Journal
Square	squar	Square
project	project	project
.	.	.

It	it	It
is	is	is
a	a	a
fundamental	fundament	fundamental
rule	rule	rule
of	of	of
the	the	the
EB	eb	EB
-5	-5	-5
program	program	program
that	that	that
an	an	an
applicant	applic	applicant
s	s	s
investment	invest	investment
must	must	must
remain	remain	remain
at	at	at
risk	risk	risk
up	up	up
to	to	to
the	the	the
end	end	end
of	of	of
the	the	the
alien	alien	alien
s	s	s
conditional	condit	conditional
permanent	perman	permanent
resident	resid	resident
status	status	status
,	,	,
and	and	and
a	a	a
guaranteed	guarante	guaranteed
investment	invest	investment
fails	fail	fails
this	this	this
basic	basic	basic
EB	eb	EB
-5	-5	-5
test	test	test
;	;	;
if	if	if
Qiaowai	qiaowai	Qiaowai
is	is	is
in	in	in
fact	fact	fact
guaranteeing	guarante	guaranteeing
the	the	the
safety	safeti	safety
of	of	of
the	the	the
investment	invest	investment
principal	princip	principal
,	,	,
all	all	all
related	relat	related
EB	eb	EB
-5	-5	-5
petitions	petit	petition
should	should	should
be	be	be
rejected	reject	rejected
by	by	by
USCIS	usci	USCIS
,	,	,
wrote	wrote	wrote
Grassley	grassley	Grassley
,	,	,
who	who	who
has	has	ha
long	long	long
advocated	advoc	advocated
for	for	for
reform	reform	reform
of	of	of
the	the	the
EB	eb	EB
-5	-5	-5
program	program	program
.	.	.

Qiaowai	qiaowai	Qiaowai
s	s	s
assurances	assur	assurance
to	to	to
investors	investor	investor
that	that	that
their	their	their
green	green	green
cards	card	card
were	were	were
guaranteed	guarante	guaranteed
and	and	and
their	their	their
funds	fund	fund
were	were	were
safe	safe	safe
appeared	appear	appeared
to	to	to
violate	violat	violate
U	u	U
.	.	.
S	s	S
.	.	.
securities	secur	security
laws	law	law
,	,	,
Grassley	grassley	Grassley
s	s	s
letter	letter	letter
said	said	said
.	.	.

It	it	It
also	also	also
cited	cite	cited
a	a	a
report	report	report
on	on	on
the	the	the
project	project	project
s	s	s
promotion	promot	promotion
by	by	by
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.

Kushner	kushner	Kushner
Companies	compani	Companies
and	and	and
the	the	the
SEC	sec	SEC
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

Qiaowai	qiaowai	Qiaowai
,	,	,
KABR	kabr	KABR
Group	group	Group
and	and	and
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
over	over	over
the	the	the
weekend	weekend	weekend
.	.	.

Chinese	chines	Chinese
investors	investor	investor
account	account	account
for	for	for
around	around	around
80	80	80
percent	percent	percent
of	of	of
the	the	the
nearly	near	nearly
10	10	10
,	,	,
000	000	000
EB	eb	EB
-5	-5	-5
visas	visa	visa
issued	issu	issued
annually	annual	annually
.	.	.

Criticism	critic	Criticism
of	of	of
the	the	the
program	program	program
has	has	ha
centered	center	centered
on	on	on
instances	instanc	instance
of	of	of
fraud	fraud	fraud
and	and	and
the	the	the
fact	fact	fact
that	that	that
most	most	most
of	of	of
the	the	the
funds	fund	fund
in	in	in
a	a	a
program	program	program
originally	origin	originally
intended	intend	intended
to	to	to
help	help	help
impoverished	impoverish	impoverished
areas	area	area
have	have	have
instead	instead	instead
gone	gone	gone
to	to	to
wealthy	wealthi	wealthy
urban	urban	urban
districts	district	district
.	.	.

Despite	despit	Despite
these	these	these
concerns	concern	concern
,	,	,
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
Congress	congress	Congress
extended	extend	extended
the	the	the
EB	eb	EB
-5	-5	-5
program	program	program
until	until	until
September	septemb	September
30	30	30
.	.	.

The	the	The
Chinese	chines	Chinese
road	road	road
show	show	show
for	for	for
One	one	One
Journal	journal	Journal
Square	squar	Square
earlier	earlier	earlier
this	this	this
month	month	month
also	also	also
attracted	attract	attracted
criticism	critic	criticism
.	.	.

Kushner	kushner	Kushner
Companies	compani	Companies
apologized	apolog	apologized
for	for	for
Nicole	nicol	Nicole
Kushner	kushner	Kushner
Meyer	meyer	Meyer
s	s	s
reference	refer	reference
to	to	to
her	her	her
brother	brother	brother
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
son	son	son
-in-law	-in-law	-in-law
Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
during	dure	during
the	the	the
road	road	road
show	show	show
.	.	.

The	the	The
company	compani	company
stressed	stress	stressed
that	that	that
he	he	he
was	was	wa
only	onli	only
mentioned	mention	mentioned
in	in	in
order	order	order
to	to	to
make	make	make
clear	clear	clear
that	that	that
he	he	he
was	was	wa
not	not	not
involved	involv	involved
with	with	with
the	the	the
project	project	project
.	.	.

Kushner	kushner	Kushner
Companies	compani	Companies
representatives	repres	representative
skipped	skip	skipped
some	some	some
later	later	later
road	road	road
show	show	show
events	event	event
.	.	.

Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
whose	whose	whose
White	white	White
House	hous	House
portfolio	portfolio	portfolio
includes	includ	includes
relations	relat	relation
with	with	with
China	china	China
,	,	,
sold	sold	sold
his	his	his
stake	stake	stake
in	in	in
Kushner	kushner	Kushner
Companies	compani	Companies
to	to	to
a	a	a
family	famili	family
trust	trust	trust
early	earli	early
this	this	this
year	year	year
.	.	.

