SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
The	the	The
Vietnamese	vietnames	Vietnamese
government	govern	government
restricted	restrict	restricted
access	access	access
to	to	to
Facebook	facebook	Facebook
Inc	inc	Inc
inside	insid	inside
Vietnam	vietnam	Vietnam
for	for	for
several	sever	several
days	day	day
this	this	this
week	week	week
as	as	a
part	part	part
of	of	of
a	a	a
broader	broader	broader
crackdown	crackdown	crackdown
on	on	on
human	human	human
rights	right	right
and	and	and
political	polit	political
dissidents	dissid	dissident
during	dure	during
a	a	a
visit	visit	visit
by	by	by
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
two	two	two
activist	activist	activist
organizations	organ	organization
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.

Officials	offici	Officials
of	of	of
Access	access	Access
Now	now	Now
,	,	,
a	a	a
digital	digit	digital
rights	right	right
organization	organ	organization
,	,	,
and	and	and
Viet	viet	Viet
Tan	tan	Tan
,	,	,
a	a	a
Vietnamese	vietnames	Vietnamese
pro	pro	pro
-democracy	-democraci	-democracy
group	group	group
,	,	,
said	said	said
the	the	the
social	social	social
media	media	medium
site	site	site
was	was	wa
restricted	restrict	restricted
and	and	and
at	at	at
times	time	time
blocked	block	blocked
inside	insid	inside
Vietnam	vietnam	Vietnam
from	from	from
Sunday	sunday	Sunday
to	to	to
Wednesday	wednesday	Wednesday
,	,	,
citing	cite	citing
reports	report	report
from	from	from
people	peopl	people
inside	insid	inside
the	the	the
country	countri	country
on	on	on
Twitter	twitter	Twitter
and	and	and
to	to	to
Access	access	Access
Now	now	Now
s	s	s
digital	digit	digital
security	secur	security
help	help	help
service	servic	service
.	.	.

The	the	The
move	move	move
coincides	coincid	coincides
with	with	with
a	a	a
trend	trend	trend
toward	toward	toward
restrictions	restrict	restriction
on	on	on
Facebook	facebook	Facebook
in	in	in
countries	countri	country
including	includ	including
China	china	China
,	,	,
Uganda	uganda	Uganda
and	and	and
Turkey	turkey	Turkey
during	dure	during
politically	polit	politically
sensitive	sensit	sensitive
times	time	time
as	as	a
the	the	the
1	1	1
.	.	.
6	6	6
billion	billion	billion
-person	-person	-person
social	social	social
network	network	network
grows	grow	grows
more	more	more
powerful	power	powerful
.	.	.

Obama	obama	Obama
s	s	s
three	three	three
-day	-day	-day
visit	visit	visit
to	to	to
Vietnam	vietnam	Vietnam
ended	end	ended
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Obama	obama	Obama
largely	larg	largely
focused	focus	focused
on	on	on
normalizing	normal	normalizing
relations	relat	relation
with	with	with
Vietnam	vietnam	Vietnam
.	.	.

But	but	But
he	he	he
also	also	also
promoted	promot	promoted
human	human	human
rights	right	right
and	and	and
chided	chide	chided
Vietnam	vietnam	Vietnam
about	about	about
restrictions	restrict	restriction
on	on	on
political	polit	political
freedoms	freedom	freedom
after	after	after
critics	critic	critic
of	of	of
its	it	it
communist	communist	communist
-run	-run	-run
government	govern	government
were	were	were
prevented	prevent	prevented
from	from	from
meeting	meet	meeting
him	him	him
.	.	.

The	the	The
Facebook	facebook	Facebook
shutdown	shutdown	shutdown
was	was	wa
part	part	part
of	of	of
a	a	a
stepped	step	stepped
-up	-up	-up
campaign	campaign	campaign
by	by	by
the	the	the
Vietnamese	vietnames	Vietnamese
government	govern	government
to	to	to
limit	limit	limit
use	use	use
of	of	of
the	the	the
social	social	social
network	network	network
for	for	for
political	polit	political
protests	protest	protest
,	,	,
