Reuters	reuter	Reuters
-	-	-
Voters	voter	Voters
in	in	in
Maine	main	Maine
on	on	on
Tuesday	tuesday	Tuesday
approved	approv	approved
a	a	a
ballot	ballot	ballot
initiative	initi	initiative
to	to	to
expand	expand	expand
the	the	the
state	state	state
s	s	s
Medicaid	medicaid	Medicaid
program	program	program
under	under	under
Obamacare	obamacar	Obamacare
,	,	,
sending	send	sending
a	a	a
clear	clear	clear
signal	signal	signal
of	of	of
support	support	support
for	for	for
the	the	the
federal	feder	federal
healthcare	healthcar	healthcare
law	law	law
to	to	to
lawmakers	lawmak	lawmaker
in	in	in
the	the	the
state	state	state
and	and	and
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
The	the	The
approval	approv	approval
of	of	of
the	the	the
ballot	ballot	ballot
question	question	question
in	in	in
Maine	main	Maine
comes	come	come
after	after	after
Republicans	republican	Republicans
in	in	in
Washington	washington	Washington
failed	fail	failed
several	sever	several
times	time	time
over	over	over
the	the	the
last	last	last
few	few	few
months	month	month
to	to	to
pass	pass	pas
legislation	legisl	legislation
that	that	that
would	would	would
dismantle	dismantl	dismantle
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
signature	signatur	signature
healthcare	healthcar	healthcare
law	law	law
.	.	.
Maine	main	Maine
has	has	ha
recently	recent	recently
figured	figur	figured
prominently	promin	prominently
in	in	in
the	the	the
nation	nation	nation
s	s	s
debate	debat	debate
on	on	on
how	how	how
to	to	to
reform	reform	reform
healthcare	healthcar	healthcare
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Susan	susan	Susan
Collins	collin	Collins
,	,	,
a	a	a
moderate	moder	moderate
Republican	republican	Republican
from	from	from
Maine	main	Maine
,	,	,
helped	help	helped
block	block	block
her	her	her
party	parti	party
s	s	s
efforts	effort	effort
to	to	to
repeal	repeal	repeal
Obamacare	obamacar	Obamacare
this	this	this
year	year	year
,	,	,
which	which	which
angered	anger	angered
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Maine	main	Maine
,	,	,
which	which	which
becomes	becom	becomes
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
to	to	to
approve	approv	approve
Medicaid	medicaid	Medicaid
expansion	expans	expansion
by	by	by
ballot	ballot	ballot
initiative	initi	initiative
,	,	,
is	is	is
one	one	one
of	of	of
19	19	19
states	state	state
that	that	that
has	has	ha
not	not	not
expanded	expand	expanded
Medicaid	medicaid	Medicaid
under	under	under
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
.	.	.
About	about	About
60	60	60
percent	percent	percent
of	of	of
voters	voter	voter
in	in	in
Maine	main	Maine
approved	approv	approved
the	the	the
ballot	ballot	ballot
initiative	initi	initiative
,	,	,
according	accord	according
to	to	to
the	the	the
Bangor	bangor	Bangor
Daily	daili	Daily
News	news	News
newspaper	newspap	newspaper
.	.	.
Tuesday	tuesday	Tuesday
s	s	s
ballot	ballot	ballot
asked	ask	asked
Maine	main	Maine
voters	voter	voter
to	to	to
approve	approv	approve
or	or	or
reject	reject	reject
a	a	a
plan	plan	plan
to	to	to
provide	provid	provide
healthcare	healthcar	healthcare
coverage	coverag	coverage
under	under	under
Medicaid	medicaid	Medicaid
for	for	for
adults	adult	adult
under	under	under
the	the	the
age	age	age
of	of	of
65	65	65
with	with	with
