SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
N	n	N
.	.	.
political	polit	political
affairs	affair	affair
chief	chief	chief
Jeffrey	jeffrey	Jeffrey
Feltman	feltman	Feltman
,	,	,
who	who	who
visited	visit	visited
North	north	North
Korea	korea	Korea
this	this	this
week	week	week
,	,	,
expressed	express	expressed
willingness	willing	willingness
to	to	to
ease	eas	ease
tension	tension	tension
on	on	on
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
,	,	,
state	state	state
media	media	medium
said	said	said
on	on	on
Saturday	saturday	Saturday
,	,	,
amid	amid	amid
a	a	a
rising	rise	rising
war	war	war
of	of	of
words	word	word
over	over	over
the	the	the
North	north	North
s	s	s
missile	missil	missile
and	and	and
nuclear	nuclear	nuclear
programs	program	program
.	.	.

North	north	North
Korea	korea	Korea
also	also	also
said	said	said
in	in	in
a	a	a
statement	statement	statement
carried	carri	carried
by	by	by
its	it	it
official	offici	official
KCNA	kcna	KCNA
news	news	news
agency	agenc	agency
that	that	that
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
envoy	envoy	envoy
acknowledged	acknowledg	acknowledged
the	the	the
negative	negat	negative
impact	impact	impact
of	of	of
sanctions	sanction	sanction
on	on	on
humanitarian	humanitarian	humanitarian
aid	aid	aid
to	to	to
North	north	North
Korea	korea	Korea
.	.	.

Feltman	feltman	Feltman
,	,	,
the	the	the
highest	highest	highest
-level	-level	-level
U	u	U
.	.	.
N	n	N
.	.	.
official	offici	official
to	to	to
visit	visit	visit
North	north	North
Korea	korea	Korea
since	sinc	since
2012	2012	2012
,	,	,
was	was	wa
not	not	not
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
.	.	.

The	the	The
United	unit	United
Nations	nation	Nations
expressed	express	expressed
concerns	concern	concern
over	over	over
the	the	the
heightened	heighten	heightened
situation	situat	situation
on	on	on
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
and	and	and
expressed	express	expressed
willingness	willing	willingness
to	to	to
work	work	work
on	on	on
easing	eas	easing
tensions	tension	tension
on	on	on
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
in	in	in
accordance	accord	accordance
with	with	with
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Charter	charter	Charter
which	which	which
is	is	is
based	base	based
on	on	on
international	intern	international
peace	peac	peace
and	and	and
security	secur	security
,	,	,
KCNA	kcna	KCNA
said	said	said
.	.	.

North	north	North
Korea	korea	Korea
is	is	is
pursuing	pursu	pursuing
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
weapons	weapon	weapon
programmes	programm	programme
in	in	in
defiance	defianc	defiance
of	of	of
U	u	U
.	.	.
N	n	N
.	.	.
sanctions	sanction	sanction
and	and	and
international	intern	international
condemnation	condemn	condemnation
.	.	.

On	on	On
Nov	nov	Nov
.	.	.

29	29	29
,	,	,
it	it	it
test	test	test
-fired	-fire	-fired
an	an	an
intercontinental	intercontinent	intercontinental
ballistic	ballist	ballistic
missile	missil	missile
which	which	which
it	it	it
said	said	said
was	was	wa
its	it	it
most	most	most
advanced	advanc	advanced
yet	yet	yet
,	,	,
capable	capabl	capable
of	of	of
reaching	reach	reaching
the	the	the
mainland	mainland	mainland
United	unit	United
States	state	States
.	.	.

The	the	The
United	unit	United
States	state	States
and	and	and
South	south	South
Korea	korea	Korea
conducted	conduct	conducted
large	larg	large
-scale	-scale	-scale
military	militari	military
drills	drill	drill
this	this	this
week	week	week
,	,	,
which	which	which
the	the	the
North	north	North
said	said	said
have	have	have
made	made	made
the	the	the
outbreak	outbreak	outbreak
of	of	of
war	war	war
an	an	an
established	establish	established
fact	fact	fact
.	.	.

KCNA	kcna	KCNA
said	said	said
North	north	North
Korean	korean	Korean
officials	offici	official
and	and	and
Feltman	feltman	Feltman
agreed	agre	agreed
that	that	that
his	his	his
visit	visit	visit
helped	help	helped
deepen	deepen	deepen
understanding	understand	understanding
and	and	and
that	that	that
they	they	they
agreed	agre	agreed
to	to	to
communicate	communic	communicate
regularly	regular	regularly
.	.	.

Feltman	feltman	Feltman
visited	visit	visited
Pyongyang	pyongyang	Pyongyang
from	from	from
Tuesday	tuesday	Tuesday
to	to	to
Saturday	saturday	Saturday
,	,	,
KCNA	kcna	KCNA
said	said	said
.	.	.

Last	last	Last
month	month	month
s	s	s
missile	missil	missile
test	test	test
prompted	prompt	prompted
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
warning	warn	warning
that	that	that
North	north	North
Korea	korea	Korea
s	s	s
leadership	leadership	leadership
would	would	would
be	be	be
utterly	utter	utterly
destroyed	destroy	destroyed
if	if	if
war	war	war
were	were	were
to	to	to
break	break	break
out	out	out
.	.	.

The	the	The
Pentagon	pentagon	Pentagon
has	has	ha
mounted	mount	mounted
repeated	repeat	repeated
shows	show	show
of	of	of
force	forc	force
after	after	after
North	north	North
Korean	korean	Korean
tests	test	test
.	.	.

North	north	North
Korea	korea	Korea
regularly	regular	regularly
threatens	threaten	threatens
to	to	to
destroy	destroy	destroy
South	south	South
Korea	korea	Korea
and	and	and
the	the	the
United	unit	United
States	state	States
and	and	and
says	say	say
its	it	it
weapons	weapon	weapon
programmes	programm	programme
are	are	are
necessary	necessari	necessary
to	to	to
counter	counter	counter
U	u	U
.	.	.
S	s	S
.	.	.
aggression	aggress	aggression
.	.	.

The	the	The
United	unit	United
States	state	States
stations	station	station
28	28	28
,	,	,
500	500	500
troops	troop	troop
in	in	in
the	the	the
South	south	South
,	,	,
a	a	a
legacy	legaci	legacy
of	of	of
the	the	the
1950	1950	1950
-53	-53	-53
Korean	korean	Korean
War	war	War
.	.	.

