MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
Prime	prime	Prime
Minister	minist	Minister
Dmitry	dmitri	Dmitry
Medvedev	medvedev	Medvedev
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
a	a	a
decision	decis	decision
by	by	by
the	the	the
International	intern	International
Olympic	olymp	Olympic
Committee	committe	Committee
IOC	ioc	IOC
this	this	this
week	week	week
to	to	to
ban	ban	ban
the	the	the
Russian	russian	Russian
team	team	team
from	from	from
next	next	next
year	year	year
s	s	s
Winter	winter	Winter
Olympics	olymp	Olympics
had	had	had
been	been	been
deliberately	deliber	deliberately
taken	taken	taken
to	to	to
sour	sour	sour
the	the	the
pre	pre	pre
-election	-elect	-election
mood	mood	mood
.	.	.

Medvedev	medvedev	Medvedev
was	was	wa
referring	refer	referring
to	to	to
a	a	a
March	march	March
presidential	presidenti	presidential
election	elect	election
in	in	in
which	which	which
incumbent	incumb	incumbent
Vladimir	vladimir	Vladimir
Putin	putin	Putin
is	is	is
standing	stand	standing
for	for	for
re	re	re
-election	-elect	-election
.	.	.

This	this	This
is	is	is
politics	polit	politics
,	,	,
said	said	said
Medvedev	medvedev	Medvedev
,	,	,
in	in	in
comments	comment	comment
broadcast	broadcast	broadcast
on	on	on
state	state	state
television	televis	television
.	.	.

The	the	The
decision	decis	decision
was	was	wa
made	made	made
in	in	in
the	the	the
run	run	run
-up	-up	-up
to	to	to
the	the	the
presidential	presidenti	presidential
elections	elect	election
in	in	in
our	our	our
country	countri	country
,	,	,
aiming	aim	aiming
to	to	to
create	creat	create
a	a	a
certain	certain	certain
mood	mood	mood
in	in	in
our	our	our
society	societi	society
.	.	.

Abroad	abroad	Abroad
,	,	,
they	they	they
understand	understand	understand
very	veri	very
well	well	well
the	the	the
importance	import	importance
attached	attach	attached
in	in	in
our	our	our
country	countri	country
to	to	to
high	high	high
achievement	achiev	achievement
in	in	in
sports	sport	sport
.	.	.

For	for	For
millions	million	million
of	of	of
our	our	our
people	peopl	people
,	,	,
the	the	the
decision	decis	decision
was	was	wa
a	a	a
heavy	heavi	heavy
blow	blow	blow
.	.	.

Medvedev	medvedev	Medvedev
,	,	,
addressing	address	addressing
the	the	the
government	govern	government
,	,	,
said	said	said
that	that	that
allegations	alleg	allegation
that	that	that
Russia	russia	Russia
had	had	had
run	run	run
a	a	a
state	state	state
-sponsored	-sponsor	-sponsored
doping	dope	doping
program	program	program
were	were	were
an	an	an
outright	outright	outright
lie	lie	lie
.	.	.

Medvedev	medvedev	Medvedev
s	s	s
comments	comment	comment
came	came	came
a	a	a
month	month	month
after	after	after
Putin	putin	Putin
suggested	suggest	suggested
that	that	that
doping	dope	doping
bans	ban	ban
against	against	against
some	some	some
Russian	russian	Russian
athletes	athlet	athlete
who	who	who
competed	compet	competed
at	at	at
the	the	the
2014	2014	2014
Sochi	sochi	Sochi
Games	game	Games
were	were	were
an	an	an
attempt	attempt	attempt
to	to	to
sow	sow	sow
discontent	discont	discontent
ahead	ahead	ahead
of	of	of
next	next	next
year	year	year
s	s	s
presidential	presidenti	presidential
elections	elect	election
.	.	.

The	the	The
IOC	ioc	IOC
on	on	on
Tuesday	tuesday	Tuesday
banned	ban	banned
Russia	russia	Russia
from	from	from
the	the	the
2018	2018	2018
Pyeongchang	pyeongchang	Pyeongchang
Winter	winter	Winter
Olympics	olymp	Olympics
after	after	after
evidence	evid	evidence
emerged	emerg	emerged
of	of	of
unprecedented	unpreced	unprecedented
systematic	systemat	systematic
manipulation	manipul	manipulation
of	of	of
the	the	the
anti	anti	anti
-doping	-dope	-doping
system	system	system
but	but	but
left	left	left
the	the	the
door	door	door
open	open	open
for	for	for
some	some	some
Russians	russian	Russians
to	to	to
compete	compet	compete
as	as	a
neutrals	neutral	neutral
if	if	if
they	they	they
demonstrate	demonstr	demonstrate
they	they	they
have	have	have
a	a	a
doping	dope	doping
-free	-free	-free
background	background	background
.	.	.

Putin	putin	Putin
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
Russia	russia	Russia
would	would	would
not	not	not
prevent	prevent	prevent
its	it	it
athletes	athlet	athlete
from	from	from
competing	compet	competing
in	in	in
Pyeongchang	pyeongchang	Pyeongchang
as	as	a
neutrals	neutral	neutral
,	,	,
damping	damp	damping
down	down	down
calls	call	call
from	from	from
some	some	some
Russians	russian	Russians
to	to	to
boycott	boycott	boycott
the	the	the
Games	game	Games
.	.	.

Russia	russia	Russia
is	is	is
expected	expect	expected
to	to	to
make	make	make
a	a	a
final	final	final
decision	decis	decision
on	on	on
its	it	it
stance	stanc	stance
regarding	regard	regarding
the	the	the
IOC	ioc	IOC
ban	ban	ban
at	at	at
a	a	a
meeting	meet	meeting
of	of	of
Russian	russian	Russian
Olympic	olymp	Olympic
authorities	author	authority
next	next	next
week	week	week
.	.	.

In	in	In
the	the	the
weeks	week	week
ahead	ahead	ahead
of	of	of
the	the	the
decision	decis	decision
,	,	,
the	the	the
IOC	ioc	IOC
banned	ban	banned
more	more	more
than	than	than
20	20	20
Russian	russian	Russian
athletes	athlet	athlete
for	for	for
life	life	life
from	from	from
the	the	the
Olympics	olymp	Olympics
as	as	a
a	a	a
result	result	result
of	of	of
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
alleged	alleg	alleged
tampering	tamper	tampering
of	of	of
Russian	russian	Russian
athletes	athlet	athlete
positive	posit	positive
tests	test	test
by	by	by
laboratory	laboratori	laboratory
and	and	and
security	secur	security
officials	offici	official
at	at	at
the	the	the
2014	2014	2014
Sochi	sochi	Sochi
Games	game	Games
.	.	.

Russian	russian	Russian
authorities	author	authority
have	have	have
never	never	never
acknowledged	acknowledg	acknowledged
the	the	the
state	state	state
s	s	s
alleged	alleg	alleged
role	role	role
in	in	in
the	the	the
scandal	scandal	scandal
but	but	but
have	have	have
pledged	pledg	pledged
to	to	to
work	work	work
with	with	with
international	intern	international
sports	sport	sport
bodies	bodi	body
to	to	to
help	help	help
curb	curb	curb
the	the	the
use	use	use
of	of	of
performance	perform	performance
-enhancing	-enhanc	-enhancing
drugs	drug	drug
in	in	in
the	the	the
country	countri	country
.	.	.

Russia	russia	Russia
s	s	s
athletics	athlet	athletics
federation	feder	federation
,	,	,
Paralympic	paralymp	Paralympic
Committee	committe	Committee
and	and	and
national	nation	national
anti	anti	anti
-doping	-dope	-doping
agency	agenc	agency
RUSADA	rusada	RUSADA
remain	remain	remain
suspended	suspend	suspended
over	over	over
doping	dope	doping
scandals	scandal	scandal
.	.	.

