BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Hundreds	hundr	Hundreds
of	of	of
civilians	civilian	civilian
left	left	left
a	a	a
besieged	besieg	besieged
Islamic	islam	Islamic
State	state	State
enclave	enclav	enclave
in	in	in
central	central	central
Syria	syria	Syria
after	after	after
the	the	the
Syrian	syrian	Syrian
government	govern	government
and	and	and
Islamic	islam	Islamic
State	state	State
reached	reach	reached
an	an	an
evacuation	evacu	evacuation
deal	deal	deal
,	,	,
the	the	the
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
but	but	but
a	a	a
Syrian	syrian	Syrian
military	militari	military
source	sourc	source
quoted	quot	quoted
on	on	on
state	state	state
media	media	medium
later	later	later
said	said	said
that	that	that
the	the	the
army	armi	army
and	and	and
its	it	it
allies	alli	ally
had	had	had
captured	captur	captured
several	sever	several
areas	area	area
in	in	in
the	the	the
enclave	enclav	enclave
.	.	.
An	an	An
insurgent	insurg	insurgent
source	sourc	source
in	in	in
northwestern	northwestern	northwestern
Syria	syria	Syria
said	said	said
the	the	the
civilians	civilian	civilian
-	-	-
mostly	most	mostly
shepherds	shepherd	shepherd
-	-	-
from	from	from
the	the	the
enclave	enclav	enclave
,	,	,
straddling	straddl	straddling
the	the	the
border	border	border
between	between	between
Hama	hama	Hama
and	and	and
Homs	hom	Homs
provinces	provinc	province
,	,	,
had	had	had
arrived	arriv	arrived
in	in	in
rebel	rebel	rebel
-held	-held	-held
Idlib	idlib	Idlib
province	provinc	province
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
-	-	-
supported	support	supported
by	by	by
Russian	russian	Russian
air	air	air
power	power	power
and	and	and
Iranian	iranian	Iranian
-backed	-back	-backed
militias	militia	militia
-	-	-
isolated	isol	isolated
the	the	the
pocket	pocket	pocket
,	,	,
Islamic	islam	Islamic
State	state	State
s	s	s
last	last	last
presence	presenc	presence
in	in	in
central	central	central
Syria	syria	Syria
,	,	,
in	in	in
August	august	August
during	dure	during
its	it	it
eastward	eastward	eastward
drive	drive	drive
against	against	against
the	the	the
jihadists	jihadist	jihadist
.	.	.
The	the	The
military	militari	military
source	sourc	source
said	said	said
the	the	the
army	armi	army
had	had	had
captured	captur	captured
the	the	the
areas	area	area
of	of	of
Mazin	mazin	Mazin
al	al	al
-Baqr	-baqr	-Baqr
,	,	,
al	al	al
-Mushirfa	-mushirfa	-Mushirfa
al	al	al
-Shomalia	-shomalia	-Shomalia
,	,	,
Rasm	rasm	Rasm
al	al	al
-Tawil	-tawil	-Tawil
and	and	and
Jawra	jawra	Jawra
al	al	al
-Nazal	-nazal	-Nazal
,	,	,
.	.	.
The	the	The
Observatory	observatori	Observatory
reported	report	reported
that	that	that
the	the	the
government	govern	government
and	and	and
Islamic	islam	Islamic
State	state	State
had	had	had
finalised	finalis	finalised
the	the	the
deal	deal	deal
on	on	on
Thursday	thursday	Thursday
,	,	,
allowing	allow	allowing
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
,	,	,
their	their	their
families	famili	family
and	and	and
civilians	civilian	civilian
to	to	to
leave	leav	leave
the	the	the
pocket	pocket	pocket
and	and	and
cross	cross	cross
government	govern	government
areas	area	area
into	into	into
areas	area	area
held	held	held
by	by	by
Islamist	islamist	Islamist
groups	group	group
.	.	.
Some	some	Some
crossed	cross	crossed
to	to	to
areas	area	area
held	held	held
by	by	by
Tahrir	tahrir	Tahrir
al	al	al
-Sham	-sham	-Sham
,	,	,
a	a	a
jihadist	jihadist	jihadist
alliance	allianc	alliance
that	that	that
includes	includ	includes
the	the	the
former	former	former
Nusra	nusra	Nusra
Front	front	Front
group	group	group
,	,	,
in	in	in
northern	northern	northern
Hama	hama	Hama
and	and	and
eastern	eastern	eastern
Idlib	idlib	Idlib
provinces	provinc	province
,	,	,
it	it	it
said	said	said
.	.	.
Others	other	Others
moved	move	moved
to	to	to
camps	camp	camp
set	set	set
up	up	up
west	west	west
of	of	of
the	the	the
enclave	enclav	enclave
in	in	in
government	govern	government
-held	-held	-held
areas	area	area
in	in	in
accordance	accord	accordance
with	with	with
tribal	tribal	tribal
deals	deal	deal
,	,	,
the	the	the
British	british	British
-based	-base	-based
monitor	monitor	monitor
said	said	said
.	.	.
Last	last	Last
week	week	week
,	,	,
jihadists	jihadist	jihadist
launched	launch	launched
an	an	an
offensive	offens	offensive
against	against	against
government	govern	government
-held	-held	-held
parts	part	part
of	of	of
northern	northern	northern
Hama	hama	Hama
province	provinc	province
,	,	,
advancing	advanc	advancing
south	south	south
from	from	from
rebel	rebel	rebel
-held	-held	-held
Idlib	idlib	Idlib
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
responded	respond	responded
with	with	with
strikes	strike	strike
on	on	on
rebel	rebel	rebel
-held	-held	-held
positions	posit	position
.	.	.
Russia	russia	Russia
,	,	,
Iran	iran	Iran
and	and	and
Turkey	turkey	Turkey
had	had	had
previously	previous	previously
struck	struck	struck
a	a	a
tripartite	tripartit	tripartite
deal	deal	deal
to	to	to
deploy	deploy	deploy
an	an	an
observer	observ	observer
force	forc	force
on	on	on
the	the	the
edge	edg	edge
of	of	of
a	a	a
designated	design	designated
de	de	de
-escalation	-escal	-escalation
zone	zone	zone
in	in	in
Idlib	idlib	Idlib
.	.	.
The	the	The
Islamist	islamist	Islamist
militants	milit	militant
who	who	who
hold	hold	hold
sway	sway	sway
in	in	in
Idlib	idlib	Idlib
rejected	reject	rejected
the	the	the
diplomatic	diplomat	diplomatic
effort	effort	effort
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
s	s	s
main	main	main
focus	focus	focus
has	has	ha
been	been	been
its	it	it
offensive	offens	offensive
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
the	the	the
east	east	east
of	of	of
the	the	the
country	countri	country
,	,	,
where	where	where
the	the	the
Islamist	islamist	Islamist
group	group	group
is	is	is
also	also	also
facing	face	facing
an	an	an
offensive	offens	offensive
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
.	.	.
