JERUSALEM	jerusalem	JERUSALEM
BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Israel	israel	Israel
s	s	s
military	militari	military
said	said	said
on	on	on
Friday	friday	Friday
it	it	it
was	was	wa
ready	readi	ready
to	to	to
protect	protect	protect
a	a	a
frontier	frontier	frontier
village	villag	village
in	in	in
Syria	syria	Syria
held	held	held
by	by	by
the	the	the
Syrian	syrian	Syrian
government	govern	government
,	,	,
where	where	where
Damascus	damascus	Damascus
said	said	said
jihadist	jihadist	jihadist
rebels	rebel	rebel
exploded	explod	exploded
a	a	a
car	car	car
killing	kill	killing
at	at	at
least	least	least
nine	nine	nine
people	peopl	people
.	.	.
The	the	The
statement	statement	statement
was	was	wa
an	an	an
unusually	unusu	unusually
explicit	explicit	explicit
Israeli	isra	Israeli
pledge	pledg	pledge
to	to	to
intervene	interven	intervene
in	in	in
the	the	the
war	war	war
in	in	in
Syria	syria	Syria
,	,	,
where	where	where
Israeli	isra	Israeli
officials	offici	official
are	are	are
voicing	voic	voicing
deeper	deeper	deeper
alarm	alarm	alarm
at	at	at
the	the	the
role	role	role
of	of	of
Iran	iran	Iran
and	and	and
its	it	it
Lebanese	lebanes	Lebanese
ally	alli	ally
Hezbollah	hezbollah	Hezbollah
,	,	,
which	which	which
are	are	are
fighting	fight	fighting
alongside	alongsid	alongside
the	the	the
Syrian	syrian	Syrian
government	govern	government
.	.	.
The	the	The
Israeli	isra	Israeli
air	air	air
force	forc	force
says	say	say
it	it	it
has	has	ha
struck	struck	struck
arms	arm	arm
convoys	convoy	convoy
of	of	of
the	the	the
Syrian	syrian	Syrian
military	militari	military
and	and	and
Hezbollah	hezbollah	Hezbollah
nearly	near	nearly
100	100	100
times	time	time
in	in	in
recent	recent	recent
years	year	year
.	.	.
Its	it	Its
most	most	most
recent	recent	recent
strike	strike	strike
was	was	wa
on	on	on
Wednesday	wednesday	Wednesday
according	accord	according
to	to	to
the	the	the
Syrian	syrian	Syrian
government	govern	government
.	.	.
Quneitra	quneitra	Quneitra
province	provinc	province
in	in	in
Syria	syria	Syria
,	,	,
where	where	where
Hader	hader	Hader
village	villag	village
is	is	is
located	locat	located
,	,	,
is	is	is
particularly	particular	particularly
sensitive	sensit	sensitive
for	for	for
Israel	israel	Israel
because	becaus	because
it	it	it
lies	lie	lie
next	next	next
to	to	to
the	the	the
Golan	golan	Golan
Heights	height	Heights
area	area	area
that	that	that
Israel	israel	Israel
captured	captur	captured
from	from	from
Syria	syria	Syria
in	in	in
1967	1967	1967
.	.	.
Syrian	syrian	Syrian
rebel	rebel	rebel
factions	faction	faction
launched	launch	launched
an	an	an
attack	attack	attack
on	on	on
Syrian	syrian	Syrian
government	govern	government
territory	territori	territory
in	in	in
Quneitra	quneitra	Quneitra
on	on	on
Friday	friday	Friday
,	,	,
with	with	with
the	the	the
aim	aim	aim
of	of	of
connecting	connect	connecting
two	two	two
insurgent	insurg	insurgent
-held	-held	-held
areas	area	area
.	.	.
The	the	The
attack	attack	attack
included	includ	included
the	the	the
car	car	car
bomb	bomb	bomb
in	in	in
Hader	hader	Hader
,	,	,
which	which	which
Syrian	syrian	Syrian
state	state	state
media	media	medium
attributed	attribut	attributed
to	to	to
the	the	the
jihadist	jihadist	jihadist
group	group	group
formerly	former	formerly
known	known	known
as	as	a
the	the	the
Nusra	nusra	Nusra
Front	front	Front
.	.	.
A	a	A
military	militari	military
media	media	medium
unit	unit	unit
run	run	run
by	by	by
Hezbollah	hezbollah	Hezbollah
said	said	said
the	the	the
insurgents	insurg	insurgent
attacked	attack	attacked
from	from	from
three	three	three
directions	direct	direction
and	and	and
made	made	made
no	no	no
gains	gain	gain
after	after	after
heavy	heavi	heavy
fighting	fight	fighting
during	dure	during
the	the	the
day	day	day
.	.	.
It	it	It
accused	accus	accused
Israel	israel	Israel
of	of	of
firing	fire	firing
a	a	a
surface	surfac	surface
-to-surface	-to-surfac	-to-surface
missile	missil	missile
at	at	at
a	a	a
Syrian	syrian	Syrian
army	armi	army
position	posit	position
in	in	in
the	the	the
area	area	area
.	.	.
Syrian	syrian	Syrian
state	state	state
media	media	medium
accused	accus	accused
Israel	israel	Israel
of	of	of
giving	give	giving
various	various	various
kinds	kind	kind
of	of	of
support	support	support
to	to	to
the	the	the
Nusra	nusra	Nusra
Front	front	Front
.	.	.
In	in	In
its	it	it
statement	statement	statement
,	,	,
the	the	the
Israeli	isra	Israeli
military	militari	military
denied	deni	denied
any	ani	any
involvement	involv	involvement
with	with	with
jihadist	jihadist	jihadist
groups	group	group
in	in	in
the	the	the
fighting	fight	fighting
.	.	.
The	the	The
village	villag	village
of	of	of
Hader	hader	Hader
is	is	is
populated	popul	populated
by	by	by
members	member	member
of	of	of
the	the	the
Druze	druze	Druze
,	,	,
a	a	a
minority	minor	minority
religious	religi	religious
sect	sect	sect
present	present	present
in	in	in
Syria	syria	Syria
,	,	,
Israel	israel	Israel
,	,	,
the	the	the
Palestinian	palestinian	Palestinian
Territories	territori	Territories
and	and	and
Lebanon	lebanon	Lebanon
.	.	.
Israel	israel	Israel
s	s	s
Druze	druze	Druze
,	,	,
some	some	some
of	of	of
whom	whom	whom
have	have	have
reached	reach	reached
the	the	the
senior	senior	senior
echelons	echelon	echelon
of	of	of
the	the	the
Israeli	isra	Israeli
military	militari	military
and	and	and
government	govern	government
,	,	,
have	have	have
been	been	been
calling	call	calling
for	for	for
help	help	help
on	on	on
behalf	behalf	behalf
of	of	of
their	their	their
brethren	brethren	brother
in	in	in
Syria	syria	Syria
,	,	,
both	both	both
at	at	at
home	home	home
and	and	and
abroad	abroad	abroad
.	.	.
The	the	The
flashpoint	flashpoint	flashpoint
village	villag	village
of	of	of
Hader	hader	Hader
has	has	ha
been	been	been
of	of	of
particular	particular	particular
concern	concern	concern
.	.	.
After	after	After
Friday	friday	Friday
s	s	s
car	car	car
bomb	bomb	bomb
there	there	there
,	,	,
Syrian	syrian	Syrian
state	state	state
television	televis	television
broadcast	broadcast	broadcast
footage	footag	footage
it	it	it
said	said	said
was	was	wa
of	of	of
residents	resid	resident
of	of	of
the	the	the
Israeli	isra	Israeli
-controlled	-control	-controlled
Golan	golan	Golan
Heights	height	Heights
trying	tri	trying
to	to	to
cross	cross	cross
the	the	the
border	border	border
to	to	to
help	help	help
people	peopl	people
in	in	in
Hader	hader	Hader
.	.	.
Druze	druze	Druze
residents	resid	resident
tried	tri	tried
to	to	to
cross	cross	cross
into	into	into
Syria	syria	Syria
,	,	,
but	but	but
were	were	were
held	held	held
back	back	back
by	by	by
Israeli	isra	Israeli
soldiers	soldier	soldier
,	,	,
Israel	israel	Israel
s	s	s
military	militari	military
said	said	said
on	on	on
Twitter	twitter	Twitter
.	.	.
The	the	The
IDF	idf	IDF
Israel	israel	Israel
Defense	defens	Defense
Forces	forc	Forces
is	is	is
prepared	prepar	prepared
and	and	and
ready	readi	ready
to	to	to
assist	assist	assist
the	the	the
residents	resid	resident
of	of	of
the	the	the
village	villag	village
and	and	and
prevent	prevent	prevent
damage	damag	damage
to	to	to
or	or	or
the	the	the
capture	captur	capture
of	of	of
the	the	the
village	villag	village
Hader	hader	Hader
out	out	out
of	of	of
commitment	commit	commitment
to	to	to
the	the	the
Druze	druze	Druze
population	popul	population
,	,	,
the	the	the
military	militari	military
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Israeli	isra	Israeli
officials	offici	official
have	have	have
previously	previous	previously
said	said	said
they	they	they
were	were	were
looking	look	looking
at	at	at
the	the	the
possibility	possibl	possibility
of	of	of
assisting	assist	assisting
Hader	hader	Hader
,	,	,
whose	whose	whose
residents	resid	resident
have	have	have
Druze	druze	Druze
kinsman	kinsman	kinsman
lobbying	lobbi	lobbying
on	on	on
their	their	their
behalf	behalf	behalf
in	in	in
Israel	israel	Israel
.	.	.
