BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Buses	buse	Buses
carrying	carri	carrying
evacuated	evacu	evacuated
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
reached	reach	reached
Syria	syria	Syria
s	s	s
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
on	on	on
Wednesday	wednesday	Wednesday
in	in	in
return	return	return
for	for	for
releasing	releas	releasing
a	a	a
Hezbollah	hezbollah	Hezbollah
prisoner	prison	prisoner
,	,	,
a	a	a
commander	command	commander
in	in	in
the	the	the
pro	pro	pro
-Damascus	-damascus	-Damascus
alliance	allianc	alliance
told	told	told
Reuters	reuter	Reuters
.	.	.
Damascus	damascus	Damascus
and	and	and
Hezbollah	hezbollah	Hezbollah
allowed	allow	allowed
nearly	near	nearly
300	300	300
lightly	light	lightly
armed	arm	armed
militants	milit	militant
and	and	and
300	300	300
relatives	relat	relative
to	to	to
leave	leav	leave
the	the	the
Syria	syria	Syria
-Lebanon	-lebanon	-Lebanon
border	border	border
in	in	in
a	a	a
surrender	surrend	surrender
deal	deal	deal
,	,	,
after	after	after
an	an	an
offensive	offens	offensive
there	there	there
last	last	last
month	month	month
.	.	.
The	the	The
transfer	transfer	transfer
marked	mark	marked
the	the	the
first	first	first
time	time	time
Islamic	islam	Islamic
State	state	State
publicly	public	publicly
agreed	agre	agreed
to	to	to
such	such	such
an	an	an
evacuation	evacu	evacuation
from	from	from
territory	territori	territory
it	it	it
held	held	held
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
had	had	had
stopped	stop	stopped
the	the	the
17	17	17
buses	buse	bus
from	from	from
reaching	reach	reaching
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
for	for	for
weeks	week	week
and	and	and
the	the	the
convoy	convoy	convoy
split	split	split
in	in	in
two	two	two
.	.	.
It	it	It
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
if	if	if
all	all	all
the	the	the
buses	buse	bus
arrived	arriv	arrived
in	in	in
Islamic	islam	Islamic
State	state	State
territory	territori	territory
in	in	in
the	the	the
eastern	eastern	eastern
Syrian	syrian	Syrian
province	provinc	province
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
deal	deal	deal
has	has	ha
been	been	been
completed	complet	completed
,	,	,
said	said	said
the	the	the
commander	command	commander
in	in	in
the	the	the
military	militari	military
alliance	allianc	alliance
fighting	fight	fighting
in	in	in
support	support	support
of	of	of
the	the	the
Damascus	damascus	Damascus
government	govern	government
.	.	.
The	the	The
buses	buse	bus
took	took	took
the	the	the
route	rout	route
between	between	between
the	the	the
town	town	town
of	of	of
al	al	al
-Sukhna	-sukhna	-Sukhna
and	and	and
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
a	a	a
main	main	main
road	road	road
that	that	that
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
allied	alli	allied
forces	forc	force
captured	captur	captured
in	in	in
recent	recent	recent
days	day	day
,	,	,
the	the	the
commander	command	commander
said	said	said
.	.	.
Along	along	Along
the	the	the
route	rout	route
,	,	,
the	the	the
combatants	combat	combatant
swapped	swap	swapped
the	the	the
evacuees	evacue	evacuee
for	for	for
a	a	a
Hezbollah	hezbollah	Hezbollah
prisoner	prison	prisoner
who	who	who
had	had	had
been	been	been
in	in	in
Islamic	islam	Islamic
State	state	State
captivity	captiv	captivity
,	,	,
the	the	the
non	non	non
-Syrian	-syrian	-Syrian
commander	command	commander
added	ad	added
.	.	.
Under	under	Under
the	the	the
evacuation	evacu	evacuation
deal	deal	deal
in	in	in
August	august	August
,	,	,
Islamic	islam	Islamic
State	state	State
militants	milit	militant
left	left	left
their	their	their
border	border	border
foothold	foothold	foothold
after	after	after
a	a	a
week	week	week
-long	-long	-long
battle	battl	battle
in	in	in
return	return	return
for	for	for
safe	safe	safe
passage	passag	passage
to	to	to
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
in	in	in
Syria	syria	Syria
.	.	.
Iran	iran	Iran
-backed	-back	-backed
Hezbollah	hezbollah	Hezbollah
has	has	ha
played	play	played
a	a	a
major	major	major
role	role	role
in	in	in
fighting	fight	fighting
Sunni	sunni	Sunni
militants	milit	militant
along	along	along
the	the	the
border	border	border
.	.	.
Since	sinc	Since
early	earli	early
in	in	in
the	the	the
six	six	six
-year	-year	-year
Syrian	syrian	Syrian
conflict	conflict	conflict
,	,	,
it	it	it
has	has	ha
sent	sent	sent
thousands	thousand	thousand
of	of	of
fighters	fighter	fighter
to	to	to
support	support	support
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
s	s	s
government	govern	government
.	.	.
Lebanon	lebanon	Lebanon
s	s	s
Shi	shi	Shi
ite	ite	ite
Hezbollah	hezbollah	Hezbollah
retrieved	retriev	retrieved
the	the	the
remains	remain	remains
of	of	of
some	some	some
of	of	of
its	it	it
forces	forc	force
killed	kill	killed
in	in	in
Syria	syria	Syria
as	as	a
part	part	part
of	of	of
the	the	the
swap	swap	swap
,	,	,
and	and	and
was	was	wa
meant	meant	meant
to	to	to
get	get	get
back	back	back
one	one	one
of	of	of
its	it	it
fighters	fighter	fighter
that	that	that
Islamic	islam	Islamic
State	state	State
held	held	held
captive	captiv	captive
.	.	.
The	the	The
deal	deal	deal
included	includ	included
recovering	recov	recovering
the	the	the
bodies	bodi	body
of	of	of
nine	nine	nine
Lebanese	lebanes	Lebanese
soldiers	soldier	soldier
that	that	that
Islamic	islam	Islamic
State	state	State
captured	captur	captured
in	in	in
2014	2014	2014
.	.	.
The	the	The
transfer	transfer	transfer
ended	end	ended
any	ani	any
insurgent	insurg	insurgent
presence	presenc	presence
from	from	from
the	the	the
Syrian	syrian	Syrian
war	war	war
on	on	on
the	the	the
frontier	frontier	frontier
,	,	,
where	where	where
the	the	the
Lebanese	lebanes	Lebanese
army	armi	army
also	also	also
fought	fought	fought
the	the	the
militants	milit	militant
in	in	in
a	a	a
separate	separ	separate
offensive	offens	offensive
on	on	on
its	it	it
side	side	side
.	.	.
But	but	But
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
against	against	against
Islamic	islam	Islamic
State	state	State
blocked	block	blocked
the	the	the
convoy	convoy	convoy
from	from	from
entering	enter	entering
IS	is	IS
territory	territori	territory
in	in	in
east	east	east
Syria	syria	Syria
,	,	,
near	near	near
the	the	the
border	border	border
with	with	with
Iraq	iraq	Iraq
,	,	,
by	by	by
cratering	crater	cratering
roads	road	road
and	and	and
destroying	destroy	destroying
bridges	bridg	bridge
.	.	.
The	the	The
convoy	convoy	convoy
split	split	split
in	in	in
two	two	two
,	,	,
with	with	with
11	11	11
buses	buse	bus
remaining	remain	remaining
in	in	in
the	the	the
open	open	open
desert	desert	desert
and	and	and
others	other	others
retreating	retreat	retreating
into	into	into
government	govern	government
territory	territori	territory
.	.	.
Last	last	Last
week	week	week
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
coalition	coalit	coalition
said	said	said
its	it	it
surveillance	surveil	surveillance
aircraft	aircraft	aircraft
moved	move	moved
away	away	away
from	from	from
the	the	the
buses	buse	bus
in	in	in
the	the	the
no	no	no
-man	-man	-man
s	s	s
land	land	land
after	after	after
pro	pro	pro
-Syrian	-syrian	-Syrian
government	govern	government
forces	forc	force
advanced	advanc	advanced
past	past	past
the	the	the
convoy	convoy	convoy
.	.	.
Damascus	damascus	Damascus
was	was	wa
responsible	respons	responsible
for	for	for
the	the	the
evacuees	evacue	evacuee
,	,	,
it	it	it
said	said	said
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
reached	reach	reached
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
,	,	,
breaking	break	breaking
an	an	an
Islamic	islam	Islamic
State	state	State
siege	sieg	siege
of	of	of
an	an	an
enclave	enclav	enclave
there	there	there
that	that	that
had	had	had
lasted	last	lasted
three	three	three
years	year	year
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Syrian	syrian	Syrian
militias	militia	militia
have	have	have
also	also	also
launched	launch	launched
a	a	a
separate	separ	separate
assault	assault	assault
in	in	in
another	anoth	another
part	part	part
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
,	,	,
which	which	which
has	has	ha
become	becom	become
Islamic	islam	Islamic
State	state	State
s	s	s
last	last	last
major	major	major
foothold	foothold	foothold
in	in	in
Syria	syria	Syria
.	.	.
