JERUSALEM	jerusalem	JERUSALEM
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Middle	middl	Middle
East	east	East
envoy	envoy	envoy
and	and	and
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
met	met	met
on	on	on
Monday	monday	Monday
,	,	,
Netanyahu	netanyahu	Netanyahu
s	s	s
office	offic	office
said	said	said
,	,	,
as	as	a
the	the	the
new	new	new
administration	administr	administration
tries	tri	try
to	to	to
restart	restart	restart
peace	peac	peace
talks	talk	talk
with	with	with
the	the	the
Palestinians	palestinian	Palestinians
.	.	.

A	a	A
statement	statement	statement
from	from	from
the	the	the
Israeli	isra	Israeli
leader	leader	leader
s	s	s
office	offic	office
said	said	said
Jason	jason	Jason
Greenblatt	greenblatt	Greenblatt
reaffirmed	reaffirm	reaffirmed
President	presid	President
Trump	trump	Trump
s	s	s
commitment	commit	commitment
to	to	to
Israel	israel	Israel
s	s	s
security	secur	security
and	and	and
to	to	to
the	the	the
effort	effort	effort
to	to	to
help	help	help
Israelis	isra	Israelis
and	and	and
Palestinians	palestinian	Palestinians
achieve	achiev	achieve
a	a	a
lasting	last	lasting
peace	peac	peace
through	through	through
direct	direct	direct
negotiations	negoti	negotiation
.	.	.
Peace	peac	Peace
talks	talk	talk
between	between	between
Israel	israel	Israel
and	and	and
the	the	the
Palestinians	palestinian	Palestinians
have	have	have
been	been	been
frozen	frozen	frozen
since	sinc	since
2014	2014	2014
and	and	and
the	the	the
Palestinians	palestinian	Palestinians
have	have	have
been	been	been
concerned	concern	concerned
at	at	at
the	the	the
more	more	more
favorable	favor	favorable
approach	approach	approach
shown	shown	shown
by	by	by
Washington	washington	Washington
toward	toward	toward
Netanyahu	netanyahu	Netanyahu
since	sinc	since
Trump	trump	Trump
came	came	came
to	to	to
office	offic	office
in	in	in
January	januari	January
.	.	.

The	the	The
statement	statement	statement
added	ad	added
that	that	that
during	dure	during
a	a	a
conversation	convers	conversation
lasting	last	lasting
more	more	more
than	than	than
five	five	five
hours	hour	hour
,	,	,
Netanyahu	netanyahu	Netanyahu
and	and	and
Greenblatt	greenblatt	Greenblatt
discussed	discuss	discussed
Israel	israel	Israel
s	s	s
settlement	settlement	settlement
building	build	building
with	with	with
the	the	the
hope	hope	hope
of	of	of
reaching	reach	reaching
a	a	a
formula	formula	formula
that	that	that
will	will	will
aim	aim	aim
to	to	to
promote	promot	promote
peace	peac	peace
and	and	and
security	secur	security
.	.	.
One	one	One
of	of	of
the	the	the
most	most	most
heated	heat	heated
issues	issu	issue
between	between	between
Israel	israel	Israel
and	and	and
the	the	the
Palestinians	palestinian	Palestinians
is	is	is
Israel	israel	Israel
s	s	s
building	build	building
of	of	of
settlements	settlement	settlement
in	in	in
the	the	the
occupied	occupi	occupied
West	west	West
Bank	bank	Bank
and	and	and
East	east	East
Jerusalem	jerusalem	Jerusalem
,	,	,
territory	territori	territory
the	the	the
Palestinians	palestinian	Palestinians
want	want	want
for	for	for
their	their	their
own	own	own
future	futur	future
state	state	state
along	along	along
with	with	with
the	the	the
Gaza	gaza	Gaza
Strip	strip	Strip
.	.	.

On	on	On
Friday	friday	Friday
,	,	,
Trump	trump	Trump
spoke	spoke	spoke
to	to	to
Palestinian	palestinian	Palestinian
President	presid	President
Mahmoud	mahmoud	Mahmoud
Abbas	abba	Abbas
and	and	and
invited	invit	invited
him	him	him
to	to	to
the	the	the
White	white	White
House	hous	House
.	.	.

It	it	It
was	was	wa
the	the	the
first	first	first
phone	phone	phone
call	call	call
between	between	between
the	the	the
two	two	two
leaders	leader	leader
since	sinc	since
Trump	trump	Trump
took	took	took
office	offic	office
.	.	.

Greenblatt	greenblatt	Greenblatt
is	is	is
set	set	set
to	to	to
meet	meet	meet
Abbas	abba	Abbas
in	in	in
the	the	the
West	west	West
Bank	bank	Bank
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
Israeli	isra	Israeli
statement	statement	statement
added	ad	added
that	that	that
Greenblatt	greenblatt	Greenblatt
stressed	stress	stressed
how	how	how
important	import	important
enabling	enabl	enabling
the	the	the
growth	growth	growth
of	of	of
the	the	the
Palestinian	palestinian	Palestinian
economy	economi	economy
and	and	and
improving	improv	improving
the	the	the
quality	qualiti	quality
of	of	of
life	life	life
for	for	for
Palestinians	palestinian	Palestinians
are	are	are
to	to	to
President	presid	President
Trump	trump	Trump
.	.	.
Before	befor	Before
taking	take	taking
office	offic	office
,	,	,
Trump	trump	Trump
named	name	named
Greenblatt	greenblatt	Greenblatt
,	,	,
his	his	his
company	compani	company
s	s	s
top	top	top
lawyer	lawyer	lawyer
,	,	,
as	as	a
his	his	his
special	special	special
negotiator	negoti	negotiator
for	for	for
trade	trade	trade
deals	deal	deal
and	and	and
other	other	other
talks	talk	talk
and	and	and
his	his	his
adviser	advis	adviser
to	to	to
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
special	special	special
representative	repres	representative
for	for	for
international	intern	international
negotiations	negoti	negotiation
.	.	.

This	this	This
version	version	version
of	of	of
the	the	the
story	stori	story
was	was	wa
refiled	refil	refiled
to	to	to
remove	remov	remove
extraneous	extran	extraneous
word	word	word
in	in	in
paragraph	paragraph	paragraph
1	1	1

