BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Hezbollah	hezbollah	Hezbollah
leader	leader	leader
Sayyed	sayi	Sayyed
Hassan	hassan	Hassan
Nasrallah	nasrallah	Nasrallah
said	said	said
on	on	on
Sunday	sunday	Sunday
that	that	that
the	the	the
United	unit	United
States	state	States
was	was	wa
serving	serv	serving
the	the	the
interests	interest	interest
of	of	of
Islamic	islam	Islamic
State	state	State
by	by	by
preventing	prevent	preventing
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
advancing	advanc	advancing
in	in	in
some	some	some
areas	area	area
of	of	of
eastern	eastern	eastern
Syria	syria	Syria
.	.	.

American	american	American
jets	jet	jet
have	have	have
this	this	this
year	year	year
targeted	target	targeted
pro	pro	pro
-government	-govern	-government
militias	militia	militia
in	in	in
eastern	eastern	eastern
Syria	syria	Syria
that	that	that
were	were	were
advancing	advanc	advancing
towards	toward	towards
Washington	washington	Washington
s	s	s
local	local	local
allies	alli	ally
.	.	.

Nasrallah	nasrallah	Nasrallah
said	said	said
the	the	the
United	unit	United
States	state	States
was	was	wa
delaying	delay	delaying
the	the	the
Syrian	syrian	Syrian
military	militari	military
in	in	in
its	it	it
battle	battl	battle
to	to	to
retake	retak	retake
territory	territori	territory
from	from	from
Islamic	islam	Islamic
State	state	State
.	.	.

The	the	The
American	american	American
air	air	air
force	forc	force
in	in	in
some	some	some
areas	area	area
prevents	prevent	prevents
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
from	from	from
advancing	advanc	advancing
in	in	in
areas	area	area
controlled	control	controlled
by	by	by
Islamic	islam	Islamic
State	state	State
,	,	,
said	said	said
the	the	the
leader	leader	leader
of	of	of
Hezbollah	hezbollah	Hezbollah
,	,	,
a	a	a
Lebanese	lebanes	Lebanese
Shi	shi	Shi
ite	ite	ite
movement	movement	movement
designated	design	designated
by	by	by
Washington	washington	Washington
as	as	a
a	a	a
terrorist	terrorist	terrorist
group	group	group
.	.	.

The	the	The
Americans	american	Americans
are	are	are
working	work	working
to	to	to
hinder	hinder	hinder
the	the	the
battle	battl	battle
against	against	against
Islamic	islam	Islamic
State	state	State
,	,	,
he	he	he
said	said	said
in	in	in
a	a	a
speech	speech	speech
,	,	,
part	part	part
of	of	of
a	a	a
commemoration	commemor	commemoration
for	for	for
Hezbollah	hezbollah	Hezbollah
fighters	fighter	fighter
killed	kill	killed
in	in	in
clashes	clash	clash
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.

His	his	His
comments	comment	comment
came	came	came
after	after	after
a	a	a
senior	senior	senior
U	u	U
.	.	.
S	s	S
.	.	.
official	offici	official
said	said	said
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
considering	consid	considering
putting	put	putting
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
for	for	for
its	it	it
support	support	support
of	of	of
Hezbollah	hezbollah	Hezbollah
,	,	,
and	and	and
as	as	a
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
prepares	prepar	prepares
to	to	to
consider	consid	consider
tighter	tighter	tighter
sanctions	sanction	sanction
on	on	on
Hezbollah	hezbollah	Hezbollah
itself	itself	itself
.	.	.

The	the	The
battlefield	battlefield	battlefield
situation	situat	situation
in	in	in
Syrian	syrian	Syrian
is	is	is
complex	complex	complex
,	,	,
comprising	compris	comprising
both	both	both
a	a	a
civil	civil	civil
war	war	war
that	that	that
pits	pit	pit
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
s	s	s
government	govern	government
against	against	against
rebels	rebel	rebel
,	,	,
as	as	a
well	well	well
as	as	a
two	two	two
separate	separ	separate
campaigns	campaign	campaign
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.

The	the	The
Syrian	syrian	Syrian
army	armi	army
,	,	,
backed	back	backed
by	by	by
Russia	russia	Russia
,	,	,
Iran	iran	Iran
and	and	and
Shi	shi	Shi
ite	ite	ite
militias	militia	militia
including	includ	including
Hezbollah	hezbollah	Hezbollah
,	,	,
has	has	ha
advanced	advanc	advanced
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
an	an	an
offensive	offens	offensive
across	across	across
the	the	the
central	central	central
Syrian	syrian	Syrian
desert	desert	desert
in	in	in
recent	recent	recent
months	month	month
.	.	.

The	the	The
United	unit	United
States	state	States
is	is	is
meanwhile	meanwhil	meanwhile
leading	lead	leading
a	a	a
rival	rival	rival
international	intern	international
coalition	coalit	coalition
against	against	against
the	the	the
Sunni	sunni	Sunni
jihadists	jihadist	jihadist
that	that	that
includes	includ	includes
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
.	.	.

Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
have	have	have
put	put	put
in	in	in
place	place	place
measures	measur	measure
to	to	to
prevent	prevent	prevent
outright	outright	outright
conflict	conflict	conflict
between	between	between
the	the	the
two	two	two
offensives	offens	offensive
against	against	against
Islamic	islam	Islamic
State	state	State
,	,	,
but	but	but
there	there	there
have	have	have
been	been	been
times	time	time
when	when	when
they	they	they
fired	fire	fired
on	on	on
each	each	each
other	other	other
.	.	.

Security	secur	Security
sources	sourc	source
in	in	in
Lebanon	lebanon	Lebanon
have	have	have
said	said	said
that	that	that
Hezbollah	hezbollah	Hezbollah
has	has	ha
lost	lost	lost
hundreds	hundr	hundred
of	of	of
fighters	fighter	fighter
in	in	in
Syria	syria	Syria
since	sinc	since
it	it	it
entered	enter	entered
the	the	the
conflict	conflict	conflict
in	in	in
support	support	support
of	of	of
Assad	assad	Assad
in	in	in
2013	2013	2013
against	against	against
rebel	rebel	rebel
groups	group	group
.	.	.

Last	last	Last
week	week	week
Islamic	islam	Islamic
State	state	State
counter	counter	counter
attacks	attack	attack
against	against	against
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
killed	kill	killed
a	a	a
number	number	number
of	of	of
Hezbollah	hezbollah	Hezbollah
fighters	fighter	fighter
including	includ	including
a	a	a
senior	senior	senior
commander	command	commander
,	,	,
Ali	ali	Ali
al	al	al
-Hadi	-hadi	-Hadi
al	al	al
-Asheq	-asheq	-Asheq
.	.	.

