BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
government	govern	government
rejected	reject	rejected
a	a	a
report	report	report
sent	sent	sent
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
that	that	that
blamed	blame	blamed
it	it	it
for	for	for
a	a	a
chemical	chemic	chemical
attack	attack	attack
on	on	on
the	the	the
opposition	opposit	opposition
-held	-held	-held
town	town	town
of	of	of
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
in	in	in
April	april	April
in	in	in
which	which	which
dozens	dozen	dozen
of	of	of
people	peopl	people
were	were	were
killed	kill	killed
,	,	,
state	state	state
media	media	medium
said	said	said
on	on	on
Friday	friday	Friday
.	.	.

Syria	syria	Syria
rejects	reject	reject
in	in	in
form	form	form
and	and	and
substance	substanc	substance
what	what	what
was	was	wa
included	includ	included
in	in	in
the	the	the
report	report	report
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
and	and	and
the	the	the
Organization	organ	Organization
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
Joint	joint	Joint
Investigative	investig	Investigative
Mechanism	mechan	Mechanism
JIM	jim	JIM
that	that	that
was	was	wa
announced	announc	announced
yesterday	yesterday	yesterday
,	,	,
state	state	state
news	news	news
agency	agenc	agency
SANA	sana	SANA
reported	report	reported
,	,	,
citing	cite	citing
an	an	an
official	offici	official
in	in	in
Syria	syria	Syria
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
.	.	.

The	the	The
official	offici	official
said	said	said
the	the	the
report	report	report
had	had	had
been	been	been
compiled	compil	compiled
under	under	under
instructions	instruct	instruction
from	from	from
the	the	the
United	unit	United
States	state	States
and	and	and
other	other	other
Western	western	Western
countries	countri	country
to	to	to
place	place	place
more	more	more
political	polit	political
pressure	pressur	pressure
on	on	on
Syria	syria	Syria
,	,	,
SANA	sana	SANA
reported	report	reported
.	.	.

The	the	The
JIM	jim	JIM
report	report	report
found	found	found
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
s	s	s
government	govern	government
responsible	respons	responsible
for	for	for
the	the	the
release	releas	release
of	of	of
sarin	sarin	sarin
at	at	at
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
on	on	on
April	april	April
4	4	4
this	this	this
year	year	year
.	.	.

The	the	The
attack	attack	attack
prompted	prompt	prompted
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
missile	missil	missile
strike	strike	strike
against	against	against
a	a	a
Syrian	syrian	Syrian
air	air	air
base	base	base
which	which	which
Washington	washington	Washington
said	said	said
was	was	wa
used	use	used
to	to	to
launch	launch	launch
the	the	the
strike	strike	strike
.	.	.

Damascus	damascus	Damascus
condemns	condemn	condemns
the	the	the
reliance	relianc	reliance
of	of	of
the	the	the
Joint	joint	Joint
Investigative	investig	Investigative
Mechanism	mechan	Mechanism
on	on	on
the	the	the
word	word	word
of	of	of
criminals	crimin	criminal
who	who	who
committed	commit	committed
this	this	this
immoral	immor	immoral
act	act	act
in	in	in
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
and	and	and
those	those	those
of	of	of
suspect	suspect	suspect
witnesses	wit	witness
,	,	,
as	as	a
well	well	well
as	as	a
so	so	so
-called	-call	-called
open	open	open
sources	sourc	source
,	,	,
a	a	a
statement	statement	statement
by	by	by
the	the	the
foreign	foreign	foreign
ministry	ministri	ministry
official	offici	official
said	said	said
.	.	.

The	the	The
official	offici	official
also	also	also
said	said	said
Syria	syria	Syria
renewed	renew	renewed
its	it	it
commitment	commit	commitment
to	to	to
the	the	the
Organization	organ	Organization
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
and	and	and
said	said	said
it	it	it
had	had	had
no	no	no
chemical	chemic	chemical
materials	materi	material
restricted	restrict	restricted
by	by	by
the	the	the
agreement	agreement	agreement
.	.	.

Syria	syria	Syria
considered	consid	considered
the	the	the
use	use	use
of	of	of
chemical	chemic	chemical
weapons	weapon	weapon
an	an	an
immoral	immor	immoral
act	act	act
,	,	,
condemned	condemn	condemned
everywhere	everywher	everywhere
,	,	,
at	at	at
any	ani	any
time	time	time
,	,	,
under	under	under
any	ani	any
circumstance	circumst	circumstance
,	,	,
SANA	sana	SANA
reported	report	reported
.	.	.

