CARACAS	caraca	CARACAS
HOUSTON	houston	HOUSTON
Reuters	reuter	Reuters
-	-	-
Venezuela	venezuela	Venezuela
has	has	ha
ordered	order	ordered
the	the	the
removal	remov	removal
of	of	of
Rafael	rafael	Rafael
Ramirez	ramirez	Ramirez
,	,	,
once	onc	once
a	a	a
powerful	power	powerful
oil	oil	oil
minister	minist	minister
and	and	and
head	head	head
of	of	of
state	state	state
oil	oil	oil
company	compani	company
PDVSA	pdvsa	PDVSA
,	,	,
from	from	from
his	his	his
post	post	post
as	as	a
representative	repres	representative
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
in	in	in
New	new	New
York	york	York
,	,	,
four	four	four
sources	sourc	source
with	with	with
knowledge	knowledg	knowledge
of	of	of
the	the	the
matter	matter	matter
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Though	though	Though
the	the	the
decision	decis	decision
will	will	will
not	not	not
affect	affect	affect
the	the	the
OPEC	opec	OPEC
nation	nation	nation
s	s	s
struggling	struggl	struggling
oil	oil	oil
industry	industri	industry
,	,	,
it	it	it
may	may	may
help	help	help
President	presid	President
Nicolas	nicola	Nicolas
Maduro	maduro	Maduro
shore	shore	shore
up	up	up
his	his	his
position	posit	position
in	in	in
crisis	crisi	crisis
-stricken	-stricken	-stricken
Venezuela	venezuela	Venezuela
as	as	a
the	the	the
country	countri	country
heads	head	head
toward	toward	toward
presidential	presidenti	presidential
elections	elect	election
in	in	in
2018	2018	2018
.	.	.
Ramirez	ramirez	Ramirez
,	,	,
an	an	an
increasingly	increas	increasingly
vocal	vocal	vocal
critic	critic	critic
of	of	of
Maduro	maduro	Maduro
in	in	in
recent	recent	recent
months	month	month
,	,	,
was	was	wa
seen	seen	seen
by	by	by
some	some	some
as	as	a
angling	angl	angling
to	to	to
be	be	be
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
as	as	a
Maduro	maduro	Maduro
s	s	s
unpopular	unpopular	unpopular
government	govern	government
and	and	and
an	an	an
economic	econom	economic
crisis	crisi	crisis
have	have	have
fueled	fuel	fueled
divisions	divis	division
with	with	with
the	the	the
ruling	rule	ruling
Socialist	socialist	Socialist
Party	parti	Party
.	.	.
He	he	He
was	was	wa
fired	fire	fired
last	last	last
night	night	night
,	,	,
said	said	said
a	a	a
source	sourc	source
with	with	with
knowledge	knowledg	knowledge
of	of	of
the	the	the
information	inform	information
,	,	,
who	who	who
asked	ask	asked
not	not	not
to	to	to
be	be	be
identified	identifi	identified
.	.	.
Maduro	maduro	Maduro
sent	sent	sent
Ramirez	ramirez	Ramirez
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
in	in	in
2014	2014	2014
in	in	in
a	a	a
major	major	major
demotion	demot	demotion
from	from	from
his	his	his
decade	decad	decade
-long	-long	-long
roles	role	role
as	as	a
oil	oil	oil
minister	minist	minister
and	and	and
head	head	head
of	of	of
PDVSA	pdvsa	PDVSA
.	.	.
Venezuela	venezuela	Venezuela
s	s	s
Information	inform	Information
Ministry	ministri	Ministry
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.
The	the	The
United	unit	United
Nations	nation	Nations
has	has	ha
not	not	not
received	receiv	received
formal	formal	formal
notification	notif	notification
of	of	of
Ramirez	ramirez	Ramirez
s	s	s
removal	remov	removal
,	,	,
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
spokesman	spokesman	spokesman
said	said	said
.	.	.
Vice	vice	Vice
President	presid	President
Tareck	tareck	Tareck
El	el	El
Aissami	aissami	Aissami
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
he	he	he
hoped	hope	hoped
that	that	that
Maduro	maduro	Maduro
will	will	will
be	be	be
re	re	re
-elected	-elect	-elected
in	in	in
2018	2018	2018
,	,	,
the	the	the
clearest	clearest	clearest
indication	indic	indication
yet	yet	yet
that	that	that
the	the	the
former	former	former
bus	bus	bus
driver	driver	driver
will	will	will
seek	seek	seek
another	anoth	another
term	term	term
despite	despit	despite
the	the	the
economic	econom	economic
crisis	crisi	crisis
.	.	.
A	a	A
separate	separ	separate
source	sourc	source
said	said	said
that	that	that
Ramirez	ramirez	Ramirez
had	had	had
been	been	been
summoned	summon	summoned
to	to	to
present	present	present
himself	himself	himself
in	in	in
Venezuela	venezuela	Venezuela
in	in	in
coming	come	coming
days	day	day
.	.	.
That	that	That
source	sourc	source
said	said	said
Ramirez	ramirez	Ramirez
had	had	had
not	not	not
been	been	been
formally	formal	formally
removed	remov	removed
and	and	and
that	that	that
he	he	he
was	was	wa
working	work	working
at	at	at
the	the	the
