PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
France	franc	France
,	,	,
Germany	germani	Germany
,	,	,
Italy	itali	Italy
and	and	and
Spain	spain	Spain
want	want	want
digital	digit	digital
multinationals	multin	multinationals
like	like	like
Amazon	amazon	Amazon
and	and	and
Google	googl	Google
to	to	to
be	be	be
taxed	tax	taxed
in	in	in
Europe	europ	Europe
based	base	based
on	on	on
their	their	their
revenues	revenu	revenue
,	,	,
rather	rather	rather
than	than	than
only	onli	only
profits	profit	profit
as	as	a
now	now	now
,	,	,
their	their	their
finance	financ	finance
ministers	minist	minister
said	said	said
in	in	in
a	a	a
joint	joint	joint
letter	letter	letter
.	.	.
France	franc	France
is	is	is
leading	lead	leading
a	a	a
push	push	push
to	to	to
clamp	clamp	clamp
down	down	down
on	on	on
the	the	the
taxation	taxat	taxation
of	of	of
such	such	such
companies	compani	company
,	,	,
but	but	but
has	has	ha
found	found	found
support	support	support
from	from	from
other	other	other
countries	countri	country
also	also	also
frustrated	frustrat	frustrated
at	at	at
the	the	the
low	low	low
tax	tax	tax
they	they	they
receive	receiv	receive
under	under	under
current	current	current
international	intern	international
rules	rule	rule
.	.	.
Currently	current	Currently
such	such	such
companies	compani	company
are	are	are
often	often	often
taxed	tax	taxed
on	on	on
profits	profit	profit
booked	book	booked
by	by	by
subsidiaries	subsidiari	subsidiary
in	in	in
low	low	low
-tax	-tax	-tax
countries	countri	country
like	like	like
Ireland	ireland	Ireland
even	even	even
though	though	though
the	the	the
revenue	revenu	revenue
originated	origin	originated
from	from	from
other	other	other
EU	eu	EU
countries	countri	country
.	.	.
We	we	We
should	should	should
no	no	no
longer	longer	longer
accept	accept	accept
that	that	that
these	these	these
companies	compani	company
do	do	do
business	busi	business
in	in	in
Europe	europ	Europe
while	while	while
paying	pay	paying
minimal	minim	minimal
amounts	amount	amount
of	of	of
tax	tax	tax
to	to	to
our	our	our
treasuries	treasuri	treasury
,	,	,
the	the	the
four	four	four
ministers	minist	minister
wrote	wrote	wrote
in	in	in
a	a	a
letter	letter	letter
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.
The	the	The
letter	letter	letter
,	,	,
signed	sign	signed
by	by	by
French	french	French
Finance	financ	Finance
Minister	minist	Minister
Bruno	bruno	Bruno
Le	le	Le
Maire	mair	Maire
,	,	,
Wolfgang	wolfgang	Wolfgang
Schaeuble	schaeubl	Schaeuble
of	of	of
Germany	germani	Germany
,	,	,
Pier	pier	Pier
-Carlo	-carlo	-Carlo
Padoan	padoan	Padoan
of	of	of
Italy	itali	Italy
and	and	and
Luis	lui	Luis
de	de	de
Guindos	guindo	Guindos
,	,	,
was	was	wa
addressed	address	addressed
to	to	to
the	the	the
EU	eu	EU
s	s	s
Estonian	estonian	Estonian
presidency	presid	presidency
with	with	with
the	the	the
bloc	bloc	bloc
s	s	s
executive	execut	executive
Commission	commiss	Commission
in	in	in
copy	copi	copy
.	.	.
They	they	They
urged	urg	urged
the	the	the
Commission	commiss	Commission
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
solution	solut	solution
creating	creat	creating
an	an	an
equalization	equal	equalization
tax	tax	tax
on	on	on
turnover	turnov	turnover
that	that	that
would	would	would
bring	bring	bring
taxation	taxat	taxation
to	to	to
the	the	the
level	level	level
of	of	of
corporate	corpor	corporate
tax	tax	tax
in	in	in
the	the	the
country	countri	country
where	where	where
the	the	the
revenue	revenu	revenue
was	was	wa
earned	earn	earned
.	.	.
The	the	The
amounts	amount	amount
raised	rais	raised
would	would	would
aim	aim	aim
to	to	to
reflect	reflect	reflect
some	some	some
of	of	of
what	what	what
these	these	these
companies	compani	company
should	should	should
be	be	be
paying	pay	paying
in	in	in
terms	term	term
of	of	of
corporate	corpor	corporate
tax	tax	tax
,	,	,
the	the	the
ministers	minist	minister
said	said	said
in	in	in
the	the	the
letter	letter	letter
,	,	,
first	first	first
reported	report	reported
on	on	on
by	by	by
the	the	the
Financial	financi	Financial
Times	time	Times
.	.	.
Le	le	Le
Maire	mair	Maire
,	,	,
Schaeuble	schaeubl	Schaeuble
,	,	,
Padoan	padoan	Padoan
and	and	and
de	de	de
Guindos	guindo	Guindos
of	of	of
Spain	spain	Spain
said	said	said
they	they	they
wanted	want	wanted
to	to	to
present	present	present
the	the	the
issue	issu	issue
to	to	to
other	other	other
EU	eu	EU
counterparts	counterpart	counterpart
at	at	at
a	a	a
Sept	sept	Sept
.	.	.
15	15	15
-16	-16	-16
meeting	meet	meeting
in	in	in
Tallinn	tallinn	Tallinn
.	.	.
The	the	The
EU	eu	EU
s	s	s
current	current	current
Estonian	estonian	Estonian
presidency	presid	presidency
has	has	ha
scheduled	schedul	scheduled
a	a	a
discussion	discuss	discussion
at	at	at
the	the	the
meeting	meet	meeting
about	about	about
the	the	the
concept	concept	concept
of	of	of
permanent	perman	permanent
establishment	establish	establishment
,	,	,
with	with	with
the	the	the
aim	aim	aim
of	of	of
making	make	making
it	it	it
possible	possibl	possible
to	to	to
tax	tax	tax
firms	firm	firm
where	where	where
they	they	they
create	creat	create
value	valu	value
,	,	,
not	not	not
only	onli	only
where	where	where
they	they	they
have	have	have
their	their	their
tax	tax	tax
residence	resid	residence
.	.	.
France	franc	France
has	has	ha
stepped	step	stepped
up	up	up
pressure	pressur	pressure
for	for	for
EU	eu	EU
tax	tax	tax
rules	rule	rule
after	after	after
facing	face	facing
legal	legal	legal
setbacks	setback	setback
trying	tri	trying
to	to	to
obtain	obtain	obtain
payments	payment	payment
for	for	for
taxes	tax	tax
on	on	on
activities	activ	activity
in	in	in
the	the	the
country	countri	country
.	.	.
A	a	A
French	french	French
court	court	court
ruled	rule	ruled
in	in	in
July	juli	July
French	french	French
court	court	court
ruled	rule	ruled
that	that	that
Google	googl	Google
,	,	,
now	now	now
part	part	part
of	of	of
Alphabet	alphabet	Alphabet
Inc	inc	Inc
,	,	,
was	was	wa
not	not	not
liable	liabl	liable
to	to	to
pay	pay	pay
1	1	1
.	.	.
1	1	1
billion	billion	billion
euros	euro	euro
1	1	1
.	.	.
3	3	3
billion	billion	billion
in	in	in
back	back	back
taxes	tax	tax
because	becaus	because
it	it	it
had	had	had
no	no	no
permanent	perman	permanent
establishment	establish	establishment
in	in	in
France	franc	France
and	and	and
ran	ran	ran
its	it	it
operations	oper	operation
there	there	there
from	from	from
Ireland	ireland	Ireland
.	.	.
