PHILADELPHIA	philadelphia	PHILADELPHIA
MEXICO	mexico	MEXICO
CITY	citi	CITY
Reuters	reuter	Reuters
-	-	-
The	the	The
White	white	White
House	hous	House
on	on	on
Thursday	thursday	Thursday
floated	float	floated
the	the	the
idea	idea	idea
of	of	of
imposing	impos	imposing
a	a	a
20	20	20
percent	percent	percent
tax	tax	tax
on	on	on
goods	good	good
from	from	from
Mexico	mexico	Mexico
to	to	to
pay	pay	pay
for	for	for
a	a	a
wall	wall	wall
at	at	at
the	the	the
southern	southern	southern
U	u	U
.	.	.
S	s	S
.	.	.
border	border	border
,	,	,
sending	send	sending
the	the	the
peso	peso	peso
tumbling	tumbl	tumbling
and	and	and
deepening	deepen	deepening
a	a	a
crisis	crisi	crisis
between	between	between
the	the	the
two	two	two
neighbors	neighbor	neighbor
.	.	.

Mexican	mexican	Mexican
President	presid	President
Enrique	enriqu	Enrique
Pena	pena	Pena
Nieto	nieto	Nieto
announced	announc	announced
on	on	on
Twitter	twitter	Twitter
around	around	around
midday	midday	midday
on	on	on
Thursday	thursday	Thursday
that	that	that
he	he	he
was	was	wa
scrapping	scrap	scrapping
a	a	a
planned	plan	planned
trip	trip	trip
to	to	to
meet	meet	meet
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
repeatedly	repeat	repeatedly
demanded	demand	demanded
that	that	that
Mexico	mexico	Mexico
pay	pay	pay
for	for	for
a	a	a
wall	wall	wall
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
border	border	border
.	.	.

Later	later	Later
in	in	in
the	the	the
day	day	day
,	,	,
White	white	White
House	hous	House
spokesman	spokesman	spokesman
Sean	sean	Sean
Spicer	spicer	Spicer
sent	sent	sent
the	the	the
Mexican	mexican	Mexican
peso	peso	peso
falling	fall	falling
to	to	to
its	it	it
low	low	low
for	for	for
the	the	the
day	day	day
when	when	when
he	he	he
told	told	told
reporters	report	reporter
that	that	that
Trump	trump	Trump
wanted	want	wanted
a	a	a
20	20	20
percent	percent	percent
tax	tax	tax
on	on	on
Mexican	mexican	Mexican
imports	import	import
to	to	to
pay	pay	pay
for	for	for
construction	construct	construction
of	of	of
the	the	the
wall	wall	wall
.	.	.

Spicer	spicer	Spicer
gave	gave	gave
few	few	few
details	detail	detail
,	,	,
but	but	but
his	his	his
comments	comment	comment
resembled	resembl	resembled
an	an	an
existing	exist	existing
idea	idea	idea
,	,	,
known	known	known
as	as	a
a	a	a
border	border	border
adjustment	adjust	adjustment
tax	tax	tax
,	,	,
that	that	that
the	the	the
Republican	republican	Republican
-led	-led	-led
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
is	is	is
considering	consid	considering
as	as	a
part	part	part
of	of	of
a	a	a
broad	broad	broad
tax	tax	tax
overhaul	overhaul	overhaul
