MANILA	manila	MANILA
Reuters	reuter	Reuters
-	-	-
Philippine	philippin	Philippine
President	presid	President
Rodrigo	rodrigo	Rodrigo
Duterte	dutert	Duterte
on	on	on
Wednesday	wednesday	Wednesday
heaped	heap	heaped
praise	prais	praise
on	on	on
visiting	visit	visiting
Chinese	chines	Chinese
Premier	premier	Premier
Li	li	Li
Keqiang	keqiang	Keqiang
for	for	for
what	what	what
he	he	he
said	said	said
was	was	wa
China	china	China
s	s	s
critical	critic	critical
role	role	role
in	in	in
expediting	expedit	expediting
the	the	the
end	end	end
of	of	of
a	a	a
five	five	five
-month	-month	-month
war	war	war
with	with	with
Islamist	islamist	Islamist
insurgents	insurg	insurgent
in	in	in
a	a	a
Philippine	philippin	Philippine
town	town	town
.	.	.
Duterte	dutert	Duterte
credited	credit	credited
China	china	China
with	with	with
supplying	suppli	supplying
what	what	what
he	he	he
said	said	said
was	was	wa
the	the	the
rifle	rifl	rifle
that	that	that
on	on	on
Oct	oct	Oct
.	.	.
16	16	16
killed	kill	killed
Islamic	islam	Islamic
State	state	State
s	s	s
regional	region	regional
point	point	point
man	man	man
,	,	,
Isnilon	isnilon	Isnilon
Hapilon	hapilon	Hapilon
,	,	,
and	and	and
said	said	said
he	he	he
would	would	would
present	present	present
that	that	that
weapon	weapon	weapon
to	to	to
China	china	China
as	as	a
a	a	a
mark	mark	mark
of	of	of
appreciation	appreci	appreciation
for	for	for
its	it	it
help	help	help
in	in	in
the	the	the
war	war	war
in	in	in
Marawi	marawi	Marawi
City	citi	City
.	.	.
I	i	I
am	am	am
going	go	going
to	to	to
return	return	return
to	to	to
you	you	you
the	the	the
rifle	rifl	rifle
so	so	so
that	that	that
the	the	the
Chinese	chines	Chinese
people	peopl	people
would	would	would
know	know	know
,	,	,
it	it	it
was	was	wa
critical	critic	critical
,	,	,
it	it	it
is	is	is
a	a	a
symbol	symbol	symbol
of	of	of
the	the	the
critical	critic	critical
help	help	help
,	,	,
Duterte	dutert	Duterte
told	told	told
Li	li	Li
,	,	,
the	the	the
first	first	first
Chinese	chines	Chinese
premier	premier	premier
to	to	to
visit	visit	visit
the	the	the
Philippines	philippin	Philippines
in	in	in
a	a	a
decade	decad	decade
.	.	.
There	there	There
are	are	are
doubts	doubt	doubt
,	,	,
however	howev	however
,	,	,
about	about	about
if	if	if
it	it	it
really	realli	really
was	was	wa
a	a	a
Chinese	chines	Chinese
sniper	sniper	sniper
rifle	rifl	rifle
that	that	that
killed	kill	killed
Hapilon	hapilon	Hapilon
,	,	,
and	and	and
uncertainty	uncertainti	uncertainty
about	about	about
whether	whether	whether
the	the	the
military	militari	military
has	has	ha
used	use	used
any	ani	any
of	of	of
the	the	the
6	6	6
,	,	,
100	100	100
guns	gun	gun
Beijing	beij	Beijing
has	has	ha
donated	donat	donated
since	sinc	since
June	june	June
.	.	.
The	the	The
Philippine	philippin	Philippine
defense	defens	defense
minister	minist	minister
recently	recent	recently
said	said	said
all	all	all
those	those	those
weapons	weapon	weapon
were	were	were
given	given	given
to	to	to
the	the	the
police	polic	police
.	.	.
Hapilon	hapilon	Hapilon
was	was	wa
killed	kill	killed
by	by	by
members	member	member
of	of	of
the	the	the
8th	8th	8th
Scout	scout	Scout
Ranger	ranger	Ranger
Company	compani	Company
.	.	.
Scout	scout	Scout
Ranger	ranger	Ranger
Books	book	Books
,	,	,
a	a	a
Facebook	facebook	Facebook
page	page	page
of	of	of
one	one	one
of	of	of
the	the	the
ranger	ranger	ranger
officers	offic	officer
,	,	,
gave	gave	gave
a	a	a
blow	blow	blow
-by-blow	-by-blow	-by-blow
account	account	account
of	of	of
the	the	the
operation	oper	operation
and	and	and
said	said	said
the	the	the
shot	shot	shot
that	that	that
killed	kill	killed
Hapilon	hapilon	Hapilon
came	came	came
from	from	from
a	a	a
gun	gun	gun
mounted	mount	mounted
on	on	on
an	an	an
armored	armor	armored
vehicle	vehicl	vehicle
.	.	.
Members	member	Members
of	of	of
the	the	the
unit	unit	unit
also	also	also
told	told	told
media	media	medium
the	the	the
shot	shot	shot
came	came	came
from	from	from
a	a	a
fixed	fix	fixed
weapon	weapon	weapon
controlled	control	controlled
remotely	remot	remotely
.	.	.
Such	such	Such
weapons	weapon	weapon
are	are	are
typically	typic	typically
50	50	50
-calibre	-calibr	-calibre
machine	machin	machine
guns	gun	gun
.	.	.
The	the	The
arms	arm	arm
you	you	you
gave	gave	gave
us	us	u
,	,	,
helped	help	helped
abbreviate	abbrevi	abbreviate
,	,	,
shorten	shorten	shorten
the	the	the
military	militari	military
fight	fight	fight
there	there	there
,	,	,
Duterte	dutert	Duterte
said	said	said
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
he	he	he
said	said	said
something	someth	something
similar	similar	similar
to	to	to
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
.	.	.
He	he	He
told	told	told
him	him	him
Russia	russia	Russia
had	had	had
helped	help	helped
us	us	u
turn	turn	turn
the	the	the
tide	tide	tide
and	and	and
to	to	to
shorten	shorten	shorten
the	the	the
war	war	war
by	by	by
supplying	suppli	supplying
weapons	weapon	weapon
that	that	that
Philippine	philippin	Philippine
soldiers	soldier	soldier
used	use	used
to	to	to
kill	kill	kill
militant	milit	militant
snipers	sniper	sniper
in	in	in
Marawi	marawi	Marawi
.	.	.
The	the	The
Russian	russian	Russian
arms	arm	arm
were	were	were
actually	actual	actually
delivered	deliv	delivered
two	two	two
days	day	day
after	after	after
military	militari	military
operations	oper	operation
were	were	were
declared	declar	declared
over	over	over
.	.	.
The	the	The
conflict	conflict	conflict
was	was	wa
the	the	the
biggest	biggest	biggest
and	and	and
longest	longest	longest
battle	battl	battle
in	in	in
the	the	the
Philippines	philippin	Philippines
since	sinc	since
World	world	World
War	war	War
Two	two	Two
.	.	.
More	more	More
than	than	than
1	1	1
,	,	,
000	000	000
people	peopl	people
,	,	,
most	most	most
of	of	of
them	them	them
rebel	rebel	rebel
gunmen	gunmen	gunman
,	,	,
were	were	were
killed	kill	killed
and	and	and
353	353	353
,	,	,
000	000	000
were	were	were
displaced	displac	displaced
.	.	.
Duterte	dutert	Duterte
told	told	told
Li	li	Li
China	china	China
s	s	s
help	help	help
came	came	came
at	at	at
the	the	the
crucial	crucial	crucial
moment	moment	moment
when	when	when
we	we	we
needed	need	needed
most	most	most
and	and	and
there	there	there
was	was	wa
nobody	nobodi	nobody
to	to	to
help	help	help
us	us	u
at	at	at
that	that	that
time	time	time
.	.	.
His	his	His
remarks	remark	remark
may	may	may
not	not	not
sit	sit	sit
well	well	well
with	with	with
the	the	the
United	unit	United
States	state	States
and	and	and
Australia	australia	Australia
,	,	,
which	which	which
from	from	from
the	the	the
early	earli	early
stages	stage	stage
of	of	of
the	the	the
conflict	conflict	conflict
were	were	were
providing	provid	providing
technical	technic	technical
support	support	support
to	to	to
Philippine	philippin	Philippine
forces	forc	force
,	,	,
including	includ	including
surveillance	surveil	surveillance
aircraft	aircraft	aircraft
to	to	to
pinpoint	pinpoint	pinpoint
locations	locat	location
of	of	of
militants	milit	militant
.	.	.
Li	li	Li
said	said	said
China	china	China
would	would	would
provide	provid	provide
150	150	150
million	million	million
yuan	yuan	yuan
22	22	22
.	.	.
7	7	7
million	million	million
to	to	to
help	help	help
with	with	with
reconstruction	reconstruct	reconstruction
in	in	in
Marawi	marawi	Marawi
.	.	.
He	he	He
praised	prais	praised
Duterte	dutert	Duterte
for	for	for
last	last	last
year	year	year
putting	put	putting
aside	asid	aside
festering	fester	festering
disputes	disput	dispute
with	with	with
China	china	China
and	and	and
visiting	visit	visiting
Beijing	beij	Beijing
,	,	,
a	a	a
trip	trip	trip
he	he	he
said	said	said
was	was	wa
an	an	an
ice	ice	ice
-breaker	-breaker	-breaker
.	.	.
Philippine	philippin	Philippine
security	secur	security
analyst	analyst	analyst
Renato	renato	Renato
De	de	De
Castro	castro	Castro
said	said	said
the	the	the
information	inform	information
Duterte	dutert	Duterte
gave	gave	gave
to	to	to
Li	li	Li
was	was	wa
inaccurate	inaccur	inaccurate
,	,	,
but	but	but
consistent	consist	consistent
with	with	with
his	his	his
policy	polici	policy
of	of	of
total	total	total
appeasement	appeas	appeasement
of	of	of
China	china	China
.	.	.
I	i	I
m	m	m
really	realli	really
surprised	surpris	surprised
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
whether	whether	whether
it	it	it
s	s	s
flattery	flatteri	flattery
or	or	or
an	an	an
outright	outright	outright
lie	lie	lie
,	,	,
he	he	he
told	told	told
news	news	news
channel	channel	channel
ANC	anc	ANC
.	.	.
