PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
French	french	French
Finance	financ	Finance
Minister	minist	Minister
Bruno	bruno	Bruno
Le	le	Le
Maire	mair	Maire
said	said	said
on	on	on
Saturday	saturday	Saturday
he	he	he
believed	believ	believed
the	the	the
banks	bank	bank
that	that	that
closed	close	closed
the	the	the
accounts	account	account
of	of	of
far	far	far
-right	-right	-right
National	nation	National
Front	front	Front
leader	leader	leader
Marine	marin	Marine
Le	le	Le
Pen	pen	Pen
and	and	and
her	her	her
party	parti	party
had	had	had
good	good	good
reasons	reason	reason
to	to	to
do	do	do
so	so	so
.	.	.

But	but	But
Le	le	Le
Maire	mair	Maire
also	also	also
told	told	told
France	franc	France
Inter	inter	Inter
radio	radio	radio
that	that	that
he	he	he
had	had	had
asked	ask	asked
the	the	the
central	central	central
Bank	bank	Bank
of	of	of
France	franc	France
to	to	to
look	look	look
into	into	into
whether	whether	whether
the	the	the
law	law	law
had	had	had
been	been	been
complied	compli	complied
with	with	with
and	and	and
that	that	that
its	it	it
governor	governor	governor
would	would	would
release	releas	release
his	his	his
conclusions	conclus	conclusion
on	on	on
Monday	monday	Monday
.	.	.

Le	le	Le
Pen	pen	Pen
earlier	earlier	earlier
this	this	this
week	week	week
accused	accus	accused
two	two	two
banks	bank	bank
Societe	societ	Societe
Generale	general	Generale
and	and	and
HSBC	hsbc	HSBC
of	of	of
launching	launch	launching
a	a	a
banking	bank	banking
fatwa	fatwa	fatwa
to	to	to
silence	silenc	silence
her	her	her
National	nation	National
Front	front	Front
party	parti	party
by	by	by
closing	close	closing
bank	bank	bank
accounts	account	account
belonging	belong	belonging
to	to	to
her	her	her
and	and	and
her	her	her
party	parti	party
.	.	.

The	the	The
banks	bank	bank
said	said	said
they	they	they
had	had	had
acted	act	acted
within	within	within
regulatory	regulatori	regulatory
requirements	requir	requirement
but	but	but
declined	declin	declined
to	to	to
offer	offer	offer
fuller	fuller	fuller
explanations	explan	explanation
.	.	.

If	if	If
Societe	societ	Societe
Generale	general	Generale
closes	close	close
the	the	the
accounts	account	account
of	of	of
the	the	the
National	nation	National
Front	front	Front
,	,	,
and	and	and
also	also	also
I	i	I
point	point	point
out	out	out
that	that	that
another	anoth	another
bank	bank	bank
closed	close	closed
the	the	the
personal	person	personal
account	account	account
of	of	of
Marine	marin	Marine
Le	le	Le
Pen	pen	Pen
,	,	,
it	it	it
s	s	s
because	becaus	because
it	it	it
had	had	had
good	good	good
reasons	reason	reason
to	to	to
do	do	do
so	so	so
.	.	.

I	i	I
trust	trust	trust
French	french	French
banking	bank	banking
institutions	institut	institution
,	,	,
Le	le	Le
Maire	mair	Maire
said	said	said
.	.	.

My	my	My
duty	duti	duty
as	as	a
economy	economi	economy
and	and	and
finance	financ	finance
Minister	minist	Minister
is	is	is
to	to	to
verify	verifi	verify
the	the	the
law	law	law
has	has	ha
been	been	been
complied	compli	complied
with	with	with
.	.	.

So	so	So
I	i	I
asked	ask	asked
the	the	the
Bank	bank	Bank
of	of	of
France	franc	France
.	.	.
.	.	.
.	.	.
.	.	.

I	i	I
am	am	am
convinced	convinc	convinced
that	that	that
the	the	the
law	law	law
has	has	ha
been	been	been
complied	compli	complied
with	with	with
and	and	and
that	that	that
these	these	these
banks	bank	bank
had	had	had
good	good	good
reasons	reason	reason
to	to	to
take	take	take
these	these	these
decisions	decis	decision
.	.	.

Le	le	Le
Pen	pen	Pen
was	was	wa
defeated	defeat	defeated
in	in	in
this	this	this
year	year	year
s	s	s
presidential	presidenti	presidential
election	elect	election
and	and	and
her	her	her
party	parti	party
fared	fare	fared
poorly	poor	poorly
in	in	in
parliamentary	parliamentari	parliamentary
elections	elect	election
.	.	.

She	she	She
has	has	ha
accused	accus	accused
French	french	French
banks	bank	bank
of	of	of
being	be	being
politically	polit	politically
biased	bias	biased
for	for	for
not	not	not
lending	lend	lending
to	to	to
her	her	her
campaigns	campaign	campaign
.	.	.

