UNITED	unit	UNITED
NATIONS	nation	NATIONS
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
wants	want	want
to	to	to
cut	cut	cut
1	1	1
billion	billion	billion
from	from	from
the	the	the
total	total	total
United	unit	United
Nations	nation	Nations
peacekeeping	peacekeep	peacekeeping
budget	budget	budget
for	for	for
the	the	the
year	year	year
from	from	from
July	juli	July
1	1	1
to	to	to
shave	shave	shave
over	over	over
10	10	10
percent	percent	percent
off	off	off
Washington	washington	Washington
s	s	s
share	share	share
of	of	of
the	the	the
bill	bill	bill
following	follow	following
calls	call	call
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
funding	fund	funding
to	to	to
be	be	be
slashed	slash	slashed
.	.	.

The	the	The
proposal	propos	proposal
by	by	by
the	the	the
largest	largest	largest
U	u	U
.	.	.
N	n	N
.	.	.
contributor	contributor	contributor
is	is	is
an	an	an
opening	open	opening
bid	bid	bid
in	in	in
negotiations	negoti	negotiation
by	by	by
the	the	the
193	193	193
-member	-member	-member
General	general	General
Assembly	assembl	Assembly
budget	budget	budget
committee	committe	committee
,	,	,
which	which	which
has	has	ha
to	to	to
agree	agre	agree
funding	fund	funding
for	for	for
13	13	13
peacekeeping	peacekeep	peacekeeping
missions	mission	mission
and	and	and
a	a	a
logistics	logist	logistics
support	support	support
office	offic	office
by	by	by
the	the	the
end	end	end
of	of	of
June	june	June
.	.	.

Reuters	reuter	Reuters
reviewed	review	reviewed
a	a	a
document	document	document
compiling	compil	compiling
the	the	the
peacekeeping	peacekeep	peacekeeping
budget	budget	budget
proposals	propos	proposal
by	by	by
states	state	state
and	and	and
regional	region	regional
groups	group	group
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
proposal	propos	proposal
of	of	of
an	an	an
annual	annual	annual
budget	budget	budget
of	of	of
6	6	6
.	.	.
99	99	99
billion	billion	billion
was	was	wa
the	the	the
lowest	lowest	lowest
made	made	made
-	-	-
nearly	near	nearly
1	1	1
billion	billion	billion
less	less	le
than	than	than
U	u	U
.	.	.
N	n	N
.	.	.
chief	chief	chief
Antonio	antonio	Antonio
Guterres	guterr	Guterres
proposal	propos	proposal
and	and	and
almost	almost	almost
570	570	570
million	million	million
less	less	le
than	than	than
the	the	the
recommendation	recommend	recommendation
by	by	by
the	the	the
world	world	world
body	bodi	body
s	s	s
budget	budget	budget
advisory	advisori	advisory
experts	expert	expert
.	.	.

Under	under	Under
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
proposal	propos	proposal
,	,	,
Washington	washington	Washington
would	would	would
have	have	have
to	to	to
pay	pay	pay
1	1	1
.	.	.
99	99	99
billion	billion	billion
compared	compar	compared
with	with	with
2	2	2
.	.	.
25	25	25
billion	billion	billion
for	for	for
the	the	the
current	current	current
year	year	year
.	.	.

While	while	While
Trump	trump	Trump
has	has	ha
described	describ	described
U	u	U
.	.	.
S	s	S
.	.	.
funding	fund	funding
for	for	for
the	the	the
United	unit	United
Nations	nation	Nations
as	as	a
peanuts	peanut	peanut
compared	compar	compared
to	to	to
its	it	it
important	import	important
work	work	work
,	,	,
he	he	he
complains	complain	complains
its	it	it
share	share	share
of	of	of
the	the	the
peacekeeping	peacekeep	peacekeeping
bill	bill	bill
,	,	,
currently	current	currently
28	28	28
.	.	.
5	5	5
percent	percent	percent
,	,	,
is	is	is
unfair	unfair	unfair
.	.	.
In	in	In
his	his	his
2018	2018	2018
budget	budget	budget
proposal	propos	proposal
he	he	he
requested	request	requested
Congress	congress	Congress
approve	approv	approve
only	onli	only
1	1	1
.	.	.
2	2	2
billion	billion	billion
for	for	for
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
.	.	.

This	this	This
is	is	is
1	1	1
billion	billion	billion
less	less	le
than	than	than
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
peacekeeping	peacekeep	peacekeeping
bill	bill	bill
for	for	for
the	the	the
12	12	12
months	month	month
to	to	to
June	june	June
30	30	30
,	,	,
2017	2017	2017
,	,	,
when	when	when
the	the	the
total	total	total
peacekeeping	peacekeep	peacekeeping
budget	budget	budget
was	was	wa
7	7	7
.	.	.
9	9	9
billion	billion	billion
.	.	.

Washington	washington	Washington
currently	current	currently
owes	owe	owes
417	417	417
million	million	million
for	for	for
peacekeeping	peacekeep	peacekeeping
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
officials	offici	official
said	said	said
.	.	.

Ultimately	ultim	Ultimately
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
sets	set	set
the	the	the
federal	feder	federal
government	govern	government
budget	budget	budget
and	and	and
will	will	will
decide	decid	decide
how	how	how
much	much	much
money	money	money
is	is	is
made	made	made
available	avail	available
for	for	for
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
.	.	.

Republicans	republican	Republicans
,	,	,
who	who	who
control	control	control
both	both	both
houses	hous	house
,	,	,
and	and	and
Democrats	democrat	Democrats
have	have	have
said	said	said
they	they	they
do	do	do
not	not	not
support	support	support
drastic	drastic	drastic
cuts	cut	cut
proposed	propos	proposed
by	by	by
Trump	trump	Trump
.	.	.

Under	under	Under
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
proposal	propos	proposal
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
budget	budget	budget
committee	committe	committee
,	,	,
the	the	the
largest	largest	largest
cuts	cut	cut
would	would	would
be	be	be
made	made	made
to	to	to
some	some	some
of	of	of
the	the	the
most	most	most
expensive	expens	expensive
operations	oper	operation
in	in	in
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
,	,	,
Mali	mali	Mali
and	and	and
Sudan	sudan	Sudan
s	s	s
Darfur	darfur	Darfur
,	,	,
according	accord	according
to	to	to
the	the	the
document	document	document
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.

The	the	The
193	193	193
U	u	U
.	.	.
N	n	N
.	.	.
member	member	member
states	state	state
are	are	are
working	work	working
to	to	to
negotiate	negoti	negotiate
a	a	a
compromise	compromis	compromise
by	by	by
the	the	the
end	end	end
of	of	of
the	the	the
month	month	month
between	between	between
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
proposal	propos	proposal
,	,	,
at	at	at
the	the	the
low	low	low
end	end	end
of	of	of
the	the	the
scale	scale	scale
,	,	,
and	and	and
the	the	the
highest	highest	highest
suggestion	suggest	suggestion
of	of	of
7	7	7
.	.	.
72	72	72
billion	billion	billion
by	by	by
the	the	the
African	african	African
Group	group	Group
,	,	,
according	accord	according
to	to	to
the	the	the
document	document	document
.	.	.

Trump	trump	Trump
also	also	also
wants	want	want
to	to	to
enforce	enforc	enforce
a	a	a
25	25	25
percent	percent	percent
cap	cap	cap
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
contribution	contribut	contribution
to	to	to
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
General	general	General
Assembly	assembl	Assembly
is	is	is
due	due	due
to	to	to
negotiate	negoti	negotiate
next	next	next
year	year	year
new	new	new
levels	level	level
of	of	of
contributions	contribut	contribution
by	by	by
countries	countri	country
for	for	for
2019	2019	2019
,	,	,
2020	2020	2020
and	and	and
2021	2021	2021
.	.	.

The	the	The
United	unit	United
States	state	States
also	also	also
pays	pay	pay
22	22	22
percent	percent	percent
of	of	of
the	the	the
5	5	5
.	.	.
4	4	4
billion	billion	billion
U	u	U
.	.	.
N	n	N
.	.	.
core	core	core
budget	budget	budget
.	.	.

Guterres	guterr	Guterres
has	has	ha
pledged	pledg	pledged
to	to	to
make	make	make
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
more	more	more
efficient	effici	efficient
but	but	but
has	has	ha
noted	note	noted
that	that	that
the	the	the
current	current	current
budget	budget	budget
to	to	to
fund	fund	fund
it	it	it
is	is	is
less	less	le
than	than	than
one	one	one
half	half	half
of	of	of
1	1	1
percent	percent	percent
of	of	of
global	global	global
military	militari	military
spending	spend	spending
.	.	.

