SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.

Reuters	reuter	Reuters
-	-	-
More	more	More
people	peopl	people
have	have	have
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
California	california	California
since	sinc	since
the	the	the
last	last	last
major	major	major
election	elect	election
in	in	in
2012	2012	2012
,	,	,
but	but	but
the	the	the
number	number	number
of	of	of
Republicans	republican	Republicans
in	in	in
the	the	the
Democrat	democrat	Democrat
-dominated	-domin	-dominated
state	state	state
continues	continu	continues
to	to	to
drop	drop	drop
,	,	,
according	accord	according
to	to	to
state	state	state
data	data	data
released	releas	released
.	.	.

Democrats	democrat	Democrats
hold	hold	hold
all	all	all
statewide	statewid	statewide
elective	elect	elective
offices	offic	office
and	and	and
large	larg	large
majorities	major	majority
in	in	in
both	both	both
houses	hous	house
of	of	of
the	the	the
legislature	legislatur	legislature
in	in	in
the	the	the
most	most	most
populous	popul	populous
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
.	.	.

There	there	There
were	were	were
just	just	just
under	under	under
4	4	4
.	.	.
8	8	8
million	million	million
Republicans	republican	Republicans
registered	regist	registered
in	in	in
the	the	the
state	state	state
as	as	a
of	of	of
Jan	jan	Jan
.	.	.

3	3	3
,	,	,
down	down	down
from	from	from
nearly	near	nearly
5	5	5
.	.	.
2	2	2
million	million	million
in	in	in
early	earli	early
January	januari	January
2012	2012	2012
,	,	,
the	the	the
last	last	last
presidential	presidenti	presidential
election	elect	election
cycle	cycl	cycle
,	,	,
Secretary	secretari	Secretary
of	of	of
State	state	State
Alex	alex	Alex
Padilla	padilla	Padilla
said	said	said
Monday	monday	Monday
.	.	.

Republicans	republican	Republicans
accounted	account	accounted
for	for	for
27	27	27
.	.	.
62	62	62
percent	percent	percent
of	of	of
registered	regist	registered
voters	voter	voter
in	in	in
California	california	California
,	,	,
down	down	down
from	from	from
30	30	30
.	.	.
36	36	36
percent	percent	percent
in	in	in
2012	2012	2012
,	,	,
according	accord	according
to	to	to
the	the	the
data	data	data
,	,	,
which	which	which
was	was	wa
posted	post	posted
on	on	on
Padilla	padilla	Padilla
s	s	s
state	state	state
website	websit	website
.	.	.

Most	most	Most
of	of	of
that	that	that
change	chang	change
was	was	wa
reflected	reflect	reflected
in	in	in
the	the	the
number	number	number
of	of	of
voters	voter	voter
registering	regist	registering
as	as	a
independents	independ	independent
,	,	,
which	which	which
went	went	went
up	up	up
by	by	by
just	just	just
under	under	under
3	3	3
percent	percent	percent
.	.	.

In	in	In
January	januari	January
2016	2016	2016
,	,	,
the	the	the
number	number	number
of	of	of
Californians	californian	Californians
indicating	indic	indicating
that	that	that
they	they	they
preferred	prefer	preferred
not	not	not
to	to	to
state	state	state
a	a	a
party	parti	party
preference	prefer	preference
was	was	wa
4	4	4
.	.	.
1	1	1
million	million	million
,	,	,
up	up	up
from	from	from
3	3	3
.	.	.
6	6	6
million	million	million
in	in	in
2012	2012	2012
.	.	.

Independents	independ	Independents
accounted	account	accounted
for	for	for
24	24	24
percent	percent	percent
of	of	of
all	all	all
registered	regist	registered
voters	voter	voter
in	in	in
2016	2016	2016
,	,	,
up	up	up
from	from	from
about	about	about
21	21	21
percent	percent	percent
in	in	in
2012	2012	2012
.	.	.

The	the	The
number	number	number
of	of	of
Democrats	democrat	Democrats
remained	remain	remained
about	about	about
the	the	the
same	same	same
at	at	at
roughly	rough	roughly
7	7	7
.	.	.
4	4	4
million	million	million
.	.	.

The	the	The
number	number	number
of	of	of
people	peopl	people
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
California	california	California
rose	rose	rose
by	by	by
about	about	about
231	231	231
,	,	,
000	000	000
since	sinc	since
2012	2012	2012
to	to	to
17	17	17
.	.	.
3	3	3
million	million	million
.	.	.

Reporting	report	Reporting
by	by	by
Sharon	sharon	Sharon
Bernstein	bernstein	Bernstein
;	;	;
Editing	edit	Editing
by	by	by
Cynthia	cynthia	Cynthia
Osterman	osterman	Osterman
This	this	This
article	articl	article
was	was	wa
funded	fund	funded
in	in	in
part	part	part
by	by	by
SAP	sap	SAP
.	.	.

It	it	It
was	was	wa
independently	independ	independently
created	creat	created
by	by	by
the	the	the
Reuters	reuter	Reuters
editorial	editori	editorial
staff	staff	staff
.	.	.

SAP	sap	SAP
had	had	had
no	no	no
editorial	editori	editorial
involvement	involv	involvement
in	in	in
its	it	it
creation	creation	creation
or	or	or
production	product	production
.	.	.

