Reuters	reuter	Reuters
-	-	-
The	the	The
South	south	South
Dakota	dakota	Dakota
House	hous	House
of	of	of
Representatives	repres	Representatives
failed	fail	failed
on	on	on
Thursday	thursday	Thursday
to	to	to
override	overrid	override
a	a	a
veto	veto	veto
by	by	by
Governor	governor	Governor
Dennis	denni	Dennis
Daugaard	daugaard	Daugaard
of	of	of
a	a	a
bill	bill	bill
that	that	that
would	would	would
have	have	have
made	made	made
the	the	the
state	state	state
the	the	the
first	first	first
in	in	in
the	the	the
United	unit	United
States	state	States
to	to	to
dictate	dictat	dictate
what	what	what
bathrooms	bathroom	bathroom
transgender	transgend	transgender
students	student	student
can	can	can
use	use	use
in	in	in
public	public	public
schools	school	school
.	.	.

By	by	By
a	a	a
vote	vote	vote
of	of	of
36	36	36
-29	-29	-29
,	,	,
supporters	support	supporter
of	of	of
the	the	the
bill	bill	bill
did	did	did
not	not	not
muster	muster	muster
the	the	the
two	two	two
-thirds	-third	-thirds
vote	vote	vote
required	requir	required
in	in	in
both	both	both
chambers	chamber	chamber
to	to	to
override	overrid	override
the	the	the
veto	veto	veto
.	.	.

The	the	The
Republican	republican	Republican
-controlled	-control	-controlled
House	hous	House
had	had	had
approved	approv	approved
the	the	the
bill	bill	bill
beyond	beyond	beyond
that	that	that
threshold	threshold	threshold
in	in	in
January	januari	January
.	.	.

The	the	The
proposed	propos	proposed
law	law	law
would	would	would
have	have	have
required	requir	required
transgender	transgend	transgender
pupils	pupil	pupil
to	to	to
use	use	use
restrooms	restroom	restroom
and	and	and
locker	locker	locker
rooms	room	room
in	in	in
public	public	public
schools	school	school
that	that	that
correspond	correspond	correspond
to	to	to
their	their	their
gender	gender	gender
at	at	at
birth	birth	birth
.	.	.

Supporters	support	Supporters
,	,	,
including	includ	including
conservative	conserv	conservative
Christian	christian	Christian
groups	group	group
such	such	such
as	as	a
Family	famili	Family
Heritage	heritag	Heritage
Alliance	allianc	Alliance
Action	action	Action
,	,	,
said	said	said
the	the	the
bill	bill	bill
would	would	would
enhance	enhanc	enhance
the	the	the
privacy	privaci	privacy
of	of	of
all	all	all
students	student	student
.	.	.

But	but	But
civil	civil	civil
rights	right	right
groups	group	group
said	said	said
the	the	the
measure	measur	measure
would	would	would
expose	expos	expose
schools	school	school
to	to	to
legal	legal	legal
challenges	challeng	challenge
over	over	over
access	access	access
to	to	to
restrooms	restroom	restroom
and	and	and
that	that	that
it	it	it
violated	violat	violated
Title	titl	Title
IX	ix	IX
,	,	,
a	a	a
federal	feder	federal
rule	rule	rule
regarding	regard	regarding
discrimination	discrimin	discrimination
in	in	in
public	public	public
schools	school	school
.	.	.

Fairness	fair	Fairness
and	and	and
equality	equal	equality
have	have	have
prevailed	prevail	prevailed
over	over	over
this	this	this
unconscionable	unconscion	unconscionable
legislative	legisl	legislative
assault	assault	assault
on	on	on
transgender	transgend	transgender
children	children	child
,	,	,
said	said	said
Chad	chad	Chad
Griffin	griffin	Griffin
,	,	,
president	presid	president
of	of	of
the	the	the
Washington	washington	Washington
-based	-base	-based
Human	human	Human
Rights	right	Rights
Campaign	campaign	Campaign
,	,	,
a	a	a
gay	gay	gay
,	,	,
lesbian	lesbian	lesbian
,	,	,
bisexual	bisexu	bisexual
and	and	and
transgender	transgend	transgender
civil	civil	civil
rights	right	right
organization	organ	organization
,	,	,
reacting	react	reacting
to	to	to
the	the	the
vote	vote	vote
on	on	on
Thursday	thursday	Thursday
.	.	.

The	the	The
bill	bill	bill
would	would	would
have	have	have
required	requir	required
schools	school	school
to	to	to
provide	provid	provide
reasonable	reason	reasonable
accommodations	accommod	accommodation
for	for	for
transgender	transgend	transgender
students	student	student
.	.	.

Those	those	Those
accommodations	accommod	accommodation
include	includ	include
a	a	a
single	singl	single
-occupancy	-occup	-occupancy
restroom	restroom	restroom
,	,	,
a	a	a
unisex	unisex	unisex
restroom	restroom	restroom
or	or	or
the	the	the
supervised	supervis	supervised
use	use	use
of	of	of
a	a	a
restroom	restroom	restroom
,	,	,
locker	locker	locker
room	room	room
or	or	or
shower	shower	shower
room	room	room
designated	design	designated
for	for	for
use	use	use
by	by	by
faculty	faculti	faculty
.	.	.

In	in	In
vetoing	veto	vetoing
the	the	the
bill	bill	bill
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Daugaard	daugaard	Daugaard
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
said	said	said
it	it	it
would	would	would
invite	invit	invite
conflict	conflict	conflict
and	and	and
litigation	litig	litigation
,	,	,
diverting	divert	diverting
resources	resourc	resource
from	from	from
education	educ	education
.	.	.

In	in	In
December	decemb	December
,	,	,
a	a	a
suburban	suburban	suburban
Chicago	chicago	Chicago
school	school	school
district	district	district
reached	reach	reached
an	an	an
accord	accord	accord
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
over	over	over
locker	locker	locker
room	room	room
access	access	access
for	for	for
a	a	a
transgender	transgend	transgender
student	student	student
after	after	after
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Education	educ	Education
s	s	s
Office	offic	Office
of	of	of
Civil	civil	Civil
Rights	right	Rights
found	found	found
the	the	the
district	district	district
discriminated	discrimin	discriminated
against	against	against
the	the	the
student	student	student
in	in	in
violation	violat	violation
of	of	of
Title	titl	Title
IX	ix	IX
.	.	.

Daugaard	daugaard	Daugaard
s	s	s
veto	veto	veto
came	came	came
about	about	about
a	a	a
month	month	month
after	after	after
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
appeals	appeal	appeal
court	court	court
heard	heard	heard
arguments	argument	argument
over	over	over
whether	whether	whether
a	a	a
high	high	high
school	school	school
in	in	in
Virginia	virginia	Virginia
should	should	should
be	be	be
ordered	order	ordered
to	to	to
allow	allow	allow
a	a	a
transgender	transgend	transgender
male	male	male
student	student	student
to	to	to
use	use	use
the	the	the
boys	boy	boy
bathroom	bathroom	bathroom
.	.	.

Last	last	Last
week	week	week
,	,	,
local	local	local
lawmakers	lawmak	lawmaker
in	in	in
Charlotte	charlott	Charlotte
,	,	,
North	north	North
Carolina	carolina	Carolina
,	,	,
voted	vote	voted
to	to	to
allow	allow	allow
transgender	transgend	transgender
people	peopl	people
to	to	to
use	use	use
public	public	public
bathrooms	bathroom	bathroom
matching	match	matching
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.

Republican	republican	Republican
State	state	State
House	hous	House
of	of	of
Representatives	repres	Representatives
Speaker	speaker	Speaker
Tim	tim	Tim
Moore	moor	Moore
said	said	said
he	he	he
would	would	would
consider	consid	consider
legislation	legisl	legislation
to	to	to
block	block	block
the	the	the
measure	measur	measure
.	.	.

