DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Emirates	emir	Emirates
and	and	and
flydubai	flydubai	flydubai
have	have	have
resumed	resum	resumed
using	use	using
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
for	for	for
flights	flight	flight
to	to	to
other	other	other
countries	countri	country
,	,	,
the	the	the
Middle	middl	Middle
East	east	East
airlines	airlin	airline
said	said	said
on	on	on
Monday	monday	Monday
,	,	,
two	two	two
days	day	day
after	after	after
Iraq	iraq	Iraq
declared	declar	declared
victory	victori	victory
in	in	in
its	it	it
years	year	year
-long	-long	-long
fight	fight	fight
against	against	against
Islamic	islam	Islamic
state	state	state
.	.	.
Several	sever	Several
airlines	airlin	airline
stopped	stop	stopped
flying	fli	flying
over	over	over
Iraq	iraq	Iraq
in	in	in
2014	2014	2014
on	on	on
safety	safeti	safety
concerns	concern	concern
because	becaus	because
of	of	of
the	the	the
conflict	conflict	conflict
and	and	and
after	after	after
a	a	a
Malaysian	malaysian	Malaysian
Airlines	airlin	Airlines
passenger	passeng	passenger
jet	jet	jet
was	was	wa
shot	shot	shot
down	down	down
over	over	over
Ukraine	ukrain	Ukraine
the	the	the
same	same	same
year	year	year
.	.	.
Airlines	airlin	Airlines
have	have	have
instead	instead	instead
been	been	been
flying	fli	flying
longer	longer	longer
routes	rout	route
over	over	over
Iran	iran	Iran
and	and	and
other	other	other
countries	countri	country
,	,	,
increasing	increas	increasing
congestion	congest	congestion
in	in	in
the	the	the
region	region	region
,	,	,
with	with	with
many	mani	many
airlines	airlin	airline
also	also	also
avoiding	avoid	avoiding
Syrian	syrian	Syrian
airspace	airspac	airspace
.	.	.
The	the	The
use	use	use
of	of	of
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
is	is	is
likely	like	likely
to	to	to
help	help	help
Emirates	emir	Emirates
and	and	and
flydubai	flydubai	flydubai
to	to	to
save	save	save
on	on	on
fuel	fuel	fuel
costs	cost	cost
by	by	by
shortening	shorten	shortening
flying	fli	flying
hours	hour	hour
and	and	and
also	also	also
reduce	reduc	reduce
regional	region	regional
airspace	airspac	airspace
congestion	congest	congestion
.	.	.
Emirates	emir	Emirates
has	has	ha
resumed	resum	resumed
utilizing	util	utilizing
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
and	and	and
a	a	a
very	veri	very
small	small	small
number	number	number
of	of	of
our	our	our
flights	flight	flight
overfly	overfli	overfly
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
each	each	each
day	day	day
,	,	,
an	an	an
airline	airlin	airline
spokeswoman	spokeswoman	spokeswoman
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.
The	the	The
spokeswoman	spokeswoman	spokeswoman
said	said	said
that	that	that
Emirates	emir	Emirates
reviews	review	review
its	it	it
flight	flight	flight
operations	oper	operation
regularly	regular	regularly
,	,	,
in	in	in
line	line	line
with	with	with
advice	advic	advice
from	from	from
regulators	regul	regulator
and	and	and
authorities	author	authority
.	.	.
Safety	safeti	Safety
,	,	,
security	secur	security
and	and	and
operational	oper	operational
efficiency	effici	efficiency
will	will	will
always	alway	always
be	be	be
the	the	the
top	top	top
considerations	consider	consideration
when	when	when
planning	plan	planning
flight	flight	flight
paths	path	path
,	,	,
the	the	the
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.
Emirates	emir	Emirates
did	did	did
not	not	not
say	say	say
when	when	when
it	it	it
started	start	started
flying	fli	flying
over	over	over
Iraq	iraq	Iraq
again	again	again
or	or	or
which	which	which
routes	rout	route
were	were	were
affected	affect	affected
.	.	.
Airlines	airlin	Airlines
flying	fli	flying
through	through	through
the	the	the
region	region	region
have	have	have
in	in	in
the	the	the
past	past	past
used	use	used
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
for	for	for
flights	flight	flight
to	to	to
Europe	europ	Europe
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.
Flydubai	flydubai	Flydubai
started	start	started
using	use	using
eastern	eastern	eastern
Iraqi	iraqi	Iraqi
airspace	airspac	airspace
again	again	again
on	on	on
Nov	nov	Nov
.	.	.
28	28	28
,	,	,
mostly	most	mostly
affecting	affect	affecting
flights	flight	flight
to	to	to
and	and	and
from	from	from
Eastern	eastern	Eastern
Europe	europ	Europe
and	and	and
Turkey	turkey	Turkey
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.
All	all	All
the	the	the
necessary	necessari	necessary
risk	risk	risk
and	and	and
security	secur	security
assessments	assess	assessment
were	were	were
conducted	conduct	conducted
prior	prior	prior
to	to	to
the	the	the
start	start	start
of	of	of
overflying	overfli	overflying
,	,	,
the	the	the
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.
Iraqi	iraqi	Iraqi
forces	forc	force
recaptured	recaptur	recaptured
the	the	the
last	last	last
areas	area	area
still	still	still
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
along	along	along
the	the	the
border	border	border
with	with	with
Syria	syria	Syria
on	on	on
Saturday	saturday	Saturday
and	and	and
secured	secur	secured
the	the	the
western	western	western
desert	desert	desert
,	,	,
marking	mark	marking
the	the	the
end	end	end
of	of	of
the	the	the
war	war	war
against	against	against
the	the	the
militants	milit	militant
three	three	three
years	year	year
after	after	after
they	they	they
had	had	had
captured	captur	captured
about	about	about
a	a	a
third	third	third
of	of	of
Iraq	iraq	Iraq
s	s	s
territory	territori	territory
.	.	.
Emirates	emir	Emirates
and	and	and
flydubai	flydubai	flydubai
have	have	have
continued	continu	continued
flying	fli	flying
to	to	to
and	and	and
from	from	from
Iraq	iraq	Iraq
since	sinc	since
2014	2014	2014
but	but	but
with	with	with
temporary	temporari	temporary
suspensions	suspens	suspension
on	on	on
some	some	some
flights	flight	flight
from	from	from
time	time	time
to	to	to
time	time	time
.	.	.
