PRINCETON	princeton	PRINCETON
,	,	,
N	n	N
.	.	.
J	j	J
.	.	.
Reuters	reuter	Reuters
-	-	-
A	a	A
citizen	citizen	citizen
s	s	s
complaint	complaint	complaint
against	against	against
New	new	New
Jersey	jersey	Jersey
Governor	governor	Governor
Chris	chris	Chris
Christie	christi	Christie
related	relat	related
to	to	to
the	the	the
Bridgegate	bridgeg	Bridgegate
lane	lane	lane
-closure	-closur	-closure
scandal	scandal	scandal
can	can	can
move	move	move
forward	forward	forward
,	,	,
a	a	a
judge	judg	judge
ruled	rule	ruled
on	on	on
Thursday	thursday	Thursday
,	,	,
referring	refer	referring
the	the	the
case	case	case
to	to	to
state	state	state
prosecutors	prosecutor	prosecutor
to	to	to
consider	consid	consider
possible	possibl	possible
criminal	crimin	criminal
charges	charg	charge
.	.	.

Roy	roy	Roy
McGeady	mcgeadi	McGeady
,	,	,
the	the	the
presiding	presid	presiding
judge	judg	judge
for	for	for
Bergen	bergen	Bergen
County	counti	County
municipal	municip	municipal
courts	court	court
,	,	,
found	found	found
probable	probabl	probable
cause	caus	cause
for	for	for
the	the	the
criminal	crimin	criminal
complaint	complaint	complaint
filed	file	filed
last	last	last
month	month	month
by	by	by
Bill	bill	Bill
Brennan	brennan	Brennan
,	,	,
an	an	an
activist	activist	activist
and	and	and
retired	retir	retired
firefighter	firefight	firefighter
,	,	,
a	a	a
court	court	court
official	offici	official
confirmed	confirm	confirmed
.	.	.

The	the	The
complaint	complaint	complaint
of	of	of
official	offici	official
misconduct	misconduct	misconduct
accused	accus	accused
Christie	christi	Christie
of	of	of
knowing	know	knowing
about	about	about
a	a	a
plot	plot	plot
to	to	to
close	close	close
down	down	down
lanes	lane	lane
at	at	at
the	the	the
George	georg	George
Washington	washington	Washington
Bridge	bridg	Bridge
as	as	a
an	an	an
act	act	act
of	of	of
political	polit	political
payback	payback	payback
.	.	.

The	the	The
governor	governor	governor
has	has	ha
repeatedly	repeat	repeatedly
denied	deni	denied
any	ani	any
prior	prior	prior
knowledge	knowledg	knowledge
of	of	of
the	the	the
closures	closur	closure
,	,	,
which	which	which
created	creat	created
massive	massiv	massive
traffic	traffic	traffic
jams	jam	jam
in	in	in
northern	northern	northern
New	new	New
Jersey	jersey	Jersey
.	.	.

The	the	The
ruling	rule	ruling
ratchets	ratchet	ratchet
up	up	up
the	the	the
political	polit	political
pressure	pressur	pressure
on	on	on
Christie	christi	Christie
,	,	,
who	who	who
became	becam	became
a	a	a
major	major	major
supporter	support	supporter
of	of	of
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
after	after	after
dropping	drop	dropping
his	his	his
own	own	own
White	white	White
House	hous	House
bid	bid	bid
and	and	and
now	now	now
heads	head	head
his	his	his
White	white	White
House	hous	House
transition	transit	transition
team	team	team
.	.	.

The	the	The
controversy	controversi	controversy
surrounding	surround	surrounding
the	the	the
scandal	scandal	scandal
,	,	,
which	which	which
has	has	ha
resulted	result	resulted
in	in	in
criminal	crimin	criminal
charges	charg	charge
against	against	against
two	two	two
of	of	of
Christie	christi	Christie
s	s	s
associates	associ	associate
,	,	,
helped	help	helped
scuttle	scuttl	scuttle
his	his	his
bid	bid	bid
for	for	for
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
and	and	and
has	has	ha
eroded	erod	eroded
the	the	the
governor	governor	governor
s	s	s
approval	approv	approval
ratings	rate	rating
in	in	in
New	new	New
Jersey	jersey	Jersey
.	.	.

The	the	The
misconduct	misconduct	misconduct
case	case	case
now	now	now
moves	move	move
to	to	to
the	the	the
Bergen	bergen	Bergen
County	counti	County
Prosecutor	prosecutor	Prosecutor
s	s	s
Office	offic	Office
,	,	,
which	which	which
will	will	will
decide	decid	decide
whether	whether	whether
enough	enough	enough
evidence	evid	evidence
exists	exist	exists
to	to	to
support	support	support
a	a	a
criminal	crimin	criminal
charge	charg	charge
.	.	.

The	the	The
office	offic	office
has	has	ha
no	no	no
comment	comment	comment
at	at	at
this	this	this
time	time	time
,	,	,
spokeswoman	spokeswoman	spokeswoman
Maureen	maureen	Maureen
Parenta	parenta	Parenta
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.

Brennan	brennan	Brennan
filed	file	filed
the	the	the
complaint	complaint	complaint
in	in	in
municipal	municip	municipal
court	court	court
in	in	in
Fort	fort	Fort
Lee	lee	Lee
,	,	,
New	new	New
Jersey	jersey	Jersey
,	,	,
where	where	where
Christie	christi	Christie
allies	alli	ally
were	were	were
accused	accus	accused
of	of	of
deliberately	deliber	deliberately
causing	caus	causing
a	a	a
massive	massiv	massive
traffic	traffic	traffic
jam	jam	jam
in	in	in
September	septemb	September
2013	2013	2013
by	by	by
closing	close	closing
access	access	access
lanes	lane	lane
to	to	to
the	the	the
George	georg	George
Washington	washington	Washington
Bridge	bridg	Bridge
in	in	in
order	order	order
to	to	to
punish	punish	punish
the	the	the
town	town	town
s	s	s
mayor	mayor	mayor
.	.	.

The	the	The
bridge	bridg	bridge
is	is	is
a	a	a
major	major	major
link	link	link
to	to	to
New	new	New
York	york	York
City	citi	City
.	.	.

The	the	The
two	two	two
Christie	christi	Christie
associates	associ	associate
-	-	-
his	his	his
former	former	former
deputy	deputi	deputy
chief	chief	chief
of	of	of
staff	staff	staff
,	,	,
Bridget	bridget	Bridget
Kelly	kelli	Kelly
,	,	,
and	and	and
former	former	former
Port	port	Port
Authority	author	Authority
of	of	of
New	new	New
York	york	York
and	and	and
New	new	New
Jersey	jersey	Jersey
executive	execut	executive
Bill	bill	Bill
Baroni	baroni	Baroni
-	-	-
have	have	have
been	been	been
on	on	on
trial	trial	trial
in	in	in
federal	feder	federal
court	court	court
in	in	in
Newark	newark	Newark
,	,	,
New	new	New
Jersey	jersey	Jersey
,	,	,
for	for	for
their	their	their
alleged	alleg	alleged
roles	role	role
in	in	in
the	the	the
scandal	scandal	scandal
.	.	.

Brennan	brennan	Brennan
s	s	s
complaint	complaint	complaint
was	was	wa
based	base	based
on	on	on
testimony	testimoni	testimony
from	from	from
David	david	David
Wildstein	wildstein	Wildstein
,	,	,
another	anoth	another
Port	port	Port
Authority	author	Authority
executive	execut	executive
who	who	who
pleaded	plead	pleaded
guilty	guilti	guilty
in	in	in
the	the	the
case	case	case
and	and	and
has	has	ha
been	been	been
cooperating	cooper	cooperating
with	with	with
prosecutors	prosecutor	prosecutor
,	,	,
that	that	that
Christie	christi	Christie
was	was	wa
aware	awar	aware
of	of	of
the	the	the
lane	lane	lane
closures	closur	closure
at	at	at
the	the	the
time	time	time
.	.	.

A	a	A
Christie	christi	Christie
spokesman	spokesman	spokesman
,	,	,
Brian	brian	Brian
Murray	murray	Murray
,	,	,
said	said	said
the	the	the
governor	governor	governor
would	would	would
appeal	appeal	appeal
the	the	the
ruling	rule	ruling
immediately	immedi	immediately
.	.	.

This	this	This
is	is	is
a	a	a
dishonorable	dishonor	dishonorable
complaint	complaint	complaint
filed	file	filed
by	by	by
a	a	a
known	known	known
serial	serial	serial
complainant	complain	complainant
and	and	and
political	polit	political
activist	activist	activist
with	with	with
a	a	a
history	histori	history
of	of	of
abusing	abus	abusing
the	the	the
judicial	judici	judicial
system	system	system
,	,	,
Murray	murray	Murray
said	said	said
.	.	.

The	the	The
simple	simpl	simple
fact	fact	fact
is	is	is
the	the	the
governor	governor	governor
had	had	had
no	no	no
knowledge	knowledg	knowledge
of	of	of
the	the	the
lane	lane	lane
realignments	realign	realignments
either	either	either
before	befor	before
they	they	they
happened	happen	happened
or	or	or
while	while	while
they	they	they
were	were	were
happening	happen	happening
.	.	.

This	this	This
matter	matter	matter
has	has	ha
already	alreadi	already
been	been	been
thoroughly	thorough	thoroughly
investigated	investig	investigated
by	by	by
three	three	three
separate	separ	separate
independent	independ	independent
investigations	investig	investigation
.	.	.
Brennan	brennan	Brennan
has	has	ha
filed	file	filed
numerous	numer	numerous
complaints	complaint	complaint
,	,	,
as	as	a
well	well	well
as	as	a
lawsuits	lawsuit	lawsuit
,	,	,
against	against	against
various	various	various
officials	offici	official
in	in	in
New	new	New
Jersey	jersey	Jersey
over	over	over
the	the	the
years	year	year
.	.	.

Federal	feder	Federal
prosecutors	prosecutor	prosecutor
have	have	have
accused	accus	accused
Kelly	kelli	Kelly
,	,	,
Baroni	baroni	Baroni
and	and	and
Wildstein	wildstein	Wildstein
of	of	of
orchestrating	orchestr	orchestrating
the	the	the
lane	lane	lane
closures	closur	closure
to	to	to
send	send	send
a	a	a
message	messag	message
to	to	to
Fort	fort	Fort
Lee	lee	Lee
Mayor	mayor	Mayor
Michael	michael	Michael
Sokolich	sokolich	Sokolich
after	after	after
the	the	the
Democrat	democrat	Democrat
refused	refus	refused
to	to	to
endorse	endors	endorse
Christie	christi	Christie
s	s	s
2013	2013	2013
gubernatorial	gubernatori	gubernatorial
re	re	re
-election	-elect	-election
campaign	campaign	campaign
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
Christie	christi	Christie
was	was	wa
already	alreadi	already
eyeing	eye	eyeing
a	a	a
White	white	White
House	hous	House
run	run	run
,	,	,
and	and	and
his	his	his
advisers	advis	adviser
believed	believ	believed
a	a	a
show	show	show
of	of	of
bipartisan	bipartisan	bipartisan
support	support	support
would	would	would
help	help	help
enhance	enhanc	enhance
his	his	his
national	nation	national
standing	stand	standing
.	.	.

Christie	christi	Christie
,	,	,
54	54	54
,	,	,
was	was	wa
among	among	among
the	the	the
17	17	17
Republicans	republican	Republicans
who	who	who
originally	origin	originally
vied	vie	vied
for	for	for
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
,	,	,
but	but	but
he	he	he
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
race	race	race
in	in	in
February	februari	February
after	after	after
failing	fail	failing
to	to	to
gain	gain	gain
traction	traction	traction
in	in	in
the	the	the
early	earli	early
voting	vote	voting
.	.	.

He	he	He
became	becam	became
one	one	one
of	of	of
eventual	eventu	eventual
nominee	nomine	nominee
Trump	trump	Trump
s	s	s
staunchest	staunchest	staunchest
supporters	support	supporter
.	.	.

As	as	As
head	head	head
of	of	of
the	the	the
New	new	New
York	york	York
businessman	businessman	businessman
s	s	s
transition	transit	transition
team	team	team
,	,	,
he	he	he
would	would	would
work	work	work
to	to	to
smooth	smooth	smooth
the	the	the
handover	handov	handover
from	from	from
Democratic	democrat	Democratic
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
to	to	to
Trump	trump	Trump
should	should	should
Trump	trump	Trump
defeat	defeat	defeat
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
election	elect	election
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
are	are	are
nearing	near	nearing
the	the	the
end	end	end
of	of	of
their	their	their
case	case	case
against	against	against
Kelly	kelli	Kelly
and	and	and
Baroni	baroni	Baroni
after	after	after
four	four	four
weeks	week	week
of	of	of
testimony	testimoni	testimony
.	.	.

Lawyers	lawyer	Lawyers
for	for	for
the	the	the
two	two	two
defendants	defend	defendant
have	have	have
argued	argu	argued
that	that	that
virtually	virtual	virtually
the	the	the
entire	entir	entire
Christie	christi	Christie
administration	administr	administration
was	was	wa
aware	awar	aware
of	of	of
the	the	the
scheme	scheme	scheme
and	and	and
have	have	have
portrayed	portray	portrayed
Kelly	kelli	Kelly
and	and	and
Baroni	baroni	Baroni
as	as	a
scapegoats	scapegoat	scapegoat
.	.	.

Both	both	Both
were	were	were
expected	expect	expected
to	to	to
take	take	take
the	the	the
witness	wit	witness
stand	stand	stand
in	in	in
their	their	their
defense	defens	defense
.	.	.

