ABOARD	aboard	ABOARD
THE	the	THE
PAPAL	papal	PAPAL
PLANE	plane	PLANE
Reuters	reuter	Reuters
-	-	-
Pope	pope	Pope
Francis	franci	Francis
said	said	said
he	he	he
hoped	hope	hoped
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
would	would	would
re	re	re
-think	-think	-think
his	his	his
decision	decis	decision
to	to	to
end	end	end
a	a	a
program	program	program
protecting	protect	protecting
undocumented	undocu	undocumented
immigrant	immigr	immigrant
children	children	child
,	,	,
saying	say	saying
it	it	it
was	was	wa
important	import	important
for	for	for
young	young	young
people	peopl	people
to	to	to
have	have	have
roots	root	root
.	.	.
One	one	One
hopes	hope	hope
that	that	that
it	it	it
is	is	is
re	re	re
-thought	-thought	-thought
somewhat	somewhat	somewhat
,	,	,
Francis	franci	Francis
said	said	said
on	on	on
Sunday	sunday	Sunday
in	in	in
answer	answer	answer
to	to	to
a	a	a
question	question	question
on	on	on
the	the	the
plane	plane	plane
returning	return	returning
from	from	from
Colombia	colombia	Colombia
about	about	about
the	the	the
program	program	program
started	start	started
by	by	by
his	his	his
predecessor	predecessor	predecessor
and	and	and
known	known	known
as	as	a
Deferred	defer	Deferred
Action	action	Action
on	on	on
Childhood	childhood	Childhood
Arrivals	arriv	Arrivals
DACA	daca	DACA
.	.	.
He	he	He
spoke	spoke	spoke
about	about	about
DACA	daca	DACA
and	and	and
the	the	the
problems	problem	problem
of	of	of
immigrant	immigr	immigrant
families	famili	family
in	in	in
general	general	general
,	,	,
adding	ad	adding
that	that	that
he	he	he
wanted	want	wanted
to	to	to
learn	learn	learn
more	more	more
about	about	about
Trump	trump	Trump
s	s	s
decision	decis	decision
.	.	.
Trump	trump	Trump
s	s	s
move	move	move
this	this	this
month	month	month
to	to	to
end	end	end
the	the	the
five	five	five
-year-old	-year-old	-year-old
program	program	program
instituted	institut	instituted
by	by	by
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
plunged	plung	plunged
almost	almost	almost
800	800	800
,	,	,
000	000	000
young	young	young
people	peopl	people
,	,	,
known	known	known
as	as	a
Dreamers	dreamer	Dreamers
,	,	,
into	into	into
uncertainty	uncertainti	uncertainty
.	.	.
It	it	It
drew	drew	drew
criticism	critic	criticism
from	from	from
business	busi	business
and	and	and
religious	religi	religious
leaders	leader	leader
,	,	,
mayors	mayor	mayor
,	,	,
governors	governor	governor
,	,	,
Democratic	democrat	Democratic
lawmakers	lawmak	lawmaker
,	,	,
unions	union	union
and	and	and
civil	civil	civil
liberties	liberti	liberty
advocates	advoc	advocate
.	.	.
Trump	trump	Trump
said	said	said
during	dure	during
his	his	his
election	elect	election
campaign	campaign	campaign
he	he	he
would	would	would
end	end	end
DACA	daca	DACA
if	if	if
he	he	he
became	becam	became
president	presid	president
.	.	.
Last	last	Last
week	week	week
,	,	,
15	15	15
states	state	state
and	and	and
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
challenging	challeng	challenging
Trump	trump	Trump
s	s	s
decision	decis	decision
.	.	.
It	it	It
claims	claim	claim
his	his	his
decision	decis	decision
was	was	wa
motivated	motiv	motivated
,	,	,
at	at	at
least	least	least
in	in	in
part	part	part
,	,	,
by	by	by
a	a	a
discriminatory	discriminatori	discriminatory
motive	motiv	motive
against	against	against
Mexicans	mexican	Mexicans
,	,	,
who	who	who
are	are	are
the	the	the
largest	largest	largest
beneficiary	beneficiari	beneficiary
of	of	of
the	the	the
program	program	program
.	.	.
It	it	It
points	point	point
to	to	to
his	his	his
statements	statement	statement
from	from	from
the	the	the
2016	2016	2016
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
young	young	young
people	peopl	people
feel	feel	feel
like	like	like
they	they	they
have	have	have
no	no	no
hope	hope	hope
.	.	.
And	and	And
who	who	who
robs	rob	robs
them	them	them
of	of	of
hope	hope	hope
?	?	?
Drugs	drug	Drugs
,	,	,
other	other	other
addictions	addict	addiction
,	,	,
suicides	suicid	suicide
-	-	-
youth	youth	youth
suicides	suicid	suicide
are	are	are
very	veri	very
high	high	high
-	-	-
and	and	and
this	this	this
happens	happen	happens
when	when	when
they	they	they
are	are	are
torn	torn	torn
from	from	from
their	their	their
roots	root	root
,	,	,
Francis	franci	Francis
said	said	said
.	.	.
The	the	The
relationship	relationship	relationship
between	between	between
a	a	a
young	young	young
person	person	person
and	and	and
his	his	his
roots	root	root
is	is	is
very	veri	very
important	import	important
.	.	.
Young	young	Young
people	peopl	people
who	who	who
have	have	have
been	been	been
uprooted	uproot	uprooted
today	today	today
are	are	are
asking	ask	asking
for	for	for
help	help	help
,	,	,
he	he	he
said	said	said
.	.	.
He	he	He
appeared	appear	appeared
to	to	to
take	take	take
a	a	a
swipe	swipe	swipe
at	at	at
Trump	trump	Trump
when	when	when
he	he	he
said	said	said
The	the	The
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
.	.	.
.	.	.
presents	present	present
himself	himself	himself
as	as	a
a	a	a
man	man	man
who	who	who
is	is	is
pro	pro	pro
-life	-life	-life
.	.	.
If	if	If
he	he	he
is	is	is
a	a	a
good	good	good
pro	pro	pro
-lifer	-lifer	-lifer
,	,	,
he	he	he
understands	understand	understands
that	that	that
the	the	the
family	famili	family
is	is	is
the	the	the
cradle	cradl	cradle
of	of	of
life	life	life
and	and	and
you	you	you
have	have	have
to	to	to
defend	defend	defend
its	it	it
unity	uniti	unity
.	.	.
The	the	The
pope	pope	pope
has	has	ha
already	alreadi	already
clashed	clash	clashed
with	with	with
Trump	trump	Trump
over	over	over
immigration	immigr	immigration
issues	issu	issue
,	,	,
such	such	such
as	as	a
the	the	the
president	presid	president
s	s	s
intention	intent	intention
to	to	to
build	build	build
a	a	a
wall	wall	wall
on	on	on
the	the	the
border	border	border
with	with	with
Mexico	mexico	Mexico
and	and	and
deport	deport	deport
undocumented	undocu	undocumented
aliens	alien	alien
.	.	.
Francis	franci	Francis
,	,	,
the	the	the
first	first	first
Latin	latin	Latin
American	american	American
pope	pope	pope
,	,	,
has	has	ha
made	made	made
defense	defens	defense
of	of	of
immigrants	immigr	immigrant
a	a	a
major	major	major
plank	plank	plank
of	of	of
his	his	his
papacy	papaci	papacy
.	.	.
The	the	The
pontiff	pontiff	pontiff
said	said	said
during	dure	during
the	the	the
presidential	presidenti	presidential
campaign	campaign	campaign
that	that	that
a	a	a
man	man	man
who	who	who
thought	thought	thought
about	about	about
building	build	building
walls	wall	wall
and	and	and
not	not	not
bridges	bridg	bridge
was	was	wa
not	not	not
Christian	christian	Christian
.	.	.
Trump	trump	Trump
,	,	,
who	who	who
grew	grew	grew
up	up	up
in	in	in
a	a	a
Presbyterian	presbyterian	Presbyterian
family	famili	family
,	,	,
shot	shot	shot
back	back	back
saying	say	saying
it	it	it
was	was	wa
disgraceful	disgrac	disgraceful
for	for	for
the	the	the
pope	pope	pope
to	to	to
question	question	question
his	his	his
faith	faith	faith
.	.	.
Trump	trump	Trump
met	met	met
the	the	the
pope	pope	pope
at	at	at
the	the	the
Vatican	vatican	Vatican
during	dure	during
a	a	a
tour	tour	tour
of	of	of
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
Europe	europ	Europe
last	last	last
May	may	May
.	.	.
