AMMAN	amman	AMMAN
Reuters	reuter	Reuters
-	-	-
Jordan	jordan	Jordan
s	s	s
King	king	King
Abdullah	abdullah	Abdullah
told	told	told
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
any	ani	any
move	move	move
by	by	by
the	the	the
United	unit	United
States	state	States
to	to	to
declare	declar	declare
Jerusalem	jerusalem	Jerusalem
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
would	would	would
have	have	have
dangerous	danger	dangerous
repercussions	repercuss	repercussion
for	for	for
regional	region	regional
stability	stabil	stability
,	,	,
a	a	a
Jordanian	jordanian	Jordanian
palace	palac	palace
statement	statement	statement
said	said	said
.	.	.

Trump	trump	Trump
said	said	said
he	he	he
intended	intend	intended
to	to	to
go	go	go
ahead	ahead	ahead
with	with	with
a	a	a
decision	decis	decision
to	to	to
move	move	move
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
in	in	in
Israel	israel	Israel
to	to	to
Jerusalem	jerusalem	Jerusalem
in	in	in
a	a	a
phone	phone	phone
call	call	call
to	to	to
the	the	the
king	king	king
,	,	,
according	accord	according
to	to	to
the	the	the
palace	palac	palace
.	.	.

The	the	The
king	king	king
was	was	wa
quoted	quot	quoted
as	as	a
replying	repli	replying
that	that	that
any	ani	any
such	such	such
decision	decis	decision
would	would	would
have	have	have
dangerous	danger	dangerous
repercussions	repercuss	repercussion
for	for	for
the	the	the
stability	stabil	stability
and	and	and
security	secur	security
of	of	of
the	the	the
region	region	region
and	and	and
would	would	would
obstruct	obstruct	obstruct
U	u	U
.	.	.
S	s	S
.	.	.
efforts	effort	effort
for	for	for
a	a	a
resumption	resumpt	resumption
of	of	of
Arab	arab	Arab
-Israeli	-isra	-Israeli
peace	peac	peace
talks	talk	talk
.	.	.

It	it	It
would	would	would
also	also	also
inflame	inflam	inflame
Muslim	muslim	Muslim
and	and	and
Christian	christian	Christian
feelings	feel	feeling
,	,	,
he	he	he
said	said	said
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
endorsement	endors	endorsement
of	of	of
Israel	israel	Israel
s	s	s
claim	claim	claim
to	to	to
all	all	all
of	of	of
Jerusalem	jerusalem	Jerusalem
as	as	a
its	it	it
capital	capit	capital
would	would	would
break	break	break
with	with	with
decades	decad	decade
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
that	that	that
the	the	the
city	citi	city
s	s	s
status	status	status
must	must	must
be	be	be
decided	decid	decided
in	in	in
negotiations	negoti	negotiation
with	with	with
the	the	the
Palestinians	palestinian	Palestinians
,	,	,
who	who	who
want	want	want
East	east	East
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
their	their	their
future	futur	future
state	state	state
.	.	.

The	the	The
international	intern	international
community	communiti	community
does	doe	doe
not	not	not
recognize	recogn	recognize
Israeli	isra	Israeli
sovereignty	sovereignti	sovereignty
over	over	over
the	the	the
entire	entir	entire
city	citi	city
.	.	.

Jordanian	jordanian	Jordanian
officials	offici	official
are	are	are
worried	worri	worried
the	the	the
move	move	move
could	could	could
trigger	trigger	trigger
violence	violenc	violence
in	in	in
the	the	the
Palestinian	palestinian	Palestinian
territories	territori	territory
and	and	and
a	a	a
spillover	spillov	spillover
into	into	into
Jordan	jordan	Jordan
,	,	,
a	a	a
country	countri	country
where	where	where
many	mani	many
people	peopl	people
are	are	are
descendants	descend	descendant
of	of	of
Palestinian	palestinian	Palestinian
refugees	refuge	refugee
whose	whose	whose
families	famili	family
left	left	left
after	after	after
the	the	the
creation	creation	creation
of	of	of
Israel	israel	Israel
in	in	in
1948	1948	1948
.	.	.

King	king	King
Abdullah	abdullah	Abdullah
warned	warn	warned
Trump	trump	Trump
of	of	of
the	the	the
risks	risk	risk
of	of	of
any	ani	any
decision	decis	decision
that	that	that
ran	ran	ran
counter	counter	counter
to	to	to
a	a	a
final	final	final
settlement	settlement	settlement
of	of	of
the	the	the
Arab	arab	Arab
-Israeli	-isra	-Israeli
conflict	conflict	conflict
based	base	based
on	on	on
the	the	the
creation	creation	creation
of	of	of
an	an	an
independent	independ	independent
Palestinian	palestinian	Palestinian
state	state	state
with	with	with
its	it	it
capital	capit	capital
in	in	in
East	east	East
Jerusalem	jerusalem	Jerusalem
.	.	.

Jerusalem	jerusalem	Jerusalem
is	is	is
the	the	the
key	key	key
to	to	to
achieving	achiev	achieving
peace	peac	peace
and	and	and
stability	stabil	stability
in	in	in
the	the	the
region	region	region
and	and	and
the	the	the
world	world	world
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.

The	the	The
monarch	monarch	monarch
also	also	also
phoned	phone	phoned
Palestinian	palestinian	Palestinian
President	presid	President
Mahmoud	mahmoud	Mahmoud
Abbas	abba	Abbas
and	and	and
said	said	said
they	they	they
had	had	had
to	to	to
both	both	both
work	work	work
together	togeth	together
to	to	to
confront	confront	confront
the	the	the
consequences	consequ	consequence
of	of	of
this	this	this
decision	decis	decision
.	.	.

King	king	King
Abdullah	abdullah	Abdullah
s	s	s
Hashemite	hashemit	Hashemite
dynasty	dynasti	dynasty
is	is	is
the	the	the
custodian	custodian	custodian
of	of	of
the	the	the
Muslim	muslim	Muslim
holy	holi	holy
sites	site	site
in	in	in
Jerusalem	jerusalem	Jerusalem
,	,	,
making	make	making
Amman	amman	Amman
sensitive	sensit	sensitive
to	to	to
any	ani	any
changes	chang	change
of	of	of
status	status	status
of	of	of
the	the	the
disputed	disput	disputed
city	citi	city
.	.	.

The	the	The
monarch	monarch	monarch
warned	warn	warned
of	of	of
the	the	the
repercussions	repercuss	repercussion
of	of	of
Trump	trump	Trump
s	s	s
expected	expect	expected
move	move	move
in	in	in
talks	talk	talk
last	last	last
week	week	week
in	in	in
Washington	washington	Washington
with	with	with
top	top	top
administration	administr	administration
officials	offici	official
Jordanian	jordanian	Jordanian
Foreign	foreign	Foreign
Minister	minist	Minister
Ayman	ayman	Ayman
al	al	al
Safadi	safadi	Safadi
said	said	said
his	his	his
country	countri	country
planned	plan	planned
to	to	to
convene	conven	convene
emergency	emerg	emergency
meetings	meet	meeting
of	of	of
the	the	the
Arab	arab	Arab
League	leagu	League
and	and	and
Organisation	organis	Organisation
of	of	of
Islamic	islam	Islamic
Cooperation	cooper	Cooperation
next	next	next
Saturday	saturday	Saturday
and	and	and
Sunday	sunday	Sunday
on	on	on
how	how	how
to	to	to
face	face	face
the	the	the
dangerous	danger	dangerous
consequences	consequ	consequence
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
decision	decis	decision
.	.	.

These	these	These
meetings	meet	meeting
will	will	will
coordinate	coordin	coordinate
Arab	arab	Arab
and	and	and
Islamic	islam	Islamic
stances	stanc	stance
toward	toward	toward
the	the	the
imminent	immin	imminent
decision	decis	decision
by	by	by
Trump	trump	Trump
that	that	that
will	will	will
increase	increas	increase
tensions	tension	tension
in	in	in
the	the	the
region	region	region
,	,	,
Safadi	safadi	Safadi
said	said	said
.	.	.

Jordan	jordan	Jordan
lost	lost	lost
East	east	East
Jerusalem	jerusalem	Jerusalem
and	and	and
the	the	the
West	west	West
Bank	bank	Bank
to	to	to
Israel	israel	Israel
during	dure	during
the	the	the
1967	1967	1967
Arab	arab	Arab
-Israeli	-isra	-Israeli
war	war	war
and	and	and
says	say	say
the	the	the
city	citi	city
s	s	s
fate	fate	fate
should	should	should
only	onli	only
be	be	be
decided	decid	decided
only	onli	only
at	at	at
the	the	the
end	end	end
of	of	of
a	a	a
final	final	final
settlement	settlement	settlement
.	.	.

All	all	All
international	intern	international
resolutions	resolut	resolution
and	and	and
agreements	agreement	agreement
stipulate	stipul	stipulate
that	that	that
the	the	the
fate	fate	fate
of	of	of
Jerusalem	jerusalem	Jerusalem
should	should	should
be	be	be
decided	decid	decided
in	in	in
final	final	final
status	status	status
negotiation	negoti	negotiation
.	.	.
.	.	.
.	.	.

And	and	And
all	all	all
unilateral	unilater	unilateral
steps	step	step
are	are	are
considered	consid	considered
null	null	null
and	and	and
void	void	void
,	,	,
Safadi	safadi	Safadi
added	ad	added
.	.	.

