SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
North	north	North
Korea	korea	Korea
put	put	put
on	on	on
a	a	a
musical	music	musical
show	show	show
to	to	to
mark	mark	mark
the	the	the
birthday	birthday	birthday
of	of	of
founding	found	founding
father	father	father
Kim	kim	Kim
Il	il	Il
Sung	sung	Sung
,	,	,
which	which	which
ended	end	ended
with	with	with
a	a	a
mock	mock	mock
-up	-up	-up
video	video	video
of	of	of
missiles	missil	missile
engulfing	engulf	engulfing
the	the	the
United	unit	United
States	state	States
in	in	in
flames	flame	flame
,	,	,
prompting	prompt	prompting
cheers	cheer	cheer
from	from	from
the	the	the
audience	audienc	audience
and	and	and
smiles	smile	smile
from	from	from
current	current	current
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
.	.	.
North	north	North
Korea	korea	Korea
s	s	s
state	state	state
television	televis	television
aired	air	aired
footage	footag	footage
of	of	of
a	a	a
choral	choral	choral
performance	perform	performance
attended	attend	attended
by	by	by
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
,	,	,
the	the	the
elder	elder	elder
Kim	kim	Kim
s	s	s
grandson	grandson	grandson
,	,	,
on	on	on
Sunday	sunday	Sunday
,	,	,
a	a	a
day	day	day
after	after	after
a	a	a
huge	huge	huge
military	militari	military
parade	parad	parade
in	in	in
Pyongyang	pyongyang	Pyongyang
,	,	,
which	which	which
also	also	also
marked	mark	marked
the	the	the
105th	105th	105th
birth	birth	birth
anniversary	anniversari	anniversary
of	of	of
Kim	kim	Kim
Il	il	Il
Sung	sung	Sung
.	.	.

The	the	The
singing	sing	singing
was	was	wa
followed	follow	followed
by	by	by
footage	footag	footage
of	of	of
its	it	it
test	test	test
-firing	-fire	-firing
of	of	of
a	a	a
missile	missil	missile
in	in	in
February	februari	February
which	which	which
,	,	,
in	in	in
the	the	the
video	video	video
,	,	,
was	was	wa
joined	join	joined
by	by	by
other	other	other
missiles	missil	missile
shooting	shoot	shooting
into	into	into
sky	sky	sky
,	,	,
passing	pass	passing
over	over	over
the	the	the
Pacific	pacif	Pacific
and	and	and
exploding	explod	exploding
in	in	in
giant	giant	giant
balls	ball	ball
of	of	of
flames	flame	flame
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

The	the	The
video	video	video
ended	end	ended
with	with	with
a	a	a
picture	pictur	picture
of	of	of
the	the	the
American	american	American
flag	flag	flag
in	in	in
flames	flame	flame
,	,	,
overlapping	overlap	overlapping
row	row	row
after	after	after
row	row	row
of	of	of
white	white	white
crosses	cross	cross
in	in	in
a	a	a
cemetery	cemeteri	cemetery
.	.	.

reut	reut	reut
.	.	.
tv	tv	tv
2orqo6d	2orqo6d	2orqo6d
When	when	When
the	the	the
performance	perform	performance
was	was	wa
over	over	over
,	,	,
all	all	all
the	the	the
performers	perform	performer
and	and	and
participants	particip	participant
in	in	in
the	the	the
military	militari	military
parade	parad	parade
broke	broke	broke
into	into	into
enthusiastic	enthusiast	enthusiastic
cheers	cheer	cheer
of	of	of
hurrah	hurrah	hurrah
!	!	!
,	,	,
state	state	state
run	run	run
KCNA	kcna	KCNA
news	news	news
agency	agenc	agency
said	said	said
.	.	.

State	state	State
TV	tv	TV
footage	footag	footage
showed	show	showed
leader	leader	leader
Kim	kim	Kim
smiling	smile	smiling
and	and	and
waving	wave	waving
in	in	in
return	return	return
.	.	.

The	the	The
Dear	dear	Dear
Supreme	suprem	Supreme
Leader	leader	Leader
waved	wave	waved
back	back	back
to	to	to
them	them	them
and	and	and
congratulated	congratul	congratulated
the	the	the
artistes	artist	artiste
on	on	on
their	their	their
successful	success	successful
performance	perform	performance
,	,	,
KCNA	kcna	KCNA
said	said	said
.	.	.

North	north	North
Korea	korea	Korea
said	said	said
in	in	in
February	februari	February
that	that	that
it	it	it
had	had	had
successfully	success	successfully
tested	test	tested
a	a	a
new	new	new
type	type	type
of	of	of
medium	medium	medium
-	-	-
to	to	to
long	long	long
-range	-rang	-range
ballistic	ballist	ballistic
missile	missil	missile
,	,	,
the	the	the
Pukguksong	pukguksong	Pukguksong
-2	-2	-2
,	,	,
propelled	propel	propelled
by	by	by
a	a	a
solid	solid	solid
-fuel	-fuel	-fuel
engine	engin	engine
.	.	.

During	dure	During
Saturday	saturday	Saturday
s	s	s
military	militari	military
parade	parad	parade
it	it	it
displayed	display	displayed
what	what	what
appeared	appear	appeared
to	to	to
be	be	be
new	new	new
intercontinental	intercontinent	intercontinental
ballistic	ballist	ballistic
missiles	missil	missile
.	.	.

And	and	And
a	a	a
day	day	day
later	later	later
it	it	it
conducted	conduct	conducted
a	a	a
failed	fail	failed
missile	missil	missile
test	test	test
,	,	,
which	which	which
drew	drew	drew
international	intern	international
condemnation	condemn	condemnation
.	.	.

North	north	North
Korea	korea	Korea
regularly	regular	regularly
threatens	threaten	threatens
to	to	to
destroy	destroy	destroy
the	the	the
United	unit	United
States	state	States
and	and	and
amid	amid	amid
heightened	heighten	heightened
tension	tension	tension
on	on	on
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
,	,	,
it	it	it
has	has	ha
escalated	escal	escalated
a	a	a
war	war	war
of	of	of
words	word	word
,	,	,
warning	warn	warning
of	of	of
full	full	full
-out	-out	-out
nuclear	nuclear	nuclear
war	war	war
if	if	if
Washington	washington	Washington
takes	take	take
military	militari	military
action	action	action
against	against	against
it	it	it
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Vice	vice	Vice
President	presid	President
Mike	mike	Mike
Pence	penc	Pence
,	,	,
on	on	on
a	a	a
trip	trip	trip
to	to	to
Asia	asia	Asia
,	,	,
has	has	ha
repeatedly	repeat	repeatedly
warned	warn	warned
that	that	that
the	the	the
era	era	era
of	of	of
strategic	strateg	strategic
patience	patienc	patience
with	with	with
North	north	North
Korea	korea	Korea
is	is	is
over	over	over
and	and	and
on	on	on
Wednesday	wednesday	Wednesday
said	said	said
it	it	it
would	would	would
meet	meet	meet
any	ani	any
attack	attack	attack
with	with	with
an	an	an
overwhelming	overwhelm	overwhelming
response	respons	response
.	.	.

