SYDNEY	sydney	SYDNEY
Reuters	reuter	Reuters
-	-	-
Approximately	approxim	Approximately
two	two	two
hundred	hundr	hundred
men	men	men
held	held	held
in	in	in
a	a	a
remote	remot	remote
Australian	australian	Australian
-run	-run	-run
detention	detent	detention
center	center	center
will	will	will
be	be	be
moved	move	moved
to	to	to
a	a	a
new	new	new
facility	facil	facility
within	within	within
weeks	week	week
,	,	,
the	the	the
country	countri	country
s	s	s
immigration	immigr	immigration
minister	minist	minister
said	said	said
.	.	.
Peter	peter	Peter
Dutton	dutton	Dutton
,	,	,
Australia	australia	Australia
s	s	s
immigration	immigr	immigration
minister	minist	minister
,	,	,
said	said	said
those	those	those
men	men	men
who	who	who
have	have	have
their	their	their
refugee	refuge	refugee
applications	applic	application
denied	deni	denied
,	,	,
ruling	rule	ruling
them	them	them
ineligible	inelig	ineligible
for	for	for
resettlement	resettl	resettlement
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
who	who	who
are	are	are
from	from	from
countries	countri	country
such	such	such
as	as	a
Iran	iran	Iran
which	which	which
precludes	preclud	precludes
forced	forc	forced
deportations	deport	deportation
,	,	,
will	will	will
be	be	be
transferred	transfer	transferred
to	to	to
a	a	a
new	new	new
detention	detent	detention
facility	facil	facility
within	within	within
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
PNG	png	PNG
after	after	after
Oct	oct	Oct
.	.	.
31	31	31
.	.	.
Those	those	Those
people	peopl	people
,	,	,
who	who	who
total	total	total
about	about	about
200	200	200
,	,	,
who	who	who
have	have	have
been	been	been
found	found	found
not	not	not
to	to	to
be	be	be
refugees	refuge	refugee
are	are	are
to	to	to
be	be	be
moved	move	moved
into	into	into
an	an	an
alternative	altern	alternative
place	place	place
of	of	of
detention	detent	detention
away	away	away
from	from	from
the	the	the
regional	region	regional
processing	process	processing
center	center	center
,	,	,
Dutton	dutton	Dutton
told	told	told
Australia	australia	Australia
s	s	s
parliament	parliament	parliament
.	.	.
Dutton	dutton	Dutton
s	s	s
comments	comment	comment
mark	mark	mark
the	the	the
first	first	first
insight	insight	insight
into	into	into
how	how	how
Australia	australia	Australia
plans	plan	plan
to	to	to
manage	manag	manage
the	the	the
end	end	end
of	of	of
its	it	it
policy	polici	policy
of	of	of
detaining	detain	detaining
asylum	asylum	asylum
seekers	seeker	seeker
in	in	in
PNG	png	PNG
,	,	,
where	where	where
800	800	800
men	men	men
are	are	are
held	held	held
,	,	,
many	mani	many
of	of	of
whom	whom	whom
for	for	for
four	four	four
years	year	year
.	.	.
Canberra	canberra	Canberra
s	s	s
hardline	hardlin	hardline
immigration	immigr	immigration
policy	polici	policy
requires	requir	requires
asylum	asylum	asylum
seekers	seeker	seeker
intercepted	intercept	intercepted
at	at	at
sea	sea	sea
trying	tri	trying
to	to	to
reach	reach	reach
Australia	australia	Australia
to	to	to
be	be	be
sent	sent	sent
for	for	for
processing	process	processing
at	at	at
camps	camp	camp
on	on	on
PNG	png	PNG
s	s	s
Manus	manus	Manus
Island	island	Island
and	and	and
on	on	on
Nauru	nauru	Nauru
.	.	.
They	they	They
are	are	are
told	told	told
they	they	they
will	will	will
never	never	never
be	be	be
settled	settl	settled
in	in	in
Australia	australia	Australia
.	.	.
Question	question	Question
marks	mark	mark
remain	remain	remain
,	,	,
however	howev	however
,	,	,
about	about	about
the	the	the
fate	fate	fate
of	of	of
the	the	the
remaining	remain	remaining
men	men	men
on	on	on
Manus	manus	Manus
as	as	a
a	a	a
refugee	refuge	refugee
swap	swap	swap
deal	deal	deal
with	with	with
the	the	the
United	unit	United
States	state	States
stalls	stall	stall
.	.	.
Former	former	Former
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
late	late	late
last	last	last
year	year	year
agreed	agre	agreed
to	to	to
resettle	resettl	resettle
up	up	up
to	to	to
1	1	1
,	,	,
250	250	250
asylum	asylum	asylum
seekers	seeker	seeker
held	held	held
in	in	in
Australian	australian	Australian
immigration	immigr	immigration
centers	center	center
in	in	in
PNG	png	PNG
and	and	and
Nauru	nauru	Nauru
.	.	.
In	in	In
exchange	exchang	exchange
,	,	,
Australia	australia	Australia
agreed	agre	agreed
to	to	to
take	take	take
Central	central	Central
American	american	American
refugees	refuge	refugee
.	.	.
Australia	australia	Australia
had	had	had
hoped	hope	hoped
the	the	the
men	men	men
would	would	would
have	have	have
been	been	been
resettled	resettl	resettled
by	by	by
Oct	oct	Oct
.	.	.
31	31	31
but	but	but
with	with	with
the	the	the
swap	swap	swap
deal	deal	deal
stalling	stall	stalling
under	under	under
President	presid	President
Trump	trump	Trump
after	after	after
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
hit	hit	hit
it	it	it
annual	annual	annual
intake	intak	intake
cap	cap	cap
,	,	,
Canberra	canberra	Canberra
is	is	is
left	left	left
seeking	seek	seeking
a	a	a
solution	solut	solution
.	.	.
Australia	australia	Australia
s	s	s
security	secur	security
contract	contract	contract
with	with	with
Spanish	spanish	Spanish
company	compani	company
Ferrovial	ferrovi	Ferrovial
SA	sa	SA
will	will	will
expire	expir	expire
on	on	on
Oct	oct	Oct
.	.	.
31	31	31
,	,	,
forcing	forc	forcing
the	the	the
closure	closur	closure
of	of	of
the	the	the
camp	camp	camp
that	that	that
has	has	ha
been	been	been
subject	subject	subject
to	to	to
violence	violenc	violence
from	from	from
locals	local	local
.	.	.
PNG	png	PNG
officials	offici	official
have	have	have
sought	sought	sought
to	to	to
transfer	transfer	transfer
the	the	the
men	men	men
to	to	to
a	a	a
transit	transit	transit
center	center	center
nearby	nearbi	nearby
but	but	but
nearly	near	nearly
all	all	all
,	,	,
citing	cite	citing
fears	fear	fear
of	of	of
violence	violenc	violence
,	,	,
have	have	have
refused	refus	refused
despite	despit	despite
threats	threat	threat
that	that	that
it	it	it
may	may	may
rule	rule	rule
them	them	them
out	out	out
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
resettlement	resettl	resettlement
.	.	.
We	we	We
are	are	are
not	not	not
willing	will	willing
to	to	to
move	move	move
from	from	from
the	the	the
center	center	center
unless	unless	unless
we	we	we
are	are	are
leaving	leav	leaving
for	for	for
a	a	a
country	countri	country
that	that	that
is	is	is
safe	safe	safe
,	,	,
said	said	said
one	one	one
,	,	,
who	who	who
declined	declin	declined
to	to	to
be	be	be
identified	identifi	identified
because	becaus	because
of	of	of
the	the	the
fear	fear	fear
it	it	it
would	would	would
jeopardize	jeopard	jeopardize
his	his	his
application	applic	application
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
resettlement	resettl	resettlement
.	.	.
