BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
strike	strike	strike
on	on	on
a	a	a
Syrian	syrian	Syrian
airbase	airbas	airbase
was	was	wa
understandable	understand	understandable
,	,	,
German	german	German
Foreign	foreign	Foreign
Minister	minist	Minister
Sigmar	sigmar	Sigmar
Gabriel	gabriel	Gabriel
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
given	given	given
that	that	that
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
had	had	had
failed	fail	failed
to	to	to
take	take	take
decisive	decis	decisive
action	action	action
after	after	after
a	a	a
deadly	dead	deadly
chemical	chemic	chemical
weapons	weapon	weapon
attack	attack	attack
in	in	in
Syria	syria	Syria
.	.	.

The	the	The
United	unit	United
States	state	States
early	earli	early
on	on	on
Friday	friday	Friday
fired	fire	fired
dozens	dozen	dozen
of	of	of
cruise	cruis	cruise
missiles	missil	missile
at	at	at
a	a	a
Syrian	syrian	Syrian
airbase	airbas	airbase
from	from	from
which	which	which
it	it	it
said	said	said
the	the	the
chemical	chemic	chemical
weapons	weapon	weapon
attack	attack	attack
was	was	wa
launched	launch	launched
this	this	this
week	week	week
.	.	.

It	it	It
was	was	wa
almost	almost	almost
unbearable	unbear	unbearable
to	to	to
see	see	see
that	that	that
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
was	was	wa
not	not	not
able	abl	able
to	to	to
react	react	react
clearly	clear	clearly
and	and	and
unambiguously	unambigu	unambiguously
to	to	to
the	the	the
barbaric	barbar	barbaric
use	use	use
of	of	of
chemical	chemic	chemical
weapons	weapon	weapon
against	against	against
innocent	innoc	innocent
people	peopl	people
in	in	in
Syria	syria	Syria
,	,	,
Gabriel	gabriel	Gabriel
said	said	said
during	dure	during
a	a	a
trip	trip	trip
to	to	to
Mali	mali	Mali
.	.	.

It	it	It
s	s	s
understandable	understand	understandable
that	that	that
the	the	the
United	unit	United
States	state	States
have	have	have
now	now	now
reacted	react	reacted
with	with	with
an	an	an
attack	attack	attack
against	against	against
the	the	the
military	militari	military
structures	structur	structure
of	of	of
the	the	the
Assad	assad	Assad
regime	regim	regime
which	which	which
caused	caus	caused
this	this	this
atrocious	atroci	atrocious
war	war	war
crime	crime	crime
.	.	.
Gabriel	gabriel	Gabriel
said	said	said
the	the	the
international	intern	international
community	communiti	community
was	was	wa
united	unit	united
in	in	in
shunning	shun	shunning
toxic	toxic	toxic
gas	gas	gas
as	as	a
a	a	a
weapon	weapon	weapon
,	,	,
adding	ad	adding
As	as	As
understandable	understand	understandable
as	as	a
the	the	the
USA	usa	USA
s	s	s
military	militari	military
deployment	deploy	deployment
against	against	against
military	militari	military
infrastructure	infrastructur	infrastructure
was	was	wa
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
s	s	s
failure	failur	failure
,	,	,
it	it	it
s	s	s
now	now	now
just	just	just
as	as	a
decisive	decis	decisive
to	to	to
make	make	make
a	a	a
combined	combin	combined
effort	effort	effort
for	for	for
peace	peac	peace
under	under	under
the	the	the
roof	roof	roof
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
,	,	,
he	he	he
said	said	said
.	.	.

Gabriel	gabriel	Gabriel
said	said	said
it	it	it
was	was	wa
now	now	now
necessary	necessari	necessary
to	to	to
wholeheartedly	wholeheart	wholeheartedly
support	support	support
the	the	the
work	work	work
of	of	of
the	the	the
United	unit	United
Nations	nation	Nations
to	to	to
bring	bring	bring
about	about	about
a	a	a
political	polit	political
solution	solut	solution
to	to	to
the	the	the
civil	civil	civil
war	war	war
in	in	in
Syria	syria	Syria
.	.	.

Only	onli	Only
a	a	a
new	new	new
and	and	and
democratic	democrat	democratic
Syria	syria	Syria
will	will	will
bring	bring	bring
lasting	last	lasting
peace	peac	peace
.	.	.

Europe	europ	Europe
and	and	and
Germany	germani	Germany
are	are	are
ready	readi	ready
for	for	for
that	that	that
.	.	.

The	the	The
terrible	terribl	terrible
events	event	event
of	of	of
recent	recent	recent
days	day	day
show	show	show
the	the	the
conflict	conflict	conflict
parties	parti	party
involved	involv	involved
in	in	in
the	the	the
region	region	region
and	and	and
also	also	also
the	the	the
USA	usa	USA
and	and	and
Russia	russia	Russia
are	are	are
needed	need	needed
for	for	for
that	that	that
,	,	,
Gabriel	gabriel	Gabriel
added	ad	added
.	.	.

