BRASILIA	brasilia	BRASILIA
Reuters	reuter	Reuters
-	-	-
Brazilian	brazilian	Brazilian
President	presid	President
Michel	michel	Michel
Temer	temer	Temer
was	was	wa
charged	charg	charged
with	with	with
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
and	and	and
racketeering	racket	racketeering
on	on	on
Thursday	thursday	Thursday
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
posted	post	posted
on	on	on
the	the	the
prosecutor	prosecutor	prosecutor
general	general	general
s	s	s
office	offic	office
website	websit	website
,	,	,
threatening	threaten	threatening
to	to	to
delay	delay	delay
the	the	the
government	govern	government
s	s	s
economic	econom	economic
reform	reform	reform
agenda	agenda	agenda
in	in	in
Congress	congress	Congress
.	.	.

It	it	It
is	is	is
the	the	the
second	second	second
set	set	set
of	of	of
criminal	crimin	criminal
charges	charg	charge
filed	file	filed
against	against	against
the	the	the
president	presid	president
based	base	based
on	on	on
the	the	the
plea	plea	plea
-bargain	-bargain	-bargain
testimony	testimoni	testimony
of	of	of
the	the	the
owners	owner	owner
of	of	of
the	the	the
world	world	world
s	s	s
largest	largest	largest
meatpacker	meatpack	meatpacker
,	,	,
JBS	jbs	JBS
SA	sa	SA
.	.	.

They	they	They
accused	accus	accused
Temer	temer	Temer
of	of	of
taking	take	taking
bribes	bribe	bribe
in	in	in
return	return	return
for	for	for
political	polit	political
favors	favor	favor
and	and	and
of	of	of
conspiring	conspir	conspiring
to	to	to
buy	buy	buy
the	the	the
silence	silenc	silence
of	of	of
a	a	a
witness	wit	witness
who	who	who
could	could	could
implicate	implic	implicate
the	the	the
leader	leader	leader
.	.	.

In	in	In
a	a	a
statement	statement	statement
on	on	on
Thursday	thursday	Thursday
,	,	,
Temer	temer	Temer
strongly	strong	strongly
rejected	reject	rejected
all	all	all
allegations	alleg	allegation
of	of	of
wrongdoing	wrongdo	wrongdoing
.	.	.

Temer	temer	Temer
s	s	s
earlier	earlier	earlier
corruption	corrupt	corruption
charge	charg	charge
,	,	,
that	that	that
he	he	he
took	took	took
bribes	bribe	bribe
from	from	from
JBS	jbs	JBS
officials	offici	official
,	,	,
was	was	wa
blocked	block	blocked
in	in	in
August	august	August
by	by	by
Temer	temer	Temer
s	s	s
allies	alli	ally
in	in	in
the	the	the
lower	lower	lower
house	hous	house
of	of	of
Congress	congress	Congress
,	,	,
which	which	which
has	has	ha
the	the	the
power	power	power
to	to	to
decide	decid	decide
whether	whether	whether
a	a	a
president	presid	president
should	should	should
stand	stand	stand
trial	trial	trial
by	by	by
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.

Despite	despit	Despite
the	the	the
lower	lower	lower
house	hous	house
s	s	s
move	move	move
to	to	to
block	block	block
the	the	the
charges	charg	charge
,	,	,
they	they	they
remain	remain	remain
valid	valid	valid
and	and	and
can	can	can
be	be	be
pursued	pursu	pursued
by	by	by
prosecutors	prosecutor	prosecutor
once	onc	once
Temer	temer	Temer
leaves	leav	leaf
office	offic	office
.	.	.

His	his	His
term	term	term
ends	end	end
on	on	on
Jan	jan	Jan
.	.	.

1	1	1
,	,	,
2019	2019	2019
.	.	.

Brazil	brazil	Brazil
s	s	s
top	top	top
public	public	public
prosecutor	prosecutor	prosecutor
Rodrigo	rodrigo	Rodrigo
Janot	janot	Janot
has	has	ha
also	also	also
filed	file	filed
charges	charg	charge
against	against	against
Joesley	joesley	Joesley
Batista	batista	Batista
,	,	,
the	the	the
billionaire	billionair	billionaire
former	former	former
chairman	chairman	chairman
of	of	of
JBS	jbs	JBS
who	who	who
implicated	implic	implicated
Temer	temer	Temer
.	.	.

Batista	batista	Batista
was	was	wa
arrested	arrest	arrested
on	on	on
Sunday	sunday	Sunday
for	for	for
concealing	conceal	concealing
other	other	other
crimes	crime	crime
in	in	in
his	his	his
plea	plea	plea
bargain	bargain	bargain
deal	deal	deal
.	.	.

Batista	batista	Batista
s	s	s
lawyer	lawyer	lawyer
Antonio	antonio	Antonio
Carlos	carlo	Carlos
Kakay	kakay	Kakay
rejected	reject	rejected
the	the	the
charges	charg	charge
brought	brought	brought
by	by	by
Janot	janot	Janot
,	,	,
arguing	argu	arguing
in	in	in
a	a	a
statement	statement	statement
that	that	that
the	the	the
prosecutor	prosecutor	prosecutor
had	had	had
violated	violat	violated
the	the	the
rules	rule	rule
of	of	of
plea	plea	plea
bargains	bargain	bargain
by	by	by
using	use	using
his	his	his
client	client	client
s	s	s
testimony	testimoni	testimony
to	to	to
incriminate	incrimin	incriminate
him	him	him
.	.	.

On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Batista	batista	Batista
s	s	s
brother	brother	brother
Wesley	wesley	Wesley
,	,	,
the	the	the
chief	chief	chief
executive	execut	executive
officer	offic	officer
of	of	of
JBS	jbs	JBS
SA	sa	SA
,	,	,
was	was	wa
also	also	also
arrested	arrest	arrested
for	for	for
alleged	alleg	alleged
insider	insid	insider
trading	trade	trading
to	to	to
avoid	avoid	avoid
hefty	hefti	hefty
losses	loss	loss
related	relat	related
to	to	to
the	the	the
May	may	May
plea	plea	plea
deal	deal	deal
.	.	.

Late	late	Late
on	on	on
Thursday	thursday	Thursday
,	,	,
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Edson	edson	Edson
Fachin	fachin	Fachin
converted	convert	converted
Joesley	joesley	Joesley
and	and	and
executive	execut	executive
Ricardo	ricardo	Ricardo
Saud	saud	Saud
s	s	s
temporary	temporari	temporary
detentions	detent	detention
into	into	into
preventative	prevent	preventative
detention	detent	detention
and	and	and
gave	gave	gave
them	them	them
10	10	10
days	day	day
to	to	to
respond	respond	respond
before	befor	before
ruling	rule	ruling
on	on	on
Janot	janot	Janot
s	s	s
request	request	request
to	to	to
withdraw	withdraw	withdraw
their	their	their
plea	plea	plea
deal	deal	deal
.	.	.

The	the	The
arrests	arrest	arrest
of	of	of
the	the	the
Batista	batista	Batista
brothers	brother	brother
have	have	have
improved	improv	improved
Temer	temer	Temer
s	s	s
prospects	prospect	prospect
of	of	of
surviving	surviv	surviving
the	the	the
new	new	new
charges	charg	charge
and	and	and
serving	serv	serving
out	out	out
his	his	his
term	term	term
through	through	through
2018	2018	2018
.	.	.

Temer	temer	Temer
and	and	and
his	his	his
allies	alli	ally
expect	expect	expect
the	the	the
new	new	new
charges	charg	charge
to	to	to
be	be	be
voted	vote	voted
in	in	in
the	the	the
lower	lower	lower
house	hous	house
next	next	next
month	month	month
with	with	with
wider	wider	wider
support	support	support
than	than	than
he	he	he
obtained	obtain	obtained
in	in	in
the	the	the
263	263	263
-227	-227	-227
vote	vote	vote
last	last	last
month	month	month
blocking	block	blocking
a	a	a
trial	trial	trial
.	.	.

Fachin	fachin	Fachin
heeded	heed	heeded
a	a	a
request	request	request
from	from	from
Temer	temer	Temer
s	s	s
defense	defens	defense
not	not	not
to	to	to
deliver	deliv	deliver
the	the	the
accusation	accus	accusation
to	to	to
the	the	the
lower	lower	lower
house	hous	house
until	until	until
after	after	after
a	a	a
supreme	suprem	supreme
court	court	court
plenary	plenari	plenary
vote	vote	vote
on	on	on
the	the	the
matter	matter	matter
.	.	.

The	the	The
vote	vote	vote
should	should	should
be	be	be
held	held	held
before	befor	before
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
allegations	alleg	allegation
are	are	are
part	part	part
of	of	of
Brazil	brazil	Brazil
s	s	s
sprawling	sprawl	sprawling
corruption	corrupt	corruption
probes	probe	probe
that	that	that
have	have	have
resulted	result	resulted
in	in	in
ex	ex	ex
-President	-presid	-President
Luiz	luiz	Luiz
Inacio	inacio	Inacio
Lula	lula	Lula
da	da	da
Silva	silva	Silva
s	s	s
conviction	convict	conviction
and	and	and
four	four	four
pending	pend	pending
trials	trial	trial
;	;	;
investigations	investig	investigation
and	and	and
charges	charg	charge
implicating	implic	implicating
three	three	three
former	former	former
presidents	presid	president
and	and	and
dozens	dozen	dozen
of	of	of
members	member	member
of	of	of
Congress	congress	Congress
;	;	;
and	and	and
guilty	guilti	guilty
verdicts	verdict	verdict
against	against	against
well	well	well
over	over	over
100	100	100
powerful	power	powerful
business	busi	business
and	and	and
political	polit	political
figures	figur	figure
.	.	.

Most	most	Most
of	of	of
the	the	the
schemes	scheme	scheme
involve	involv	involve
political	polit	political
kickbacks	kickback	kickback
in	in	in
return	return	return
for	for	for
contracts	contract	contract
at	at	at
government	govern	government
-run	-run	-run
enterprises	enterpris	enterprise
or	or	or
cheap	cheap	cheap
loans	loan	loan
from	from	from
Brazil	brazil	Brazil
s	s	s
state	state	state
development	develop	development
bank	bank	bank
.	.	.

The	the	The
racketeering	racket	racketeering
charge	charg	charge
against	against	against
Temer	temer	Temer
was	was	wa
based	base	based
on	on	on
the	the	the
plea	plea	plea
bargain	bargain	bargain
testimony	testimoni	testimony
of	of	of
L	l	L
cio	cio	cio
Funaro	funaro	Funaro
,	,	,
a	a	a
businessman	businessman	businessman
who	who	who
accused	accus	accused
the	the	the
president	presid	president
and	and	and
his	his	his
closest	closest	closest
aides	aid	aide
in	in	in
the	the	the
ruling	rule	ruling
PMDB	pmdb	PMDB
party	parti	party
of	of	of
operating	oper	operating
a	a	a
criminal	crimin	criminal
organization	organ	organization
to	to	to
collect	collect	collect
bribes	bribe	bribe
in	in	in
exchange	exchang	exchange
for	for	for
political	polit	political
influence	influenc	influence
.	.	.

The	the	The
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
charge	charg	charge
was	was	wa
based	base	based
on	on	on
testimony	testimoni	testimony
by	by	by
Joesley	joesley	Joesley
Batista	batista	Batista
that	that	that
Temer	temer	Temer
endorsed	endors	endorsed
payments	payment	payment
of	of	of
hush	hush	hush
money	money	money
to	to	to
try	tri	try
to	to	to
keep	keep	keep
Funaro	funaro	Funaro
from	from	from
talking	talk	talking
.	.	.

A	a	A
short	short	short
legislative	legisl	legislative
agenda	agenda	agenda
ahead	ahead	ahead
of	of	of
an	an	an
election	elect	election
year	year	year
,	,	,
the	the	the
absence	absenc	absence
of	of	of
public	public	public
pressure	pressur	pressure
to	to	to
oust	oust	oust
Temer	temer	Temer
and	and	and
the	the	the
lack	lack	lack
of	of	of
any	ani	any
convincing	convinc	convincing
replacement	replac	replacement
for	for	for
him	him	him
are	are	are
also	also	also
likely	like	likely
to	to	to
weigh	weigh	weigh
in	in	in
the	the	the
president	presid	president
s	s	s
favor	favor	favor
.	.	.

Given	given	Given
the	the	the
short	short	short
timetable	timet	timetable
,	,	,
the	the	the
general	general	general
public	public	public
apathy	apathi	apathy
and	and	and
lack	lack	lack
of	of	of
a	a	a
viable	viabl	viable
alternative	altern	alternative
,	,	,
it	it	it
is	is	is
quite	quit	quite
possible	possibl	possible
that	that	that
Brasilia	brasilia	Brasilia
will	will	will
continue	continu	continue
to	to	to
punt	punt	punt
this	this	this
down	down	down
the	the	the
road	road	road
,	,	,
said	said	said
Matthew	matthew	Matthew
Taylor	taylor	Taylor
,	,	,
a	a	a
professor	professor	professor
at	at	at
the	the	the
American	american	American
University	univers	University
in	in	in
Washington	washington	Washington
.	.	.

