BEIRUT	beirut	BEIRUT
PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
France	franc	France
can	can	can
play	play	play
a	a	a
productive	product	productive
role	role	role
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
by	by	by
taking	take	taking
a	a	a
realistic	realist	realistic
and	and	and
impartial	imparti	impartial
approach	approach	approach
,	,	,
Iranian	iranian	Iranian
President	presid	President
Hassan	hassan	Hassan
Rouhani	rouhani	Rouhani
told	told	told
his	his	his
French	french	French
counterpart	counterpart	counterpart
,	,	,
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
,	,	,
in	in	in
a	a	a
phone	phone	phone
call	call	call
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
according	accord	according
to	to	to
Iranian	iranian	Iranian
state	state	state
media	media	medium
.	.	.

Tensions	tension	Tensions
between	between	between
Iran	iran	Iran
and	and	and
France	franc	France
increased	increas	increased
last	last	last
week	week	week
after	after	after
Macron	macron	Macron
said	said	said
that	that	that
Tehran	tehran	Tehran
should	should	should
be	be	be
less	less	le
aggressive	aggress	aggressive
in	in	in
the	the	the
region	region	region
and	and	and
should	should	should
clarify	clarifi	clarify
its	it	it
ballistic	ballist	ballistic
missile	missil	missile
program	program	program
.	.	.

His	his	His
foreign	foreign	foreign
minister	minist	minister
also	also	also
denounced	denounc	denounced
Tehran	tehran	Tehran
s	s	s
hegemonic	hegemon	hegemonic
temptations	temptat	temptation
during	dure	during
a	a	a
visit	visit	visit
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.

Iranian	iranian	Iranian
state	state	state
media	media	medium
said	said	said
Rouhani	rouhani	Rouhani
told	told	told
Macron	macron	Macron
that	that	that
the	the	the
Islamic	islam	Islamic
Republic	republ	Republic
was	was	wa
ready	readi	ready
to	to	to
develop	develop	develop
its	it	it
relations	relat	relation
with	with	with
France	franc	France
on	on	on
all	all	all
bilateral	bilater	bilateral
,	,	,
regional	region	regional
and	and	and
international	intern	international
issues	issu	issue
based	base	based
on	on	on
mutual	mutual	mutual
respect	respect	respect
and	and	and
shared	share	shared
goals	goal	goal
.	.	.

Rouhani	rouhani	Rouhani
referred	refer	referred
to	to	to
the	the	the
adventurism	adventur	adventurism
of	of	of
some	some	some
inexperienced	inexperienc	inexperienced
princes	princ	prince
in	in	in
the	the	the
region	region	region
-	-	-
an	an	an
allusion	allus	allusion
to	to	to
Iran	iran	Iran
s	s	s
arch	arch	arch
geopolitical	geopolit	geopolitical
rival	rival	rival
,	,	,
Saudi	saudi	Saudi
Arabia	arabia	Arabia
-	-	-
and	and	and
said	said	said
France	franc	France
could	could	could
play	play	play
a	a	a
positive	posit	positive
role	role	role
in	in	in
easing	eas	easing
the	the	the
situation	situat	situation
.	.	.

We	we	We
are	are	are
against	against	against
adventurism	adventur	adventurism
and	and	and
creating	creat	creating
division	divis	division
in	in	in
the	the	the
region	region	region
and	and	and
believe	believ	believe
that	that	that
France	franc	France
,	,	,
by	by	by
keeping	keep	keeping
an	an	an
