KABUL	kabul	KABUL
Reuters	reuter	Reuters
-	-	-
Human	human	Human
rights	right	right
activists	activist	activist
are	are	are
urging	urg	urging
Afganistan	afganistan	Afganistan
s	s	s
President	presid	President
Ashraf	ashraf	Ashraf
Ghani	ghani	Ghani
to	to	to
expand	expand	expand
anti	anti	anti
-torture	-tortur	-torture
laws	law	law
enacted	enact	enacted
months	month	month
ago	ago	ago
to	to	to
allow	allow	allow
victims	victim	victim
abused	abus	abused
by	by	by
security	secur	security
forces	forc	force
to	to	to
seek	seek	seek
restitution	restitut	restitution
and	and	and
compensation	compens	compensation
.	.	.

A	a	A
Redress	redress	Redress
Annex	annex	Annex
attached	attach	attached
to	to	to
the	the	the
anti	anti	anti
-torture	-tortur	-torture
law	law	law
would	would	would
allow	allow	allow
victims	victim	victim
to	to	to
take	take	take
the	the	the
government	govern	government
to	to	to
civil	civil	civil
court	court	court
,	,	,
something	someth	something
not	not	not
currently	current	currently
allowed	allow	allowed
under	under	under
the	the	the
law	law	law
,	,	,
say	say	say
activists	activist	activist
.	.	.

The	the	The
annex	annex	annex
has	has	ha
been	been	been
drafted	draft	drafted
and	and	and
its	it	it
backers	backer	backer
hope	hope	hope
Ghani	ghani	Ghani
will	will	will
sign	sign	sign
a	a	a
decree	decre	decree
making	make	making
it	it	it
an	an	an
official	offici	official
part	part	part
of	of	of
the	the	the
law	law	law
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Ghani	ghani	Ghani
s	s	s
office	offic	office
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.

As	as	As
of	of	of
now	now	now
,	,	,
it	it	it
is	is	is
up	up	up
to	to	to
the	the	the
government	govern	government
to	to	to
investigate	investig	investigate
and	and	and
prosecute	prosecut	prosecute
members	member	member
of	of	of
its	it	it
own	own	own
security	secur	security
forces	forc	force
who	who	who
are	are	are
accused	accus	accused
of	of	of
torture	tortur	torture
,	,	,
something	someth	something
activists	activist	activist
and	and	and
investigators	investig	investigator
say	say	say
is	is	is
rare	rare	rare
.	.	.

The	the	The
pervasiveness	pervas	pervasiveness
of	of	of
torture	tortur	torture
in	in	in
Afghanistan	afghanistan	Afghanistan
makes	make	make
its	it	it
criminalization	crimin	criminalization
and	and	and
the	the	the
prosecution	prosecut	prosecution
of	of	of
alleged	alleg	alleged
torturers	tortur	torturer
an	an	an
urgent	urgent	urgent
priority	prioriti	priority
,	,	,
Human	human	Human
Rights	right	Rights
Watch	watch	Watch
senior	senior	senior
researcher	research	researcher
Patricia	patricia	Patricia
Gossman	gossman	Gossman
wrote	wrote	wrote
in	in	in
a	a	a
post	post	post
calling	call	calling
for	for	for
the	the	the
annex	annex	annex
to	to	to
be	be	be
enacted	enact	enacted
.	.	.

But	but	But
the	the	the
government	govern	government
also	also	also
needs	need	need
to	to	to
enshrine	enshrin	enshrine
in	in	in
law	law	law
the	the	the
rights	right	right
of	of	of
torture	tortur	torture
victims	victim	victim
to	to	to
redress	redress	redress
for	for	for
their	their	their
suffering	suffer	suffering
.	.	.

If	if	If
prosecutors	prosecutor	prosecutor
delay	delay	delay
,	,	,
a	a	a
compensation	compens	compensation
system	system	system
would	would	would
create	creat	create
a	a	a
new	new	new
avenue	avenu	avenue
for	for	for
holding	hold	holding
the	the	the
government	govern	government
accountable	account	accountable
,	,	,
she	she	she
said	said	said
.	.	.

Human	human	Human
rights	right	right
investigators	investig	investigator
have	have	have
praised	prais	praised
recent	recent	recent
moves	move	move
by	by	by
Ghani	ghani	Ghani
s	s	s
administration	administr	administration
to	to	to
criminalize	crimin	criminalize
torture	tortur	torture
,	,	,
but	but	but
at	at	at
a	a	a
practical	practic	practical
level	level	level
reports	report	report
of	of	of
torture	tortur	torture
continue	continu	continue
to	to	to
be	be	be
widespread	widespread	widespread
.	.	.

In	in	In
April	april	April
,	,	,
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
measures	measur	measure
by	by	by
the	the	the
government	govern	government
had	had	had
failed	fail	failed
to	to	to
reduce	reduc	reduce
torture	tortur	torture
,	,	,
with	with	with
nearly	near	nearly
40	40	40
percent	percent	percent
of	of	of
conflict	conflict	conflict
-related	-relat	-related
detainees	detaine	detainee
interviewed	interview	interviewed
by	by	by
the	the	the
investigators	investig	investigator
reporting	report	reporting
that	that	that
they	they	they
had	had	had
been	been	been
tortured	tortur	tortured
or	or	or
mistreated	mistreat	mistreated
by	by	by
Afghan	afghan	Afghan
security	secur	security
forces	forc	force
,	,	,
mostly	most	mostly
the	the	the
police	polic	police
and	and	and
intelligence	intellig	intelligence
services	servic	service
.	.	.

Among	among	Among
the	the	the
methods	method	method
described	describ	described
in	in	in
the	the	the
report	report	report
were	were	were
severe	sever	severe
beatings	beat	beating
to	to	to
the	the	the
body	bodi	body
and	and	and
soles	sole	sol
of	of	of
the	the	the
feet	feet	foot
with	with	with
sticks	stick	stick
,	,	,
plastic	plastic	plastic
pipes	pipe	pipe
or	or	or
cables	cabl	cable
,	,	,
electric	electr	electric
shocks	shock	shock
,	,	,
including	includ	including
to	to	to
the	the	the
genitals	genit	genitals
,	,	,
prolonged	prolong	prolonged
suspension	suspens	suspension
by	by	by
the	the	the
arms	arm	arm
,	,	,
and	and	and
suffocation	suffoc	suffocation
.	.	.

Allowing	allow	Allowing
victims	victim	victim
to	to	to
sue	sue	sue
in	in	in
civil	civil	civil
court	court	court
would	would	would
ensure	ensur	ensure
that	that	that
they	they	they
receive	receiv	receive
compensation	compens	compensation
and	and	and
create	creat	create
a	a	a
public	public	public
record	record	record
of	of	of
torture	tortur	torture
cases	case	case
,	,	,
said	said	said
Shaharzad	shaharzad	Shaharzad
Akbar	akbar	Akbar
,	,	,
a	a	a
civil	civil	civil
society	societi	society
activist	activist	activist
who	who	who
works	work	work
on	on	on
anti	anti	anti
-torture	-tortur	-torture
causes	caus	cause
.	.	.

Governments	govern	Governments
across	across	across
the	the	the
world	world	world
are	are	are
hesitant	hesit	hesitant
to	to	to
prosecute	prosecut	prosecute
their	their	their
employees	employe	employee
,	,	,
so	so	so
redress	redress	redress
creates	creat	creates
a	a	a
civil	civil	civil
mechanism	mechan	mechanism
for	for	for
the	the	the
public	public	public
to	to	to
hold	hold	hold
government	govern	government
accountable	account	accountable
,	,	,
she	she	she
said	said	said
.	.	.

This	this	This
leads	lead	lead
to	to	to
an	an	an
internal	intern	internal
conversation	convers	conversation
in	in	in
the	the	the
government	govern	government
about	about	about
the	the	the
responsibility	respons	responsibility
of	of	of
government	govern	government
entities	entiti	entity
to	to	to
prevent	prevent	prevent
torture	tortur	torture
.	.	.

