HOUSTON	houston	HOUSTON
Reuters	reuter	Reuters
-	-	-
A	a	A
Republican	republican	Republican
-led	-led	-led
congressional	congression	congressional
committee	committe	committee
sought	sought	sought
on	on	on
Friday	friday	Friday
to	to	to
assert	assert	assert
oversight	oversight	oversight
over	over	over
inquiries	inquiri	inquiry
that	that	that
about	about	about
20	20	20
states	state	state
are	are	are
making	make	making
into	into	into
Exxon	exxon	Exxon
Mobil	mobil	Mobil
and	and	and
climate	climat	climate
change	chang	change
,	,	,
reiterating	reiter	reiterating
demands	demand	demand
to	to	to
know	know	know
more	more	more
about	about	about
state	state	state
attorneys	attorney	attorney
general	general	general
s	s	s
consultations	consult	consultation
with	with	with
environmental	environment	environmental
groups	group	group
.	.	.
In	in	In
a	a	a
letter	letter	letter
,	,	,
some	some	some
17	17	17
members	member	member
of	of	of
Congress	congress	Congress
and	and	and
ranking	rank	ranking
members	member	member
of	of	of
the	the	the
House	hous	House
Science	scienc	Science
,	,	,
Space	space	Space
,	,	,
and	and	and
Technology	technolog	Technology
Committee	committe	Committee
said	said	said
they	they	they
have	have	have
broad	broad	broad
jurisdiction	jurisdict	jurisdiction
that	that	that
allows	allow	allows
them	them	them
to	to	to
review	review	review
investigations	investig	investigation
carried	carri	carried
out	out	out
by	by	by
states	state	state
.	.	.
The	the	The
committee	committe	committee
was	was	wa
pushing	push	pushing
back	back	back
against	against	against
state	state	state
officials	offici	official
who	who	who
have	have	have
said	said	said
they	they	they
are	are	are
not	not	not
subject	subject	subject
to	to	to
federal	feder	federal
oversight	oversight	oversight
.	.	.
The	the	The
standoff	standoff	standoff
is	is	is
the	the	the
latest	latest	latest
in	in	in
a	a	a
high	high	high
-stakes	-stake	-stakes
battle	battl	battle
between	between	between
the	the	the
world	world	world
s	s	s
largest	largest	largest
publicly	public	publicly
traded	trade	traded
oil	oil	oil
company	compani	company
and	and	and
a	a	a
coalition	coalit	coalition
of	of	of
state	state	state
attorneys	attorney	attorney
general	general	general
who	who	who
have	have	have
said	said	said
they	they	they
would	would	would
go	go	go
after	after	after
Exxon	exxon	Exxon
in	in	in
a	a	a
bid	bid	bid
to	to	to
force	forc	force
congressional	congression	congressional
action	action	action
to	to	to
tackle	tackl	tackle
climate	climat	climate
change	chang	change
.	.	.
About	about	About
20	20	20
state	state	state
officials	offici	official
jointly	joint	jointly
said	said	said
in	in	in
March	march	March
they	they	they
would	would	would
participate	particip	participate
in	in	in
inquiries	inquiri	inquiry
into	into	into
whether	whether	whether
Exxon	exxon	Exxon
executives	execut	executive
misled	misl	misled
the	the	the
public	public	public
by	by	by
contradicting	contradict	contradicting
research	research	research
from	from	from
company	compani	company
scientists	scientist	scientist
that	that	that
spelled	spell	spelled
out	out	out
the	the	the
threats	threat	threat
of	of	of
climate	climat	climate
change	chang	change
.	.	.
Prior	prior	Prior
to	to	to
that	that	that
March	march	March
announcement	announc	announcement
,	,	,
some	some	some
state	state	state
officials	offici	official
met	met	met
with	with	with
a	a	a
range	rang	range
of	of	of
prominent	promin	prominent
environmental	environment	environmental
and	and	and
investment	invest	investment
groups	group	group
that	that	that
oppose	oppos	oppose
fossil	fossil	fossil
fuels	fuel	fuel
.	.	.
The	the	The
House	hous	House
committee	committe	committee
has	has	ha
complained	complain	complained
the	the	the
inquiries	inquiri	inquiry
risk	risk	risk
stifling	stifl	stifling
free	free	free
speech	speech	speech
and	and	and
scientific	scientif	scientific
inquiry	inquiri	inquiry
,	,	,
and	and	and
that	that	that
state	state	state
officials	offici	official
were	were	were
coordinating	coordin	coordinating
with	with	with
special	special	special
interest	interest	interest
groups	group	group
.	.	.
The	the	The
House	hous	House
committee	committe	committee
demanded	demand	demanded
for	for	for
the	the	the
second	second	second
time	time	time
since	sinc	since
May	may	May
that	that	that
state	state	state
officials	offici	official
hand	hand	hand
over	over	over
all	all	all
records	record	record
of	of	of
communications	communic	communication
between	between	between
their	their	their
offices	offic	office
and	and	and
outside	outsid	outside
groups	group	group
.	.	.
Congress	congress	Congress
has	has	ha
a	a	a
responsibility	respons	responsibility
to	to	to
investigate	investig	investigate
whether	whether	whether
such	such	such
investigations	investig	investigation
are	are	are
having	have	having
a	a	a
chilling	chill	chilling
effect	effect	effect
on	on	on
the	the	the
free	free	free
flow	flow	flow
of	of	of
scientific	scientif	scientific
inquiry	inquiri	inquiry
and	and	and
debate	debat	debate
regarding	regard	regarding
climate	climat	climate
change	chang	change
,	,	,
the	the	the
letter	letter	letter
said	said	said
.	.	.
People	peopl	People
should	should	should
be	be	be
troubled	troubl	troubled
by	by	by
any	ani	any
attempt	attempt	attempt
by	by	by
members	member	member
of	of	of
Congress	congress	Congress
to	to	to
silence	silenc	silence
or	or	or
undercut	undercut	undercut
basic	basic	basic
investigatory	investigatori	investigatory
authority	author	authority
by	by	by
a	a	a
state	state	state
attorney	attorney	attorney
general	general	general
s	s	s
office	offic	office
,	,	,
said	said	said
Cyndi	cyndi	Cyndi
Roy	roy	Roy
Gonzalez	gonzalez	Gonzalez
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
Massachusetts	massachusett	Massachusetts
Attorney	attorney	Attorney
General	general	General
Maura	maura	Maura
Healey	healey	Healey
.	.	.
Our	our	Our
office	offic	office
will	will	will
not	not	not
be	be	be
intimidated	intimid	intimidated
by	by	by
oil	oil	oil
industry	industri	industry
-backed	-back	-backed
members	member	member
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
Exxon	exxon	Exxon
,	,	,
for	for	for
its	it	it
part	part	part
,	,	,
has	has	ha
said	said	said
it	it	it
has	has	ha
acknowledged	acknowledg	acknowledged
the	the	the
reality	realiti	reality
of	of	of
climate	climat	climate
change	chang	change
for	for	for
years	year	year
and	and	and
communicated	communic	communicated
this	this	this
to	to	to
investors	investor	investor
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Exxon	exxon	Exxon
asked	ask	asked
a	a	a
federal	feder	federal
court	court	court
to	to	to
throw	throw	throw
out	out	out
a	a	a
subpoena	subpoena	subpoena
that	that	that
would	would	would
force	forc	force
it	it	it
to	to	to
hand	hand	hand
over	over	over
decades	decad	decade
of	of	of
documents	document	document
on	on	on
climate	climat	climate
change	chang	change
to	to	to
Healey	healey	Healey
s	s	s
office	offic	office
.	.	.
