SYDNEY	sydney	SYDNEY
Reuters	reuter	Reuters
-	-	-
Australian	australian	Australian
private	privat	private
security	secur	security
on	on	on
Tuesday	tuesday	Tuesday
vacated	vacat	vacated
an	an	an
asylum	asylum	asylum
seeker	seeker	seeker
detention	detent	detention
center	center	center
in	in	in
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
PNG	png	PNG
ahead	ahead	ahead
of	of	of
its	it	it
planned	plan	planned
closure	closur	closure
,	,	,
detainees	detaine	detainee
said	said	said
,	,	,
leaving	leav	leaving
about	about	about
600	600	600
refugees	refuge	refugee
and	and	and
asylum	asylum	asylum
seekers	seeker	seeker
barricaded	barricad	barricaded
inside	insid	inside
and	and	and
refusing	refus	refusing
to	to	to
move	move	move
.	.	.

Detainees	detaine	Detainees
are	are	are
defying	defi	defying
attempts	attempt	attempt
by	by	by
Australia	australia	Australia
and	and	and
PNG	png	PNG
to	to	to
close	close	close
the	the	the
controversial	controversi	controversial
Manus	manus	Manus
Island	island	Island
center	center	center
,	,	,
saying	say	saying
they	they	they
fear	fear	fear
violent	violent	violent
reprisals	repris	reprisal
from	from	from
the	the	the
local	local	local
community	communiti	community
if	if	if
they	they	they
move	move	move
to	to	to
a	a	a
transit	transit	transit
center	center	center
.	.	.

Despite	despit	Despite
threats	threat	threat
that	that	that
water	water	water
and	and	and
power	power	power
supply	suppli	supply
to	to	to
the	the	the
camp	camp	camp
would	would	would
be	be	be
cut	cut	cut
by	by	by
5	5	5
p	p	p
.	.	.
m	m	m
.	.	.
0700	0700	0700
GMT	gmt	GMT
,	,	,
asylum	asylum	asylum
-seekers	-seeker	-seekers
told	told	told
Reuters	reuter	Reuters
after	after	after
the	the	the
deadline	deadlin	deadline
that	that	that
half	half	half
the	the	the
camp	camp	camp
still	still	still
had	had	had
power	power	power
at	at	at
10	10	10
.	.	.
30	30	30
p	p	p
.	.	.
m	m	m
.	.	.
1230	1230	1230
GMT	gmt	GMT
,	,	,
along	along	along
with	with	with
access	access	access
to	to	to
water	water	water
.	.	.

The	the	The
Manus	manus	Manus
center	center	center
has	has	ha
been	been	been
a	a	a
key	key	key
part	part	part
of	of	of
Australia	australia	Australia
s	s	s
controversial	controversi	controversial
Sovereign	sovereign	Sovereign
Borders	border	Borders
immigration	immigr	immigration
policy	polici	policy
.	.	.

The	the	The
country	countri	country
refuses	refus	refuse
to	to	to
allow	allow	allow
asylum	asylum	asylum
seekers	seeker	seeker
arriving	arriv	arriving
by	by	by
boat	boat	boat
to	to	to
reach	reach	reach
its	it	it
shores	shore	shore
,	,	,
detaining	detain	detaining
them	them	them
in	in	in
camps	camp	camp
in	in	in
PNG	png	PNG
and	and	and
Nauru	nauru	Nauru
in	in	in
the	the	the
South	south	South
Pacific	pacif	Pacific
.	.	.

Lawyers	lawyer	Lawyers
for	for	for
some	some	some
of	of	of
the	the	the
600	600	600
men	men	men
filed	file	filed
a	a	a
last	last	last
-minute	-minut	-minute
lawsuit	lawsuit	lawsuit
in	in	in
PNG	png	PNG
to	to	to
prevent	prevent	prevent
the	the	the
camp	camp	camp
s	s	s
closure	closur	closure
and	and	and
allow	allow	allow
the	the	the
men	men	men
to	to	to
be	be	be
relocated	reloc	relocated
to	to	to
a	a	a
third	third	third
country	countri	country
.	.	.

A	a	A
ruling	rule	ruling
is	is	is
expected	expect	expected
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
detainees	detaine	detainee
were	were	were
left	left	left
alone	alon	alone
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
more	more	more
than	than	than
four	four	four
years	year	year
after	after	after
camp	camp	camp
staff	staff	staff
all	all	all
left	left	left
on	on	on
Tuesday	tuesday	Tuesday
morning	morn	morning
,	,	,
Sudanese	sudanes	Sudanese
refugee	refuge	refugee
Abdul	abdul	Abdul
Aziz	aziz	Aziz
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
water	water	water
and	and	and
electricity	electr	electricity
are	are	are
still	still	still
on	on	on
but	but	but
we	we	we
are	are	are
vulnerable	vulner	vulnerable
now	now	now
after	after	after
the	the	the
staff	staff	staff
left	left	left
us	us	u
all	all	all
alone	alon	alone
,	,	,
Aziz	aziz	Aziz
said	said	said
.	.	.

The	the	The
camp	camp	camp
s	s	s
impending	impend	impending
closure	closur	closure
is	is	is
part	part	part
of	of	of
an	an	an
Australian	australian	Australian
government	govern	government
plan	plan	plan
to	to	to
push	push	push
refugees	refuge	refugee
and	and	and
asylum	asylum	asylum
seekers	seeker	seeker
to	to	to
return	return	return
to	to	to
their	their	their
home	home	home
country	countri	country
,	,	,
settle	settl	settle
in	in	in
PNG	png	PNG
or	or	or
move	move	move
elsewhere	elsewher	elsewhere
,	,	,
so	so	so
dismantling	dismantl	dismantling
part	part	part
of	of	of
the	the	the
costly	cost	costly
and	and	and
controversial	controversi	controversial
offshore	offshor	offshore
detention	detent	detention
program	program	program
.	.	.

The	the	The
United	unit	United
Nations	nation	Nations
and	and	and
rights	right	right
groups	group	group
have	have	have
for	for	for
years	year	year
cited	cite	cited
human	human	human
rights	right	right
abuses	abus	abuse
among	among	among
detainees	detaine	detainee
in	in	in
the	the	the
centers	center	center
.	.	.

Detainees	detaine	Detainees
have	have	have
consistently	consist	consistently
raised	rais	raised
concerns	concern	concern
over	over	over
how	how	how
they	they	they
are	are	are
treated	treat	treated
by	by	by
locals	local	local
and	and	and
authorities	author	authority
in	in	in
PNG	png	PNG
,	,	,
a	a	a
country	countri	country
that	that	that
ranks	rank	rank
154th	154th	154th
out	out	out
of	of	of
185	185	185
on	on	on
the	the	the
United	unit	United
Nation	nation	Nation
s	s	s
Human	human	Human
Development	develop	Development
Index	index	Index
.	.	.

Australian	australian	Australian
Immigration	immigr	Immigration
Minister	minist	Minister
Peter	peter	Peter
Dutton	dutton	Dutton
refused	refus	refused
to	to	to
comment	comment	comment
on	on	on
the	the	the
departure	departur	departure
of	of	of
the	the	the
Australian	australian	Australian
-employed	-employ	-employed
security	secur	security
staff	staff	staff
on	on	on
Manus	manus	Manus
,	,	,
but	but	but
said	said	said
the	the	the
camp	camp	camp
s	s	s
closure	closur	closure
would	would	would
proceed	proceed	proceed
.	.	.

All	all	All
have	have	have
been	been	been
informed	inform	informed
for	for	for
a	a	a
considerable	consider	considerable
period	period	period
of	of	of
time	time	time
that	that	that
there	there	there
is	is	is
safe	safe	safe
and	and	and
secure	secur	secure
alternate	altern	alternate
accommodation	accommod	accommodation
where	where	where
health	health	health
and	and	and
other	other	other
services	servic	service
will	will	will
be	be	be
maintained	maintain	maintained
,	,	,
Dutton	dutton	Dutton
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.

Australia	australia	Australia
has	has	ha
already	alreadi	already
said	said	said
it	it	it
would	would	would
spend	spend	spend
up	up	up
to	to	to
A	a	A
250	250	250
million	million	million
195	195	195
million	million	million
to	to	to
house	hous	house
the	the	the
men	men	men
for	for	for
the	the	the
next	next	next
12	12	12
months	month	month
.	.	.

Just	just	Just
under	under	under
200	200	200
men	men	men
have	have	have
already	alreadi	already
been	been	been
moved	move	moved
.	.	.

The	the	The
relocation	reloc	relocation
of	of	of
the	the	the
men	men	men
is	is	is
designed	design	designed
as	as	a
a	a	a
temporary	temporari	temporary
measure	measur	measure
,	,	,
allowing	allow	allowing
the	the	the
United	unit	United
States	state	States
time	time	time
to	to	to
complete	complet	complete
vetting	vet	vetting
of	of	of
refugees	refuge	refugee
as	as	a
part	part	part
of	of	of
a	a	a
refugee	refuge	refugee
swap	swap	swap
deal	deal	deal
.	.	.

Asylum	asylum	Asylum
seekers	seeker	seeker
said	said	said
several	sever	several
unidentified	unidentifi	unidentified
local	local	local
men	men	men
had	had	had
arrived	arriv	arrived
at	at	at
the	the	the
camp	camp	camp
and	and	and
taken	taken	taken
away	away	away
furniture	furnitur	furniture
from	from	from
common	common	common
areas	area	area
.	.	.

Videos	video	Videos
images	imag	image
shot	shot	shot
by	by	by
the	the	the
refugees	refuge	refugee
and	and	and
sent	sent	sent
to	to	to
Reuters	reuter	Reuters
show	show	show
vans	van	van
loaded	load	loaded
with	with	with
furniture	furnitur	furniture
departing	depart	departing
,	,	,
though	though	though
it	it	it
is	is	is
not	not	not
clear	clear	clear
where	where	where
the	the	the
vehicles	vehicl	vehicle
were	were	were
from	from	from
.	.	.

Conditions	condit	Conditions
for	for	for
the	the	the
refugees	refuge	refugee
were	were	were
unbearable	unbear	unbearable
,	,	,
said	said	said
Nick	nick	Nick
McKim	mckim	McKim
,	,	,
a	a	a
senator	senat	senator
with	with	with
the	the	the
Australian	australian	Australian
Greens	green	Greens
Party	parti	Party
who	who	who
is	is	is
on	on	on
Manus	manus	Manus
.	.	.

I	i	I
can	can	can
only	onli	only
describe	describ	describe
what	what	what
is	is	is
happening	happen	happening
on	on	on
Manus	manus	Manus
now	now	now
as	as	a
a	a	a
humanitarian	humanitarian	humanitarian
emergency	emerg	emergency
,	,	,
McKim	mckim	McKim
told	told	told
Reuters	reuter	Reuters
.	.	.

It	it	It
is	is	is
31	31	31
degrees	degre	degree
Celsius	celsius	Celsius
88	88	88
Fahrenheit	fahrenheit	Fahrenheit
today	today	today
and	and	and
drinking	drink	drinking
water	water	water
will	will	will
be	be	be
cut	cut	cut
off	off	off
.	.	.

PNG	png	PNG
has	has	ha
sent	sent	sent
paramilitary	paramilitari	paramilitary
services	servic	service
to	to	to
oversee	overse	oversee
the	the	the
closure	closur	closure
.	.	.

PNG	png	PNG
s	s	s
High	high	High
Court	court	Court
ruled	rule	ruled
last	last	last
year	year	year
that	that	that
the	the	the
Manus	manus	Manus
center	center	center
,	,	,
first	first	first
opened	open	opened
in	in	in
2001	2001	2001
,	,	,
was	was	wa
illegal	illeg	illegal
.	.	.

Most	most	Most
of	of	of
the	the	the
detainees	detaine	detainee
come	come	come
from	from	from
war	war	war
-torn	-torn	-torn
countries	countri	country
such	such	such
as	as	a
Afghanistan	afghanistan	Afghanistan
,	,	,
Iran	iran	Iran
,	,	,
Myanmar	myanmar	Myanmar
,	,	,
Pakistan	pakistan	Pakistan
,	,	,
Sri	sri	Sri
Lanka	lanka	Lanka
and	and	and
Syria	syria	Syria
.	.	.

Australia	australia	Australia
s	s	s
tough	tough	tough
offshore	offshor	offshore
detention	detent	detention
policies	polici	policy
are	are	are
backed	back	backed
by	by	by
its	it	it
two	two	two
biggest	biggest	biggest
political	polit	political
parties	parti	party
,	,	,
although	although	although
community	communiti	community
opinion	opinion	opinion
is	is	is
divided	divid	divided
.	.	.

I	i	I
would	would	would
be	be	be
absolutely	absolut	absolutely
terrified	terrifi	terrified
to	to	to
be	be	be
in	in	in
that	that	that
situation	situat	situation
and	and	and
I	i	I
cannot	cannot	cannot
understand	understand	understand
why	whi	why
the	the	the
government	govern	government
just	just	just
simply	simpli	simply
will	will	will
not	not	not
say	say	say
enough	enough	enough
is	is	is
enough	enough	enough
.	.	.
.	.	.
.	.	.

we	we	we
need	need	need
to	to	to
bring	bring	bring
them	them	them
here	here	here
to	to	to
Australia	australia	Australia
,	,	,
said	said	said
refugee	refuge	refugee
advocate	advoc	advocate
Dr	dr	Dr
Barri	barri	Barri
Phatarfod	phatarfod	Phatarfod
,	,	,
who	who	who
joined	join	joined
in	in	in
a	a	a
small	small	small
protest	protest	protest
against	against	against
refugee	refuge	refugee
policies	polici	policy
in	in	in
Sydney	sydney	Sydney
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

