BOSTON	boston	BOSTON
Reuters	reuter	Reuters
-	-	-
A	a	A
proposed	propos	proposed
Massachusetts	massachusett	Massachusetts
ballot	ballot	ballot
initiative	initi	initiative
that	that	that
would	would	would
allow	allow	allow
voters	voter	voter
to	to	to
require	requir	require
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
candidates	candid	candidate
to	to	to
release	releas	release
their	their	their
tax	tax	tax
returns	return	return
cleared	clear	cleared
a	a	a
key	key	key
hurdle	hurdl	hurdle
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
as	as	a
state	state	state
lawmakers	lawmak	lawmaker
mulled	mull	mulled
a	a	a
similar	similar	similar
bill	bill	bill
after	after	after
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
declined	declin	declined
to	to	to
release	releas	release
his	his	his
returns	return	return
.	.	.

The	the	The
state	state	state
s	s	s
attorney	attorney	attorney
general	general	general
,	,	,
Maura	maura	Maura
Healey	healey	Healey
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
certified	certifi	certified
the	the	the
initiative	initi	initiative
petition	petit	petition
along	along	along
with	with	with
20	20	20
others	other	others
covering	cover	covering
a	a	a
variety	varieti	variety
of	of	of
topics	topic	topic
as	as	a
having	have	having
met	met	met
constitutional	constitut	constitutional
requirements	requir	requirement
for	for	for
ballot	ballot	ballot
questions	question	question
.	.	.

The	the	The
proposed	propos	proposed
Massachusetts	massachusett	Massachusetts
law	law	law
would	would	would
require	requir	require
candidates	candid	candidate
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
and	and	and
vice	vice	vice
president	presid	president
to	to	to
submit	submit	submit
to	to	to
the	the	the
state	state	state
s	s	s
secretary	secretari	secretary
copies	copi	copy
of	of	of
their	their	their
federal	feder	federal
income	incom	income
tax	tax	tax
returns	return	return
for	for	for
the	the	the
last	last	last
six	six	six
years	year	year
that	that	that
could	could	could
then	then	then
be	be	be
made	made	made
public	public	public
.	.	.

Certification	certif	Certification
of	of	of
the	the	the
petitions	petit	petition
means	mean	mean
backers	backer	backer
can	can	can
begin	begin	begin
collecting	collect	collecting
the	the	the
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
signatures	signatur	signature
needed	need	needed
to	to	to
get	get	get
their	their	their
questions	question	question
onto	onto	onto
the	the	the
November	novemb	November
2018	2018	2018
ballot	ballot	ballot
.	.	.

Healey	healey	Healey
s	s	s
office	offic	office
said	said	said
her	her	her
decision	decis	decision
did	did	did
not	not	not
mean	mean	mean
she	she	she
supported	support	supported
the	the	the
petitions	petit	petition
.	.	.

The	the	The
election	elect	election
-related	-relat	-related
initiative	initi	initiative
came	came	came
after	after	after
Trump	trump	Trump
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
last	last	last
year	year	year
became	becam	became
the	the	the
first	first	first
major	major	major
presidential	presidenti	presidential
candidate	candid	candidate
since	sinc	since
the	the	the
1970s	1970s	1970s
to	to	to
not	not	not
voluntarily	voluntarili	voluntarily
release	releas	release
at	at	at
least	least	least
some	some	some
of	of	of
his	his	his
tax	tax	tax
returns	return	return
.	.	.

Healey	healey	Healey
s	s	s
certification	certif	certification
of	of	of
the	the	the
petition	petit	petition
came	came	came
as	as	a
state	state	state
lawmakers	lawmak	lawmaker
held	held	held
a	a	a
committee	committe	committee
hearing	hear	hearing
and	and	and
took	took	took
testimony	testimoni	testimony
on	on	on
a	a	a
bill	bill	bill
that	that	that
would	would	would
require	requir	require
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
candidates	candid	candidate
to	to	to
also	also	also
disclose	disclos	disclose
their	their	their
tax	tax	tax
returns	return	return
in	in	in
order	order	order
to	to	to
get	get	get
onto	onto	onto
the	the	the
ballot	ballot	ballot
.	.	.

Senator	senat	Senator
Michael	michael	Michael
Barrett	barrett	Barrett
,	,	,
the	the	the
bill	bill	bill
s	s	s
Democratic	democrat	Democratic
sponsor	sponsor	sponsor
,	,	,
in	in	in
an	an	an
interview	interview	interview
said	said	said
the	the	the
bill	bill	bill
had	had	had
a	a	a
lot	lot	lot
of	of	of
grassroots	grassroot	grassroots
interest	interest	interest
,	,	,
and	and	and
was	was	wa
receiving	receiv	receiving
support	support	support
from	from	from
March	march	March
Forward	forward	Forward
Mass	mass	Mass
,	,	,
which	which	which
formed	form	formed
after	after	after
the	the	the
Women	women	Women
s	s	s
March	march	March
protest	protest	protest
held	held	held
in	in	in
January	januari	January
a	a	a
day	day	day
after	after	after
Trump	trump	Trump
was	was	wa
inaugurated	inaugur	inaugurated
.	.	.

William	william	William
Galvin	galvin	Galvin
,	,	,
the	the	the
Democratic	democrat	Democratic
secretary	secretari	secretary
of	of	of
state	state	state
,	,	,
testified	testifi	testified
in	in	in
support	support	support
of	of	of
the	the	the
bill	bill	bill
,	,	,
saying	say	saying
the	the	the
public	public	public
disclosure	disclosur	disclosure
of	of	of
tax	tax	tax
returns	return	return
is	is	is
needed	need	needed
in	in	in
order	order	order
for	for	for
voters	voter	voter
to	to	to
know	know	know
about	about	about
a	a	a
candidate	candid	candidate
s	s	s
potential	potenti	potential
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

This	this	This
bill	bill	bill
is	is	is
not	not	not
about	about	about
Donald	donald	Donald
Trump	trump	Trump
,	,	,
he	he	he
said	said	said
.	.	.

It	it	It
s	s	s
because	becaus	because
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Barrett	barrett	Barrett
acknowledged	acknowledg	acknowledged
such	such	such
a	a	a
law	law	law
could	could	could
be	be	be
subject	subject	subject
to	to	to
lawsuits	lawsuit	lawsuit
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
sets	set	set
out	out	out
qualifications	qualif	qualification
to	to	to
become	becom	become
president	presid	president
,	,	,
and	and	and
critics	critic	critic
could	could	could
argue	argu	argue
the	the	the
state	state	state
s	s	s
law	law	law
would	would	would
unconstitutionally	unconstitut	unconstitutionally
do	do	do
the	the	the
same	same	same
.	.	.

But	but	But
Galvin	galvin	Galvin
testified	testifi	testified
that	that	that
he	he	he
believed	believ	believed
that	that	that
a	a	a
law	law	law
requiring	requir	requiring
tax	tax	tax
returns	return	return
disclosures	disclosur	disclosure
could	could	could
survive	surviv	survive
a	a	a
legal	legal	legal
challenge	challeng	challenge
as	as	a
states	state	state
have	have	have
a	a	a
right	right	right
to	to	to
set	set	set
conditions	condit	condition
to	to	to
get	get	get
on	on	on
their	their	their
ballots	ballot	ballot
.	.	.

Similar	similar	Similar
proposals	propos	proposal
are	are	are
being	be	being
considered	consid	considered
in	in	in
other	other	other
states	state	state
.	.	.

Republican	republican	Republican
New	new	New
Jersey	jersey	Jersey
Governor	governor	Governor
Chris	chris	Chris
Christie	christi	Christie
in	in	in
May	may	May
vetoed	veto	vetoed
a	a	a
bill	bill	bill
that	that	that
would	would	would
have	have	have
required	requir	required
the	the	the
disclosure	disclosur	disclosure
by	by	by
presidential	presidenti	presidential
candidates	candid	candidate
of	of	of
tax	tax	tax
returns	return	return
,	,	,
calling	call	calling
it	it	it
politics	polit	politics
at	at	at
its	it	it
worst	worst	worst
.	.	.

