SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
North	north	North
Korea	korea	Korea
s	s	s
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
said	said	said
his	his	his
nuclear	nuclear	nuclear
weapons	weapon	weapon
were	were	were
a	a	a
powerful	power	powerful
deterrent	deterr	deterrent
that	that	that
guaranteed	guarante	guaranteed
its	it	it
sovereignty	sovereignti	sovereignty
,	,	,
state	state	state
media	media	medium
reported	report	reported
on	on	on
Sunday	sunday	Sunday
,	,	,
hours	hour	hour
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
said	said	said
only	onli	only
one	one	one
thing	thing	thing
will	will	will
work	work	work
in	in	in
dealing	deal	dealing
with	with	with
the	the	the
isolated	isol	isolated
country	countri	country
.	.	.
Trump	trump	Trump
did	did	did
not	not	not
make	make	make
clear	clear	clear
to	to	to
what	what	what
he	he	he
was	was	wa
referring	refer	referring
,	,	,
but	but	but
his	his	his
comments	comment	comment
seemed	seem	seemed
to	to	to
be	be	be
a	a	a
further	further	further
suggestion	suggest	suggestion
that	that	that
military	militari	military
action	action	action
was	was	wa
on	on	on
his	his	his
mind	mind	mind
.	.	.
In	in	In
a	a	a
speech	speech	speech
to	to	to
a	a	a
meeting	meet	meeting
of	of	of
the	the	the
powerful	power	powerful
Central	central	Central
Committee	committe	Committee
of	of	of
the	the	the
ruling	rule	ruling
Workers	worker	Workers
Party	parti	Party
on	on	on
Saturday	saturday	Saturday
,	,	,
a	a	a
day	day	day
before	befor	before
Trump	trump	Trump
s	s	s
most	most	most
recent	recent	recent
comments	comment	comment
,	,	,
state	state	state
media	media	medium
said	said	said
Kim	kim	Kim
had	had	had
addressed	address	addressed
the	the	the
complicated	complic	complicated
international	intern	international
situation	situat	situation
.	.	.
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
weapons	weapon	weapon
are	are	are
a	a	a
powerful	power	powerful
deterrent	deterr	deterrent
firmly	firm	firmly
safeguarding	safeguard	safeguarding
the	the	the
peace	peac	peace
and	and	and
security	secur	security
in	in	in
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
and	and	and
Northeast	northeast	Northeast
Asia	asia	Asia
,	,	,
Kim	kim	Kim
said	said	said
,	,	,
referring	refer	referring
to	to	to
the	the	the
protracted	protract	protracted
nuclear	nuclear	nuclear
threats	threat	threat
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
imperialists	imperialist	imperialist
.	.	.
In	in	In
recent	recent	recent
weeks	week	week
,	,	,
North	north	North
Korea	korea	Korea
has	has	ha
launched	launch	launched
two	two	two
missiles	missil	missile
over	over	over
Japan	japan	Japan
and	and	and
conducted	conduct	conducted
its	it	it
sixth	sixth	sixth
nuclear	nuclear	nuclear
test	test	test
,	,	,
and	and	and
may	may	may
be	be	be
fast	fast	fast
advancing	advanc	advancing
toward	toward	toward
its	it	it
goal	goal	goal
of	of	of
developing	develop	developing
a	a	a
nuclear	nuclear	nuclear
-tipped	-tip	-tipped
missile	missil	missile
capable	capabl	capable
of	of	of
hitting	hit	hitting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
.	.	.
North	north	North
Korea	korea	Korea
is	is	is
preparing	prepar	preparing
to	to	to
test	test	test
-launch	-launch	-launch
such	such	such
a	a	a
missile	missil	missile
,	,	,
a	a	a
Russian	russian	Russian
lawmaker	lawmak	lawmaker
who	who	who
had	had	had
just	just	just
returned	return	returned
from	from	from
a	a	a
visit	visit	visit
to	to	to
Pyongyang	pyongyang	Pyongyang
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
on	on	on
Friday	friday	Friday
.	.	.
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
previously	previous	previously
said	said	said
the	the	the
United	unit	United
States	state	States
would	would	would
totally	total	totally
destroy	destroy	destroy
North	north	North
Korea	korea	Korea
if	if	if
necessary	necessari	necessary
to	to	to
protect	protect	protect
itself	itself	itself
and	and	and
its	it	it
allies	alli	ally
.	.	.
The	the	The
situation	situat	situation
proved	prove	proved
that	that	that
North	north	North
Korea	korea	Korea
s	s	s
policy	polici	policy
of	of	of
byungjin	byungjin	byungjin
,	,	,
meaning	mean	meaning
the	the	the
parallel	parallel	parallel
development	develop	development
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
the	the	the
economy	economi	economy
was	was	wa
absolutely	absolut	absolutely
right	right	right
,	,	,
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
said	said	said
in	in	in
the	the	the
speech	speech	speech
.	.	.
The	the	The
national	nation	national
economy	economi	economy
has	has	ha
grown	grown	grown
on	on	on
their	their	their
strength	strength	strength
this	this	this
year	year	year
,	,	,
despite	despit	despite
the	the	the
escalating	escal	escalating
sanctions	sanction	sanction
,	,	,
said	said	said
Kim	kim	Kim
,	,	,
referring	refer	referring
to	to	to
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolutions	resolut	resolution
put	put	put
in	in	in
place	place	place
to	to	to
curb	curb	curb
Pyongyang	pyongyang	Pyongyang
s	s	s
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
program	program	program
.	.	.
The	the	The
meeting	meet	meeting
also	also	also
handled	handl	handled
some	some	some
personnel	personnel	personnel
changes	chang	change
inside	insid	inside
North	north	North
Korea	korea	Korea
s	s	s
secretive	secret	secretive
and	and	and
opaque	opaqu	opaque
ruling	rule	ruling
center	center	center
of	of	of
power	power	power
,	,	,
state	state	state
media	media	medium
said	said	said
.	.	.
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
s	s	s
sister	sister	sister
,	,	,
Kim	kim	Kim
Yo	yo	Yo
Jong	jong	Jong
,	,	,
was	was	wa
made	made	made
an	an	an
alternate	altern	alternate
member	member	member
of	of	of
the	the	the
politburo	politburo	politburo
-	-	-
the	the	the
top	top	top
decision	decis	decision
-making	-make	-making
body	bodi	body
over	over	over
which	which	which
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
presides	presid	presides
.	.	.
Alongside	alongsid	Alongside
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
himself	himself	himself
,	,	,
the	the	the
promotion	promot	promotion
makes	make	make
Kim	kim	Kim
Yo	yo	Yo
Jong	jong	Jong
the	the	the
only	onli	only
other	other	other
millennial	millenni	millennial
member	member	member
of	of	of
the	the	the
influential	influenti	influential
body	bodi	body
.	.	.
Her	her	Her
new	new	new
position	posit	position
indicates	indic	indicates
the	the	the
28	28	28
-year-old	-year-old	-year-old
has	has	ha
become	becom	become
a	a	a
replacement	replac	replacement
for	for	for
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
s	s	s
aunt	aunt	aunt
,	,	,
Kim	kim	Kim
Kyong	kyong	Kyong
Hui	hui	Hui
,	,	,
who	who	who
had	had	had
been	been	been
a	a	a
key	key	key
decision	decis	decision
maker	maker	maker
when	when	when
former	former	former
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Il	il	Il
was	was	wa
alive	aliv	alive
.	.	.
It	it	It
shows	show	show
that	that	that
her	her	her
portfolio	portfolio	portfolio
and	and	and
writ	writ	writ
is	is	is
far	far	far
more	more	more
substantive	substant	substantive
than	than	than
previously	previous	previously
believed	believ	believed
and	and	and
it	it	it
is	is	is
a	a	a
further	further	further
consolidation	consolid	consolidation
of	of	of
the	the	the
Kim	kim	Kim
family	famili	family
s	s	s
power	power	power
,	,	,
said	said	said
Michael	michael	Michael
Madden	madden	Madden
,	,	,
a	a	a
North	north	North
Korea	korea	Korea
expert	expert	expert
at	at	at
Johns	john	Johns
Hopkins	hopkin	Hopkins
University	univers	University
s	s	s
38	38	38
North	north	North
website	websit	website
.	.	.
In	in	In
January	januari	January
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
blacklisted	blacklist	blacklisted
Kim	kim	Kim
Yo	yo	Yo
Jong	jong	Jong
along	along	along
with	with	with
other	other	other
North	north	North
Korean	korean	Korean
officials	offici	official
over	over	over
severe	sever	severe
human	human	human
rights	right	right
abuses	abus	abuse
.	.	.
Kim	kim	Kim
Jong	jong	Jong
Sik	sik	Sik
and	and	and
Ri	ri	Ri
Pyong	pyong	Pyong
Chol	chol	Chol
,	,	,
two	two	two
of	of	of
the	the	the
three	three	three
men	men	men
behind	behind	behind
Kim	kim	Kim
s	s	s
banned	ban	banned
rocket	rocket	rocket
program	program	program
,	,	,
were	were	were
also	also	also
promoted	promot	promoted
.	.	.
State	state	State
media	media	medium
announced	announc	announced
that	that	that
several	sever	several
other	other	other
high	high	high
ranking	rank	ranking
cadres	cadr	cadre
were	were	were
promoted	promot	promoted
to	to	to
the	the	the
Central	central	Central
Committee	committe	Committee
in	in	in
what	what	what
the	the	the
South	south	South
Korean	korean	Korean
unification	unif	unification
ministry	ministri	ministry
said	said	said
could	could	could
be	be	be
an	an	an
attempt	attempt	attempt
by	by	by
North	north	North
Korea	korea	Korea
to	to	to
navigate	navig	navigate
a	a	a
way	way	way
through	through	through
its	it	it
increasing	increas	increasing
isolation	isol	isolation
.	.	.
The	the	The
large	larg	large
-scale	-scale	-scale
personnel	personnel	personnel
reshuffle	reshuffl	reshuffle
reflects	reflect	reflects
that	that	that
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
is	is	is
taking	take	taking
the	the	the
current	current	current
situation	situat	situation
seriously	serious	seriously
,	,	,
and	and	and
that	that	that
he	he	he
s	s	s
looking	look	looking
for	for	for
a	a	a
breakthrough	breakthrough	breakthrough
by	by	by
promoting	promot	promoting
a	a	a
new	new	new
generation	generat	generation
of	of	of
politicians	politician	politician
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
North	north	North
Korea	korea	Korea
s	s	s
foreign	foreign	foreign
minister	minist	minister
Ri	ri	Ri
Yong	yong	Yong
Ho	ho	Ho
,	,	,
who	who	who
named	name	named
Donald	donald	Donald
Trump	trump	Trump
President	presid	President
Evil	evil	Evil
in	in	in
a	a	a
bombastic	bombast	bombastic
speech	speech	speech
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
General	general	General
Assembly	assembl	Assembly
last	last	last
month	month	month
,	,	,
was	was	wa
promoted	promot	promoted
to	to	to
full	full	full
vote	vote	vote
-carrying	-carri	-carrying
member	member	member
of	of	of
the	the	the
politburo	politburo	politburo
.	.	.
Ri	ri	Ri
can	can	can
now	now	now
be	be	be
safely	safe	safely
identified	identifi	identified
as	as	a
one	one	one
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
top	top	top
policy	polici	policy
makers	maker	maker
,	,	,
said	said	said
Madden	madden	Madden
.	.	.
Even	even	Even
if	if	if
he	he	he
has	has	ha
informal	inform	informal
or	or	or
off	off	off
the	the	the
record	record	record
meetings	meet	meeting
,	,	,
Ri	ri	Ri
s	s	s
interlocutors	interlocutor	interlocutor
can	can	can
be	be	be
assured	assur	assured
that	that	that
whatever	whatev	whatever
proposals	propos	proposal
they	they	they
proffer	proffer	proffer
will	will	will
be	be	be
taken	taken	taken
directly	direct	directly
to	to	to
the	the	the
top	top	top
,	,	,
he	he	he
said	said	said
.	.	.
