DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Families	famili	Families
are	are	are
being	be	being
torn	torn	torn
apart	apart	apart
by	by	by
the	the	the
rift	rift	rift
between	between	between
Qatar	qatar	Qatar
and	and	and
three	three	three
other	other	other
Gulf	gulf	Gulf
Arab	arab	Arab
states	state	state
which	which	which
began	began	began
six	six	six
months	month	month
ago	ago	ago
,	,	,
Amnesty	amnesti	Amnesty
International	intern	International
said	said	said
on	on	on
Thursday	thursday	Thursday
,	,	,
despite	despit	despite
measures	measur	measure
to	to	to
ease	eas	ease
the	the	the
impact	impact	impact
of	of	of
the	the	the
crisis	crisi	crisis
on	on	on
ordinary	ordinari	ordinary
citizens	citizen	citizen
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
and	and	and
Bahrain	bahrain	Bahrain
,	,	,
along	along	along
with	with	with
Egypt	egypt	Egypt
,	,	,
imposed	impos	imposed
travel	travel	travel
,	,	,
economic	econom	economic
and	and	and
diplomatic	diplomat	diplomatic
sanctions	sanction	sanction
on	on	on
Qatar	qatar	Qatar
in	in	in
June	june	June
over	over	over
allegations	alleg	allegation
of	of	of
supporting	support	supporting
terrorism	terror	terrorism
.	.	.
Doha	doha	Doha
denies	deni	denies
the	the	the
charge	charg	charge
.	.	.
The	the	The
human	human	human
rights	right	right
group	group	group
,	,	,
citing	cite	citing
interviews	interview	interview
with	with	with
individuals	individu	individual
and	and	and
Qatari	qatari	Qatari
officials	offici	official
,	,	,
said	said	said
thousands	thousand	thousand
of	of	of
people	peopl	people
had	had	had
been	been	been
affected	affect	affected
by	by	by
the	the	the
rift	rift	rift
,	,	,
which	which	which
has	has	ha
split	split	split
families	famili	family
,	,	,
raised	rais	raised
food	food	food
prices	price	price
for	for	for
foreign	foreign	foreign
workers	worker	worker
and	and	and
made	made	made
visits	visit	visit
to	to	to
Islamic	islam	Islamic
holy	holi	holy
sites	site	site
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
more	more	more
difficult	difficult	difficult
.	.	.
Officials	offici	Officials
from	from	from
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
the	the	the
UAE	uae	UAE
and	and	and
Bahrain	bahrain	Bahrain
could	could	could
not	not	not
immediately	immedi	immediately
be	be	be
reached	reach	reached
to	to	to
comment	comment	comment
on	on	on
the	the	the
report	report	report
.	.	.
But	but	But
the	the	the
three	three	three
U	u	U
.	.	.
S	s	S
.	.	.
-allied	-alli	-allied
countries	countri	country
had	had	had
announced	announc	announced
measures	measur	measure
in	in	in
June	june	June
to	to	to
ease	eas	ease
the	the	the
impact	impact	impact
of	of	of
the	the	the
dispute	disput	dispute
on	on	on
mixed	mix	mixed
families	famili	family
,	,	,
including	includ	including
setting	set	setting
up	up	up
hotlines	hotlin	hotlines
to	to	to
deal	deal	deal
with	with	with
humanitarian	humanitarian	humanitarian
issues	issu	issue
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
also	also	also
said	said	said
it	it	it
was	was	wa
allowing	allow	allowing
visits	visit	visit
to	to	to
holy	holi	holy
sites	site	site
and	and	and
opened	open	opened
its	it	it
doors	door	door
to	to	to
Muslims	muslim	Muslims
in	in	in
Qatar	qatar	Qatar
to	to	to
perform	perform	perform
the	the	the
annual	annual	annual
Muslim	muslim	Muslim
haj	haj	haj
pilgrimage	pilgrimag	pilgrimage
.	.	.
Diplomatic	diplomat	Diplomatic
efforts	effort	effort
led	led	led
by	by	by
Kuwait	kuwait	Kuwait
to	to	to
resolve	resolv	resolve
the	the	the
dispute	disput	dispute
have	have	have
so	so	so
far	far	far
failed	fail	failed
to	to	to
achieve	achiev	achieve
a	a	a
breakthrough	breakthrough	breakthrough
.	.	.
The	the	The
report	report	report
was	was	wa
based	base	based
on	on	on
interviews	interview	interview
with	with	with
44	44	44
affected	affect	affected
individuals	individu	individual
conducted	conduct	conducted
in	in	in
late	late	late
November	novemb	November
in	in	in
Qatar	qatar	Qatar
as	as	a
well	well	well
as	as	a
meetings	meet	meeting
with	with	with
Qatari	qatari	Qatari
officials	offici	official
.	.	.
Despite	despit	Despite
measures	measur	measure
to	to	to
allow	allow	allow
families	famili	family
in	in	in
mixed	mix	mixed
marriages	marriag	marriage
to	to	to
visit	visit	visit
,	,	,
many	mani	many
were	were	were
finding	find	finding
it	it	it
difficult	difficult	difficult
to	to	to
comply	compli	comply
with	with	with
procedures	procedur	procedure
required	requir	required
to	to	to
apply	appli	apply
for	for	for
a	a	a
laissez	laissez	laissez
-passer	-passer	-passer
that	that	that
allows	allow	allows
residents	resid	resident
of	of	of
Qatar	qatar	Qatar
to	to	to
travel	travel	travel
to	to	to
see	see	see
loves	love	love
ones	one	one
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
Bahrain	bahrain	Bahrain
or	or	or
the	the	the
UAE	uae	UAE
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
It	it	It
said	said	said
that	that	that
there	there	there
was	was	wa
scant	scant	scant
,	,	,
or	or	or
no	no	no
,	,	,
information	inform	information
about	about	about
the	the	the
application	applic	application
process	process	process
on	on	on
official	offici	official
UAE	uae	UAE
and	and	and
Saudi	saudi	Saudi
ministry	ministri	ministry
websites	websit	website
,	,	,
while	while	while
travel	travel	travel
to	to	to
Bahrain	bahrain	Bahrain
had	had	had
become	becom	become
more	more	more
difficult	difficult	difficult
since	sinc	since
Manama	manama	Manama
imposed	impos	imposed
an	an	an
entry	entri	entry
visa	visa	visa
requirement	requir	requirement
for	for	for
Qatari	qatari	Qatari
nationals	nation	national
and	and	and
residents	resid	resident
at	at	at
a	a	a
time	time	time
when	when	when
the	the	the
embassy	embassi	embassy
in	in	in
Doha	doha	Doha
is	is	is
closed	close	closed
.	.	.
Affected	affect	Affected
families	famili	family
told	told	told
Amnesty	amnesti	Amnesty
International	intern	International
that	that	that
hotlines	hotlin	hotlines
announced	announc	announced
by	by	by
the	the	the
Bahrain	bahrain	Bahrain
,	,	,
Saudi	saudi	Saudi
Arabian	arabian	Arabian
and	and	and
UAE	uae	UAE
governments	govern	government
were	were	were
difficult	difficult	difficult
to	to	to
access	access	access
,	,	,
the	the	the
rights	right	right
watchdog	watchdog	watchdog
said	said	said
.	.	.
Lynn	lynn	Lynn
Maalouf	maalouf	Maalouf
,	,	,
Director	director	Director
of	of	of
Research	research	Research
for	for	for
the	the	the
Middle	middl	Middle
East	east	East
at	at	at
Amnesty	amnesti	Amnesty
International	intern	International
,	,	,
said	said	said
that	that	that
by	by	by
imposing	impos	imposing
travel	travel	travel
restrictions	restrict	restriction
on	on	on
ordinary	ordinari	ordinary
people	peopl	people
,	,	,
Bahrain	bahrain	Bahrain
,	,	,
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
the	the	the
UAE	uae	UAE
have	have	have
violated	violat	violated
the	the	the
right	right	right
to	to	to
family	famili	family
life	life	life
,	,	,
education	educ	education
and	and	and
freedom	freedom	freedom
of	of	of
expression	express	expression
.	.	.
Since	sinc	Since
this	this	this
dispute	disput	dispute
began	began	began
in	in	in
June	june	June
,	,	,
our	our	our
fears	fear	fear
about	about	about
its	it	it
potential	potenti	potential
to	to	to
rip	rip	rip
families	famili	family
apart	apart	apart
have	have	have
been	been	been
cruelly	cruelli	cruelly
and	and	and
emphatically	emphat	emphatically
realized	realiz	realized
,	,	,
Maalouf	maalouf	Maalouf
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
