NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
A	a	A
majority	major	majority
of	of	of
Americans	american	Americans
,	,	,
including	includ	including
a	a	a
growing	grow	growing
number	number	number
of	of	of
Republicans	republican	Republicans
,	,	,
want	want	want
to	to	to
see	see	see
an	an	an
independent	independ	independent
investigation	investig	investigation
sort	sort	sort
out	out	out
any	ani	any
connections	connect	connection
between	between	between
Russia	russia	Russia
and	and	and
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
during	dure	during
the	the	the
2016	2016	2016
election	elect	election
campaign	campaign	campaign
,	,	,
according	accord	according
to	to	to
a	a	a
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
opinion	opinion	opinion
poll	poll	poll
released	releas	released
on	on	on
Monday	monday	Monday
.	.	.

The	the	The
May	may	May
10	10	10
-14	-14	-14
poll	poll	poll
,	,	,
which	which	which
was	was	wa
conducted	conduct	conducted
after	after	after
Trump	trump	Trump
fired	fire	fired
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
,	,	,
suggests	suggest	suggests
the	the	the
public	public	public
is	is	is
increasingly	increas	increasingly
uneasy	uneasi	uneasy
with	with	with
allegations	alleg	allegation
of	of	of
meddling	meddl	meddling
by	by	by
the	the	the
Russians	russian	Russians
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
.	.	.

Trump	trump	Trump
s	s	s
dismissal	dismiss	dismissal
of	of	of
Comey	comey	Comey
,	,	,
who	who	who
was	was	wa
leading	lead	leading
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
s	s	s
probe	probe	probe
into	into	into
ties	tie	tie
between	between	between
the	the	the
White	white	White
House	hous	House
and	and	and
Russia	russia	Russia
,	,	,
intensified	intensifi	intensified
calls	call	call
by	by	by
Democrats	democrat	Democrats
for	for	for
an	an	an
independent	independ	independent
probe	probe	probe
.	.	.

According	accord	According
to	to	to
the	the	the
poll	poll	poll
,	,	,
59	59	59
percent	percent	percent
of	of	of
adults	adult	adult
,	,	,
including	includ	including
41	41	41
percent	percent	percent
of	of	of
Republicans	republican	Republicans
and	and	and
79	79	79
percent	percent	percent
of	of	of
Democrats	democrat	Democrats
,	,	,
agreed	agre	agreed
that	that	that
Congress	congress	Congress
should	should	should
launch	launch	launch
an	an	an
independent	independ	independent
investigation	investig	investigation
into	into	into
communications	communic	communication
between	between	between
the	the	the
Russian	russian	Russian
government	govern	government
and	and	and
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
during	dure	during
the	the	the
2016	2016	2016
election	elect	election
.	.	.
That	that	That
compares	compar	compare
with	with	with
54	54	54
percent	percent	percent
of	of	of
all	all	all
adults	adult	adult
,	,	,
including	includ	including
30	30	30
percent	percent	percent
of	of	of
Republicans	republican	Republicans
and	and	and
81	81	81
percent	percent	percent
of	of	of
Democrats	democrat	Democrats
,	,	,
who	who	who
felt	felt	felt
that	that	that
way	way	way
when	when	when
the	the	the
poll	poll	poll
last	last	last
asked	ask	asked
the	the	the
question	question	question
in	in	in
February	februari	February
.	.	.

I	i	I
really	realli	really
don	don	don
t	t	t
know	know	know
what	what	what
to	to	to
believe	believ	believe
anymore	anymor	anymore
,	,	,
said	said	said
John	john	John
Kremer	kremer	Kremer
,	,	,
74	74	74
,	,	,
a	a	a
Trump	trump	Trump
supporter	support	supporter
from	from	from
Birmingham	birmingham	Birmingham
,	,	,
Alabama	alabama	Alabama
,	,	,
who	who	who
wants	want	want
an	an	an
independent	independ	independent
investigation	investig	investigation
.	.	.

Kremer	kremer	Kremer
does	doe	doe
not	not	not
think	think	think
Trump	trump	Trump
had	had	had
any	ani	any
illegal	illeg	illegal
contact	contact	contact
with	with	with
the	the	the
Russians	russian	Russians
,	,	,
but	but	but
he	he	he
does	doe	doe
not	not	not
like	like	like
the	the	the
way	way	way
the	the	the
president	presid	president
is	is	is
handling	handl	handling
he	he	he
issue	issu	issue
.	.	.

If	if	If
Comey	comey	Comey
hadn	hadn	hadn
t	t	t
been	been	been
fired	fire	fired
,	,	,
I	i	I
would	would	would
have	have	have
been	been	been
comfortable	comfort	comfortable
with	with	with
the	the	the
results	result	result
of	of	of
their	their	their
investigation	investig	investigation
,	,	,
Kremer	kremer	Kremer
said	said	said
.	.	.

My	my	My
concern	concern	concern
now	now	now
is	is	is
whether	whether	whether
he	he	he
Trump	trump	Trump
is	is	is
trying	tri	trying
to	to	to
minimize	minim	minimize
the	the	the
investigation	investig	investigation
.	.	.
The	the	The
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
poll	poll	poll
also	also	also
found	found	found
that	that	that
public	public	public
confidence	confid	confidence
in	in	in
the	the	the
executive	execut	executive
branch	branch	branch
and	and	and
in	in	in
Congress	congress	Congress
has	has	ha
eroded	erod	eroded
since	sinc	since
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
election	elect	election
.	.	.

Thirty	thirti	Thirty
-six	-six	-six
percent	percent	percent
of	of	of
Americans	american	Americans
said	said	said
they	they	they
had	had	had
hardly	hard	hardly
any	ani	any
confidence	confid	confidence
at	at	at
all	all	all
in	in	in
the	the	the
executive	execut	executive
branch	branch	branch
and	and	and
43	43	43
percent	percent	percent
said	said	said
they	they	they
felt	felt	felt
that	that	that
way	way	way
about	about	about
Congress	congress	Congress
.	.	.

That	that	That
is	is	is
up	up	up
from	from	from
30	30	30
percent	percent	percent
and	and	and
37	37	37
percent	percent	percent
,	,	,
respectively	respect	respectively
,	,	,
who	who	who
answered	answer	answered
that	that	that
way	way	way
in	in	in
a	a	a
November	novemb	November
poll	poll	poll
.	.	.

When	when	When
asked	ask	asked
who	who	who
should	should	should
replace	replac	replace
Comey	comey	Comey
,	,	,
48	48	48
percent	percent	percent
wanted	want	wanted
an	an	an
FBI	fbi	FBI
outsider	outsid	outsider
with	with	with
credible	credibl	credible
experience	experi	experience
in	in	in
law	law	law
or	or	or
law	law	law
enforcement	enforc	enforcement
.	.	.

Thirty	thirti	Thirty
-seven	-seven	-seven
percent	percent	percent
said	said	said
they	they	they
wanted	want	wanted
someone	someon	someone
from	from	from
within	within	within
the	the	the
FBI	fbi	FBI
while	while	while
5	5	5
percent	percent	percent
wanted	want	wanted
an	an	an
FBI	fbi	FBI
outsider	outsid	outsider
who	who	who
is	is	is
close	close	close
to	to	to
the	the	the
Trump	trump	Trump
administration	administr	administration
.	.	.
The	the	The
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
poll	poll	poll
was	was	wa
conducted	conduct	conducted
online	onlin	online
in	in	in
English	english	English
in	in	in
all	all	all
50	50	50
states	state	state
and	and	and
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
It	it	It
included	includ	included
responses	respons	response
from	from	from
1	1	1
,	,	,
541	541	541
adults	adult	adult
,	,	,
including	includ	including
515	515	515
Republicans	republican	Republicans
and	and	and
686	686	686
Democrats	democrat	Democrats
.	.	.

The	the	The
poll	poll	poll
has	has	ha
a	a	a
credibility	credibl	credibility
interval	interv	interval
,	,	,
a	a	a
measure	measur	measure
of	of	of
accuracy	accuraci	accuracy
,	,	,
of	of	of
3	3	3
percentage	percentag	percentage
points	point	point
for	for	for
the	the	the
entire	entir	entire
group	group	group
,	,	,
5	5	5
percentage	percentag	percentage
points	point	point
for	for	for
Republicans	republican	Republicans
and	and	and
4	4	4
percentage	percentag	percentage
points	point	point
for	for	for
Democrats	democrat	Democrats
.	.	.

Click	click	Click
here	here	here
for	for	for
the	the	the
complete	complet	complete
poll	poll	poll
with	with	with
a	a	a
description	descript	description
of	of	of
the	the	the
methodology	methodolog	methodology
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2qKmISD	2qkmisd	2qKmISD

