NEW	new	NEW
YORK	york	YORK
IFR	ifr	IFR
-	-	-
Jared	jare	Jared
Kushner	kushner	Kushner
has	has	ha
divested	divest	divested
his	his	his
equity	equiti	equity
interest	interest	interest
in	in	in
666	666	666
Fifth	fifth	Fifth
Avenue	avenu	Avenue
,	,	,
a	a	a
39	39	39
-story	-stori	-story
office	offic	office
and	and	and
retail	retail	retail
building	build	building
on	on	on
Manhattan	manhattan	Manhattan
s	s	s
famed	fame	famed
shopping	shop	shopping
area	area	area
,	,	,
according	accord	according
to	to	to
a	a	a
spokesperson	spokesperson	spokesperson
at	at	at
Kushner	kushner	Kushner
Companies	compani	Companies
.	.	.
Kushner	kushner	Kushner
said	said	said
he	he	he
would	would	would
step	step	step
down	down	down
as	as	a
CEO	ceo	CEO
of	of	of
Kushner	kushner	Kushner
Companies	compani	Companies
,	,	,
a	a	a
family	famili	family
owned	own	owned
real	real	real
estate	estat	estate
company	compani	company
,	,	,
and	and	and
begin	begin	begin
to	to	to
divest	divest	divest
himself	himself	himself
of	of	of
substantial	substanti	substantial
assets	asset	asset
after	after	after
he	he	he
was	was	wa
made	made	made
a	a	a
senior	senior	senior
White	white	White
House	hous	House
advisor	advisor	advisor
to	to	to
US	us	US
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
his	his	his
father	father	father
-in-law	-in-law	-in-law
.	.	.
Mr	mr	Mr
.	.	.
Kushner	kushner	Kushner
divested	divest	divested
his	his	his
equity	equiti	equity
interest	interest	interest
in	in	in
666	666	666
Fifth	fifth	Fifth
Avenue	avenu	Avenue
,	,	,
and	and	and
has	has	ha
no	no	no
role	role	role
in	in	in
the	the	the
management	manag	management
or	or	or
operations	oper	operation
of	of	of
the	the	the
property	properti	property
,	,	,
a	a	a
Kushner	kushner	Kushner
Companies	compani	Companies
spokesperson	spokesperson	spokesperson
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
to	to	to
IFR	ifr	IFR
.	.	.
Mr	mr	Mr
.	.	.
Kushner	kushner	Kushner
s	s	s
ownership	ownership	ownership
interests	interest	interest
were	were	were
sold	sold	sold
using	use	using
a	a	a
third	third	third
-party	-parti	-party
appraisal	apprais	appraisal
for	for	for
fair	fair	fair
market	market	market
value	valu	value
to	to	to
a	a	a
family	famili	family
trust	trust	trust
,	,	,
of	of	of
which	which	which
he	he	he
is	is	is
not	not	not
a	a	a
beneficiary	beneficiari	beneficiary
,	,	,
the	the	the
spokesperson	spokesperson	spokesperson
said	said	said
.	.	.
Neither	neither	Neither
Ivanka	ivanka	Ivanka
Trump	trump	Trump
nor	nor	nor
her	her	her
and	and	and
Kushner	kushner	Kushner
s	s	s
children	children	child
are	are	are
beneficiaries	beneficiari	beneficiary
to	to	to
the	the	the
family	famili	family
trust	trust	trust
,	,	,
the	the	the
spokesperson	spokesperson	spokesperson
also	also	also
confirmed	confirm	confirmed
.	.	.
When	when	When
asked	ask	asked
by	by	by
IFR	ifr	IFR
,	,	,
Kushner	kushner	Kushner
Companies	compani	Companies
declined	declin	declined
to	to	to
give	give	give
any	ani	any
detail	detail	detail
about	about	about
the	the	the
sale	sale	sale
price	price	price
of	of	of
the	the	the
equity	equiti	equity
stake	stake	stake
and	and	and
declined	declin	declined
to	to	to
discuss	discuss	discus
any	ani	any
aspect	aspect	aspect
of	of	of
the	the	the
outstanding	outstand	outstanding
debt	debt	debt
on	on	on
the	the	the
property	properti	property
.	.	.
Kushner	kushner	Kushner
bought	bought	bought
the	the	the
property	properti	property
for	for	for
US	us	US
1	1	1
.	.	.
8bn	8bn	8bn
in	in	in
2007	2007	2007
-	-	-
the	the	the
highest	highest	highest
price	price	price
ever	ever	ever
paid	paid	paid
for	for	for
a	a	a
single	singl	single
office	offic	office
building	build	building
sale	sale	sale
in	in	in
the	the	the
United	unit	United
States	state	States
at	at	at
the	the	the
time	time	time
,	,	,
according	accord	according
to	to	to
Kroll	kroll	Kroll
Bond	bond	Bond
Rating	rate	Rating
Agency	agenc	Agency
-	-	-
but	but	but
it	it	it
was	was	wa
last	last	last
valued	valu	valued
well	well	well
below	below	below
that	that	that
level	level	level
.	.	.
The	the	The
last	last	last
appraisal	apprais	appraisal
,	,	,
completed	complet	completed
in	in	in
2011	2011	2011
as	as	a
