BEDMINSTER	bedminst	BEDMINSTER
,	,	,
N	n	N
.	.	.
J	j	J
.	.	.
BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
said	said	said
there	there	there
needs	need	need
to	to	to
be	be	be
a	a	a
peaceful	peac	peaceful
resolution	resolut	resolution
to	to	to
the	the	the
North	north	North
Korean	korean	Korean
nuclear	nuclear	nuclear
issue	issu	issue
,	,	,
and	and	and
in	in	in
a	a	a
telephone	telephon	telephone
call	call	call
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
he	he	he
urged	urg	urged
all	all	all
sides	side	side
to	to	to
avoid	avoid	avoid
words	word	word
or	or	or
action	action	action
that	that	that
raise	rais	raise
tensions	tension	tension
.	.	.

Xi	xi	Xi
s	s	s
comments	comment	comment
came	came	came
hours	hour	hour
after	after	after
Trump	trump	Trump
warned	warn	warned
North	north	North
Korea	korea	Korea
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
was	was	wa
locked	lock	locked
and	and	and
loaded	load	loaded
as	as	a
Pyongyang	pyongyang	Pyongyang
accused	accus	accused
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
leader	leader	leader
of	of	of
driving	drive	driving
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
to	to	to
the	the	the
brink	brink	brink
of	of	of
nuclear	nuclear	nuclear
war	war	war
.	.	.

The	the	The
Pentagon	pentagon	Pentagon
said	said	said
the	the	the
United	unit	United
States	state	States
and	and	and
South	south	South
Korea	korea	Korea
would	would	would
proceed	proceed	proceed
as	as	a
planned	plan	planned
with	with	with
a	a	a
joint	joint	joint
military	militari	military
exercise	exercis	exercise
in	in	in
10	10	10
days	day	day
,	,	,
an	an	an
action	action	action
sure	sure	sure
to	to	to
further	further	further
antagonize	antagon	antagonize
North	north	North
Korea	korea	Korea
.	.	.

China	china	China
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
Xi	xi	Xi
told	told	told
Trump	trump	Trump
a	a	a
peaceful	peac	peaceful
resolution	resolut	resolution
to	to	to
the	the	the
North	north	North
Korean	korean	Korean
nuclear	nuclear	nuclear
issue	issu	issue
was	was	wa
essential	essenti	essential
,	,	,
and	and	and
urged	urg	urged
calm	calm	calm
.	.	.

Concerned	concern	Concerned
parties	parti	party
must	must	must
exercise	exercis	exercise
restraint	restraint	restraint
and	and	and
avoid	avoid	avoid
remarks	remark	remark
and	and	and
actions	action	action
that	that	that
escalate	escal	escalate
tensions	tension	tension
on	on	on
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
,	,	,
it	it	it
cited	cite	cited
Xi	xi	Xi
as	as	a
saying	say	saying
.	.	.

In	in	In
their	their	their
phone	phone	phone
call	call	call
,	,	,
Trump	trump	Trump
and	and	and
Xi	xi	Xi
agreed	agre	agreed
North	north	North
Korea	korea	Korea
must	must	must
stop	stop	stop
its	it	it
provocative	provoc	provocative
and	and	and
escalatory	escalatori	escalatory
behavior	behavior	behavior
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
in	in	in
a	a	a
statement	statement	statement
,	,	,
and	and	and
reiterated	reiter	reiterated
their	their	their
mutual	mutual	mutual
commitment	commit	commitment
to	to	to
denuclearize	denuclear	denuclearize
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
.	.	.

It	it	It
added	ad	added
the	the	the
relationship	relationship	relationship
between	between	between
Trump	trump	Trump
and	and	and
Xi	xi	Xi
was	was	wa
extremely	extrem	extremely
close	close	close
and	and	and
will	will	will
hopefully	hope	hopefully
lead	lead	lead
to	to	to
a	a	a
peaceful	peac	peaceful
resolution	resolut	resolution
of	of	of
the	the	the
North	north	North
Korea	korea	Korea
problem	problem	problem
.	.	.
Trump	trump	Trump
,	,	,
vacationing	vacat	vacationing
at	at	at
his	his	his
Bedminster	bedminst	Bedminster
,	,	,
New	new	New
Jersey	jersey	Jersey
,	,	,
golf	golf	golf
resort	resort	resort
,	,	,
earlier	earlier	earlier
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
warn	warn	warn
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
solutions	solut	solution
are	are	are
now	now	now
fully	fulli	fully
in	in	in
place	place	place
,	,	,
locked	lock	locked
and	and	and
loaded	load	loaded
,	,	,
should	should	should
North	north	North
Korea	korea	Korea
act	act	act
unwisely	unwis	unwisely
.	.	.

Again	again	Again
referring	refer	referring
to	to	to
Kim	kim	Kim
,	,	,
Trump	trump	Trump
added	ad	added
,	,	,
If	if	If
he	he	he
utters	utter	utters
one	one	one
threat	threat	threat
.	.	.
.	.	.
.	.	.

or	or	or
if	if	if
he	he	he
does	doe	doe
anything	anyth	anything
with	with	with
respect	respect	respect
to	to	to
Guam	guam	Guam
or	or	or
any	ani	any
place	place	place
else	els	else
that	that	that
s	s	s
an	an	an
American	american	American
territory	territori	territory
or	or	or
an	an	an
American	american	American
ally	alli	ally
,	,	,
he	he	he
will	will	will
truly	truli	truly
regret	regret	regret
it	it	it
,	,	,
and	and	and
he	he	he
will	will	will
regret	regret	regret
it	it	it
fast	fast	fast
.	.	.
In	in	In
remarks	remark	remark
to	to	to
reporters	report	reporter
on	on	on
Friday	friday	Friday
after	after	after
a	a	a
meeting	meet	meeting
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
,	,	,
Trump	trump	Trump
said	said	said
the	the	the
situation	situat	situation
with	with	with
North	north	North
Korea	korea	Korea
was	was	wa
very	veri	very
dangerous	danger	dangerous
and	and	and
it	it	it
will	will	will
not	not	not
continue	continu	continue
.	.	.

He	he	He
added	ad	added
,	,	,
We	we	We
will	will	will
see	see	see
what	what	what
happens	happen	happens
.	.	.

We	we	We
think	think	think
that	that	that
lots	lot	lot
of	of	of
good	good	good
things	thing	thing
could	could	could
happen	happen	happen
,	,	,
and	and	and
we	we	we
could	could	could
also	also	also
have	have	have
a	a	a
bad	bad	bad
solution	solut	solution
.	.	.
Despite	despit	Despite
the	the	the
tough	tough	tough
rhetoric	rhetor	rhetoric
,	,	,
Trump	trump	Trump
insisted	insist	insisted
that	that	that
nobody	nobodi	nobody
loves	love	love
a	a	a
peaceful	peac	peaceful
solution	solut	solution
better	better	better
than	than	than
President	presid	President
Trump	trump	Trump
.	.	.
South	south	South
Korea	korea	Korea
s	s	s
presidential	presidenti	presidential
Blue	blue	Blue
House	hous	House
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Saturday	saturday	Saturday
the	the	the
United	unit	United
States	state	States
and	and	and
China	china	China
were	were	were
working	work	working
to	to	to
resolve	resolv	resolve
the	the	the
North	north	North
Korea	korea	Korea
crisis	crisi	crisis
,	,	,
and	and	and
it	it	it
hoped	hope	hoped
the	the	the
two	two	two
leaders	leader	leader
phone	phone	phone
call	call	call
will	will	will
be	be	be
able	abl	able
to	to	to
resolve	resolv	resolve
the	the	the
peak	peak	peak
of	of	of
tension	tension	tension
and	and	and
act	act	act
as	as	a
a	a	a
catalyst	catalyst	catalyst
for	for	for
the	the	the
situation	situat	situation
to	to	to
move	move	move
on	on	on
to	to	to
a	a	a
new	new	new
dimension	dimens	dimension
.	.	.
Guam	guam	Guam
,	,	,
the	the	the
Pacific	pacif	Pacific
island	island	island
that	that	that
is	is	is
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
territory	territori	territory
and	and	and
home	home	home
to	to	to
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
base	base	base
,	,	,
a	a	a
Navy	navi	Navy
installation	instal	installation
,	,	,
a	a	a
Coast	coast	Coast
Guard	guard	Guard
group	group	group
and	and	and
around	around	around
6	6	6
,	,	,
000	000	000
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
personnel	personnel	personnel
,	,	,
posted	post	posted
emergency	emerg	emergency
guidelines	guidelin	guideline
on	on	on
Friday	friday	Friday
to	to	to
help	help	help
residents	resid	resident
prepare	prepar	prepare
for	for	for
any	ani	any
potential	potenti	potential
nuclear	nuclear	nuclear
attack	attack	attack
.	.	.

North	north	North
Korean	korean	Korean
state	state	state
news	news	news
agency	agenc	agency
KCNA	kcna	KCNA
said	said	said
on	on	on
Thursday	thursday	Thursday
the	the	the
North	north	North
Korean	korean	Korean
army	armi	army
would	would	would
complete	complet	complete
plans	plan	plan
in	in	in
mid	mid	mid
-August	-august	-August
to	to	to
fire	fire	fire
four	four	four
intermediate	intermedi	intermediate
-range	-rang	-range
missiles	missil	missile
over	over	over
Japan	japan	Japan
to	to	to
land	land	land
in	in	in
the	the	the
sea	sea	sea
18	18	18
to	to	to
25	25	25
miles	mile	mile
30	30	30
to	to	to
40	40	40
km	km	km
from	from	from
Guam	guam	Guam
.	.	.

Japan	japan	Japan
s	s	s
government	govern	government
decided	decid	decided
to	to	to
deploy	deploy	deploy
its	it	it
Patriot	patriot	Patriot
missile	missil	missile
defense	defens	defense
system	system	system
to	to	to
four	four	four
locations	locat	location
in	in	in
the	the	the
west	west	west
of	of	of
the	the	the
country	countri	country
,	,	,
media	media	medium
reported	report	reported
.	.	.

No	no	No
one	one	one
at	at	at
Japan	japan	Japan
s	s	s
defense	defens	defense
ministry	ministri	ministry
was	was	wa
available	avail	available
to	to	to
comment	comment	comment
on	on	on
Saturday	saturday	Saturday
.	.	.

The	the	The
governor	governor	governor
of	of	of
Guam	guam	Guam
,	,	,
Eddie	eddi	Eddie
Baza	baza	Baza
Calvo	calvo	Calvo
,	,	,
posted	post	posted
a	a	a
video	video	video
on	on	on
Facebook	facebook	Facebook
of	of	of
himself	himself	himself
speaking	speak	speaking
with	with	with
Trump	trump	Trump
.	.	.

We	we	We
are	are	are
with	with	with
you	you	you
a	a	a
thousand	thousand	thousand
percent	percent	percent
.	.	.

You	you	You
are	are	are
safe	safe	safe
,	,	,
Trump	trump	Trump
told	told	told
Calvo	calvo	Calvo
.	.	.

Washington	washington	Washington
wants	want	want
to	to	to
stop	stop	stop
Pyongyang	pyongyang	Pyongyang
from	from	from
developing	develop	developing
nuclear	nuclear	nuclear
missiles	missil	missile
that	that	that
could	could	could
hit	hit	hit
the	the	the
United	unit	United
States	state	States
.	.	.

North	north	North
Korea	korea	Korea
sees	see	see
its	it	it
nuclear	nuclear	nuclear
arsenal	arsenal	arsenal
as	as	a
protection	protect	protection
against	against	against
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
partners	partner	partner
in	in	in
Asia	asia	Asia
.	.	.

Trump	trump	Trump
said	said	said
he	he	he
was	was	wa
considering	consid	considering
additional	addit	additional
sanctions	sanction	sanction
on	on	on
North	north	North
Korea	korea	Korea
,	,	,
adding	ad	adding
these	these	these
would	would	would
be	be	be
very	veri	very
strong	strong	strong
.	.	.
He	he	He
gave	gave	gave
no	no	no
details	detail	detail
and	and	and
did	did	did
not	not	not
make	make	make
clear	clear	clear
whether	whether	whether
he	he	he
meant	meant	meant
unilateral	unilater	unilateral
or	or	or
multilateral	multilater	multilateral
sanctions	sanction	sanction
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
have	have	have
said	said	said
new	new	new
U	u	U
.	.	.
S	s	S
.	.	.
steps	step	step
targeting	target	targeting
Chinese	chines	Chinese
banks	bank	bank
and	and	and
firms	firm	firm
doing	do	doing
business	busi	business
with	with	with
Pyongyang	pyongyang	Pyongyang
are	are	are
in	in	in
the	the	the
works	work	work
,	,	,
but	but	but
these	these	these
have	have	have
appeared	appear	appeared
to	to	to
be	be	be
put	put	put
on	on	on
hold	hold	hold
to	to	to
give	give	give
Beijing	beij	Beijing
time	time	time
to	to	to
show	show	show
it	it	it
is	is	is
serious	serious	serious
about	about	about
enforcing	enforc	enforcing
new	new	new
U	u	U
.	.	.
N	n	N
.	.	.
sanctions	sanction	sanction
.	.	.

Trump	trump	Trump
said	said	said
he	he	he
did	did	did
not	not	not
want	want	want
to	to	to
talk	talk	talk
about	about	about
diplomatic	diplomat	diplomatic
back	back	back
channels	channel	channel
with	with	with
North	north	North
Korea	korea	Korea
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
media	media	medium
reports	report	report
that	that	that
Joseph	joseph	Joseph
Yun	yun	Yun
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
envoy	envoy	envoy
for	for	for
North	north	North
Korea	korea	Korea
policy	polici	policy
,	,	,
had	had	had
engaged	engag	engaged
in	in	in
diplomacy	diplomaci	diplomacy
for	for	for
several	sever	several
months	month	month
with	with	with
Pak	pak	Pak
Song	song	Song
Il	il	Il
,	,	,
a	a	a
senior	senior	senior
diplomat	diplomat	diplomat
at	at	at
Pyongyang	pyongyang	Pyongyang
s	s	s
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
,	,	,
on	on	on
the	the	the
deteriorating	deterior	deteriorating
ties	tie	tie
and	and	and
the	the	the
issue	issu	issue
of	of	of
Americans	american	Americans
imprisoned	imprison	imprisoned
in	in	in
North	north	North
Korea	korea	Korea
.	.	.

But	but	But
Daniel	daniel	Daniel
Russel	russel	Russel
,	,	,
until	until	until
April	april	April
the	the	the
top	top	top
U	u	U
.	.	.
S	s	S
.	.	.
diplomat	diplomat	diplomat
for	for	for
East	east	East
Asia	asia	Asia
,	,	,
said	said	said
this	this	this
so	so	so
-called	-call	-called
New	new	New
York	york	York
channel	channel	channel
had	had	had
been	been	been
a	a	a
relatively	relat	relatively
commonplace	commonplac	commonplace
means	mean	mean
of	of	of
communication	communic	communication
with	with	with
North	north	North
Korea	korea	Korea
over	over	over
the	the	the
years	year	year
,	,	,
and	and	and
was	was	wa
not	not	not
a	a	a
forum	forum	forum
for	for	for
negotiation	negoti	negotiation
.	.	.

It	it	It
s	s	s
never	never	never
been	been	been
a	a	a
vehicle	vehicl	vehicle
for	for	for
negotiations	negoti	negotiation
and	and	and
this	this	this
doesn	doesn	doesn
t	t	t
constitute	constitut	constitute
substantive	substant	substantive
U	u	U
.	.	.
S	s	S
.	.	.
-DPRK	-dprk	-DPRK
dialogue	dialogu	dialogue
,	,	,
he	he	he
said	said	said
,	,	,
using	use	using
the	the	the
acronym	acronym	acronym
for	for	for
North	north	North
Korea	korea	Korea
s	s	s
formal	formal	formal
name	name	name
,	,	,
Democratic	democrat	Democratic
People	peopl	People
s	s	s
Republic	republ	Republic
of	of	of
Korea	korea	Korea
.	.	.

Both	both	Both
Moscow	moscow	Moscow
and	and	and
Berlin	berlin	Berlin
expressed	express	expressed
alarm	alarm	alarm
over	over	over
the	the	the
rise	rise	rise
in	in	in
rhetoric	rhetor	rhetoric
over	over	over
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
Russian	russian	Russian
Foreign	foreign	Foreign
Minister	minist	Minister
Sergei	sergei	Sergei
Lavrov	lavrov	Lavrov
urged	urg	urged
Pyongyang	pyongyang	Pyongyang
and	and	and
Washington	washington	Washington
to	to	to
sign	sign	sign
up	up	up
to	to	to
a	a	a
joint	joint	joint
Russian	russian	Russian
-Chinese	-chines	-Chinese
plan	plan	plan
by	by	by
which	which	which
North	north	North
Korea	korea	Korea
would	would	would
freeze	freez	freeze
missile	missil	missile
tests	test	test
and	and	and
the	the	the
United	unit	United
States	state	States
and	and	and
South	south	South
Korea	korea	Korea
would	would	would
impose	impos	impose
a	a	a
moratorium	moratorium	moratorium
on	on	on
large	larg	large
-scale	-scale	-scale
military	militari	military
exercises	exercis	exercise
.	.	.

Neither	neither	Neither
the	the	the
United	unit	United
States	state	States
nor	nor	nor
North	north	North
Korea	korea	Korea
has	has	ha
embraced	embrac	embraced
the	the	the
plan	plan	plan
.	.	.

German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
said	said	said
there	there	there
is	is	is
no	no	no
military	militari	military
solution	solut	solution
,	,	,
adding	ad	adding
that	that	that
an	an	an
escalation	escal	escalation
of	of	of
the	the	the
rhetoric	rhetor	rhetoric
is	is	is
the	the	the
wrong	wrong	wrong
answer	answer	answer
.	.	.
The	the	The
French	french	French
presidency	presid	presidency
said	said	said
North	north	North
Korea	korea	Korea
was	was	wa
engaged	engag	engaged
in	in	in
a	a	a
dangerous	danger	dangerous
escalation	escal	escalation
of	of	of
tensions	tension	tension
.	.	.

President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
calls	call	call
for	for	for
all	all	all
parties	parti	party
to	to	to
act	act	act
responsibly	respons	responsibly
and	and	and
prevent	prevent	prevent
any	ani	any
further	further	further
escalation	escal	escalation
in	in	in
