WELLINGTON	wellington	WELLINGTON
Reuters	reuter	Reuters
-	-	-
The	the	The
rising	rise	rising
popularity	popular	popularity
of	of	of
New	new	New
Zealand	zealand	Zealand
s	s	s
Labour	labour	Labour
Party	parti	Party
in	in	in
hotly	hot	hotly
contested	contest	contested
elections	elect	election
is	is	is
making	make	making
it	it	it
less	less	le
likely	like	likely
that	that	that
the	the	the
nationalist	nationalist	nationalist
New	new	New
Zealand	zealand	Zealand
First	first	First
Party	parti	Party
will	will	will
play	play	play
kingmaker	kingmak	kingmaker
,	,	,
poll	poll	poll
averages	averag	average
released	releas	released
on	on	on
Friday	friday	Friday
show	show	show
.	.	.

The	the	The
uncertainty	uncertainti	uncertainty
over	over	over
which	which	which
combination	combin	combination
of	of	of
parties	parti	party
will	will	will
decide	decid	decide
the	the	the
next	next	next
government	govern	government
is	is	is
worsening	worsen	worsening
an	an	an
already	alreadi	already
topsy	topsi	topsy
-turvy	-turvi	-turvy
election	elect	election
,	,	,
previously	previous	previously
seen	seen	seen
as	as	a
a	a	a
slam	slam	slam
dunk	dunk	dunk
for	for	for
the	the	the
center	center	center
-right	-right	-right
National	nation	National
Party	parti	Party
,	,	,
which	which	which
has	has	ha
ruled	rule	ruled
for	for	for
almost	almost	almost
a	a	a
decade	decad	decade
.	.	.

Since	sinc	Since
taking	take	taking
over	over	over
as	as	a
leader	leader	leader
last	last	last
month	month	month
,	,	,
charismatic	charismat	charismatic
politician	politician	politician
Jacinda	jacinda	Jacinda
Ardern	ardern	Ardern
has	has	ha
almost	almost	almost
single	singl	single
-handedly	-hand	-handedly
changed	chang	changed
the	the	the
chances	chanc	chance
of	of	of
her	her	her
Labour	labour	Labour
Party	parti	Party
at	at	at
the	the	the
Sept	sept	Sept
.	.	.

23	23	23
election	elect	election
.	.	.

When	when	When
I	i	I
go	go	go
out	out	out
and	and	and
knock	knock	knock
on	on	on
doors	door	door
.	.	.
.	.	.
.	.	.
there	there	there
is	is	is
a	a	a
feeling	feel	feeling
for	for	for
change	chang	change
,	,	,
there	there	there
is	is	is
,	,	,
Marama	marama	Marama
Fox	fox	Fox
,	,	,
a	a	a
leader	leader	leader
of	of	of
the	the	the
M	m	M
ori	ori	ori
Party	parti	Party
,	,	,
said	said	said
at	at	at
a	a	a
televised	televis	televised
debate	debat	debate
between	between	between
leaders	leader	leader
of	of	of
smaller	smaller	smaller
parties	parti	party
,	,	,
referring	refer	referring
to	to	to
Labour	labour	Labour
s	s	s
newfound	newfound	newfound
popularity	popular	popularity
.	.	.

Fox	fox	Fox
s	s	s
party	parti	party
,	,	,
which	which	which
campaigns	campaign	campaign
for	for	for
the	the	the
rights	right	right
of	of	of
indigenous	indigen	indigenous
New	new	New
Zealanders	zealand	Zealanders
,	,	,
could	could	could
play	play	play
a	a	a
crucial	crucial	crucial
role	role	role
in	in	in
determining	determin	determining
the	the	the
next	next	next
government	govern	government
.	.	.

Though	though	Though
it	it	it
has	has	ha
been	been	been
in	in	in
a	a	a
coalition	coalit	coalition
with	with	with
National	nation	National
for	for	for
nine	nine	nine
years	year	year
,	,	,
Fox	fox	Fox
said	said	said
she	she	she
could	could	could
work	work	work
with	with	with
Labour	labour	Labour
.	.	.

Support	support	Support
for	for	for
newly	newli	newly
invigorated	invigor	invigorated
Labour	labour	Labour
rose	rose	rose
to	to	to
41	41	41
.	.	.
8	8	8
percent	percent	percent
in	in	in
opinion	opinion	opinion
polls	poll	poll
,	,	,
nudging	nudg	nudging
above	abov	above
the	the	the
National	nation	National
Party	parti	Party
s	s	s
41	41	41
.	.	.
1	1	1
percent	percent	percent
,	,	,
figures	figur	figure
released	releas	released
by	by	by
media	media	medium
showed	show	showed
.	.	.

That	that	That
put	put	put
the	the	the
center	center	center
-left	-left	-left
opposition	opposit	opposition
party	parti	party
closer	closer	closer
to	to	to
being	be	being
able	abl	able
to	to	to
form	form	form
a	a	a
government	govern	government
with	with	with
the	the	the
Green	green	Green
Party	parti	Party
,	,	,
polling	poll	polling
at	at	at
around	around	around
5	5	5
.	.	.
4	4	4
percent	percent	percent
,	,	,
and	and	and
the	the	the
M	m	M
ori	ori	ori
Party	parti	Party
,	,	,
which	which	which
posted	post	posted
support	support	support
of	of	of
about	about	about
1	1	1
.	.	.
2	2	2
percent	percent	percent
.	.	.

Alternatively	altern	Alternatively
Labour	labour	Labour
could	could	could
join	join	join
forces	forc	force
with	with	with
New	new	New
Zealand	zealand	Zealand
First	first	First
,	,	,
which	which	which
slipped	slip	slipped
to	to	to
7	7	7
.	.	.
9	9	9
percent	percent	percent
and	and	and
had	had	had
previously	previous	previously
been	been	been
thought	thought	thought
likely	like	likely
to	to	to
determine	determin	determine
which	which	which
major	major	major
party	parti	party
governed	govern	governed
.	.	.

Green	green	Green
Party	parti	Party
leader	leader	leader
James	jame	James
Shaw	shaw	Shaw
would	would	would
not	not	not
rule	rule	rule
out	out	out
a	a	a
deal	deal	deal
with	with	with
New	new	New
Zealand	zealand	Zealand
First	first	First
,	,	,
but	but	but
expressed	express	expressed
reluctance	reluct	reluctance
,	,	,
as	as	a
the	the	the
party	parti	party
s	s	s
outspoken	outspoken	outspoken
leader	leader	leader
would	would	would
not	not	not
commit	commit	commit
to	to	to
either	either	either
National	nation	National
or	or	or
Labour	labour	Labour
.	.	.

He	he	He
s	s	s
a	a	a
bad	bad	bad
date	date	date
,	,	,
Shaw	shaw	Shaw
said	said	said
of	of	of
Peters	peter	Peters
last	last	last
-minute	-minut	-minute
decision	decis	decision
to	to	to
skip	skip	skip
the	the	the
debate	debat	debate
.	.	.

He	he	He
s	s	s
stood	stood	stood
us	us	u
up	up	up
tonight	tonight	tonight
.	.	.
.	.	.
.	.	.

he	he	he
s	s	s
completely	complet	completely
unreliable	unreli	unreliable
and	and	and
you	you	you
don	don	don
t	t	t
know	know	know
which	which	which
way	way	way
he	he	he
s	s	s
going	go	going
to	to	to
go	go	go
.	.	.

But	but	But
if	if	if
the	the	the
Green	green	Green
Party	parti	Party
fell	fell	fell
further	further	further
,	,	,
sinking	sink	sinking
below	below	below
the	the	the
support	support	support
threshold	threshold	threshold
of	of	of
5	5	5
percent	percent	percent
for	for	for
seats	seat	seat
in	in	in
parliament	parliament	parliament
,	,	,
that	that	that
would	would	would
put	put	put
New	new	New
Zealand	zealand	Zealand
First	first	First
in	in	in
an	an	an
even	even	even
stronger	stronger	stronger
position	posit	position
.	.	.

It	it	It
is	is	is
really	realli	really
unusual	unusu	unusual
.	.	.
.	.	.
.	.	.

it	it	it
s	s	s
all	all	all
about	about	about
which	which	which
pieces	piec	piece
land	land	land
where	where	where
,	,	,
said	said	said
Grant	grant	Grant
Duncan	duncan	Duncan
,	,	,
political	polit	political
analyst	analyst	analyst
at	at	at
Auckland	auckland	Auckland
University	univers	University
.	.	.

Minor	minor	Minor
parties	parti	party
often	often	often
have	have	have
an	an	an
outsize	outsiz	outsize
role	role	role
in	in	in
New	new	New
Zealand	zealand	Zealand
s	s	s
proportional	proport	proportional
representation	represent	representation
system	system	system
,	,	,
in	in	in
which	which	which
a	a	a
party	parti	party
,	,	,
or	or	or
combination	combin	combination
of	of	of
parties	parti	party
,	,	,
needs	need	need
61	61	61
of	of	of
Parliament	parliament	Parliament
s	s	s
120	120	120
members	member	member
-	-	-
usually	usual	usually
about	about	about
48	48	48
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
-	-	-
to	to	to
form	form	form
a	a	a
government	govern	government
.	.	.

