RAMALLAH	ramallah	RAMALLAH
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Palestinian	palestinian	Palestinian
officials	offici	official
expressed	express	expressed
surprise	surpris	surprise
on	on	on
Saturday	saturday	Saturday
at	at	at
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
decision	decis	decision
to	to	to
close	close	close
the	the	the
Palestine	palestin	Palestine
Liberation	liber	Liberation
Organization	organ	Organization
office	offic	office
in	in	in
Washington	washington	Washington
unless	unless	unless
the	the	the
group	group	group
enters	enter	enters
peace	peac	peace
negotiations	negoti	negotiation
with	with	with
Israel	israel	Israel
,	,	,
and	and	and
said	said	said
they	they	they
would	would	would
not	not	not
surrender	surrend	surrender
to	to	to
blackmail	blackmail	blackmail
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
official	offici	official
said	said	said
that	that	that
under	under	under
legislation	legisl	legislation
passed	pass	passed
by	by	by
Congress	congress	Congress
,	,	,
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
could	could	could
not	not	not
renew	renew	renew
a	a	a
certification	certif	certification
that	that	that
expired	expir	expired
this	this	this
month	month	month
for	for	for
the	the	the
PLO	plo	PLO
office	offic	office
,	,	,
given	given	given
certain	certain	certain
statements	statement	statement
made	made	made
by	by	by
the	the	the
Palestinian	palestinian	Palestinian
leaders	leader	leader
about	about	about
the	the	the
International	intern	International
Criminal	crimin	Criminal
Court	court	Court
.	.	.
The	the	The
law	law	law
says	say	say
the	the	the
PLO	plo	PLO
,	,	,
the	the	the
main	main	main
Palestinian	palestinian	Palestinian
umbrella	umbrella	umbrella
political	polit	political
body	bodi	body
,	,	,
cannot	cannot	cannot
operate	oper	operate
a	a	a
Washington	washington	Washington
office	offic	office
if	if	if
it	it	it
urges	urg	urge
the	the	the
ICC	icc	ICC
to	to	to
prosecute	prosecut	prosecute
Israelis	isra	Israelis
for	for	for
alleged	alleg	alleged
crimes	crime	crime
against	against	against
Palestinians	palestinian	Palestinians
.	.	.
In	in	In
an	an	an
address	address	address
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
General	general	General
Assembly	assembl	Assembly
in	in	in
September	septemb	September
,	,	,
Palestinian	palestinian	Palestinian
President	presid	President
Mahmoud	mahmoud	Mahmoud
Abbas	abba	Abbas
said	said	said
the	the	the
Palestinian	palestinian	Palestinian
Authority	author	Authority
called	call	called
on	on	on
the	the	the
ICC	icc	ICC
to	to	to
open	open	open
an	an	an
investigation	investig	investigation
and	and	and
to	to	to
prosecute	prosecut	prosecute
Israeli	isra	Israeli
officials	offici	official
for	for	for
their	their	their
involvement	involv	involvement
in	in	in
settlement	settlement	settlement
activities	activ	activity
and	and	and
aggressions	aggress	aggression
against	against	against
our	our	our
people	peopl	people
.	.	.
The	the	The
State	state	State
Department	depart	Department
official	offici	official
added	ad	added
that	that	that
restrictions	restrict	restriction
on	on	on
the	the	the
PLO	plo	PLO
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
including	includ	including
the	the	the
operation	oper	operation
of	of	of
its	it	it
Washington	washington	Washington
office	offic	office
,	,	,
could	could	could
