WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
A	a	A
political	polit	political
feud	feud	feud
erupted	erupt	erupted
on	on	on
Wednesday	wednesday	Wednesday
over	over	over
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
s	s	s
probe	probe	probe
of	of	of
suspected	suspect	suspected
Russian	russian	Russian
meddling	meddl	meddling
in	in	in
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
,	,	,
with	with	with
charges	charg	charge
that	that	that
the	the	the
panel	panel	panel
s	s	s
Republican	republican	Republican
chairman	chairman	chairman
subpoenaed	subpoena	subpoenaed
the	the	the
CIA	cia	CIA
,	,	,
FBI	fbi	FBI
and	and	and
National	nation	National
Security	secur	Security
Agency	agenc	Agency
without	without	without
telling	tell	telling
Democratic	democrat	Democratic
members	member	member
.	.	.

Committee	committe	Committee
aides	aid	aide
complained	complain	complained
that	that	that
the	the	the
chairman	chairman	chairman
,	,	,
Representative	repres	Representative
Devin	devin	Devin
Nunes	nune	Nunes
,	,	,
who	who	who
publicly	public	publicly
recused	recus	recused
himself	himself	himself
from	from	from
leading	lead	leading
the	the	the
Russia	russia	Russia
probe	probe	probe
in	in	in
April	april	April
following	follow	following
a	a	a
secret	secret	secret
visit	visit	visit
he	he	he
paid	paid	paid
to	to	to
White	white	White
House	hous	House
officials	offici	official
,	,	,
failed	fail	failed
to	to	to
consult	consult	consult
Democrats	democrat	Democrats
on	on	on
the	the	the
subpoenas	subpoena	subpoena
.	.	.

The	the	The
subpoenas	subpoena	subpoena
asked	ask	asked
the	the	the
agencies	agenc	agency
to	to	to
provide	provid	provide
details	detail	detail
of	of	of
any	ani	any
requests	request	request
made	made	made
by	by	by
two	two	two
top	top	top
Obama	obama	Obama
administration	administr	administration
aides	aid	aide
and	and	and
the	the	the
former	former	former
CIA	cia	CIA
director	director	director
to	to	to
unmask	unmask	unmask
names	name	name
of	of	of
Trump	trump	Trump
campaign	campaign	campaign
advisers	advis	adviser
inadvertently	inadvert	inadvertently
picked	pick	picked
up	up	up
in	in	in
top	top	top
-secret	-secret	-secret
foreign	foreign	foreign
communications	communic	communication
intercepts	intercept	intercept
,	,	,
congressional	congression	congressional
sources	sourc	source
said	said	said
.	.	.

The	the	The
former	former	former
officials	offici	official
named	name	named
in	in	in
the	the	the
subpoenas	subpoena	subpoena
were	were	were
Obama	obama	Obama
national	nation	national
security	secur	security
adviser	advis	adviser
Susan	susan	Susan
Rice	rice	Rice
,	,	,
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Samantha	samantha	Samantha
Power	power	Power
and	and	and
former	former	former
CIA	cia	CIA
Director	director	Director
John	john	John
Brennan	brennan	Brennan
.	.	.

Subpoenas	subpoena	Subpoenas
related	relat	related
to	to	to
the	the	the
unmasking	unmask	unmasking
issue	issu	issue
would	would	would
have	have	have
been	been	been
sent	sent	sent
by	by	by
Chairman	chairman	Chairman
Nunes	nune	Nunes
acting	act	acting
separately	separ	separately
from	from	from
the	the	the
committee	committe	committee
s	s	s
Russia	russia	Russia
investigation	investig	investigation
.	.	.

This	this	This
action	action	action
would	would	would
have	have	have
been	been	been
taken	taken	taken
without	without	without
the	the	the
minority	minor	minority
s	s	s
Democrats	democrat	Democrats
agreement	agreement	agreement
,	,	,
said	said	said
a	a	a
senior	senior	senior
committee	committe	committee
aide	aid	aide
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.

Another	anoth	Another
congressional	congression	congressional
source	sourc	source
,	,	,
who	who	who
also	also	also
requested	request	requested
anonymity	anonym	anonymity
,	,	,
said	said	said
Democrats	democrat	Democrats
were	were	were
informed	inform	informed
and	and	and
consulted	consult	consulted
before	befor	before
the	the	the
subpoenas	subpoena	subpoena
were	were	were
issued	issu	issued
.	.	.

The	the	The
CIA	cia	CIA
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
subpoenas	subpoena	subpoena
and	and	and
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
and	and	and
NSA	nsa	NSA
did	did	did
not	not	not
immediate	immedi	immediate
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
privacy	privaci	privacy
laws	law	law
and	and	and
intelligence	intellig	intelligence
regulations	regul	regulation
require	requir	require
that	that	that
Americans	american	Americans
names	name	name
picked	pick	picked
up	up	up
in	in	in
foreign	foreign	foreign
communications	communic	communication
intercepts	intercept	intercept
be	be	be
concealed	conceal	concealed
unless	unless	unless
senior	senior	senior
officials	offici	official
request	request	request
them	them	them
to	to	to
be	be	be
disclosed	disclos	disclosed
for	for	for
intelligence	intellig	intelligence
or	or	or
law	law	law
enforcement	enforc	enforcement
purposes	purpos	purpose
.	.	.

Any	ani	Any
such	such	such
requests	request	request
undergo	undergo	undergo
rigorous	rigor	rigorous
legal	legal	legal
reviews	review	review
.	.	.

Several	sever	Several
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
told	told	told
Reuters	reuter	Reuters
that	that	that
all	all	all
such	such	such
requests	request	request
by	by	by
Obama	obama	Obama
administration	administr	administration
officials	offici	official
were	were	were
properly	proper	properly
scrutinized	scrutin	scrutinized
and	and	and
appropriate	appropri	appropriate
.	.	.

SUBPOENAS	subpoena	SUBPOENAS
FOR	for	FOR
TRUMP	trump	TRUMP
LAWYER	lawyer	LAWYER
,	,	,
EX	ex	EX
-AIDE	-aid	-AIDE
The	the	The
spy	spi	spy
agency	agenc	agency
subpoenas	subpoena	subpoena
were	were	were
not	not	not
mentioned	mention	mentioned
in	in	in
a	a	a
bipartisan	bipartisan	bipartisan
announcement	announc	announcement
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
the	the	the
panel	panel	panel
approved	approv	approved
subpoenas	subpoena	subpoena
for	for	for
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
former	former	former
national	nation	national
security	secur	security
adviser	advis	adviser
,	,	,
Michael	michael	Michael
Flynn	flynn	Flynn
,	,	,
and	and	and
Trump	trump	Trump
s	s	s
personal	person	personal
lawyer	lawyer	lawyer
,	,	,
Michael	michael	Michael
Cohen	cohen	Cohen
,	,	,
in	in	in
connection	connect	connection
with	with	with
the	the	the
Russia	russia	Russia
probe	probe	probe
.	.	.

The	the	The
committee	committe	committee
also	also	also
approved	approv	approved
subpoenas	subpoena	subpoena
to	to	to
the	the	the
two	two	two
men	men	men
s	s	s
firms	firm	firm
,	,	,
Flynn	flynn	Flynn
Intel	intel	Intel
Llc	llc	Llc
,	,	,
and	and	and
Michael	michael	Michael
D	d	D
.	.	.

Cohen	cohen	Cohen
and	and	and
Associates	associ	Associates
PC	pc	PC
,	,	,
the	the	the
committee	committe	committee
statement	statement	statement
said	said	said
.	.	.

As	as	As
part	part	part
of	of	of
our	our	our
ongoing	ongo	ongoing
investigation	investig	investigation
into	into	into
Russian	russian	Russian
active	activ	active
measures	measur	measure
during	dure	during
the	the	the
2016	2016	2016
campaign	campaign	campaign
,	,	,
today	today	today
we	we	we
approved	approv	approved
subpoenas	subpoena	subpoena
for	for	for
several	sever	several
individuals	individu	individual
for	for	for
testimony	testimoni	testimony
,	,	,
personal	person	personal
documents	document	document
and	and	and
business	busi	business
records	record	record
,	,	,
Republican	republican	Republican
Representative	repres	Representative
Mike	mike	Mike
Conaway	conaway	Conaway
and	and	and
Democratic	democrat	Democratic
Representative	repres	Representative
Adam	adam	Adam
Schiff	schiff	Schiff
,	,	,
who	who	who
are	are	are
leading	lead	leading
the	the	the
committee	committe	committee
probe	probe	probe
,	,	,
said	said	said
in	in	in
a	a	a
joint	joint	joint
statement	statement	statement
.	.	.

Conaway	conaway	Conaway
assumed	assum	assumed
Republican	republican	Republican
leadership	leadership	leadership
of	of	of
the	the	the
probe	probe	probe
after	after	after
Nunes	nune	Nunes
recused	recus	recused
himself	himself	himself
.	.	.

Nunes	nune	Nunes
retained	retain	retained
his	his	his
power	power	power
to	to	to
issue	issu	issue
subpoenas	subpoena	subpoena
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
agencies	agenc	agency
reported	report	reported
in	in	in
January	januari	January
that	that	that
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
oversaw	oversaw	oversaw
a	a	a
campaign	campaign	campaign
of	of	of
computer	comput	computer
hacking	hack	hacking
,	,	,
fake	fake	fake
news	news	news
and	and	and
propaganda	propaganda	propaganda
intended	intend	intended
to	to	to
swing	swing	swing
the	the	the
election	elect	election
to	to	to
Republican	republican	Republican
Trump	trump	Trump
over	over	over
his	his	his
Democratic	democrat	Democratic
opponent	oppon	opponent
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.

Putin	putin	Putin
has	has	ha
denied	deni	denied
conducting	conduct	conducting
such	such	such
a	a	a
campaign	campaign	campaign
.	.	.

Trump	trump	Trump
denies	deni	denies
any	ani	any
collusion	collus	collusion
between	between	between
Russia	russia	Russia
and	and	and
his	his	his
campaign	campaign	campaign
and	and	and
has	has	ha
questioned	question	questioned
the	the	the
veracity	verac	veracity
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
finding	find	finding
.	.	.

Trump	trump	Trump
fired	fire	fired
Flynn	flynn	Flynn
in	in	in
February	februari	February
for	for	for
failing	fail	failing
to	to	to
disclose	disclos	disclose
the	the	the
content	content	content
of	of	of
his	his	his
talks	talk	talk
with	with	with
Sergei	sergei	Sergei
Kislyak	kislyak	Kislyak
,	,	,
Russia	russia	Russia
s	s	s
ambassador	ambassador	ambassador
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
misleading	mislead	misleading
Vice	vice	Vice
President	presid	President
Mike	mike	Mike
Pence	penc	Pence
about	about	about
the	the	the
conversations	convers	conversation
.	.	.

The	the	The
retired	retir	retired
Army	armi	Army
general	general	general
is	is	is
the	the	the
subject	subject	subject
of	of	of
congressional	congression	congressional
,	,	,
Justice	justic	Justice
Department	depart	Department
and	and	and
Defense	defens	Defense
Department	depart	Department
investigations	investig	investigation
into	into	into
his	his	his
apparent	appar	apparent
failure	failur	failure
to	to	to
disclose	disclos	disclose
payments	payment	payment
he	he	he
received	receiv	received
from	from	from
Russian	russian	Russian
and	and	and
Turkish	turkish	Turkish
entities	entiti	entity
.	.	.

Cohen	cohen	Cohen
is	is	is
one	one	one
of	of	of
several	sever	several
Trump	trump	Trump
associates	associ	associate
under	under	under
scrutiny	scrutini	scrutiny
in	in	in
an	an	an
FBI	fbi	FBI
examination	examin	examination
of	of	of
possible	possibl	possible
contacts	contact	contact
between	between	between
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
and	and	and
Russia	russia	Russia
,	,	,
according	accord	according
to	to	to
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.

It	it	It
reported	report	reported
that	that	that
Cohen	cohen	Cohen
was	was	wa
involved	involv	involved
in	in	in
a	a	a
back	back	back
-channel	-channel	-channel
plan	plan	plan
,	,	,
which	which	which
never	never	never
came	came	came
to	to	to
fruition	fruition	fruition
,	,	,
that	that	that
would	would	would
have	have	have
involved	involv	involved
a	a	a
peace	peac	peace
agreement	agreement	agreement
between	between	between
Russia	russia	Russia
and	and	and
Ukraine	ukrain	Ukraine
,	,	,
and	and	and
the	the	the
lifting	lift	lifting
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
against	against	against
Moscow	moscow	Moscow
.	.	.

CNN	cnn	CNN
reported	report	reported
on	on	on
Wednesday	wednesday	Wednesday
night	night	night
that	that	that
congressional	congression	congressional
investigators	investig	investigator
were	were	were
looking	look	looking
into	into	into
whether	whether	whether
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
had	had	had
an	an	an
undisclosed	undisclos	undisclosed
private	privat	private
meeting	meet	meeting
with	with	with
Kislyak	kislyak	Kislyak
during	dure	during
the	the	the
campaign	campaign	campaign
,	,	,
citing	cite	citing
Republican	republican	Republican
and	and	and
Democratic	democrat	Democratic
sources	sourc	source
in	in	in
Congress	congress	Congress
and	and	and
intelligence	intellig	intelligence
officials	offici	official
briefed	brief	briefed
on	on	on
the	the	the
probe	probe	probe
.	.	.

The	the	The
focus	focus	focus
of	of	of
the	the	the
probe	probe	probe
is	is	is
on	on	on
whether	whether	whether
such	such	such
a	a	a
meeting	meet	meeting
took	took	took
place	place	place
on	on	on
April	april	April
27	27	27
,	,	,
2016	2016	2016
,	,	,
at	at	at
the	the	the
Mayflower	mayflow	Mayflower
Hotel	hotel	Hotel
in	in	in
Washington	washington	Washington
,	,	,
where	where	where
Trump	trump	Trump
delivered	deliv	delivered
his	his	his
first	first	first
major	major	major
foreign	foreign	foreign
policy	polici	policy
address	address	address
,	,	,
CNN	cnn	CNN
reported	report	reported
.	.	.

During	dure	During
his	his	his
confirmation	confirm	confirmation
hearing	hear	hearing
in	in	in
January	januari	January
,	,	,
Sessions	session	Sessions
testified	testifi	testified
that	that	that
he	he	he
did	did	did
not	not	not
have	have	have
any	ani	any
communications	communic	communication
with	with	with
the	the	the
Russians	russian	Russians
during	dure	during
the	the	the
campaign	campaign	campaign
and	and	and
said	said	said
in	in	in
a	a	a
written	written	written
statement	statement	statement
given	given	given
to	to	to
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
that	that	that
he	he	he
was	was	wa
not	not	not
in	in	in
contact	contact	contact
with	with	with
anyone	anyon	anyone
linked	link	linked
to	to	to
the	the	the
Russian	russian	Russian
government	govern	government
during	dure	during
the	the	the
