TORONTO	toronto	TORONTO
Reuters	reuter	Reuters
-	-	-
Black	black	Black
people	peopl	people
in	in	in
Canada	canada	Canada
s	s	s
most	most	most
populous	popul	populous
province	provinc	province
spent	spent	spent
longer	longer	longer
behind	behind	behind
bars	bar	bar
awaiting	await	awaiting
trial	trial	trial
than	than	than
white	white	white
people	peopl	people
charged	charg	charged
with	with	with
many	mani	many
of	of	of
the	the	the
same	same	same
categories	categori	category
of	of	of
crimes	crime	crime
in	in	in
each	each	each
of	of	of
the	the	the
past	past	past
five	five	five
years	year	year
,	,	,
according	accord	according
to	to	to
data	data	data
obtained	obtain	obtained
by	by	by
Reuters	reuter	Reuters
.	.	.

Between	between	Between
April	april	April
2015	2015	2015
and	and	and
April	april	April
2016	2016	2016
,	,	,
the	the	the
most	most	most
recent	recent	recent
period	period	period
in	in	in
which	which	which
data	data	data
is	is	is
available	avail	available
,	,	,
black	black	black
people	peopl	people
awaiting	await	awaiting
trial	trial	trial
in	in	in
Ontario	ontario	Ontario
jails	jail	jail
were	were	were
there	there	there
longer	longer	longer
,	,	,
on	on	on
average	averag	average
,	,	,
than	than	than
white	white	white
people	peopl	people
charged	charg	charged
with	with	with
the	the	the
same	same	same
crime	crime	crime
in	in	in
11	11	11
of	of	of
16	16	16
offense	offens	offense
categories	categori	category
Reuters	reuter	Reuters
examined	examin	examined
.	.	.

There	there	There
were	were	were
approximately	approxim	approximately
6	6	6
,	,	,
000	000	000
black	black	black
people	peopl	people
and	and	and
nearly	near	nearly
26	26	26
,	,	,
000	000	000
white	white	white
people	peopl	people
remanded	remand	remanded
to	to	to
pre	pre	pre
-trial	-trial	-trial
detention	detent	detention
during	dure	during
the	the	the
period	period	period
.	.	.

The	the	The
data	data	data
showed	show	showed
similar	similar	similar
patterns	pattern	pattern
in	in	in
the	the	the
four	four	four
prior	prior	prior
years	year	year
.	.	.

Graphic	graphic	Graphic
Racial	racial	Racial
disparities	dispar	disparity
in	in	in
pre	pre	pre
-trial	-trial	-trial
detention	detent	detention
-	-	-
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2z18vS7	2z18vs7	2z18vS7
Among	among	Among
the	the	the
categories	categori	category
examined	examin	examined
,	,	,
black	black	black
people	peopl	people
spent	spent	spent
almost	almost	almost
twice	twice	twice
as	as	a
long	long	long
in	in	in
remand	remand	remand
in	in	in
2015	2015	2015
-2016	-2016	-2016
for	for	for
weapons	weapon	weapon
offenses	offens	offense
,	,	,
equivalent	equival	equivalent
to	to	to
an	an	an
additional	addit	additional
38	38	38
days	day	day
.	.	.

They	they	They
also	also	also
spent	spent	spent
46	46	46
percent	percent	percent
longer	longer	longer
for	for	for
serious	serious	serious
violent	violent	violent
offenses	offens	offense
and	and	and
36	36	36
percent	percent	percent
longer	longer	longer
on	on	on
charges	charg	charge
of	of	of
obstructing	obstruct	obstructing
justice	justic	justice
.	.	.

In	in	In
three	three	three
categories	categori	category
,	,	,
white	white	white
people	peopl	people
awaiting	await	awaiting
trial	trial	trial
were	were	were
held	held	held
longer	longer	longer
in	in	in
remand	remand	remand
during	dure	during
the	the	the
same	same	same
period	period	period
.	.	.

Those	those	Those
included	includ	included
drug	drug	drug
possession	possess	possession
,	,	,
theft	theft	theft
and	and	and
traffic	traffic	traffic
offenses	offens	offense
.	.	.

In	in	In
two	two	two
categories	categori	category
,	,	,
the	the	the
difference	differ	difference
was	was	wa
1	1	1
percent	percent	percent
or	or	or
less	less	le
.	.	.

The	the	The
data	data	data
also	also	also
showed	show	showed
black	black	black
people	peopl	people
arrested	arrest	arrested
and	and	and
held	held	held
in	in	in
custody	custodi	custody
between	between	between
2011	2011	2011
and	and	and
2016	2016	2016
were	were	were
more	more	more
likely	like	likely
than	than	than
white	white	white
people	peopl	people
to	to	to
spend	spend	spend
more	more	more
than	than	than
a	a	a
year	year	year
in	in	in
pre	pre	pre
-trial	-trial	-trial
detention	detent	detention
.	.	.

Reuters	reuter	Reuters
obtained	obtain	obtained
the	the	the
previously	previous	previously
unreported	unreport	unreported
data	data	data
through	through	through
access	access	access
-to-information	-to-inform	-to-information
requests	request	request
from	from	from
Ontario	ontario	Ontario
,	,	,
which	which	which
asks	ask	asks
inmates	inmat	inmate
to	to	to
indicate	indic	indicate
their	their	their
race	race	race
when	when	when
they	they	they
enter	enter	enter
jail	jail	jail
.	.	.

Other	other	Other
provinces	provinc	province
do	do	do
not	not	not
collect	collect	collect
this	this	this
data	data	data
or	or	or
categorize	categor	categorize
it	it	it
differently	differ	differently
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Ontario	ontario	Ontario
Attorney	attorney	Attorney
General	general	General
Yasir	yasir	Yasir
Naqvi	naqvi	Naqvi
said	said	said
the	the	the
province	provinc	province
takes	take	take
systemic	system	systemic
racism	racism	racism
seriously	serious	seriously
and	and	and
is	is	is
working	work	working
to	to	to
address	address	address
racial	racial	racial
inequities	inequ	inequity
,	,	,
but	but	but
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
data	data	data
.	.	.

The	the	The
Ontario	ontario	Ontario
Crown	crown	Crown
Attorneys	attorney	Attorneys
Association	associ	Association
,	,	,
which	which	which
represents	repres	represents
the	the	the
province	provinc	province
s	s	s
prosecutors	prosecutor	prosecutor
,	,	,
and	and	and
the	the	the
Association	associ	Association
of	of	of
Justices	justic	Justices
of	of	of
the	the	the
Peace	peac	Peace
,	,	,
which	which	which
represents	repres	represents
the	the	the
people	peopl	people
who	who	who
decide	decid	decide
most	most	most
of	of	of
Ontario	ontario	Ontario
s	s	s
bail	bail	bail
cases	case	case
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

More	more	More
than	than	than
a	a	a
dozen	dozen	dozen
defense	defens	defense
lawyers	lawyer	lawyer
as	as	a
well	well	well
as	as	a
prosecutors	prosecutor	prosecutor
,	,	,
criminologists	criminologist	criminologist
,	,	,
and	and	and
a	a	a
judge	judg	judge
interviewed	interview	interviewed
by	by	by
Reuters	reuter	Reuters
said	said	said
shortcomings	shortcom	shortcoming
in	in	in
Canada	canada	Canada
s	s	s
bail	bail	bail
system	system	system
appeared	appear	appeared
to	to	to
play	play	play
a	a	a
role	role	role
in	in	in
the	the	the
racial	racial	racial
disparities	dispar	disparity
shown	shown	shown
in	in	in
the	the	the
data	data	data
.	.	.

Unlike	unlik	Unlike
the	the	the
United	unit	United
States	state	States
,	,	,
Canada	canada	Canada
virtually	virtual	virtually
eliminated	elimin	eliminated
cash	cash	cash
bail	bail	bail
almost	almost	almost
half	half	half
a	a	a
century	centuri	century
ago	ago	ago
.	.	.

Instead	instead	Instead
,	,	,
courts	court	court
often	often	often
require	requir	require
prisoners	prison	prisoner
awaiting	await	awaiting
trial	trial	trial
to	to	to
secure	secur	secure
a	a	a
surety	sureti	surety
,	,	,
meaning	mean	meaning
a	a	a
relative	relat	relative
or	or	or
close	close	close
friend	friend	friend
who	who	who
can	can	can
appear	appear	appear
in	in	in
court	court	court
and	and	and
subsequently	subsequ	subsequently
monitor	monitor	monitor
them	them	them
.	.	.

A	a	A
surety	sureti	surety
needs	need	need
assets	asset	asset
to	to	to
pledge	pledg	pledge
,	,	,
a	a	a
crime	crime	crime
-free	-free	-free
record	record	record
and	and	and
,	,	,
often	often	often
,	,	,
a	a	a
home	home	home
where	where	where
the	the	the
accused	accus	accused
person	person	person
can	can	can
live	live	live
until	until	until
the	the	the
case	case	case
is	is	is
complete	complet	complete
.	.	.

A	a	A
surety	sureti	surety
cannot	cannot	cannot
represent	repres	represent
more	more	more
than	than	than
one	one	one
defendant	defend	defendant
at	at	at
a	a	a
time	time	time
.	.	.

Current	current	Current
and	and	and
former	former	former
prosecutors	prosecutor	prosecutor
interviewed	interview	interviewed
for	for	for
this	this	this
story	stori	story
said	said	said
securing	secur	securing
a	a	a
surety	sureti	surety
can	can	can
be	be	be
onerous	oner	onerous
and	and	and
the	the	the
requirement	requir	requirement
is	is	is
perhaps	perhap	perhaps
relied	reli	relied
upon	upon	upon
too	too	too
often	often	often
;	;	;
but	but	but
some	some	some
said	said	said
sureties	sureti	surety
remain	remain	remain
the	the	the
best	best	best
way	way	way
to	to	to
protect	protect	protect
the	the	the
public	public	public
and	and	and
ensure	ensur	ensure
defendants	defend	defendant
show	show	show
up	up	up
for	for	for
trial	trial	trial
.	.	.

Critics	critic	Critics
of	of	of
the	the	the
system	system	system
say	say	say
the	the	the
poor	poor	poor
are	are	are
less	less	le
likely	like	likely
than	than	than
middle	middl	middle
-class	-class	-class
or	or	or
wealthy	wealthi	wealthy
people	peopl	people
to	to	to
have	have	have
connections	connect	connection
to	to	to
provide	provid	provide
the	the	the
assets	asset	asset
to	to	to
pledge	pledg	pledge
or	or	or
housing	hous	housing
to	to	to
act	act	act
as	as	a
a	a	a
surety	sureti	surety
.	.	.

They	they	They
add	add	add
that	that	that
this	this	this
has	has	ha
an	an	an
outsized	outsiz	outsized
impact	impact	impact
on	on	on
minorities	minor	minority
,	,	,
who	who	who
are	are	are
over	over	over
-represented	-repres	-represented
among	among	among
Canada	canada	Canada
s	s	s
poor	poor	poor
.	.	.

Surety	sureti	Surety
is	is	is
a	a	a
huge	huge	huge
issue	issu	issue
in	in	in
Ontario	ontario	Ontario
,	,	,
said	said	said
Nicole	nicol	Nicole
Myers	myer	Myers
,	,	,
a	a	a
criminologist	criminologist	criminologist
at	at	at
Simon	simon	Simon
Fraser	fraser	Fraser
University	univers	University
in	in	in
British	british	British
Columbia	columbia	Columbia
.	.	.

If	if	If
you	you	you
are	are	are
from	from	from
a	a	a
marginalized	margin	marginalized
community	communiti	community
or	or	or
a	a	a
criminalized	crimin	criminalized
community	communiti	community
,	,	,
it	it	it
can	can	can
be	be	be
very	veri	very
difficult	difficult	difficult
to	to	to
find	find	find
a	a	a
surety	sureti	surety
the	the	the
court	court	court
deems	deem	deems
appropriate	appropri	appropriate
.	.	.

The	the	The
data	data	data
did	did	did
not	not	not
take	take	take
into	into	into
account	account	account
specifics	specif	specific
of	of	of
each	each	each
case	case	case
,	,	,
the	the	the
person	person	person
s	s	s
criminal	crimin	criminal
record	record	record
,	,	,
the	the	the
frequency	frequenc	frequency
of	of	of
plea	plea	plea
deals	deal	deal
,	,	,
whether	whether	whether
the	the	the
person	person	person
had	had	had
a	a	a
bail	bail	bail
hearing	hear	hearing
and	and	and
why	whi	why
bail	bail	bail
may	may	may
have	have	have
been	been	been
denied	deni	denied
.	.	.

Reuters	reuter	Reuters
focused	focus	focused
on	on	on
offenses	offens	offense
with	with	with
the	the	the
largest	largest	largest
pre	pre	pre
-trial	-trial	-trial
populations	popul	population
when	when	when
comparing	compar	comparing
the	the	the
average	averag	average
periods	period	period
in	in	in
remand	remand	remand
,	,	,
to	to	to
minimize	minim	minimize
the	the	the
impact	impact	impact
of	of	of
outliers	outlier	outlier
.	.	.

Inmates	inmat	Inmates
charged	charg	charged
in	in	in
multiple	multipl	multiple
offense	offens	offense
categories	categori	category
were	were	were
counted	count	counted
in	in	in
only	onli	only
the	the	the
more	more	more
serious	serious	serious
one	one	one
;	;	;
multiple	multipl	multiple
charges	charg	charge
could	could	could
affect	affect	affect
someone	someon	someone
s	s	s
chances	chanc	chance
of	of	of
getting	get	getting
bail	bail	bail
.	.	.

Studies	studi	Studies
,	,	,
including	includ	including
one	one	one
published	publish	published
last	last	last
year	year	year
by	by	by
the	the	the
Ottawa	ottawa	Ottawa
police	polic	police
,	,	,
have	have	have
found	found	found
Ontario	ontario	Ontario
s	s	s
black	black	black
communities	communiti	community
are	are	are
more	more	more
heavily	heavili	heavily
policed	polic	policed
than	than	than
white	white	white
ones	one	one
.	.	.

This	this	This
makes	make	make
black	black	black
people	peopl	people
more	more	more
likely	like	likely
to	to	to
be	be	be
caught	caught	caught
breaching	breach	breaching
bail	bail	bail
and	and	and
makes	make	make
it	it	it
harder	harder	harder
to	to	to
find	find	find
a	a	a
surety	sureti	surety
without	without	without
a	a	a
criminal	crimin	criminal
record	record	record
who	who	who
is	is	is
not	not	not
serving	serv	serving
as	as	a
surety	sureti	surety
for	for	for
someone	someon	someone
else	els	else
,	,	,
said	said	said
Chris	chris	Chris
Sewrattan	sewrattan	Sewrattan
,	,	,
a	a	a
defense	defens	defense
lawyer	lawyer	lawyer
who	who	who
represents	repres	represents
many	mani	many
young	young	young
black	black	black
men	men	men
from	from	from
eastern	eastern	eastern
Toronto	toronto	Toronto
.	.	.

In	in	In
a	a	a
ruling	rule	ruling
this	this	this
year	year	year
,	,	,
Canada	canada	Canada
s	s	s
Supreme	suprem	Supreme
Court	court	Court
called	call	called
sureties	sureti	surety
one	one	one
of	of	of
the	the	the
most	most	most
onerous	oner	onerous
forms	form	form
of	of	of
release	releas	release
,	,	,
not	not	not
to	to	to
be	be	be
used	use	used
unless	unless	unless
other	other	other
options	option	option
have	have	have
been	been	been
considered	consid	considered
,	,	,
such	such	such
as	as	a
programs	program	program
that	that	that
assign	assign	assign
a	a	a
case	case	case
worker	worker	worker
and	and	and
require	requir	require
the	the	the
accused	accus	accused
to	to	to
check	check	check
in	in	in
regularly	regular	regularly
with	with	with
the	the	the
courts	court	court
.	.	.

The	the	The
court	court	court
did	did	did
not	not	not
address	address	address
race	race	race
in	in	in
its	it	it
ruling	rule	ruling
.	.	.

At	at	At
least	least	least
six	six	six
provincial	provinci	provincial
governments	govern	government
in	in	in
Canada	canada	Canada
,	,	,
including	includ	including
those	those	those
of	of	of
Alberta	alberta	Alberta
,	,	,
British	british	British
Columbia	columbia	Columbia
,	,	,
and	and	and
Manitoba	manitoba	Manitoba
,	,	,
have	have	have
said	said	said
they	they	they
are	are	are
reviewing	review	reviewing
bail	bail	bail
practices	practic	practice
.	.	.

An	an	An
earlier	earlier	earlier
Reuters	reuter	Reuters
investigation	investig	investigation
found	found	found
inmates	inmat	inmate
awaiting	await	awaiting
trial	trial	trial
are	are	are
more	more	more
likely	like	likely
to	to	to
die	die	die
behind	behind	behind
bars	bar	bar
