ADU	adu	ADU
DHABI	dhabi	DHABI
Reuters	reuter	Reuters
-	-	-
Saudi	saudi	Saudi
Arabia	arabia	Arabia
is	is	is
interested	interest	interested
in	in	in
reaching	reach	reaching
a	a	a
civilian	civilian	civilian
nuclear	nuclear	nuclear
cooperation	cooper	cooperation
agreement	agreement	agreement
with	with	with
Washington	washington	Washington
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
s	s	s
energy	energi	energy
chief	chief	chief
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
a	a	a
step	step	step
which	which	which
would	would	would
allow	allow	allow
American	american	American
companies	compani	company
to	to	to
participate	particip	participate
in	in	in
the	the	the
kingdom	kingdom	kingdom
s	s	s
civil	civil	civil
nuclear	nuclear	nuclear
program	program	program
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
invited	invit	invited
U	u	U
.	.	.
S	s	S
.	.	.
firms	firm	firm
to	to	to
take	take	take
part	part	part
in	in	in
developing	develop	developing
the	the	the
kingdom	kingdom	kingdom
s	s	s
atomic	atom	atomic
energy	energi	energy
program	program	program
,	,	,
Energy	energi	Energy
Minister	minist	Minister
Khalid	khalid	Khalid
al	al	al
-Falih	-falih	-Falih
said	said	said
on	on	on
Monday	monday	Monday
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Energy	energi	Energy
Secretary	secretari	Secretary
Rick	rick	Rick
Perry	perri	Perry
,	,	,
who	who	who
this	this	this
week	week	week
visited	visit	visited
Saudi	saudi	Saudi
Arabia	arabia	Arabia
on	on	on
his	his	his
first	first	first
official	offici	official
trip	trip	trip
to	to	to
the	the	the
region	region	region
told	told	told
Reuters	reuter	Reuters
that	that	that
negotiations	negoti	negotiation
between	between	between
the	the	the
two	two	two
allies	alli	ally
will	will	will
start	start	start
soon	soon	soon
to	to	to
tackle	tackl	tackle
the	the	the
details	detail	detail
of	of	of
the	the	the
pact	pact	pact
-	-	-
known	known	known
as	as	a
a	a	a
123	123	123
agreement	agreement	agreement
.	.	.
We	we	We
heard	heard	heard
that	that	that
message	messag	message
that	that	that
.	.	.
.	.	.
.	.	.
we	we	we
want	want	want
the	the	the
United	unit	United
States	state	States
to	to	to
be	be	be
our	our	our
partner	partner	partner
in	in	in
this	this	this
,	,	,
Perry	perri	Perry
said	said	said
,	,	,
referring	refer	referring
to	to	to
discussions	discuss	discussion
he	he	he
had	had	had
during	dure	during
his	his	his
meetings	meet	meeting
with	with	with
Falih	falih	Falih
and	and	and
the	the	the
top	top	top
Saudi	saudi	Saudi
leadership	leadership	leadership
.	.	.
Perry	perri	Perry
met	met	met
with	with	with
Saudi	saudi	Saudi
King	king	King
Salman	salman	Salman
and	and	and
Crown	crown	Crown
Prince	princ	Prince
Mohammad	mohammad	Mohammad
bin	bin	bin
Salman	salman	Salman
during	dure	during
his	his	his
trip	trip	trip
.	.	.
But	but	But
one	one	one
potential	potenti	potential
sticking	stick	sticking
point	point	point
could	could	could
prove	prove	prove
to	to	to
be	be	be
Riyadh	riyadh	Riyadh
s	s	s
ambitions	ambit	ambition
to	to	to
have	have	have
the	the	the
ability	abil	ability
of	of	of
one	one	one
day	day	day
enriching	enrich	enriching
uranium	uranium	uranium
-	-	-
the	the	the
process	process	process
for	for	for
producing	produc	producing
fissile	fissil	fissile
material	materi	material
which	which	which
can	can	can
have	have	have
military	militari	military
uses	use	us
.	.	.
Riyadh	riyadh	Riyadh
has	has	ha
said	said	said
it	it	it
wants	want	want
to	to	to
tap	tap	tap
its	it	it
own	own	own
uranium	uranium	uranium
resources	resourc	resource
for	for	for
self	self	self
-sufficiency	-suffici	-sufficiency
in	in	in
producing	produc	producing
nuclear	nuclear	nuclear
fuel	fuel	fuel
and	and	and
it	it	it
was	was	wa
not	not	not
interested	interest	interested
in	in	in
diverting	divert	diverting
nuclear	nuclear	nuclear
technology	technolog	technology
to	to	to
military	militari	military
use	use	use
.	.	.
But	but	But
under	under	under
Article	articl	Article
123	123	123
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Atomic	atom	Atomic
Energy	energi	Energy
Act	act	Act
,	,	,
a	a	a
peaceful	peac	peaceful
cooperation	cooper	cooperation
agreement	agreement	agreement
is	is	is
required	requir	required
for	for	for
the	the	the
transfer	transfer	transfer
of	of	of
nuclear	nuclear	nuclear
materials	materi	material
,	,	,
technology	technolog	technology
and	and	and
equipment	equip	equipment
.	.	.
Washington	washington	Washington
usually	usual	usually
requires	requir	requires
a	a	a
country	countri	country
to	to	to
sign	sign	sign
a	a	a
pact	pact	pact
that	that	that
blocks	block	block
it	it	it
from	from	from
making	make	making
nuclear	nuclear	nuclear
fuel	fuel	fuel
which	which	which
has	has	ha
potential	potenti	potential
bomb	bomb	bomb
-making	-make	-making
applications	applic	application
.	.	.
In	in	In
previous	previous	previous
talks	talk	talk
Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
refused	refus	refused
to	to	to
sign	sign	sign
up	up	up
to	to	to
any	ani	any
agreement	agreement	agreement
that	that	that
would	would	would
deprive	depriv	deprive
it	it	it
of	of	of
the	the	the
possibility	possibl	possibility
of	of	of
one	one	one
day	day	day
enriching	enrich	enriching
uranium	uranium	uranium
itself	itself	itself
.	.	.
Perry	perri	Perry
declined	declin	declined
to	to	to
comment	comment	comment
whether	whether	whether
that	that	that
issue	issu	issue
was	was	wa
raised	rais	raised
during	dure	during
his	his	his
visit	visit	visit
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.
It	it	It
is	is	is
not	not	not
for	for	for
me	me	me
to	to	to
negotiate	negoti	negotiate
the	the	the
deal	deal	deal
but	but	but
we	we	we
have	have	have
agreed	agre	agreed
to	to	to
move	move	move
forward	forward	forward
.	.	.
.	.	.
.	.	.
We	we	We
are	are	are
going	go	going
to	to	to
get	get	get
a	a	a
negotiating	negoti	negotiating
team	team	team
together	togeth	together
going	go	going
forward	forward	forward
and	and	and
try	tri	try
to	to	to
hash	hash	hash
out	out	out
any	ani	any
details	detail	detail
.	.	.
But	but	But
I	i	I
feel	feel	feel
comfortable	comfort	comfortable
that	that	that
progress	progress	progress
was	was	wa
made	made	made
on	on	on
