WINSTON	winston	WINSTON
-SALEM	-salem	-SALEM
,	,	,
N	n	N
.	.	.
C	c	C
.	.	.
Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
federal	feder	federal
court	court	court
on	on	on
Tuesday	tuesday	Tuesday
set	set	set
a	a	a
March	march	March
15	15	15
deadline	deadlin	deadline
for	for	for
North	north	North
Carolina	carolina	Carolina
state	state	state
lawmakers	lawmak	lawmaker
to	to	to
redraw	redraw	redraw
legislative	legisl	legislative
districts	district	district
found	found	found
to	to	to
be	be	be
racially	racial	racially
gerrymandered	gerrymand	gerrymandered
,	,	,
and	and	and
ordered	order	ordered
a	a	a
new	new	new
round	round	round
of	of	of
elections	elect	election
by	by	by
next	next	next
November	novemb	November
for	for	for
the	the	the
28	28	28
seats	seat	seat
at	at	at
stake	stake	stake
.	.	.
In	in	In
August	august	August
,	,	,
the	the	the
same	same	same
special	special	special
three	three	three
-judge	-judg	-judge
panel	panel	panel
ruled	rule	ruled
that	that	that
nine	nine	nine
state	state	state
Senate	senat	Senate
districts	district	district
and	and	and
19	19	19
state	state	state
House	hous	House
districts	district	district
,	,	,
as	as	a
carved	carv	carved
out	out	out
in	in	in
a	a	a
plan	plan	plan
adopted	adopt	adopted
by	by	by
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
legislature	legislatur	legislature
in	in	in
2011	2011	2011
,	,	,
were	were	were
unconstitutional	unconstitut	unconstitutional
.	.	.
The	the	The
panel	panel	panel
had	had	had
told	told	told
North	north	North
Carolina	carolina	Carolina
s	s	s
legislature	legislatur	legislature
to	to	to
start	start	start
revamping	revamp	revamping
its	it	it
political	polit	political
maps	map	map
immediately	immedi	immediately
,	,	,
but	but	but
left	left	left
the	the	the
existing	exist	existing
boundaries	boundari	boundary
intact	intact	intact
for	for	for
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
state	state	state
elections	elect	election
,	,	,
because	becaus	because
of	of	of
time	time	time
constraints	constraint	constraint
.	.	.
While	while	While
special	special	special
elections	elect	election
have	have	have
costs	cost	cost
,	,	,
those	those	those
costs	cost	cost
pale	pale	pale
in	in	in
comparison	comparison	comparison
to	to	to
the	the	the
injury	injuri	injury
caused	caus	caused
by	by	by
allowing	allow	allowing
citizens	citizen	citizen
to	to	to
continue	continu	continue
to	to	to
be	be	be
represented	repres	represented
by	by	by
legislators	legisl	legislator
elected	elect	elected
pursuant	pursuant	pursuant
to	to	to
a	a	a
racial	racial	racial
gerrymander	gerrymand	gerrymander
,	,	,
the	the	the
panel	panel	panel
wrote	wrote	wrote
in	in	in
its	it	it
seven	seven	seven
-page	-page	-page
order	order	order
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
North	north	North
Carolina	carolina	Carolina
has	has	ha
already	alreadi	already
appealed	appeal	appealed
the	the	the
August	august	August
ruling	rule	ruling
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
,	,	,
which	which	which
has	has	ha
yet	yet	yet
to	to	to
act	act	act
.	.	.
Republicans	republican	Republicans
also	also	also
vowed	vow	vowed
to	to	to
appeal	appeal	appeal
Tuesday	tuesday	Tuesday
s	s	s
ruling	rule	ruling
,	,	,
handed	hand	handed
down	down	down
by	by	by
two	two	two
U	u	U
.	.	.
S	s	S
.	.	.
district	district	district
judges	judg	judge
and	and	and
one	one	one
circuit	circuit	circuit
judge	judg	judge
.	.	.
The	the	The
ruling	rule	ruling
is	is	is
a	a	a
politically	polit	politically
motivated	motiv	motivated
abuse	abus	abuse
of	of	of
judicial	judici	judicial
authority	author	authority
,	,	,
said	said	said
state	state	state
Senator	senat	Senator
Bob	bob	Bob
Rucho	rucho	Rucho
and	and	and
Representative	repres	Representative
David	david	David
Lewis	lewi	Lewis
,	,	,
the	the	the
Republican	republican	Republican
chairmen	chairmen	chairman
of	of	of
the	the	the
House	hous	House
and	and	and
Senate	senat	Senate
redistricting	redistrict	redistricting
committees	committe	committee
.	.	.
If	if	If
upheld	upheld	upheld
,	,	,
the	the	the
court	court	court
order	order	order
is	is	is
a	a	a
gross	gross	gross
overreach	overreach	overreach
that	that	that
blatantly	blatant	blatantly
disregards	disregard	disregard
the	the	the
constitutional	constitut	constitutional
guarantee	guarante	guarantee
for	for	for
voters	voter	voter
to	to	to
duly	duli	duly
elect	elect	elect
their	their	their
