SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
The	the	The
heir	heir	heir
to	to	to
South	south	South
Korea	korea	Korea
s	s	s
Samsung	samsung	Samsung
Group	group	Group
,	,	,
convicted	convict	convicted
of	of	of
bribing	bribe	bribing
the	the	the
country	countri	country
s	s	s
former	former	former
president	presid	president
,	,	,
appeared	appear	appeared
in	in	in
a	a	a
packed	pack	packed
court	court	court
on	on	on
Thursday	thursday	Thursday
for	for	for
the	the	the
first	first	first
day	day	day
of	of	of
arguments	argument	argument
in	in	in
the	the	the
appeal	appeal	appeal
of	of	of
his	his	his
five	five	five
-year	-year	-year
jail	jail	jail
term	term	term
for	for	for
corruption	corrupt	corruption
.	.	.

The	the	The
49	49	49
-year-old	-year-old	-year-old
Jay	jay	Jay
Y	y	Y
.	.	.

Lee	lee	Lee
was	was	wa
convicted	convict	convicted
by	by	by
a	a	a
lower	lower	lower
court	court	court
in	in	in
August	august	August
of	of	of
bribing	bribe	bribing
Park	park	Park
Geun	geun	Geun
-hye	-hye	-hye
,	,	,
who	who	who
was	was	wa
dismissed	dismiss	dismissed
as	as	a
president	presid	president
in	in	in
March	march	March
.	.	.

The	the	The
court	court	court
decided	decid	decided
the	the	the
bribe	bribe	bribe
helped	help	helped
Lee	lee	Lee
strengthen	strengthen	strengthen
his	his	his
control	control	control
of	of	of
the	the	the
crown	crown	crown
jewel	jewel	jewel
in	in	in
the	the	the
conglomerate	conglomer	conglomerate
,	,	,
Samsung	samsung	Samsung
Electronics	electron	Electronics
005930	005930	005930
.	.	.
KS	ks	KS
,	,	,
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
technology	technolog	technology
companies	compani	company
.	.	.

The	the	The
appellate	appel	appellate
court	court	court
hearing	hear	hearing
the	the	the
appeal	appeal	appeal
is	is	is
likely	like	likely
to	to	to
try	tri	try
to	to	to
rule	rule	rule
on	on	on
the	the	the
case	case	case
by	by	by
next	next	next
February	februari	February
,	,	,
legal	legal	legal
experts	expert	expert
said	said	said
.	.	.

Whichever	whichev	Whichever
side	side	side
loses	lose	loses
could	could	could
take	take	take
the	the	the
case	case	case
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
the	the	the
final	final	final
court	court	court
of	of	of
appeal	appeal	appeal
in	in	in
South	south	South
Korea	korea	Korea
.	.	.

Lee	lee	Lee
s	s	s
presence	presenc	presence
marked	mark	marked
his	his	his
first	first	first
public	public	public
appearance	appear	appearance
since	sinc	since
the	the	the
August	august	August
ruling	rule	ruling
.	.	.

He	he	He
did	did	did
not	not	not
speak	speak	speak
during	dure	during
the	the	the
proceedings	proceed	proceeding
other	other	other
than	than	than
giving	give	giving
his	his	his
birth	birth	birth
date	date	date
and	and	and
address	address	address
.	.	.

The	the	The
lower	lower	lower
court	court	court
in	in	in
August	august	August
had	had	had
ruled	rule	ruled
that	that	that
while	while	while
Lee	lee	Lee
never	never	never
asked	ask	asked
for	for	for
Park	park	Park
s	s	s
help	help	help
directly	direct	directly
,	,	,
the	the	the
fact	fact	fact
that	that	that
a	a	a
2015	2015	2015
merger	merger	merger
of	of	of
two	two	two
Samsung	samsung	Samsung
affiliates	affili	affiliate
did	did	did
help	help	help
cement	cement	cement
Lee	lee	Lee
s	s	s
control	control	control
over	over	over
Samsung	samsung	Samsung
Electronics	electron	Electronics
implied	impli	implied
he	he	he
was	was	wa
asking	ask	asking
for	for	for
the	the	the
president	presid	president
s	s	s
help	help	help
to	to	to
strengthen	strengthen	strengthen
his	his	his
control	control	control
of	of	of
the	the	the
firm	firm	firm
.	.	.

Lee	lee	Lee
,	,	,
sitting	sit	sitting
mostly	most	mostly
expressionless	expressionless	expressionless
in	in	in
a	a	a
dark	dark	dark
suit	suit	suit
without	without	without
tie	tie	tie
,	,	,
listened	listen	listened
to	to	to
hours	hour	hour
-long	-long	-long
PowerPoint	powerpoint	PowerPoint
presentations	present	presentation
by	by	by
both	both	both
sides	side	side
arguing	argu	arguing
over	over	over
the	the	the
lower	lower	lower
court	court	court
s	s	s
logic	logic	logic
that	that	that
Lee	lee	Lee
s	s	s
actions	action	action
implied	impli	implied
solicitation	solicit	solicitation
for	for	for
help	help	help
from	from	from
Park	park	Park
by	by	by
providing	provid	providing
financial	financi	financial
support	support	support
for	for	for
Park	park	Park
s	s	s
close	close	close
friend	friend	friend
and	and	and
confidante	confidant	confidante
Choi	choi	Choi
Soon	soon	Soon
-sil	-sil	-sil
.	.	.

On	on	On
Thursday	thursday	Thursday
,	,	,
the	the	the
defense	defens	defense
strongly	strong	strongly
challenged	challeng	challenged
that	that	that
logic	logic	logic
.	.	.

In	in	In
order	order	order
for	for	for
implied	impli	implied
solicitation	solicit	solicitation
to	to	to
exist	exist	exist
,	,	,
there	there	there
needed	need	needed
to	to	to
have	have	have
been	been	been
a	a	a
level	level	level
of	of	of
wordless	wordless	wordless
understanding	understand	understanding
between	between	between
Lee	lee	Lee
and	and	and
the	the	the
former	former	former
president	presid	president
that	that	that
transcended	transcend	transcended
speaking	speak	speaking
,	,	,
said	said	said
Lee	lee	Lee
In	in	In
-jae	-jae	-jae
,	,	,
Jay	jay	Jay
Y	y	Y
.	.	.

Lee	lee	Lee
s	s	s
lead	lead	lead
counsel	counsel	counsel
.	.	.

The	the	The
prosecution	prosecut	prosecution
,	,	,
which	which	which
has	has	ha
lodged	lodg	lodged
a	a	a
cross	cross	cross
-appeal	-appeal	-appeal
against	against	against
the	the	the
lower	lower	lower
court	court	court
ruling	rule	ruling
that	that	that
found	found	found
Lee	lee	Lee
innocent	innoc	innocent
on	on	on
some	some	some
charges	charg	charge
,	,	,
said	said	said
the	the	the
court	court	court
s	s	s
decision	decis	decision
to	to	to
not	not	not
acknowledge	acknowledg	acknowledge
explicit	explicit	explicit
solicitation	solicit	solicitation
for	for	for
Park	park	Park
s	s	s
help	help	help
from	from	from
Samsung	samsung	Samsung
despite	despit	despite
the	the	the
evidence	evid	evidence
found	found	found
did	did	did
not	not	not
make	make	make
sense	sens	sense
.	.	.

The	the	The
defense	defens	defense
,	,	,
which	which	which
spent	spent	spent
much	much	much
of	of	of
its	it	it
time	time	time
during	dure	during
the	the	the
initial	initi	initial
trial	trial	trial
refuting	refut	refuting
the	the	the
prosecution	prosecut	prosecution
s	s	s
individual	individu	individual
charges	charg	charge
,	,	,
said	said	said
it	it	it
will	will	will
focus	focus	focus
on	on	on
a	a	a
few	few	few
key	key	key
arguments	argument	argument
in	in	in
the	the	the
appeal	appeal	appeal
-	-	-
including	includ	including
whether	whether	whether
there	there	there
was	was	wa
in	in	in
fact	fact	fact
an	an	an
ordinary	ordinari	ordinary
type	type	type
of	of	of
bribery	briberi	bribery
as	as	a
defined	defin	defined
under	under	under
South	south	South
Korean	korean	Korean
law	law	law
,	,	,
which	which	which
says	say	say
only	onli	only
civil	civil	civil
servants	servant	servant
come	come	come
under	under	under
the	the	the
statute	statut	statute
.	.	.

Park	park	Park
s	s	s
friend	friend	friend
Choi	choi	Choi
was	was	wa
not	not	not
a	a	a
civil	civil	civil
servant	servant	servant
.	.	.

The	the	The
lower	lower	lower
court	court	court
found	found	found
that	that	that
Samsung	samsung	Samsung
s	s	s
financial	financi	financial
support	support	support
of	of	of
7	7	7
.	.	.
2	2	2
billion	billion	billion
won	won	won
6	6	6
.	.	.
27	27	27
million	million	million
to	to	to
sponsor	sponsor	sponsor
the	the	the
equestrian	equestrian	equestrian
career	career	career
of	of	of
Choi	choi	Choi
s	s	s
daughter	daughter	daughter
constituted	constitut	constituted
an	an	an
ordinary	ordinari	ordinary
type	type	type
of	of	of
bribery	briberi	bribery
,	,	,
as	as	a
it	it	it
can	can	can
be	be	be
considered	consid	considered
the	the	the
same	same	same
as	as	a
she	she	she
Park	park	Park
herself	herself	herself
receiving	receiv	receiving
it	it	it
.	.	.

The	the	The
defense	defens	defense
is	is	is
expected	expect	expected
to	to	to
strongly	strong	strongly
challenge	challeng	challenge
this	this	this
by	by	by
saying	say	saying
that	that	that
the	the	the
prosecution	prosecut	prosecution
,	,	,
on	on	on
whom	whom	whom
the	the	the
burden	burden	burden
of	of	of
proof	proof	proof
lies	lie	lie
,	,	,
has	has	ha
not	not	not
proved	prove	proved
collusion	collus	collusion
between	between	between
Park	park	Park
and	and	and
Choi	choi	Choi
.	.	.

The	the	The
appeal	appeal	appeal
hearing	hear	hearing
continues	continu	continues
on	on	on
Oct	oct	Oct
19	19	19
.	.	.

