STRASBOURG	strasbourg	STRASBOURG
,	,	,
France	franc	France
Reuters	reuter	Reuters
-	-	-
The	the	The
European	european	European
Union	union	Union
should	should	should
have	have	have
a	a	a
minister	minist	minister
of	of	of
economy	economi	economy
and	and	and
finance	financ	finance
but	but	but
no	no	no
separate	separ	separate
euro	euro	euro
zone	zone	zone
budget	budget	budget
or	or	or
parliament	parliament	parliament
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
European	european	European
Commission	commiss	Commission
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Jean	jean	Jean
-Claude	-claud	-Claude
Juncker	juncker	Juncker
said	said	said
such	such	such
a	a	a
minister	minist	minister
should	should	should
also	also	also
be	be	be
the	the	the
chairman	chairman	chairman
of	of	of
all	all	all
euro	euro	euro
zone	zone	zone
finance	financ	finance
ministers	minist	minister
and	and	and
be	be	be
accountable	account	accountable
to	to	to
the	the	the
European	european	European
Parliament	parliament	Parliament
.	.	.

The	the	The
minister	minist	minister
would	would	would
be	be	be
in	in	in
charge	charg	charge
of	of	of
economic	econom	economic
and	and	and
financial	financi	financial
issues	issu	issue
not	not	not
only	onli	only
for	for	for
the	the	the
euro	euro	euro
zone	zone	zone
,	,	,
but	but	but
for	for	for
all	all	all
EU	eu	EU
countries	countri	country
,	,	,
Juncker	juncker	Juncker
said	said	said
in	in	in
a	a	a
state	state	state
of	of	of
the	the	the
union	union	union
speech	speech	speech
to	to	to
the	the	the
European	european	European
Parliament	parliament	Parliament
.	.	.

Creating	creat	Creating
a	a	a
finance	financ	finance
minister	minist	minister
for	for	for
the	the	the
EU	eu	EU
rather	rather	rather
than	than	than
for	for	for
the	the	the
euro	euro	euro
zone	zone	zone
is	is	is
an	an	an
attempt	attempt	attempt
to	to	to
prevent	prevent	prevent
divisions	divis	division
among	among	among
the	the	the
27	27	27
countries	countri	country
that	that	that
will	will	will
remain	remain	remain
in	in	in
the	the	the
EU	eu	EU
once	onc	once
Britain	britain	Britain
leaves	leav	leaf
in	in	in
2019	2019	2019
,	,	,
EU	eu	EU
officials	offici	official
said	said	said
.	.	.

The	the	The
idea	idea	idea
of	of	of
a	a	a
euro	euro	euro
zone	zone	zone
finance	financ	finance
minister	minist	minister
has	has	ha
been	been	been
promoted	promot	promoted
by	by	by
French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
.	.	.

He	he	He
will	will	will
offer	offer	offer
more	more	more
detailed	detail	detailed
proposals	propos	proposal
for	for	for
reforms	reform	reform
to	to	to
the	the	the
euro	euro	euro
zone	zone	zone
on	on	on
Sept	sept	Sept
.	.	.

26	26	26
,	,	,
two	two	two
days	day	day
after	after	after
Germany	germani	Germany
s	s	s
federal	feder	federal
election	elect	election
,	,	,
a	a	a
French	french	French
diplomatic	diplomat	diplomatic
source	sourc	source
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Germany	germani	Germany
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
also	also	also
said	said	said
when	when	when
she	she	she
met	met	met
Macron	macron	Macron
last	last	last
month	month	month
that	that	that
she	she	she
could	could	could
imagine	imagin	imagine
