SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
The	the	The
state	state	state
of	of	of
Hawaii	hawaii	Hawaii
said	said	said
it	it	it
will	will	will
ask	ask	ask
a	a	a
federal	feder	federal
court	court	court
on	on	on
Wednesday	wednesday	Wednesday
for	for	for
an	an	an
emergency	emerg	emergency
halt	halt	halt
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
new	new	new
executive	execut	executive
order	order	order
restricting	restrict	restricting
travel	travel	travel
from	from	from
six	six	six
Muslim	muslim	Muslim
-majority	-major	-majority
countries	countri	country
,	,	,
becoming	becom	becoming
the	the	the
first	first	first
state	state	state
to	to	to
challenge	challeng	challenge
the	the	the
ban	ban	ban
in	in	in
court	court	court
.	.	.
In	in	In
a	a	a
court	court	court
filing	file	filing
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Hawaii	hawaii	Hawaii
said	said	said
it	it	it
would	would	would
seek	seek	seek
a	a	a
temporary	temporari	temporary
restraining	restrain	restraining
order	order	order
against	against	against
the	the	the
new	new	new
travel	travel	travel
ban	ban	ban
.	.	.
Hawaii	hawaii	Hawaii
s	s	s
suit	suit	suit
against	against	against
the	the	the
original	origin	original
executive	execut	executive
order	order	order
was	was	wa
put	put	put
on	on	on
hold	hold	hold
.	.	.
The	the	The
Trump	trump	Trump
administration	administr	administration
this	this	this
week	week	week
issued	issu	issued
the	the	the
new	new	new
executive	execut	executive
order	order	order
that	that	that
supplanted	supplant	supplanted
an	an	an
earlier	earlier	earlier
,	,	,
more	more	more
sweeping	sweep	sweeping
one	one	one
which	which	which
had	had	had
been	been	been
challenged	challeng	challenged
in	in	in
court	court	court
by	by	by
several	sever	several
states	state	state
in	in	in
addition	addit	addition
to	to	to
Hawaii	hawaii	Hawaii
.	.	.
The	the	The
new	new	new
order	order	order
is	is	is
much	much	much
more	more	more
narrowly	narrowli	narrowly
tailored	tailor	tailored
than	than	than
the	the	the
first	first	first
one	one	one
issued	issu	issued
in	in	in
January	januari	January
.	.	.
It	it	It
keeps	keep	keep
a	a	a
90	90	90
-day	-day	-day
ban	ban	ban
on	on	on
travel	travel	travel
to	to	to
the	the	the
United	unit	United
States	state	States
by	by	by
citizens	citizen	citizen
of	of	of
Iran	iran	Iran
,	,	,
Libya	libya	Libya
,	,	,
Syria	syria	Syria
,	,	,
Somalia	somalia	Somalia
,	,	,
Sudan	sudan	Sudan
and	and	and
Yemen	yemen	Yemen
but	but	but
excludes	exclud	excludes
Iraq	iraq	Iraq
,	,	,
and	and	and
applies	appli	applies
the	the	the
restriction	restrict	restriction
only	onli	only
to	to	to
new	new	new
visa	visa	visa
applicants	applic	applicant
.	.	.
To	to	To
be	be	be
sure	sure	sure
,	,	,
the	the	the
new	new	new
executive	execut	executive
order	order	order
covers	cover	cover
fewer	fewer	fewer
people	peopl	people
than	than	than
the	the	the
old	old	old
one	one	one
,	,	,
Neal	neal	Neal
Katyal	katyal	Katyal
,	,	,
one	one	one
of	of	of
the	the	the
lead	lead	lead
attorneys	attorney	attorney
for	for	for
Hawaii	hawaii	Hawaii
,	,	,
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
.	.	.
He	he	He
said	said	said
the	the	the
new	new	new
travel	travel	travel
ban	ban	ban
still	still	still
suffers	suffer	suffers
from	from	from
the	the	the
same	same	same
constitutional	constitut	constitutional
and	and	and
statutory	statutori	statutory
defects	defect	defect
