Token	Stem	Lemma
Reuters	reuter	Reuters
Three	three	Three
California	california	California
cities	citi	city
voted	vote	voted
for	for	for
a	a	a
tax	tax	tax
on	on	on
sugar	sugar	sugar
-sweetened	-sweeten	-sweetened
beverages	beverag	beverage
and	and	and
another	anoth	another
in	in	in
Colorado	colorado	Colorado
was	was	wa
likely	like	likely
to	to	to
follow	follow	follow
suit	suit	suit
unofficial	unoffici	unofficial
election	elect	election
results	result	result
showed	show	showed
on	on	on
Wednesday	wednesday	Wednesday
as	as	a
local	local	local
governments	govern	government
push	push	push
to	to	to
cut	cut	cut
soda	soda	soda
consumption	consumpt	consumption
to	to	to
stem	stem	stem
obesity	obes	obesity
gathered	gather	gathered
speed	speed	speed
The	the	The
votes	vote	vote
on	on	on
so	so	so
-called	-call	-called
soda	soda	soda
taxes	tax	tax
in	in	in
San	san	San
Francisco	francisco	Francisco
Albany	albani	Albany
and	and	and
Oakland	oakland	Oakland
in	in	in
California	california	California
and	and	and
in	in	in
Boulder	boulder	Boulder
Colorado	colorado	Colorado
came	came	came
a	a	a
month	month	month
after	after	after
the	the	the
World	world	World
Health	health	Health
Organization	organ	Organization
recommended	recommend	recommended
governments	govern	government
impose	impos	impose
such	such	such
taxes	tax	tax
to	to	to
battle	battl	battle
obesity	obes	obesity
diabetes	diabet	diabetes
and	and	and
other	other	other
diet	diet	diet
-related	-relat	-related
diseases	diseas	disease
Tax	tax	Tax
proponents	propon	proponent
have	have	have
recorded	record	recorded
a	a	a
series	seri	series
of	of	of
victories	victori	victory
in	in	in
the	the	the
United	unit	United
States	state	States
this	this	this
year	year	year
after	after	after
numerous	numer	numerous
failed	fail	failed
attempts	attempt	attempt
Opponents	oppon	Opponents
argue	argu	argue
that	that	that
the	the	the
taxes	tax	tax
hit	hit	hit
lower	lower	lower
-income	-incom	-income
populations	popul	population
hardest	hardest	hardest
and	and	and
that	that	that
it	it	it
is	is	is
unfair	unfair	unfair
to	to	to
single	singl	single
out	out	out
soda	soda	soda
in	in	in
the	the	the
battle	battl	battle
to	to	to
fight	fight	fight
obesity	obes	obesity
and	and	and
diabetes	diabet	diabetes
They	they	They
also	also	also
question	question	question
the	the	the
effectiveness	effect	effectiveness
of	of	of
such	such	such
taxes	tax	tax
Larry	larri	Larry
Tramutola	tramutola	Tramutola
a	a	a
California	california	California
political	polit	political
strategist	strategist	strategist
who	who	who
organized	organ	organized
the	the	the
pro	pro	pro
-tax	-tax	-tax
campaigns	campaign	campaign
in	in	in
San	san	San
Francisco	francisco	Francisco
and	and	and
Oakland	oakland	Oakland
said	said	said
the	the	the
victory	victori	victory
was	was	wa
huge	huge	huge
adding	ad	adding
This	this	This
is	is	is
the	the	the
start	start	start
of	of	of
a	a	a
national	nation	national
movement	movement	movement
Philadelphia	philadelphia	Philadelphia
earlier	earlier	earlier
this	this	this
year	year	year
passed	pass	passed
a	a	a
levy	levi	levy
on	on	on
soft	soft	soft
drinks	drink	drink
pitched	pitch	pitched
as	as	a
a	a	a
way	way	way
to	to	to
fill	fill	fill
a	a	a
budget	budget	budget
shortfall	shortfal	shortfall
via	via	via
a	a	a
tactic	tactic	tactic
that	that	that
other	other	other
politicians	politician	politician
and	and	and
advocates	advoc	advocate
have	have	have
also	also	also
adopted	adopt	adopted
I	i	I
m	m	m
sure	sure	sure
that	that	that
other	other	other
cities	citi	city
and	and	and
states	state	state
will	will	will
look	look	look
at	at	at
this	this	this
and	and	and
put	put	put
tax	tax	tax
measures	measur	measure
before	befor	before
their	their	their
legislatures	legislatur	legislature
said	said	said
Michael	michael	Michael
Jacobson	jacobson	Jacobson
co	co	co
-founder	-founder	-founder
and	and	and
president	presid	president
of	of	of
the	the	the
Center	center	Center
for	for	for
Science	scienc	Science
in	in	in
the	the	the
Public	public	Public
Interest	interest	Interest
in	in	in
Washington	washington	Washington
Legislators	legisl	Legislators
will	will	will
say	say	say
We	we	We
get	get	get
a	a	a
twofer	twofer	twofer
balance	balanc	balance
the	the	the
budget	budget	budget
and	and	and
improve	improv	improve
public	public	public
health	health	health
The	the	The
next	next	next
soda	soda	soda
tax	tax	tax
vote	vote	vote
is	is	is
set	set	set
for	for	for
Cook	cook	Cook
County	counti	County
Illinois	illinoi	Illinois
on	on	on
Thursday	thursday	Thursday
Coca	coca	Coca
-Cola	-cola	-Cola
Co	co	Co
PepsiCo	pepsico	PepsiCo
Inc	inc	Inc
and	and	and
other	other	other
companies	compani	company
in	in	in
the	the	the
roughly	rough	roughly
100	100	100
billion	billion	billion
U	u	U
S	s	S
soft	soft	soft
drink	drink	drink
industry	industri	industry
are	are	are
fighting	fight	fighting
the	the	the
taxes	tax	tax
at	at	at
a	a	a
time	time	time
when	when	when
soda	soda	soda
consumption	consumpt	consumption
is	is	is
falling	fall	falling
They	they	They
point	point	point
instead	instead	instead
to	to	to
their	their	their
efforts	effort	effort
to	to	to
reformulate	reformul	reformulate
products	product	product
and	and	and
broaden	broaden	broaden
the	the	the
range	rang	range
of	of	of
drinks	drink	drink
they	they	they
offer	offer	offer
to	to	to
address	address	address
consumers	consum	consumer
health	health	health
concerns	concern	concern
More	more	More
than	than	than
one	one	one
-third	-third	-third
of	of	of
U	u	U
S	s	S
adults	adult	adult
are	are	are
obese	obes	obese
Our	our	Our
energy	energi	energy
remains	remain	remains
squarely	squar	squarely
focused	focus	focused
on	on	on
reducing	reduc	reducing
the	the	the
sugar	sugar	sugar
consumed	consum	consumed
from	from	from
beverages	beverag	beverage
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
the	the	the
American	american	American
Beverage	beverag	Beverage
Association	associ	Association
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
Shares	share	Shares
in	in	in
