Reuters	reuter	Reuters
-	-	-
Two	two	Two
key	key	key
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
committee	committe	committee
members	member	member
on	on	on
Friday	friday	Friday
called	call	called
for	for	for
an	an	an
investigation	investig	investigation
into	into	into
whether	whether	whether
Mylan	mylan	Mylan
NV	nv	NV
,	,	,
under	under	under
fire	fire	fire
for	for	for
raising	rais	raising
the	the	the
price	price	price
of	of	of
its	it	it
EpiPen	epipen	EpiPen
device	devic	device
,	,	,
overcharged	overcharg	overcharged
the	the	the
government	govern	government
s	s	s
low	low	low
-income	-incom	-income
healthcare	healthcar	healthcare
program	program	program
for	for	for
the	the	the
allergy	allergi	allergy
treatment	treatment	treatment
.	.	.
In	in	In
a	a	a
letter	letter	letter
to	to	to
the	the	the
secretary	secretari	secretary
of	of	of
the	the	the
Department	depart	Department
of	of	of
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
,	,	,
Senator	senat	Senator
Ron	ron	Ron
Wyden	wyden	Wyden
and	and	and
Representative	repres	Representative
Frank	frank	Frank
Pallone	pallon	Pallone
,	,	,
both	both	both
Democrats	democrat	Democrats
,	,	,
seek	seek	seek
clarification	clarif	clarification
of	of	of
whether	whether	whether
EpiPen	epipen	EpiPen
was	was	wa
classified	classifi	classified
as	as	a
a	a	a
generic	generic	generic
,	,	,
non	non	non
-innovator	-innov	-innovator
drug	drug	drug
,	,	,
or	or	or
a	a	a
brand	brand	brand
-name	-name	-name
drug	drug	drug
by	by	by
the	the	the
Medicaid	medicaid	Medicaid
program	program	program
.	.	.
Under	under	Under
current	current	current
law	law	law
,	,	,
branded	brand	branded
drugs	drug	drug
,	,	,
and	and	and
generic	generic	generic
drugs	drug	drug
available	avail	available
from	from	from
a	a	a
single	singl	single
source	sourc	source
,	,	,
are	are	are
required	requir	required
to	to	to
pay	pay	pay
a	a	a
rebate	rebat	rebate
amount	amount	amount
of	of	of
at	at	at
least	least	least
23	23	23
.	.	.
1	1	1
percent	percent	percent
of	of	of
the	the	the
average	averag	average
manufacturer	manufactur	manufacturer
price	price	price
.	.	.
Generic	generic	Generic
drugs	drug	drug
are	are	are
subject	subject	subject
to	to	to
a	a	a
much	much	much
lower	lower	lower
13	13	13
percent	percent	percent
rebate	rebat	rebate
.	.	.
Mylan	mylan	Mylan
,	,	,
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
,	,	,
said	said	said
it	it	it
has	has	ha
complied	compli	complied
with	with	with
all	all	all
laws	law	law
and	and	and
regulations	regul	regulation
regarding	regard	regarding
Medicaid	medicaid	Medicaid
rebates	rebat	rebate
,	,	,
and	and	and
intends	intend	intends
to	to	to
file	file	file
with	with	with
regulators	regul	regulator
,	,	,
by	by	by
next	next	next
April	april	April
as	as	a
required	requir	required
under	under	under
new	new	new
guidelines	guidelin	guideline
,	,	,
for	for	for
EpiPen	epipen	EpiPen
to	to	to
be	be	be
classified	classifi	classified
as	as	a
a	a	a
non	non	non
-innovator	-innov	-innovator
product	product	product
.	.	.
The	the	The
device	devic	device
jabs	jab	jab
a	a	a
dose	dose	dose
of	of	of
the	the	the
drug	drug	drug
epinephrine	epinephrin	epinephrine
into	into	into
the	the	the
thigh	thigh	thigh
to	to	to
counter	counter	counter
dangerous	danger	dangerous
allergic	allerg	allergic
reactions	reaction	reaction
such	such	such
as	as	a
to	to	to
peanuts	peanut	peanut
,	,	,
food	food	food
allergies	allergi	allergy
and	and	and
bee	bee	bee
stings	sting	sting
