Token	Stem	Lemma
BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
Extending	extend	Extending
U	u	U
S	s	S
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
for	for	for
10	10	10
years	year	year
would	would	would
breach	breach	breach
the	the	the
Iranian	iranian	Iranian
nuclear	nuclear	nuclear
agreement	agreement	agreement
Iran	iran	Iran
Supreme	suprem	Supreme
Leader	leader	Leader
Ayatollah	ayatollah	Ayatollah
Khamenei	khamenei	Khamenei
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
warning	warn	warning
that	that	that
Tehran	tehran	Tehran
would	would	would
retaliate	retali	retaliate
if	if	if
the	the	the
sanctions	sanction	sanction
are	are	are
approved	approv	approved
The	the	The
U	u	U
S	s	S
House	hous	House
of	of	of
Representatives	repres	Representatives
re	re	re
-authorized	-author	-authorized
last	last	last
week	week	week
the	the	the
Iran	iran	Iran
Sanctions	sanction	Sanctions
Act	act	Act
or	or	or
ISA	isa	ISA
for	for	for
10	10	10
years	year	year
The	the	The
law	law	law
was	was	wa
first	first	first
adopted	adopt	adopted
in	in	in
1996	1996	1996
to	to	to
punish	punish	punish
investments	invest	investment
in	in	in
Iran	iran	Iran
s	s	s
energy	energi	energy
industry	industri	industry
and	and	and
deter	deter	deter
Iran	iran	Iran
s	s	s
pursuit	pursuit	pursuit
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
The	the	The
Iran	iran	Iran
measure	measur	measure
will	will	will
expire	expir	expire
at	at	at
the	the	the
end	end	end
of	of	of
2016	2016	2016
if	if	if
it	it	it
is	is	is
not	not	not
renewed	renew	renewed
The	the	The
House	hous	House
bill	bill	bill
must	must	must
still	still	still
be	be	be
passed	pass	passed
by	by	by
the	the	the
Senate	senat	Senate
and	and	and
signed	sign	signed
by	by	by
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
to	to	to
become	becom	become
law	law	law
Iran	iran	Iran
and	and	and
world	world	world
powers	power	power
concluded	conclud	concluded
the	the	the
nuclear	nuclear	nuclear
agreement	agreement	agreement
also	also	also
known	known	known
as	as	a
JCPOA	jcpoa	JCPOA
last	last	last
year	year	year
It	it	It
imposed	impos	imposed
curbs	curb	curb
on	on	on
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
program	program	program
in	in	in
return	return	return
for	for	for
easing	eas	easing
sanctions	sanction	sanction
that	that	that
have	have	have
badly	bad	badly
hurt	hurt	hurt
its	it	it
economy	economi	economy
The	the	The
current	current	current
U	u	U
S	s	S
government	govern	government
has	has	ha
breached	breach	breached
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
in	in	in
many	mani	many
occasions	occas	occasion
Khamenei	khamenei	Khamenei
said	said	said
addressing	address	addressing
a	a	a
gathering	gather	gathering
of	of	of
members	member	member
of	of	of
the	the	the
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
according	accord	according
to	to	to
his	his	his
website	websit	website
The	the	The
latest	latest	latest
is	is	is
extension	extens	extension
of	of	of
sanctions	sanction	sanction
for	for	for
10	10	10
years	year	year
that	that	that
if	if	if
it	it	it
happens	happen	happens
would	would	would
surely	sure	surely
be	be	be
against	against	against
JCPOA	jcpoa	JCPOA
and	and	and
the	the	the
Islamic	islam	Islamic
Republic	republ	Republic
would	would	would
definitely	definit	definitely
react	react	react
to	to	to
it	it	it
The	the	The
U	u	U
S	s	S
lawmakers	lawmak	lawmaker
passed	pass	passed
the	the	the
bill	bill	bill
one	one	one
week	week	week
after	after	after
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
elected	elect	elected
U	u	U
S	s	S
president	presid	president
Republicans	republican	Republicans
in	in	in
Congress	congress	Congress
unanimously	unanim	unanimously
opposed	oppos	opposed
the	the	the
agreement	agreement	agreement
along	along	along
with	with	with
about	about	about
two	two	two
dozen	dozen	dozen
Democrats	democrat	Democrats
and	and	and
Trump	trump	Trump
has	has	ha
also	also	also
criticized	critic	criticized
it	it	it
Lawmakers	lawmak	Lawmakers
from	from	from
both	both	both
parties	parti	party
said	said	said
they	they	they
hoped	hope	hoped
bipartisan	bipartisan	bipartisan
support	support	support
for	for	for
a	a	a
tough	tough	tough
line	line	line
against	against	against
Iran	iran	Iran
would	would	would
continue	continu	continue
under	under	under
the	the	the
new	new	new
president	presid	president
President	presid	President
-elect	-elect	-elect
Trump	trump	Trump
once	onc	once
said	said	said
during	dure	during
his	his	his
campaign	campaign	campaign
that	that	that
he	he	he
would	would	would
rip	rip	rip
up	up	up
the	the	the
agreement	agreement	agreement
drawing	draw	drawing
a	a	a
harsh	harsh	harsh
reaction	reaction	reaction
from	from	from
Khamenei	khamenei	Khamenei
who	who	who
said	said	said
if	if	if
that	that	that
happens	happen	happens
Iran	iran	Iran
would	would	would
set	set	set
fire	fire	fire
to	to	to
the	the	the
deal	deal	deal
The	the	The
House	hous	House
of	of	of
Representatives	repres	Representatives
also	also	also
passed	pass	passed
a	a	a
bill	bill	bill
last	last	last
week	week	week
that	that	that
would	would	would
block	block	block
the	the	the
sale	sale	sale
of	of	of
commercial	commerci	commercial
aircraft	aircraft	aircraft
by	by	by
Boeing	boe	Boeing
BA	ba	BA
N	n	N
and	and	and
Airbus	airbus	Airbus
AIR	air	AIR
PA	pa	PA
to	to	to
Iran	iran	Iran
The	the	The
White	white	White
House	hous	House
believes	believ	belief
that	that	that
the	the	the
legislation	legisl	legislation
would	would	would
be	be	be
a	a	a
violation	violat	violation
of	of	of
the	the	the
nuclear	nuclear	nuclear
pact	pact	pact
and	and	and
has	has	ha
said	said	said
Obama	obama	Obama
would	would	would
veto	veto	veto
the	the	the
measure	measur	measure
even	even	even
if	if	if
it	it	it
did	did	did
pass	pass	pas
the	the	the
Senate	senat	Senate
