SYDNEY	sydney	SYDNEY
Reuters	reuter	Reuters
-	-	-
Australia	australia	Australia
will	will	will
not	not	not
be	be	be
allowed	allow	allowed
to	to	to
walk	walk	walk
away	away	away
from	from	from
legal	legal	legal
,	,	,
financial	financi	financial
and	and	and
moral	moral	moral
responsibility	respons	responsibility
for	for	for
nearly	near	nearly
800	800	800
men	men	men
when	when	when
it	it	it
closes	close	close
its	it	it
asylum	asylum	asylum
seeker	seeker	seeker
detention	detent	detention
center	center	center
in	in	in
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
PNG	png	PNG
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
PNG	png	PNG
s	s	s
immigration	immigr	immigration
minister	minist	minister
said	said	said
.	.	.

Human	human	Human
rights	right	right
advocates	advoc	advocate
are	are	are
warning	warn	warning
of	of	of
a	a	a
looming	loom	looming
humanitarian	humanitarian	humanitarian
crisis	crisi	crisis
when	when	when
the	the	the
Manus	manus	Manus
Island	island	Island
center	center	center
closes	close	close
if	if	if
the	the	the
men	men	men
are	are	are
not	not	not
properly	proper	properly
resettled	resettl	resettled
,	,	,
with	with	with
hundreds	hundr	hundred
of	of	of
the	the	the
detainees	detaine	detainee
refusing	refus	refusing
to	to	to
leave	leav	leave
the	the	the
center	center	center
for	for	for
fear	fear	fear
of	of	of
being	be	being
targeted	target	targeted
by	by	by
locals	local	local
.	.	.

PNG	png	PNG
Immigration	immigr	Immigration
Minister	minist	Minister
Petrus	petrus	Petrus
Thomas	thoma	Thomas
said	said	said
late	late	late
on	on	on
Sunday	sunday	Sunday
that	that	that
Australia	australia	Australia
will	will	will
remain	remain	remain
responsible	respons	responsible
for	for	for
the	the	the
welfare	welfar	welfare
of	of	of
the	the	the
men	men	men
that	that	that
have	have	have
been	been	been
detained	detain	detained
in	in	in
the	the	the
Australian	australian	Australian
-funded	-fund	-funded
center	center	center
for	for	for
more	more	more
than	than	than
four	four	four
years	year	year
.	.	.

Australia	australia	Australia
refuses	refus	refuse
to	to	to
allow	allow	allow
asylum	asylum	asylum
seekers	seeker	seeker
arriving	arriv	arriving
by	by	by
boat	boat	boat
to	to	to
reach	reach	reach
its	it	it
shores	shore	shore
,	,	,
detaining	detain	detaining
them	them	them
in	in	in
camps	camp	camp
in	in	in
PNG	png	PNG
and	and	and
Nauru	nauru	Nauru
in	in	in
the	the	the
South	south	South
Pacific	pacif	Pacific
.	.	.

The	the	The
United	unit	United
Nations	nation	Nations
and	and	and
rights	right	right
groups	group	group
have	have	have
for	for	for
years	year	year
cited	cite	cited
human	human	human
rights	right	right
abuses	abus	abuse
among	among	among
detainees	detaine	detainee
in	in	in
the	the	the
centers	center	center
.	.	.

It	it	It
is	is	is
PNG	png	PNG
s	s	s
position	posit	position
that	that	that
as	as	a
long	long	long
as	as	a
there	there	there
is	is	is
one	one	one
individual	individu	individual
from	from	from
this	this	this
arrangement	arrang	arrangement
that	that	that
remains	remain	remains
in	in	in
PNG	png	PNG
,	,	,
Australia	australia	Australia
will	will	will
continue	continu	continue
to	to	to
provide	provid	provide
financial	financi	financial
and	and	and
other	other	other
support	support	support
to	to	to
PNG	png	PNG
to	to	to
manage	manag	manage
the	the	the
persons	person	person
transferred	transfer	transferred
under	under	under
the	the	the
arrangement	arrang	arrangement
until	until	until
the	the	the
last	last	last
person	person	person
leaves	leav	leaf
or	or	or
is	is	is
independently	independ	independently
resettled	resettl	resettled
in	in	in
PNG	png	PNG
,	,	,
Thomas	thoma	Thomas
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.

Australia	australia	Australia
has	has	ha
already	alreadi	already
said	said	said
it	it	it
would	would	would
spend	spend	spend
up	up	up
to	to	to
A	a	A
250	250	250
million	million	million
195	195	195
million	million	million
housing	hous	housing
the	the	the
nearly	near	nearly
800	800	800
refugees	refuge	refugee
and	and	and
asylum	asylum	asylum
seekers	seeker	seeker
in	in	in
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
for	for	for
the	the	the
next	next	next
12	12	12
months	month	month
after	after	after
its	it	it
controversial	controversi	controversial
detention	detent	detention
center	center	center
closes	close	close
.	.	.

The	the	The
Manus	manus	Manus
center	center	center
is	is	is
scheduled	schedul	scheduled
to	to	to
close	close	close
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
after	after	after
being	be	being
declared	declar	declared
illegal	illeg	illegal
by	by	by
a	a	a
PNG	png	PNG
court	court	court
,	,	,
with	with	with
600	600	600
men	men	men
set	set	set
to	to	to
be	be	be
moved	move	moved
to	to	to
three	three	three
new	new	new
transit	transit	transit
camps	camp	camp
.	.	.

Just	just	Just
under	under	under
200	200	200
men	men	men
have	have	have
already	alreadi	already
relocated	reloc	relocated
.	.	.

Despite	despit	Despite
threats	threat	threat
that	that	that
basic	basic	basic
services	servic	service
like	like	like
electricity	electr	electricity
and	and	and
water	water	water
will	will	will
be	be	be
cut	cut	cut
off	off	off
,	,	,
the	the	the
remaining	remain	remaining
detainees	detaine	detainee
are	are	are
refusing	refus	refusing
to	to	to
move	move	move
,	,	,
citing	cite	citing
fears	fear	fear
for	for	for
their	their	their
safety	safeti	safety
.	.	.

Fears	fear	Fears
of	of	of
violence	violenc	violence
have	have	have
been	been	been
stoked	stoke	stoked
further	further	further
after	after	after
PNG	png	PNG
sent	sent	sent
extra	extra	extra
security	secur	security
forces	forc	force
to	to	to
the	the	the
camp	camp	camp
.	.	.

The	the	The
relocation	reloc	relocation
of	of	of
the	the	the
men	men	men
is	is	is
designed	design	designed
as	as	a
a	a	a
temporary	temporari	temporary
measure	measur	measure
,	,	,
allowing	allow	allowing
the	the	the
United	unit	United
States	state	States
time	time	time
to	to	to
complete	complet	complete
vetting	vet	vetting
of	of	of
refugees	refuge	refugee
as	as	a
part	part	part
of	of	of
a	a	a
refugee	refuge	refugee
swap	swap	swap
deal	deal	deal
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
agreed	agre	agreed
to	to	to
take	take	take
up	up	up
to	to	to
possibly	possibl	possibly
1	1	1
,	,	,
250	250	250
refugees	refuge	refugee
from	from	from
Australia	australia	Australia
s	s	s
two	two	two
Pacific	pacif	Pacific
detention	detent	detention
centers	center	center
,	,	,
but	but	but
so	so	so
far	far	far
only	onli	only
25	25	25
men	men	men
from	from	from
Manus	manus	Manus
have	have	have
been	been	been
resettled	resettl	resettled
.	.	.

In	in	In
exchange	exchang	exchange
,	,	,
Australia	australia	Australia
said	said	said
it	it	it
will	will	will
resettle	resettl	resettle
Central	central	Central
American	american	American
refugees	refuge	refugee
.	.	.

Australia	australia	Australia
has	has	ha
said	said	said
those	those	those
detainees	detaine	detainee
not	not	not
resettled	resettl	resettled
in	in	in
the	the	the
United	unit	United
States	state	States
will	will	will
be	be	be
allowed	allow	allowed
to	to	to
stay	stay	stay
in	in	in
PNG	png	PNG
or	or	or
the	the	the
tiny	tini	tiny
Pacific	pacif	Pacific
island	island	island
of	of	of
Nauru	nauru	Nauru
.	.	.

But	but	But
nearly	near	nearly
all	all	all
have	have	have
refused	refus	refused
invitations	invit	invitation
to	to	to
settle	settl	settle
permanently	perman	permanently
in	in	in
both	both	both
locations	locat	location
.	.	.

Thomas	thoma	Thomas
said	said	said
PNG	png	PNG
will	will	will
not	not	not
force	forc	force
anyone	anyon	anyone
to	to	to
remain	remain	remain
.	.	.

It	it	It
is	is	is
the	the	the
responsibility	respons	responsibility
of	of	of
Australia	australia	Australia
to	to	to
pursue	pursu	pursue
third	third	third
country	countri	country
options	option	option
,	,	,
he	he	he
said	said	said
.	.	.

Australia	australia	Australia
s	s	s
acting	act	acting
Prime	prime	Prime
Minister	minist	Minister
Julie	juli	Julie
Bishop	bishop	Bishop
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
Canberra	canberra	Canberra
was	was	wa
exploring	explor	exploring
possible	possibl	possible
deals	deal	deal
for	for	for
resettlement	resettl	resettlement
,	,	,
but	but	but
added	ad	added
those	those	those
who	who	who
have	have	have
found	found	found
not	not	not
to	to	to
be	be	be
refugees	refuge	refugee
should	should	should
go	go	go
home	home	home
.	.	.

They	they	They
ve	ve	ve
been	been	been
found	found	found
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
not	not	not
to	to	to
be	be	be
owed	owe	owed
protection	protect	protection
so	so	so
they	they	they
should	should	should
return	return	return
to	to	to
their	their	their
homes	home	home
,	,	,
she	she	she
said	said	said
.	.	.

The	the	The
bulk	bulk	bulk
of	of	of
the	the	the
detainees	detaine	detainee
come	come	come
from	from	from
war	war	war
-torn	-torn	-torn
countries	countri	country
such	such	such
as	as	a
Syria	syria	Syria
and	and	and
Afghanistan	afghanistan	Afghanistan
,	,	,
and	and	and
Pakistan	pakistan	Pakistan
,	,	,
Iran	iran	Iran
,	,	,
Sri	sri	Sri
Lanka	lanka	Lanka
and	and	and
Myanmar	myanmar	Myanmar
.	.	.

