BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
-	-	-
Arms	arm	Arms
provided	provid	provided
by	by	by
the	the	the
United	unit	United
States	state	States
and	and	and
Saudi	saudi	Saudi
Arabia	arabia	Arabia
to	to	to
Syrian	syrian	Syrian
opposition	opposit	opposition
groups	group	group
frequently	frequent	frequently
ended	end	ended
up	up	up
in	in	in
the	the	the
hands	hand	hand
of	of	of
Islamic	islam	Islamic
State	state	State
,	,	,
an	an	an
arms	arm	arm
monitoring	monitor	monitoring
group	group	group
that	that	that
analyzed	analyz	analyzed
weapons	weapon	weapon
found	found	found
on	on	on
the	the	the
battlefield	battlefield	battlefield
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.

Conflict	conflict	Conflict
Armament	armament	Armament
Research	research	Research
CAR	car	CAR
said	said	said
most	most	most
Islamic	islam	Islamic
State	state	State
weapons	weapon	weapon
were	were	were
looted	loot	looted
from	from	from
the	the	the
Iraqi	iraqi	Iraqi
and	and	and
Syrian	syrian	Syrian
armies	armi	army
.	.	.

But	but	But
some	some	some
were	were	were
originally	origin	originally
provided	provid	provided
by	by	by
other	other	other
countries	countri	country
,	,	,
mainly	main	mainly
the	the	the
United	unit	United
States	state	States
and	and	and
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
to	to	to
Syrian	syrian	Syrian
opposition	opposit	opposition
groups	group	group
fighting	fight	fighting
against	against	against
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
.	.	.

These	these	These
findings	find	finding
are	are	are
a	a	a
stark	stark	stark
reminder	remind	reminder
of	of	of
the	the	the
contradictions	contradict	contradiction
inherent	inher	inherent
in	in	in
supplying	suppli	supplying
weapons	weapon	weapon
into	into	into
armed	arm	armed
conflicts	conflict	conflict
in	in	in
which	which	which
multiple	multipl	multiple
competing	compet	competing
and	and	and
overlapping	overlap	overlapping
non	non	non
-state	-state	-state
armed	arm	armed
groups	group	group
operate	oper	operate
,	,	,
the	the	the
group	group	group
said	said	said
in	in	in
a	a	a
200	200	200
-page	-page	-page
report	report	report
.	.	.

CAR	car	CAR
documented	document	documented
at	at	at
least	least	least
12	12	12
cases	case	case
of	of	of
weaponry	weaponri	weaponry
purchased	purchas	purchased
by	by	by
the	the	the
United	unit	United
States	state	States
that	that	that
ended	end	ended
up	up	up
in	in	in
Islamic	islam	Islamic
State	state	State
s	s	s
hands	hand	hand
,	,	,
either	either	either
captured	captur	captured
on	on	on
the	the	the
battlefield	battlefield	battlefield
or	or	or
acquired	acquir	acquired
through	through	through
shifting	shift	shifting
alliances	allianc	alliance
within	within	within
the	the	the
Syrian	syrian	Syrian
opposition	opposit	opposition
.	.	.

Most	most	Most
of	of	of
these	these	these
items	item	item
later	later	later
ended	end	ended
up	up	up
in	in	in
Iraq	iraq	Iraq
,	,	,
the	the	the
monitor	monitor	monitor
said	said	said
.	.	.

In	in	In
one	one	one
case	case	case
,	,	,
it	it	it
took	took	took
only	onli	only
two	two	two
months	month	month
for	for	for
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
in	in	in
Iraq	iraq	Iraq
to	to	to
get	get	get
their	their	their
hands	hand	hand
on	on	on
a	a	a
guided	guid	guided
anti	anti	anti
-tank	-tank	-tank
missile	missil	missile
the	the	the
United	unit	United
States	state	States
bought	bought	bought
from	from	from
a	a	a
European	european	European
country	countri	country
and	and	and
supplied	suppli	supplied
to	to	to
a	a	a
Syrian	syrian	Syrian
opposition	opposit	opposition
group	group	group
.	.	.

All	all	All
of	of	of
the	the	the
items	item	item
were	were	were
made	made	made
in	in	in
EU	eu	EU
states	state	state
,	,	,
and	and	and
in	in	in
most	most	most
cases	case	case
the	the	the
United	unit	United
States	state	States
broke	broke	broke
contractual	contractu	contractual
clauses	claus	clause
prohibiting	prohibit	prohibiting
retransfers	retransf	retransfers
by	by	by
giving	give	giving
the	the	the
weapons	weapon	weapon
to	to	to
armed	arm	armed
groups	group	group
in	in	in
Syria	syria	Syria
.	.	.

Evidence	evid	Evidence
collected	collect	collected
by	by	by
CAR	car	CAR
indicates	indic	indicates
that	that	that
the	the	the
United	unit	United
States	state	States
has	has	ha
repeatedly	repeat	repeatedly
diverted	divert	diverted
EU	eu	EU
-manufactured	-manufactur	-manufactured
weapons	weapon	weapon
and	and	and
ammunition	ammunit	ammunition
to	to	to
opposition	opposit	opposition
forces	forc	force
in	in	in
the	the	the
Syrian	syrian	Syrian
conflict	conflict	conflict
.	.	.

IS	is	IS
forces	forc	force
rapidly	rapid	rapidly
gained	gain	gained
custody	custodi	custody
of	of	of
significant	signific	significant
quantities	quantiti	quantity
of	of	of
this	this	this
materiel	materiel	materiel
.	.	.

CAR	car	CAR
said	said	said
it	it	it
similarly	similar	similarly
traced	trace	traced
numerous	numer	numerous
items	item	item
used	use	used
by	by	by
Islamic	islam	Islamic
State	state	State
back	back	back
to	to	to
exports	export	export
from	from	from
Bulgaria	bulgaria	Bulgaria
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
and	and	and
that	that	that
these	these	these
were	were	were
also	also	also
subject	subject	subject
to	to	to
non	non	non
-retransfer	-retransf	-retransfer
clauses	claus	clause
that	that	that
should	should	should
have	have	have
barred	bar	barred
them	them	them
from	from	from
being	be	being
supplied	suppli	supplied
to	to	to
Syrian	syrian	Syrian
warring	war	warring
parties	parti	party
.	.	.

Around	around	Around
90	90	90
percent	percent	percent
of	of	of
weapons	weapon	weapon
and	and	and
ammunition	ammunit	ammunition
used	use	used
by	by	by
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
were	were	were
made	made	made
in	in	in
China	china	China
,	,	,
Russia	russia	Russia
,	,	,
and	and	and
Eastern	eastern	Eastern
European	european	European
countries	countri	country
,	,	,
CAR	car	CAR
said	said	said
,	,	,
with	with	with
China	china	China
and	and	and
Russia	russia	Russia
alone	alon	alone
accounting	account	accounting
for	for	for
over	over	over
50	50	50
percent	percent	percent
.	.	.

These	these	These
findings	find	finding
support	support	support
widespread	widespread	widespread
assumptions	assumpt	assumption
that	that	that
the	the	the
group	group	group
initially	initi	initially
captured	captur	captured
much	much	much
of	of	of
its	it	it
military	militari	military
materiel	materiel	materiel
from	from	from
Iraqi	iraqi	Iraqi
and	and	and
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.

Russian	russian	Russian
-made	-made	-made
weapons	weapon	weapon
used	use	used
by	by	by
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
outnumbered	outnumb	outnumbered
Chinese	chines	Chinese
ones	one	one
,	,	,
presumably	presum	presumably
reflecting	reflect	reflecting
Russian	russian	Russian
supplies	suppli	supply
to	to	to
the	the	the
Syrian	syrian	Syrian
regime	regim	regime
,	,	,
CAR	car	CAR
said	said	said
.	.	.

Russia	russia	Russia
is	is	is
allied	alli	allied
with	with	with
Assad	assad	Assad
and	and	and
launched	launch	launched
air	air	air
strikes	strike	strike
in	in	in
Syria	syria	Syria
in	in	in
September	septemb	September
2015	2015	2015
,	,	,
its	it	it
biggest	biggest	biggest
Middle	middl	Middle
East	east	East
intervention	intervent	intervention
in	in	in
decades	decad	decade
,	,	,
turning	turn	turning
the	the	the
tide	tide	tide
of	of	of
the	the	the
conflict	conflict	conflict
in	in	in
his	his	his
favor	favor	favor
.	.	.

On	on	On
Saturday	saturday	Saturday
Iraq	iraq	Iraq
declared	declar	declared
final	final	final
victory	victori	victory
over	over	over
Islamic	islam	Islamic
State	state	State
,	,	,
which	which	which
seized	seiz	seized
more	more	more
than	than	than
a	a	a
third	third	third
of	of	of
the	the	the
country	countri	country
s	s	s
territory	territori	territory
in	in	in
2014	2014	2014
.	.	.

Last	last	Last
week	week	week
Russia	russia	Russia
declared	declar	declared
victory	victori	victory
over	over	over
the	the	the
group	group	group
in	in	in
Syria	syria	Syria
.	.	.

CAR	car	CAR
reported	report	reported
last	last	last
year	year	year
that	that	that
Islamic	islam	Islamic
State	state	State
had	had	had
been	been	been
making	make	making
its	it	it
own	own	own
weapons	weapon	weapon
on	on	on
a	a	a
scale	scale	scale
and	and	and
with	with	with
sophistication	sophist	sophistication
matching	match	matching
national	nation	national
military	militari	military
forces	forc	force
,	,	,
and	and	and
that	that	that
it	it	it
had	had	had
standardized	standard	standardized
production	product	production
across	across	across
its	it	it
realm	realm	realm
.	.	.

Link	link	Link
to	to	to
the	the	the
CAR	car	CAR
report	report	report
here	here	here

