MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
joked	joke	joked
on	on	on
Thursday	thursday	Thursday
that	that	that
if	if	if
former	former	former
FBI	fbi	FBI
director	director	director
James	jame	James
Comey	comey	Comey
suffers	suffer	suffers
persecution	persecut	persecution
because	becaus	because
of	of	of
his	his	his
falling	fall	falling
-out	-out	-out
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Russia	russia	Russia
is	is	is
ready	readi	ready
to	to	to
grant	grant	grant
him	him	him
asylum	asylum	asylum
.	.	.
The	the	The
offer	offer	offer
,	,	,
made	made	made
with	with	with
Putin	putin	Putin
s	s	s
trademark	trademark	trademark
sardonic	sardon	sardonic
humor	humor	humor
,	,	,
came	came	came
as	as	a
the	the	the
Russian	russian	Russian
president	presid	president
poured	pour	poured
scorn	scorn	scorn
on	on	on
Comey	comey	Comey
for	for	for
his	his	his
role	role	role
in	in	in
a	a	a
row	row	row
in	in	in
Washington	washington	Washington
over	over	over
alleged	alleg	alleged
Russian	russian	Russian
meddling	meddl	meddling
in	in	in
last	last	last
year	year	year
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.
At	at	At
a	a	a
congressional	congression	congressional
hearing	hear	hearing
this	this	this
month	month	month
,	,	,
Comey	comey	Comey
said	said	said
Trump	trump	Trump
asked	ask	asked
him	him	him
to	to	to
drop	drop	drop
an	an	an
investigation	investig	investigation
into	into	into
contacts	contact	contact
between	between	between
Trump	trump	Trump
associates	associ	associate
and	and	and
Russian	russian	Russian
officials	offici	official
,	,	,
while	while	while
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
has	has	ha
accused	accus	accused
Comey	comey	Comey
of	of	of
not	not	not
telling	tell	telling
the	the	the
truth	truth	truth
.	.	.
Asked	ask	Asked
about	about	about
Comey	comey	Comey
at	at	at
a	a	a
question	question	question
-and-answer	-and-answ	-and-answer
session	session	session
with	with	with
Russian	russian	Russian
voters	voter	voter
,	,	,
Putin	putin	Putin
said	said	said
it	it	it
was	was	wa
strange	strang	strange
that	that	that
,	,	,
while	while	while
still	still	still
FBI	fbi	FBI
director	director	director
,	,	,
Comey	comey	Comey
had	had	had
passed	pass	passed
the	the	the
contents	content	content
of	of	of
a	a	a
conversation	convers	conversation
he	he	he
had	had	had
with	with	with
Trump	trump	Trump
to	to	to
the	the	the
media	media	medium
via	via	via
a	a	a
friend	friend	friend
.	.	.
What	what	What
is	is	is
the	the	the
difference	differ	difference
then	then	then
between	between	between
the	the	the
FBI	fbi	FBI
director	director	director
and	and	and
Mr	mr	Mr
.	.	.
Snowden	snowden	Snowden
?	?	?
Putin	putin	Putin
said	said	said
,	,	,
referring	refer	referring
to	to	to
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
National	nation	National
Security	secur	Security
Agency	agenc	Agency
contractor	contractor	contractor
Edward	edward	Edward
Snowden	snowden	Snowden
,	,	,
who	who	who
was	was	wa
granted	grant	granted
asylum	asylum	asylum
in	in	in
Russia	russia	Russia
in	in	in
2013	2013	2013
after	after	after
leaking	leak	leaking
classified	classifi	classified
information	inform	information
about	about	about
U	u	U
.	.	.
S	s	S
.	.	.
spy	spi	spy
operations	oper	operation
.	.	.
In	in	In
this	this	this
case	case	case
,	,	,
he	he	he
Comey	comey	Comey
is	is	is
not	not	not
the	the	the
head	head	head
of	of	of
a	a	a
special	special	special
service	servic	service
but	but	but
a	a	a
human	human	human
rights	right	right
activist	activist	activist
who	who	who
defends	defend	defends
a	a	a
certain	certain	certain
position	posit	position
,	,	,
Putin	putin	Putin
said	said	said
.	.	.
By	by	By
the	the	the
way	way	way
,	,	,
if	if	if
he	he	he
is	is	is
subject	subject	subject
to	to	to
any	ani	any
sort	sort	sort
of	of	of
persecution	persecut	persecution
in	in	in
connection	connect	connection
with	with	with
this	this	this
,	,	,
we	we	we
will	will	will
be	be	be
ready	readi	ready
to	to	to
give	give	give
him	him	him
political	polit	political
asylum	asylum	asylum
in	in	in
Russia	russia	Russia
.	.	.
And	and	And
he	he	he
should	should	should
know	know	know
about	about	about
this	this	this
.	.	.
Striking	strike	Striking
a	a	a
more	more	more
serious	serious	serious
note	note	note
,	,	,
Putin	putin	Putin
said	said	said
Comey	comey	Comey
,	,	,
in	in	in
his	his	his
congressional	congression	congressional
testimony	testimoni	testimony
,	,	,
had	had	had
produced	produc	produced
no	no	no
proof	proof	proof
that	that	that
Russia	russia	Russia
had	had	had
meddled	meddl	meddled
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
.	.	.
I	i	I
am	am	am
not	not	not
familiar	familiar	familiar
in	in	in
detail	detail	detail
with	with	with
the	the	the
testimony	testimoni	testimony
given	given	given
by	by	by
former	former	former
FBI	fbi	FBI
director	director	director
Comey	comey	Comey
,	,	,
Putin	putin	Putin
said	said	said
.	.	.
Again	again	Again
,	,	,
he	he	he
gave	gave	gave
no	no	no
evidence	evid	evidence
of	of	of
this	this	this
Russian	russian	Russian
interference	interfer	interference
.	.	.
And	and	And
what	what	what
about	about	about
constant	constant	constant
U	u	U
.	.	.
S	s	S
.	.	.
propaganda	propaganda	propaganda
,	,	,
constant	constant	constant
U	u	U
.	.	.
S	s	S
.	.	.
support	support	support
of	of	of
America	america	America
-oriented	-orient	-oriented
non	non	non
-governmental	-government	-governmental
organizations	organ	organization
by	by	by
giving	give	giving
them	them	them
money	money	money
directly	direct	directly
?	?	?
Isn	isn	Isn
t	t	t
it	it	it
an	an	an
impact	impact	impact
on	on	on
our	our	our
minds	mind	mind
?	?	?
Isn	isn	Isn
t	t	t
it	it	it
an	an	an
attempt	attempt	attempt
to	to	to
influence	influenc	influence
how	how	how
we	we	we
should	should	should
behave	behav	behave
during	dure	during
election	elect	election
campaigns	campaign	campaign
?	?	?
This	this	This
continues	continu	continues
year	year	year
after	after	after
year	year	year
,	,	,
he	he	he
said	said	said
.	.	.
Putin	putin	Putin
said	said	said
many	mani	many
heads	head	head
of	of	of
state	state	state
around	around	around
the	the	the
world	world	world
had	had	had
told	told	told
him	him	him
of	of	of
similar	similar	similar
U	u	U
.	.	.
S	s	S
.	.	.
meddling	meddl	meddling
in	in	in
their	their	their
internal	intern	internal
affairs	affair	affair
.	.	.
But	but	But
they	they	they
would	would	would
not	not	not
voice	voic	voice
their	their	their
concerns	concern	concern
openly	open	openly
,	,	,
fearing	fear	fearing
they	they	they
would	would	would
spoil	spoil	spoil
relations	relat	relation
with	with	with
Washington	washington	Washington
,	,	,
he	he	he
said	said	said
.	.	.
As	as	As
for	for	for
Russia	russia	Russia
,	,	,
we	we	we
have	have	have
an	an	an
opinion	opinion	opinion
of	of	of
our	our	our
own	own	own
,	,	,
we	we	we
express	express	express
it	it	it
openly	open	openly
.	.	.
But	but	But
this	this	this
is	is	is
not	not	not
any	ani	any
sort	sort	sort
of	of	of
underground	underground	underground
,	,	,
subversive	subvers	subversive
activity	activ	activity
,	,	,
Putin	putin	Putin
said	said	said
.	.	.
