SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.

Reuters	reuter	Reuters
-	-	-
California	california	California
will	will	will
move	move	move
its	it	it
presidential	presidenti	presidential
primary	primari	primary
from	from	from
June	june	June
to	to	to
March	march	March
under	under	under
a	a	a
bill	bill	bill
signed	sign	signed
on	on	on
Wednesday	wednesday	Wednesday
by	by	by
Democratic	democrat	Democratic
Governor	governor	Governor
Jerry	jerri	Jerry
Brown	brown	Brown
,	,	,
a	a	a
change	chang	change
aimed	aim	aimed
at	at	at
giving	give	giving
the	the	the
liberal	liber	liberal
-leaning	-lean	-leaning
state	state	state
more	more	more
influence	influenc	influence
in	in	in
choosing	choos	choosing
candidates	candid	candidate
from	from	from
either	either	either
national	nation	national
party	parti	party
.	.	.

The	the	The
most	most	most
populous	popul	populous
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
,	,	,
which	which	which
voted	vote	voted
heavily	heavili	heavily
for	for	for
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
November	novemb	November
s	s	s
presidential	presidenti	presidential
election	elect	election
,	,	,
has	has	ha
traditionally	tradit	traditionally
held	held	held
its	it	it
primary	primari	primary
so	so	so
late	late	late
that	that	that
Democratic	democrat	Democratic
and	and	and
Republican	republican	Republican
voters	voter	voter
in	in	in
other	other	other
states	state	state
had	had	had
essentially	essenti	essentially
already	alreadi	already
chosen	chosen	chosen
their	their	their
parties	parti	party
candidates	candid	candidate
.	.	.

The	the	The
Golden	golden	Golden
State	state	State
will	will	will
no	no	no
longer	longer	longer
be	be	be
relegated	releg	relegated
to	to	to
last	last	last
place	place	place
in	in	in
the	the	the
presidential	presidenti	presidential
nominating	nomin	nominating
process	process	process
,	,	,
said	said	said
Secretary	secretari	Secretary
of	of	of
State	state	State
Alex	alex	Alex
Padilla	padilla	Padilla
,	,	,
a	a	a
Democrat	democrat	Democrat
who	who	who
backed	back	backed
the	the	the
change	chang	change
,	,	,
in	in	in
a	a	a
statement	statement	statement
.	.	.

Candidates	candid	Candidates
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
ignore	ignor	ignore
the	the	the
largest	largest	largest
,	,	,
most	most	most
diverse	divers	diverse
state	state	state
in	in	in
the	the	the
nation	nation	nation
as	as	a
they	they	they
seek	seek	seek
our	our	our
country	countri	country
s	s	s
highest	highest	highest
office	offic	office
.	.	.
The	the	The
bill	bill	bill
was	was	wa
passed	pass	passed
mostly	most	mostly
along	along	along
party	parti	party
lines	line	line
in	in	in
the	the	the
majority	major	majority
-Democrat	-democrat	-Democrat
legislature	legislatur	legislature
.	.	.

The	the	The
new	new	new
date	date	date
will	will	will
leave	leav	leave
the	the	the
Iowa	iowa	Iowa
caucuses	caucus	caucus
and	and	and
the	the	the
New	new	New
Hampshire	hampshir	Hampshire
primary	primari	primary
in	in	in
place	place	place
as	as	a
the	the	the
first	first	first
and	and	and
second	second	second
contests	contest	contest
of	of	of
the	the	the
presidential	presidenti	presidential
election	elect	election
cycle	cycl	cycle
,	,	,
during	dure	during
which	which	which
voters	voter	voter
in	in	in
each	each	each
state	state	state
choose	choos	choose
the	the	the
candidate	candid	candidate
they	they	they
would	would	would
like	like	like
their	their	their
party	parti	party
to	to	to
nominate	nomin	nominate
for	for	for
president	presid	president
.	.	.

Because	becaus	Because
California	california	California
s	s	s
primary	primari	primary
has	has	ha
been	been	been
in	in	in
June	june	June
while	while	while
others	other	others
were	were	were
held	held	held
earlier	earlier	earlier
,	,	,
candidates	candid	candidate
have	have	have
largely	larg	largely
ignored	ignor	ignored
the	the	the
state	state	state
,	,	,
spending	spend	spending
less	less	le
on	on	on
outreach	outreach	outreach
than	than	than
elsewhere	elsewher	elsewhere
,	,	,
making	make	making
fewer	fewer	fewer
visits	visit	visit
,	,	,
and	and	and
failing	fail	failing
to	to	to
prioritize	priorit	prioritize
California	california	California
voters	voter	voter
concerns	concern	concern
in	in	in
their	their	their
campaigns	campaign	campaign
,	,	,
supporters	support	supporter
said	said	said
.	.	.

In	in	In
2016	2016	2016
,	,	,
California	california	California
Democrats	democrat	Democrats
chose	chose	chose
Clinton	clinton	Clinton
and	and	and
Republicans	republican	Republicans
opted	opt	opted
for	for	for
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
populist	populist	populist
businessman	businessman	businessman
who	who	who
ultimately	ultim	ultimately
won	won	won
the	the	the
presidency	presid	presidency
.	.	.

Backers	backer	Backers
in	in	in
the	the	the
legislature	legislatur	legislature
said	said	said
the	the	the
early	earli	early
primary	primari	primary
would	would	would
lead	lead	lead
to	to	to
less	less	le
divisive	divis	divisive
choices	choic	choice
by	by	by
members	member	member
of	of	of
both	both	both
major	major	major
parties	parti	party
in	in	in
the	the	the
2020	2020	2020
election	elect	election
cycle	cycl	cycle
,	,	,
and	and	and
establish	establish	establish
California	california	California
as	as	a
a	a	a
leading	lead	leading
voice	voic	voice
in	in	in
the	the	the
choice	choic	choice
of	of	of
candidates	candid	candidate
.	.	.

Progressive	progress	Progressive
Democrats	democrat	Democrats
also	also	also
believe	believ	believe
that	that	that
moving	move	moving
the	the	the
primary	primari	primary
up	up	up
could	could	could
result	result	result
in	in	in
their	their	their
party	parti	party
s	s	s
selection	select	selection
of	of	of
more	more	more
liberal	liber	liberal
candidates	candid	candidate
.	.	.

California	california	California
is	is	is
the	the	the
beating	beat	beating
heart	heart	heart
of	of	of
the	the	the
national	nation	national
resistance	resist	resistance
to	to	to
Trump	trump	Trump
,	,	,
and	and	and
California	california	California
Democrats	democrat	Democrats
are	are	are
defining	defin	defining
the	the	the
progressive	progress	progressive
agenda	agenda	agenda
for	for	for
America	america	America
,	,	,
state	state	state
Democratic	democrat	Democratic
Party	parti	Party
Chairman	chairman	Chairman
Eric	eric	Eric
Bauman	bauman	Bauman
said	said	said
in	in	in
a	a	a
press	press	press
release	releas	release
.	.	.

When	when	When
it	it	it
comes	come	come
to	to	to
deciding	decid	deciding
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
,	,	,
our	our	our
voices	voic	voice
need	need	need
to	to	to
be	be	be
heard	heard	heard
early	earli	early
in	in	in
the	the	the
process	process	process
.	.	.

