NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Energy	energi	Energy
Secretary	secretari	Secretary
Rick	rick	Rick
Perry	perri	Perry
took	took	took
a	a	a
chartered	charter	chartered
jet	jet	jet
to	to	to
Ohio	ohio	Ohio
last	last	last
week	week	week
,	,	,
according	accord	according
to	to	to
an	an	an
airport	airport	airport
management	manag	management
company	compani	company
,	,	,
the	the	the
day	day	day
before	befor	before
fellow	fellow	fellow
Cabinet	cabinet	Cabinet
member	member	member
Tom	tom	Tom
Price	price	Price
resigned	resign	resigned
over	over	over
his	his	his
use	use	use
of	of	of
private	privat	private
charter	charter	charter
flights	flight	flight
for	for	for
government	govern	government
business	busi	business
.	.	.

Perry	perri	Perry
took	took	took
the	the	the
private	privat	private
plane	plane	plane
from	from	from
Hazleton	hazleton	Hazleton
Regional	region	Regional
Airport	airport	Airport
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
to	to	to
the	the	the
Greater	greater	Greater
Portsmouth	portsmouth	Portsmouth
Regional	region	Regional
Airport	airport	Airport
in	in	in
southern	southern	southern
Ohio	ohio	Ohio
on	on	on
Sept	sept	Sept
.	.	.

28	28	28
,	,	,
PMH	pmh	PMH
Aviation	aviat	Aviation
,	,	,
the	the	the
company	compani	company
that	that	that
runs	run	run
the	the	the
Portsmouth	portsmouth	Portsmouth
airport	airport	airport
,	,	,
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
purpose	purpos	purpose
of	of	of
his	his	his
trip	trip	trip
was	was	wa
to	to	to
visit	visit	visit
a	a	a
uranium	uranium	uranium
facility	facil	facility
in	in	in
Piketon	piketon	Piketon
,	,	,
Ohio	ohio	Ohio
,	,	,
according	accord	according
to	to	to
the	the	the
Energy	energi	Energy
Department	depart	Department
.	.	.

A	a	A
receptionist	receptionist	receptionist
at	at	at
the	the	the
company	compani	company
declined	declin	declined
to	to	to
answer	answer	answer
questions	question	question
about	about	about
the	the	the
cost	cost	cost
of	of	of
the	the	the
flight	flight	flight
.	.	.

The	the	The
only	onli	only
private	privat	private
jet	jet	jet
to	to	to
land	land	land
at	at	at
Greater	greater	Greater
Portsmouth	portsmouth	Portsmouth
Regional	region	Regional
Airport	airport	Airport
last	last	last
Thursday	thursday	Thursday
belonged	belong	belonged
to	to	to
Dixie	dixi	Dixie
Capital	capit	Capital
Corp	corp	Corp
,	,	,
a	a	a
Richmond	richmond	Richmond
,	,	,
Virginia	virginia	Virginia
-based	-base	-based
charter	charter	charter
company	compani	company
,	,	,
according	accord	according
to	to	to
data	data	data
from	from	from
the	the	the
Flightaware	flightawar	Flightaware
website	websit	website
.	.	.

Dixie	dixi	Dixie
confirmed	confirm	confirmed
it	it	it
owned	own	owned
the	the	the
plane	plane	plane
,	,	,
but	but	but
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
Perry	perri	Perry
or	or	or
say	say	say
how	how	how
much	much	much
the	the	the
trip	trip	trip
cost	cost	cost
.	.	.

A	a	A
spokeswoman	spokeswoman	spokeswoman
for	for	for
Perry	perri	Perry
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.

Perry	perri	Perry
was	was	wa
joined	join	joined
in	in	in
Ohio	ohio	Ohio
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Rob	rob	Rob
Portman	portman	Portman
and	and	and
two	two	two
U	u	U
.	.	.
S	s	S
.	.	.
representatives	repres	representative
from	from	from
the	the	the
state	state	state
to	to	to
visit	visit	visit
the	the	the
decommissioned	decommiss	decommissioned
uranium	uranium	uranium
enrichment	enrich	enrichment
facility	facil	facility
in	in	in
Piketon	piketon	Piketon
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
last	last	last
week	week	week
by	by	by
the	the	the
senator	senat	senator
s	s	s
office	offic	office
.	.	.

Local	local	Local
officials	offici	official
have	have	have
been	been	been
lobbying	lobbi	lobbying
the	the	the
government	govern	government
to	to	to
reopen	reopen	reopen
the	the	the
facility	facil	facility
.	.	.

During	dure	During
his	his	his
stop	stop	stop
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
Perry	perri	Perry
toured	tour	toured
a	a	a
coal	coal	coal
mine	mine	mine
.	.	.

No	no	No
commercial	commerci	commercial
airlines	airlin	airline
serve	serv	serve
Hazleton	hazleton	Hazleton
,	,	,
but	but	but
airports	airport	airport
with	with	with
commercial	commerci	commercial
routes	rout	route
in	in	in
Scranton	scranton	Scranton
and	and	and
Allentown	allentown	Allentown
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
are	are	are
each	each	each
an	an	an
hour	hour	hour
away	away	away
.	.	.

Price	price	Price
resigned	resign	resigned
last	last	last
week	week	week
as	as	a
U	u	U
.	.	.
S	s	S
.	.	.
health	health	health
and	and	and
human	human	human
services	servic	service
secretary	secretari	secretary
and	and	and
promised	promis	promised
to	to	to
repay	repay	repay
the	the	the
government	govern	government
for	for	for
some	some	some
52	52	52
,	,	,
000	000	000
worth	worth	worth
of	of	of
travel	travel	travel
including	includ	including
private	privat	private
flights	flight	flight
,	,	,
after	after	after
Politico	politico	Politico
and	and	and
other	other	other
media	media	medium
reported	report	reported
on	on	on
his	his	his
use	use	use
of	of	of
charters	charter	charter
.	.	.

On	on	On
Monday	monday	Monday
,	,	,
the	the	the
watchdog	watchdog	watchdog
agency	agenc	agency
overseeing	overse	overseeing
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Interior	interior	Interior
Department	depart	Department
said	said	said
it	it	it
had	had	had
opened	open	opened
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
use	use	use
of	of	of
charter	charter	charter
flights	flight	flight
by	by	by
Interior	interior	Interior
Secretary	secretari	Secretary
Ryan	ryan	Ryan
Zinke	zink	Zinke
,	,	,
who	who	who
took	took	took
a	a	a
recent	recent	recent
private	privat	private
flight	flight	flight
from	from	from
Las	las	Las
Vegas	vega	Vegas
to	to	to
Kalispell	kalispel	Kalispell
,	,	,
Montana	montana	Montana
,	,	,
that	that	that
cost	cost	cost
12	12	12
,	,	,
000	000	000
.	.	.

