BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
German	german	German
rail	rail	rail
operator	oper	operator
Deutsche	deutsch	Deutsche
Bahn	bahn	Bahn
is	is	is
facing	face	facing
a	a	a
siege	sieg	siege
of	of	of
online	onlin	online
criticism	critic	criticism
over	over	over
a	a	a
proposal	propos	proposal
to	to	to
name	name	name
a	a	a
high	high	high
-speed	-speed	-speed
train	train	train
after	after	after
Holocaust	holocaust	Holocaust
victim	victim	victim
Anne	ann	Anne
Frank	frank	Frank
,	,	,
who	who	who
was	was	wa
deported	deport	deported
by	by	by
train	train	train
to	to	to
the	the	the
Auschwitz	auschwitz	Auschwitz
concentration	concentr	concentration
camp	camp	camp
.	.	.
The	the	The
idea	idea	idea
to	to	to
name	name	name
the	the	the
high	high	high
-speed	-speed	-speed
ICE	ice	ICE
4	4	4
train	train	train
after	after	after
Frank	frank	Frank
came	came	came
from	from	from
proposals	propos	proposal
made	made	made
by	by	by
Deutsche	deutsch	Deutsche
Bahn	bahn	Bahn
customers	custom	customer
and	and	and
the	the	the
German	german	German
public	public	public
,	,	,
which	which	which
a	a	a
panel	panel	panel
reviewed	review	reviewed
.	.	.
Of	of	Of
19	19	19
,	,	,
400	400	400
submissions	submiss	submission
,	,	,
Anne	ann	Anne
Frank	frank	Frank
was	was	wa
one	one	one
of	of	of
the	the	the
most	most	most
popular	popular	popular
names	name	name
,	,	,
it	it	it
said	said	said
.	.	.
Aware	awar	Aware
of	of	of
the	the	the
historical	histor	historical
responsibility	respons	responsibility
we	we	we
bear	bear	bear
,	,	,
we	we	we
made	made	made
a	a	a
deliberate	deliber	deliberate
decision	decis	decision
to	to	to
help	help	help
keep	keep	keep
Anne	ann	Anne
Frank	frank	Frank
s	s	s
memory	memori	memory
alive	aliv	alive
,	,	,
Bahn	bahn	Bahn
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
It	it	It
was	was	wa
not	not	not
our	our	our
intention	intent	intention
to	to	to
disrespect	disrespect	disrespect
the	the	the
memory	memori	memory
of	of	of
Anne	ann	Anne
Frank	frank	Frank
in	in	in
any	ani	any
way	way	way
whatsoever	whatsoev	whatsoever
.	.	.
Critics	critic	Critics
say	say	say
the	the	the
plan	plan	plan
was	was	wa
insensitive	insensit	insensitive
.	.	.
Frank	frank	Frank
was	was	wa
deported	deport	deported
from	from	from
her	her	her
home	home	home
in	in	in
Amsterdam	amsterdam	Amsterdam
and	and	and
taken	taken	taken
to	to	to
Auschwitz	auschwitz	Auschwitz
by	by	by
train	train	train
in	in	in
September	septemb	September
1944	1944	1944
.	.	.
She	she	She
was	was	wa
later	later	later
moved	move	moved
the	the	the
Bergen	bergen	Bergen
-Belsen	-belsen	-Belsen
concentration	concentr	concentration
camp	camp	camp
,	,	,
where	where	where
she	she	she
died	die	died
in	in	in
early	earli	early
1945	1945	1945
.	.	.
Iris	iri	Iris
Eberl	eberl	Eberl
,	,	,
a	a	a
conservative	conserv	conservative
Bavarian	bavarian	Bavarian
lawmaker	lawmak	lawmaker
,	,	,
said	said	said
on	on	on
twitter	twitter	twitter
the	the	the
plan	plan	plan
was	was	wa
disrespectful	disrespect	disrespectful
.	.	.
Mirjam	mirjam	Mirjam
Wenzel	wenzel	Wenzel
,	,	,
director	director	director
of	of	of
the	the	the
Jewish	jewish	Jewish
Museum	museum	Museum
in	in	in
Frankfurt	frankfurt	Frankfurt
,	,	,
where	where	where
Frank	frank	Frank
was	was	wa
born	born	born
,	,	,
tweeted	tweet	tweeted
that	that	that
the	the	the
idea	idea	idea
was	was	wa
based	base	based
on	on	on
historical	histor	historical
amnesia	amnesia	amnesia
.	.	.
The	the	The
Anne	ann	Anne
Frank	frank	Frank
House	hous	House
,	,	,
the	the	the
museum	museum	museum
that	that	that
preserves	preserv	preserve
the	the	the
family	famili	family
s	s	s
hiding	hide	hiding
place	place	place
in	in	in
Amsterdam	amsterdam	Amsterdam
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
the	the	the
idea	idea	idea
of	of	of
naming	name	naming
the	the	the
train	train	train
after	after	after
her	her	her
is	is	is
painful	pain	painful
for	for	for
the	the	the
people	peopl	people
who	who	who
experienced	experienc	experienced
these	these	these
deportations	deport	deportation
,	,	,
and	and	and
causes	caus	cause
fresh	fresh	fresh
pain	pain	pain
to	to	to
those	those	those
who	who	who
still	still	still
bear	bear	bear
the	the	the
consequences	consequ	consequence
of	of	of
those	those	those
times	time	time
within	within	within
them	them	them
.	.	.
