JERUSALEM	jerusalem	JERUSALEM
Reuters	reuter	Reuters
-	-	-
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
said	said	said
on	on	on
Sunday	sunday	Sunday
that	that	that
a	a	a
draft	draft	draft
bill	bill	bill
that	that	that
sets	set	set
limits	limit	limit
on	on	on
police	polic	police
investigators	investig	investigator
should	should	should
be	be	be
revised	revis	revised
so	so	so
it	it	it
does	doe	doe
not	not	not
apply	appli	apply
to	to	to
criminal	crimin	criminal
probes	probe	probe
in	in	in
which	which	which
he	he	he
is	is	is
a	a	a
suspect	suspect	suspect
.	.	.

The	the	The
proposed	propos	proposed
legislation	legisl	legislation
,	,	,
which	which	which
has	has	ha
sparked	spark	sparked
protests	protest	protest
in	in	in
Israel	israel	Israel
,	,	,
would	would	would
prohibit	prohibit	prohibit
the	the	the
police	polic	police
from	from	from
publicizing	public	publicizing
whether	whether	whether
they	they	they
have	have	have
found	found	found
sufficient	suffici	sufficient
grounds	ground	ground
to	to	to
charge	charg	charge
a	a	a
suspect	suspect	suspect
.	.	.

Critics	critic	Critics
say	say	say
the	the	the
bill	bill	bill
is	is	is
an	an	an
attempt	attempt	attempt
to	to	to
protect	protect	protect
Netanyahu	netanyahu	Netanyahu
and	and	and
keep	keep	keep
the	the	the
public	public	public
in	in	in
the	the	the
dark	dark	dark
regarding	regard	regarding
ongoing	ongo	ongoing
investigations	investig	investigation
in	in	in
which	which	which
he	he	he
is	is	is
a	a	a
suspect	suspect	suspect
,	,	,
but	but	but
its	it	it
supporters	support	supporter
said	said	said
it	it	it
is	is	is
intended	intend	intended
to	to	to
protect	protect	protect
suspects	suspect	suspect
legal	legal	legal
rights	right	right
and	and	and
reputations	reput	reputation
.	.	.

Some	some	Some
20	20	20
,	,	,
000	000	000
Israelis	isra	Israelis
demonstrated	demonstr	demonstrated
against	against	against
the	the	the
bill	bill	bill
in	in	in
Tel	tel	Tel
Aviv	aviv	Aviv
on	on	on
Saturday	saturday	Saturday
and	and	and
,	,	,
as	as	a
public	public	public
pressure	pressur	pressure
mounted	mount	mounted
,	,	,
support	support	support
among	among	among
coalition	coalit	coalition
members	member	member
for	for	for
the	the	the
bill	bill	bill
began	began	began
to	to	to
wane	wane	wane
on	on	on
Sunday	sunday	Sunday
,	,	,
a	a	a
day	day	day
before	befor	before
parliament	parliament	parliament
was	was	wa
expected	expect	expected
to	to	to
ratify	ratifi	ratify
it	it	it
.	.	.

For	for	For
the	the	the
debate	debat	debate
on	on	on
the	the	the
bill	bill	bill
to	to	to
be	be	be
topical	topic	topical
and	and	and
not	not	not
be	be	be
used	use	used
for	for	for
political	polit	political
propaganda	propaganda	propaganda
,	,	,
I	i	I
have	have	have
asked	ask	asked
.	.	.
.	.	.
.	.	.

that	that	that
it	it	it
be	be	be
worded	word	worded
so	so	so
that	that	that
it	it	it
does	doe	doe
not	not	not
cover	cover	cover
the	the	the
ongoing	ongo	ongoing
investigations	investig	investigation
in	in	in
my	my	my
matters	matter	matter
,	,	,
Netanyahu	netanyahu	Netanyahu
wrote	wrote	wrote
on	on	on
his	his	his
Facebook	facebook	Facebook
page	page	page
.	.	.

With	with	With
ratification	ratif	ratification
of	of	of
the	the	the
legislation	legisl	legislation
delayed	delay	delayed
,	,	,
he	he	he
said	said	said
he	he	he
had	had	had
told	told	told
the	the	the
bill	bill	bill
s	s	s
proponent	propon	proponent
,	,	,
David	david	David
Amsalem	amsalem	Amsalem
,	,	,
a	a	a
lawmaker	lawmak	lawmaker
from	from	from
his	his	his
own	own	own
right	right	right
-wing	-wing	-wing
Likud	likud	Likud
party	parti	party
,	,	,
that	that	that
it	it	it
had	had	had
become	becom	become
a	a	a
political	polit	political
battering	batter	battering
ram	ram	ram
against	against	against
the	the	the
government	govern	government
.	.	.

But	but	But
in	in	in
justifying	justifi	justifying
the	the	the
legislation	legisl	legislation
,	,	,
Netanyahu	netanyahu	Netanyahu
said	said	said
The	the	The
bill	bill	bill
is	is	is
intended	intend	intended
to	to	to
prevent	prevent	prevent
publication	public	publication
of	of	of
police	polic	police
recommendations	recommend	recommendation
which	which	which
would	would	would
leave	leav	leave
a	a	a
cloud	cloud	cloud
over	over	over
innocent	innoc	innocent
people	peopl	people
,	,	,
something	someth	something
that	that	that
happens	happen	happens
every	everi	every
day	day	day
.	.	.

Netanyahu	netanyahu	Netanyahu
is	is	is
a	a	a
suspect	suspect	suspect
in	in	in
two	two	two
cases	case	case
.	.	.

In	in	In
one	one	one
,	,	,
he	he	he
is	is	is
alleged	alleg	alleged
to	to	to
have	have	have
meddled	meddl	meddled
in	in	in
the	the	the
media	media	medium
industry	industri	industry
and	and	and
the	the	the
other	other	other
concerns	concern	concern
gifts	gift	gift
he	he	he
received	receiv	received
from	from	from
wealthy	wealthi	wealthy
businessmen	businessmen	businessmen
.	.	.

He	he	He
denies	deni	denies
any	ani	any
wrongdoing	wrongdo	wrongdoing
.	.	.

But	but	But
,	,	,
if	if	if
charged	charg	charged
,	,	,
he	he	he
would	would	would
come	come	come
under	under	under
heavy	heavi	heavy
pressure	pressur	pressure
to	to	to
resign	resign	resign
or	or	or
he	he	he
could	could	could
call	call	call
an	an	an
election	elect	election
to	to	to
test	test	test
whether	whether	whether
he	he	he
still	still	still
has	has	ha
a	a	a
mandate	mandat	mandate
to	to	to
govern	govern	govern
.	.	.

Netanyahu	netanyahu	Netanyahu
has	has	ha
in	in	in
the	the	the
past	past	past
said	said	said
he	he	he
had	had	had
no	no	no
interest	interest	interest
in	in	in
promoting	promot	promoting
personal	person	personal
legislation	legisl	legislation
but	but	but
he	he	he
also	also	also
did	did	did
not	not	not
order	order	order
the	the	the
bill	bill	bill
s	s	s
sponsors	sponsor	sponsor
,	,	,
Amsalem	amsalem	Amsalem
,	,	,
and	and	and
David	david	David
Bitan	bitan	Bitan
,	,	,
another	anoth	another
Likud	likud	Likud
confidant	confid	confidant
,	,	,
to	to	to
withdraw	withdraw	withdraw
it	it	it
.	.	.

Netanyahu	netanyahu	Netanyahu
has	has	ha
described	describ	described
himself	himself	himself
as	as	a
a	a	a
victim	victim	victim
of	of	of
a	a	a
political	polit	political
witch	witch	witch
hunt	hunt	hunt
and	and	and
said	said	said
he	he	he
will	will	will
be	be	be
cleared	clear	cleared
.	.	.

There	there	There
will	will	will
be	be	be
nothing	noth	nothing
because	becaus	because
there	there	there
is	is	is
nothing	noth	nothing
,	,	,
he	he	he
has	has	ha
said	said	said
repeatedly	repeat	repeatedly
.	.	.

This	this	This
story	stori	story
removes	remov	remove
extraneous	extran	extraneous
text	text	text
from	from	from
first	first	first
paragraph	paragraph	paragraph

